id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,69,139,503.6248754015137,1.3950726584302946,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6 DMSO - Raji,JE6 pp1 - Raji,3,3,1170.074780383784,0.3979794021201756,0.6912559433254621,2,139,0.05
,,JE6 DMSO - Raji,JE6 soq - Raji,3,3,-178.4060078958937,-0.060681520145034244,0.951700010539134,,,
,,JE6 DMSO - Raji,JE6 u0126 - Raji,3,3,2886.348018423012,0.9817381572021991,0.32793454647221854,,,
,,JE6 DMSO - Raji,JE6 tpi - Raji,3,3,1838.0496429163177,0.6251787579893866,0.5328787510978055,,,
,,JE6 DMSO - Raji,JE6 n22 - Raji,3,3,-2072.860385122738,-0.7050453104195264,0.4819617903744291,,,
,,JE6 DMSO - Raji,JE6 pv - Raji,3,3,-9089.105265956063,-3.0914918774388664,0.0024068711357692063,,,
,,JE6 DMSO - Raji,J132 DMSO - Raji,3,3,5584.652896680698,1.8995169010827555,0.059568202976114426,,,
,,JE6 DMSO - Raji,J132 pp1 - Raji,3,3,5849.233623334027,1.9895091658262753,0.04860747657325115,,,
,,JE6 DMSO - Raji,J132 soq - Raji,3,3,5018.838870430745,1.7070656734746312,0.09004268221188294,,,
,,JE6 DMSO - Raji,J132 u0126 - Raji,3,3,5861.390274414853,1.993644026956556,0.048147979323468926,,,
,,JE6 DMSO - Raji,J132 tpi - Raji,3,3,4631.730173146831,1.575397774564751,0.11743795386676026,,,
,,JE6 DMSO - Raji,J132 n22 - Raji,3,3,4806.190573329104,1.6347372688622133,0.1043668569706675,,,
,,JE6 DMSO - Raji,J132 pv - Raji,3,3,-9387.562584546598,-3.193006641454285,0.0017416994760923732,,,
,,JE6 DMSO - Raji,J133 DMSO - Raji,3,3,3861.8924618159017,1.3135516453929428,0.1911611399824007,,,
,,JE6 DMSO - Raji,J133 pp1 - Raji,3,3,4061.7238365589783,1.3815206097517994,0.16933554807754692,,,
,,JE6 DMSO - Raji,J133 soq - Raji,3,3,4220.411381937769,1.4354952577764792,0.1533924838981804,,,
,,JE6 DMSO - Raji,J133 u0126 - Raji,3,3,5495.736830670414,1.8692737376688375,0.06368876290646974,,,
,,JE6 DMSO - Raji,J133 tpi - Raji,3,3,3279.6583885723503,1.1155154409996988,0.2665544422765702,,,
,,JE6 DMSO - Raji,J133 n22 - Raji,3,3,3247.818842720206,1.1046858054631923,0.2712043065645027,,,
,,JE6 DMSO - Raji,J133 pv - Raji,3,3,-7221.885163259005,-2.4563913244174547,0.015266634887152852,,,
,,JE6 DMSO - Raji,J134 DMSO - Raji,3,3,2543.6644160611795,0.865180636716528,0.3884303909034792,,,
,,JE6 DMSO - Raji,J134 pp1 - Raji,3,3,1015.0567734914657,0.34525288007631916,0.7304261749458929,,,
,,JE6 DMSO - Raji,J134 soq - Raji,3,3,2161.1853913173145,0.7350874357151838,0.46352467519562346,,,
,,JE6 DMSO - Raji,J134 u0126 - Raji,3,3,4016.8651315190127,1.3662627468262905,0.17406273926448734,,,
,,JE6 DMSO - Raji,J134 tpi - Raji,3,3,1353.2078148231376,0.460268733346272,0.6460425457504844,,,
,,JE6 DMSO - Raji,J134 n22 - Raji,3,3,2127.460744370259,0.7236166177352417,0.4705171492375133,,,
,,JE6 DMSO - Raji,J134 pv - Raji,3,3,-76555.72391289735,-26.03902053314811,0.0,,,
,,JE6 DMSO - Raji,J135 DMSO - Raji,3,3,3765.3405815064452,1.2807113002771096,0.20242792538096843,,,
,,JE6 DMSO - Raji,J135 pp1 - Raji,3,3,4750.199708287651,1.6156930065920019,0.10842821553598303,,,
,,JE6 DMSO - Raji,J135 soq - Raji,3,3,4648.71621341985,1.5811752635471459,0.11611080271435892,,,
,,JE6 DMSO - Raji,J135 u0126 - Raji,3,3,5990.741214041682,2.037640368454903,0.0434830811690341,,,
,,JE6 DMSO - Raji,J135 tpi - Raji,3,3,3128.7823107817367,1.0641977199104102,0.2890843453817027,,,
