id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,568.0326952157312,3.478049690765229,9.657386002004387e-12,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6,J132,3,3,-63415.552439790874,-26.994126108972313,1.1253153964219109e-10,2,10,0.05
,,JE6,J133,3,3,-72600.62296982073,-30.903939122788405,2.9527491562930663e-11,,,
,,JE6,J134,3,3,-100821.28605563386,-42.91664119521036,1.1326495297225847e-12,,,
,,JE6,J135,3,3,-91526.53733211638,-38.960141416515576,2.963629341934393e-12,,,
,,J132,J133,3,3,-9185.070530029858,-3.909813013816091,0.0029141666144800737,,,
,,J132,J134,3,3,-37405.73361584298,-15.92251508623805,1.967713147976724e-08,,,
,,J132,J135,3,3,-28110.984892325505,-11.966015307543262,3.0003613460394263e-07,,,
,,J133,J134,3,3,-28220.663085813125,-12.012702072421959,2.8924853889833457e-07,,,
,,J133,J135,3,3,-18925.914362295647,-8.056202293727171,1.107401663524854e-05,,,
,,J134,J135,3,3,9294.748723517478,3.9564997786947864,0.002701705742011784,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6,J132,3,3,-63415.552439790874,-26.994126108972313,7.877207774953376e-10,2,10,0.05,True
,,JE6,J133,3,3,-72600.62296982073,-30.903939122788405,2.362199325034453e-10,,,,True
,,JE6,J134,3,3,-100821.28605563386,-42.91664119521036,1.1326495297225847e-11,,,,True
,,JE6,J135,3,3,-91526.53733211638,-38.960141416515576,2.6672664077409536e-11,,,,True
,,J132,J133,3,3,-9185.070530029858,-3.909813013816091,0.005396112270107167,,,,True
,,J132,J134,3,3,-37405.73361584298,-15.92251508623805,1.1806278310544371e-07,,,,True
,,J132,J135,3,3,-28110.984892325505,-11.966015307543262,1.4462418578276015e-06,,,,True
,,J133,J134,3,3,-28220.663085813125,-12.012702072421959,1.4462418578276015e-06,,,,True
,,J133,J135,3,3,-18925.914362295647,-8.056202293727171,3.3221682005590836e-05,,,,True
,,J134,J135,3,3,9294.748723517478,3.9564997786947864,0.005396112270107167,,,,True


