id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,835.6627219698129,3.478049690765229,1.4129808434404367e-12,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6,J132,3,3,-61099.038783647935,-31.656227971827615,2.326716597167433e-11,2,10,0.05
,,JE6,J133,3,3,-65193.48115463641,-33.77761324553851,1.223043888387565e-11,,,
,,JE6,J134,3,3,-100418.04064281758,-52.02792794056276,1.6653345369377348e-13,,,
,,JE6,J135,3,3,-92180.94329903694,-47.7601778002669,3.9057646006313007e-13,,,
,,J132,J133,3,3,-4094.4423709884722,-2.121385273710893,0.05988377805934708,,,
,,J132,J134,3,3,-39319.00185916964,-20.371699968735147,1.7923644790585058e-09,,,
,,J132,J135,3,3,-31081.904515389004,-16.103949828439287,1.7637957760996414e-08,,,
,,J133,J134,3,3,-35224.55948818117,-18.25031469502425,5.242086542622815e-09,,,
,,J133,J135,3,3,-26987.46214440053,-13.982564554728393,6.853467482414999e-08,,,
,,J134,J135,3,3,8237.097343780639,4.267750140295859,0.0016428181119463314,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6,J132,3,3,-61099.038783647935,-31.656227971827615,1.6287016180172031e-10,2,10,0.05,True
,,JE6,J133,3,3,-65193.48115463641,-33.77761324553851,9.78435110710052e-11,,,,True
,,JE6,J134,3,3,-100418.04064281758,-52.02792794056276,1.6653345369377348e-12,,,,True
,,JE6,J135,3,3,-92180.94329903694,-47.7601778002669,3.5151881405681706e-12,,,,True
,,J132,J133,3,3,-4094.4423709884722,-2.121385273710893,0.05988377805934708,,,,False
,,J132,J134,3,3,-39319.00185916964,-20.371699968735147,1.0754186874351035e-08,,,,True
,,J132,J135,3,3,-31081.904515389004,-16.103949828439287,7.055182915660652e-08,,,,True
,,J133,J134,3,3,-35224.55948818117,-18.25031469502425,2.621043249106947e-08,,,,True
,,J133,J135,3,3,-26987.46214440053,-13.982564554728393,2.0560401037261755e-07,,,,True
,,J134,J135,3,3,8237.097343780639,4.267750140295859,0.003282937372543704,,,,True


