id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,288.46645971626685,3.478049690765229,2.7894331289246566e-10,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6,J132,3,3,-62912.9344360811,-13.51661999333781,9.469177131293804e-08,2,10,0.05
,,JE6,J133,3,3,-71138.21166503037,-15.28379152396348,2.9196416395649294e-08,,,
,,JE6,J134,3,3,-153188.51603736068,-32.9120073190043,1.582201036853803e-11,,,
,,JE6,J135,3,3,-100095.76581049143,-21.505218943127467,1.0545682105345122e-09,,,
,,J132,J133,3,3,-8225.277228949257,-1.7671715306256681,0.10764515187456869,,,
,,J132,J134,3,3,-90275.58160127957,-19.395387325666494,2.8965772003175516e-09,,,
,,J132,J135,3,3,-37182.83137441032,-7.988598949789656,1.1922928376151276e-05,,,
,,J133,J134,3,3,-82050.30437233031,-17.628215795040823,7.3444570425351685e-09,,,
,,J133,J135,3,3,-28957.554145461065,-6.221427419163988,9.865534110486962e-05,,,
,,J134,J135,3,3,53092.75022686925,11.406788375876836,4.6990866531260167e-07,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6,J132,3,3,-62912.9344360811,-13.51661999333781,4.7345876685866983e-07,2,10,0.05,True
,,JE6,J133,3,3,-71138.21166503037,-15.28379152396348,1.7517848560633098e-07,,,,True
,,JE6,J134,3,3,-153188.51603736068,-32.9120073190043,1.582201036853803e-10,,,,True
,,JE6,J135,3,3,-100095.76581049143,-21.505218943127467,9.49111389481061e-09,,,,True
,,J132,J133,3,3,-8225.277228949257,-1.7671715306256681,0.10764515187456869,,,,False
,,J132,J134,3,3,-90275.58160127957,-19.395387325666494,2.3172617380495808e-08,,,,True
,,J132,J135,3,3,-37182.83137441032,-7.988598949789656,3.576835866148098e-05,,,,True
,,J133,J134,3,3,-82050.30437233031,-17.628215795040823,5.1411198187523155e-08,,,,True
,,J133,J135,3,3,-28957.554145461065,-6.221427419163988,0.00019730094933345654,,,,True
,,J134,J135,3,3,53092.75022686925,11.406788375876836,1.8796333364212714e-06,,,,True


