id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,1412.3428443333846,3.478049690765229,1.0325074129013956e-13,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6,J132,3,3,-58227.38168871435,-38.26651241327503,3.5429437161837996e-12,2,10,0.05
,,JE6,J133,3,3,-70493.80976023551,-46.32789879974873,5.289102489314246e-13,,,
,,JE6,J134,3,3,-105336.83109647654,-69.2264195611193,9.769962616701378e-15,,,
,,JE6,J135,3,3,-89744.97809004335,-58.97959376691951,4.773959005888173e-14,,,
,,J132,J133,3,3,-12266.428071521164,-8.061386386473702,1.1011683926032134e-05,,,
,,J132,J134,3,3,-47109.44940776219,-30.95990714784427,2.900302220609774e-11,,,
,,J132,J135,3,3,-31517.596401329007,-20.713081353644473,1.5232952677024514e-09,,,
,,J133,J134,3,3,-34843.02133624103,-22.89852076137057,5.693998605948991e-10,,,
,,J133,J135,3,3,-19251.168329807842,-12.651694967170773,1.773957087891631e-07,,,
,,J134,J135,3,3,15591.853006433186,10.246825794199797,1.2706405927431774e-06,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6,J132,3,3,-58227.38168871435,-38.26651241327503,2.4800606013286597e-11,2,10,0.05,True
,,JE6,J133,3,3,-70493.80976023551,-46.32789879974873,4.231281991451397e-12,,,,True
,,JE6,J134,3,3,-105336.83109647654,-69.2264195611193,9.769962616701378e-14,,,,True
,,JE6,J135,3,3,-89744.97809004335,-58.97959376691951,4.296563105299356e-13,,,,True
,,J132,J133,3,3,-12266.428071521164,-8.061386386473702,1.1011683926032134e-05,,,,True
,,J132,J134,3,3,-47109.44940776219,-30.95990714784427,1.7401813323658644e-10,,,,True
,,J132,J135,3,3,-31517.596401329007,-20.713081353644473,6.0931810708098055e-09,,,,True
,,J133,J134,3,3,-34843.02133624103,-22.89852076137057,2.8469993029744955e-09,,,,True
,,J133,J135,3,3,-19251.168329807842,-12.651694967170773,5.321870319985322e-07,,,,True
,,J134,J135,3,3,15591.853006433186,10.246825794199797,2.5412795710000324e-06,,,,True


