id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,655.5216262659582,3.478049690765229,4.73454608851398e-12,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6,J132,3,3,-63144.35718002332,-27.315165868256493,1.0012879414489362e-10,2,10,0.05
,,JE6,J133,3,3,-75674.84981984303,-32.73564206206476,1.6687984327745653e-11,,,
,,JE6,J134,3,3,-98204.99391396932,-42.48179596164828,1.2532197501968767e-12,,,
,,JE6,J135,3,3,-105260.64522455866,-45.533949700546444,6.283862319378386e-13,,,
,,J132,J133,3,3,-12530.492639819713,-5.420476193808269,0.00029281002529457645,,,
,,J132,J134,3,3,-35060.636733946,-15.16663009339179,3.143996551990824e-08,,,
,,J132,J135,3,3,-42116.28804453534,-18.21878383228995,5.331051378121288e-09,,,
,,J133,J134,3,3,-22530.144094126284,-9.74615389958352,2.0109668061873975e-06,,,
,,J133,J135,3,3,-29585.795404715624,-12.798307638481681,1.5906505002050153e-07,,,
,,J134,J135,3,3,-7055.651310589339,-3.052153738898161,0.01220677528773595,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6,J132,3,3,-63144.35718002332,-27.315165868256493,7.009015590142553e-10,2,10,0.05,True
,,JE6,J133,3,3,-75674.84981984303,-32.73564206206476,1.3350387462196522e-10,,,,True
,,JE6,J134,3,3,-98204.99391396932,-42.48179596164828,1.127897775177189e-11,,,,True
,,JE6,J135,3,3,-105260.64522455866,-45.533949700546444,6.283862319378386e-12,,,,True
,,J132,J133,3,3,-12530.492639819713,-5.420476193808269,0.000585534312878222,,,,True
,,J132,J134,3,3,-35060.636733946,-15.16663009339179,1.571998177185563e-07,,,,True
,,J132,J135,3,3,-42116.28804453534,-18.21878383228995,3.1986307824638516e-08,,,,True
,,J133,J134,3,3,-22530.144094126284,-9.74615389958352,6.032888286600091e-06,,,,True
,,J133,J135,3,3,-29585.795404715624,-12.798307638481681,6.362600483145187e-07,,,,True
,,J134,J135,3,3,-7055.651310589339,-3.052153738898161,0.01220677528773595,,,,True


