id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,108.83927764319526,3.478049690765229,3.3605160432159664e-08,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6,J132,3,3,-20.339614910505823,-5.016525515498206,0.0005244137614008881,2,10,0.05
,,JE6,J133,3,3,-68.2986092048576,-16.84504437555687,1.141362249157396e-08,,,
,,JE6,J134,3,3,-59.41788780437091,-14.654719450645866,4.372287065734781e-08,,,
,,JE6,J135,3,3,-60.723691119492514,-14.97678039808033,3.548727356417203e-08,,,
,,J132,J133,3,3,-47.95899429435177,-11.828518860058661,3.3444659019998824e-07,,,
,,J132,J134,3,3,-39.07827289386509,-9.63819393514766,2.2259175123107156e-06,,,
,,J132,J135,3,3,-40.384076208986684,-9.960254882582122,1.6486267417903377e-06,,,
,,J133,J134,3,3,8.880721400486685,2.1903249249110046,0.05330662857289403,,,
,,J133,J135,3,3,7.574918085365084,1.8682639774765406,0.09126793943355782,,,
,,J134,J135,3,3,-1.3058033151216009,-0.32206094743446395,0.7540381519219992,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6,J132,3,3,-20.339614910505823,-5.016525515498206,0.002096005563644754,2,10,0.05,True
,,JE6,J133,3,3,-68.2986092048576,-16.84504437555687,1.1413621903155757e-07,,,,True
,,JE6,J134,3,3,-59.41788780437091,-14.654719450645866,3.497829117460327e-07,,,,True
,,JE6,J135,3,3,-60.723691119492514,-14.97678039808033,3.1938541678044885e-07,,,,True
,,J132,J133,3,3,-47.95899429435177,-11.828518860058661,2.3411237825010645e-06,,,,True
,,J132,J134,3,3,-39.07827289386509,-9.63819393514766,1.1129538014631457e-05,,,,True
,,J132,J135,3,3,-40.384076208986684,-9.960254882582122,9.891719681243138e-06,,,,True
,,J133,J134,3,3,8.880721400486685,2.1903249249110046,0.15154657170642194,,,,False
,,J133,J135,3,3,7.574918085365084,1.8682639774765406,0.17420604209866808,,,,False
,,J134,J135,3,3,-1.3058033151216009,-0.32206094743446395,0.7540381519219992,,,,False


