id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,248.65346607535713,3.478049690765229,5.814841941287341e-10,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6,J132,3,3,-2.0636860051460126,-2.1735359088761284,0.05484135243285149,2,10,0.05
,,JE6,J133,3,3,-24.671309884321683,-25.984562486185812,1.639379743068048e-10,,,
,,JE6,J134,3,3,-16.081114294712417,-16.937111211269574,1.0826468388458466e-08,,,
,,JE6,J135,3,3,-17.325954197639653,-18.248213880506693,5.247962953092156e-09,,,
,,J132,J133,3,3,-22.60762387917567,-23.811026577309683,3.877158594178809e-10,,,
,,J132,J134,3,3,-14.017428289566404,-14.763575302393447,4.072589288028894e-08,,,
,,J132,J135,3,3,-15.26226819249364,-16.074677971630564,1.7950645192499337e-08,,,
,,J133,J134,3,3,8.590195589609266,9.047451274916236,3.946854974623548e-06,,,
,,J133,J135,3,3,7.34535568668203,7.736348605679118,1.5772646976497384e-05,,,
,,J134,J135,3,3,-1.244839902927236,-1.3111026692371175,0.21913004735953256,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6,J132,3,3,-2.0636860051460126,-2.1735359088761284,0.1066751309290388,2,10,0.05,False
,,JE6,J133,3,3,-24.671309884321683,-25.984562486185812,1.639379743068048e-09,,,,True
,,JE6,J134,3,3,-16.081114294712417,-16.937111211269574,7.57852762767186e-08,,,,True
,,JE6,J135,3,3,-17.325954197639653,-18.248213880506693,4.198370284758113e-08,,,,True
,,J132,J133,3,3,-22.60762387917567,-23.811026577309683,3.489442734760928e-09,,,,True
,,J132,J134,3,3,-14.017428289566404,-14.763575302393447,2.0362944785912163e-07,,,,True
,,J132,J135,3,3,-15.26226819249364,-16.074677971630564,1.0770386627001471e-07,,,,True
,,J133,J134,3,3,8.590195589609266,9.047451274916236,1.578732643270353e-05,,,,True
,,J133,J135,3,3,7.34535568668203,7.736348605679118,4.731719460426831e-05,,,,True
,,J134,J135,3,3,-1.244839902927236,-1.3111026692371175,0.21913004735953256,,,,False


