id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,593.9792130080378,3.478049690765229,7.733147455724065e-12,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6,J132,3,3,-17.680527715605095,-10.647206092590983,8.920468890227795e-07,2,10,0.05
,,JE6,J133,3,3,-66.69657836896127,-40.16465045543879,2.1895818491657337e-12,,,
,,JE6,J134,3,3,-48.31902496635128,-29.097695797604437,5.359712673680406e-11,,,
,,JE6,J135,3,3,-60.14914969425494,-36.221791758149486,6.113332062795962e-12,,,
,,J132,J133,3,3,-49.016050653356174,-29.517444362847808,4.651523610732511e-11,,,
,,J132,J134,3,3,-30.63849725074618,-18.450489705013453,4.713914814047371e-09,,,
,,J132,J135,3,3,-42.468621978649836,-25.5745856655585,1.9178236776440372e-10,,,
,,J133,J134,3,3,18.377553402609998,11.06695465783436,6.230441871313275e-07,,,
,,J133,J135,3,3,6.547428674706339,3.942858697289309,0.002762050945360972,,,
,,J134,J135,3,3,-11.830124727903659,-7.124095960545051,3.202010216596385e-05,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6,J132,3,3,-17.680527715605095,-10.647206092590983,2.676138279866791e-06,2,10,0.05,True
,,JE6,J133,3,3,-66.69657836896127,-40.16465045543879,2.1895818491657337e-11,,,,True
,,JE6,J134,3,3,-48.31902496635128,-29.097695797604437,3.751798871576284e-10,,,,True
,,JE6,J135,3,3,-60.14914969425494,-36.221791758149486,5.501998856516366e-11,,,,True
,,J132,J133,3,3,-49.016050653356174,-29.517444362847808,3.7212188885860087e-10,,,,True
,,J132,J134,3,3,-30.63849725074618,-18.450489705013453,2.356957384819225e-08,,,,True
,,J132,J135,3,3,-42.468621978649836,-25.5745856655585,1.1506942065864223e-09,,,,True
,,J133,J134,3,3,18.377553402609998,11.06695465783436,2.4921744193884265e-06,,,,True
,,J133,J135,3,3,6.547428674706339,3.942858697289309,0.002762050945360972,,,,True
,,J134,J135,3,3,-11.830124727903659,-7.124095960545051,6.403917904496126e-05,,,,True


