id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,335.481764541413,3.478049690765229,1.3203826920715755e-10,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6,J132,3,3,-2.847875058976421,-2.298206988647359,0.04438954756809621,2,10,0.05
,,JE6,J133,3,3,-33.69567916286021,-27.192079615718036,1.0469713984662121e-10,,,
,,JE6,J134,3,3,-22.671439265773763,-18.29562711997009,5.117076540273047e-09,,,
,,JE6,J135,3,3,-32.46010927079656,-26.194986940618886,1.5139689502063902e-10,,,
,,J132,J133,3,3,-30.847804103883792,-24.893872627070678,2.50212517372006e-10,,,
,,J132,J134,3,3,-19.823564206797343,-15.997420131322729,1.880550981603335e-08,,,
,,J132,J135,3,3,-29.61223421182014,-23.89677995197153,3.7423819598814134e-10,,,
,,J133,J134,3,3,11.02423989708645,8.896452495747951,4.591238179640911e-06,,,
,,J133,J135,3,3,1.2355698920636513,0.9970926750991492,0.34223455408097125,,,
,,J134,J135,3,3,-9.788670005022798,-7.899359820648802,1.3153507368635076e-05,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6,J132,3,3,-2.847875058976421,-2.298206988647359,0.08680866320289216,2,10,0.05,False
,,JE6,J133,3,3,-33.69567916286021,-27.192079615718036,1.0469713984662121e-09,,,,True
,,JE6,J134,3,3,-22.671439265773763,-18.29562711997009,3.070245879754907e-08,,,,True
,,JE6,J135,3,3,-32.46010927079656,-26.194986940618886,1.3625720551857512e-09,,,,True
,,J132,J133,3,3,-30.847804103883792,-24.893872627070678,2.001700138976048e-09,,,,True
,,J132,J134,3,3,-19.823564206797343,-15.997420131322729,9.402754552745307e-08,,,,True
,,J132,J135,3,3,-29.61223421182014,-23.89677995197153,2.6196673719169894e-09,,,,True
,,J133,J134,3,3,11.02423989708645,8.896452495747951,1.8364826242178722e-05,,,,True
,,J133,J135,3,3,1.2355698920636513,0.9970926750991492,0.34223455408097125,,,,False
,,J134,J135,3,3,-9.788670005022798,-7.899359820648802,3.946000306387365e-05,,,,True


