id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,9,20,172.8519084092061,2.39281410844228,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6- Raji,JE6+ Raji,3,3,1.6567573972950065,0.5756893261247811,0.5712466314118925,2,20,0.05
,,JE6- Raji,J132- Raji,3,3,-9.133475721417753,-3.17369609565339,0.004774176215437853,,,
,,JE6- Raji,J133- Raji,3,3,-11.060902040210504,-3.843437338657714,0.001014294948433525,,,
,,JE6- Raji,J134- Raji,3,3,-7.91405065399728,-2.7499708136844476,0.012347133027042823,,,
,,JE6- Raji,J135- Raji,3,3,-5.339504712866131,-1.855368731118241,0.07834356487811966,,,
,,JE6+ Raji,J132+ Raji,3,3,-20.339614910505823,-7.067600374432889,7.47968760927975e-07,,,
,,JE6+ Raji,J133+ Raji,3,3,-68.2986092048576,-23.732370456048752,4.440892098500626e-16,,,
,,JE6+ Raji,J134+ Raji,3,3,-59.41788780437091,-20.646501319809882,5.995204332975845e-15,,,
,,JE6+ Raji,J135+ Raji,3,3,-60.723691119492514,-21.100241277006525,3.9968028886505635e-15,,,
,,J132- Raji,J132+ Raji,3,3,-9.549381791793063,-3.3182149526547176,0.0034298884894483628,,,
,,J132- Raji,J133- Raji,3,3,-1.927426318792751,-0.6697412430043239,0.510681815119375,,,
,,J132- Raji,J134- Raji,3,3,1.2194250674204739,0.4237252819689427,0.6762884301377454,,,
,,J132- Raji,J135- Raji,3,3,3.7939710085516225,1.3183273645351494,0.20229355797896487,,,
,,J132+ Raji,J133+ Raji,3,3,-47.95899429435177,-16.664770081615863,3.40394379350073e-13,,,
,,J132+ Raji,J134+ Raji,3,3,-39.07827289386509,-13.578900945376994,1.485989109539787e-11,,,
,,J132+ Raji,J135+ Raji,3,3,-40.384076208986684,-14.032640902573634,8.173905996500253e-12,,,
,,J133- Raji,J133+ Raji,3,3,-55.58094976735208,-19.313243791266256,2.1094237467877974e-14,,,
,,J133- Raji,J134- Raji,3,3,3.146851386213225,1.0934665249732667,0.2871849253715095,,,
,,J133- Raji,J135- Raji,3,3,5.7213973273443735,1.9880686075394733,0.06066621097335667,,,
,,J133+ Raji,J134+ Raji,3,3,8.880721400486685,3.0858691362388706,0.005828595971430595,,,
,,J133+ Raji,J135+ Raji,3,3,7.574918085365084,2.6321291790422268,0.015974985765527583,,,
,,J134- Raji,J134+ Raji,3,3,-49.847079753078624,-17.320841180000652,1.6497914145929826e-13,,,
,,J134- Raji,J135- Raji,3,3,2.5745459411311487,0.8946020825662068,0.38164000352694183,,,
,,J134+ Raji,J135+ Raji,3,3,-1.3058033151216009,-0.45373995719664395,0.6549011217350111,,,
,,J135- Raji,J135+ Raji,3,3,-53.727429009331374,-18.669183219763504,3.9968028886505635e-14,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6- Raji,JE6+ Raji,3,3,1.6567573972950065,0.5756893261247811,0.9426721803945391,2,20,0.05,False
,,JE6- Raji,J132- Raji,3,3,-9.133475721417753,-3.17369609565339,0.06031720891784509,,,,False
,,JE6- Raji,J133- Raji,3,3,-11.060902040210504,-3.843437338657714,0.01510687418239276,,,,True
,,JE6- Raji,J134- Raji,3,3,-7.91405065399728,-2.7499708136844476,0.1277366677046926,,,,False
,,JE6- Raji,J135- Raji,3,3,-5.339504712866131,-1.855368731118241,0.47934208142905743,,,,False
,,JE6+ Raji,J132+ Raji,3,3,-20.339614910505823,-7.067600374432889,1.1967433040216413e-05,,,,True
,,JE6+ Raji,J133+ Raji,3,3,-68.2986092048576,-23.732370456048752,1.1102230246251565e-14,,,,True
,,JE6+ Raji,J134+ Raji,3,3,-59.41788780437091,-20.646501319809882,1.3788969965844444e-13,,,,True
,,JE6+ Raji,J135+ Raji,3,3,-60.723691119492514,-21.100241277006525,9.592326932761353e-14,,,,True
,,J132- Raji,J132+ Raji,3,3,-9.549381791793063,-3.3182149526547176,0.04696245225527973,,,,True
,,J132- Raji,J133- Raji,3,3,-1.927426318792751,-0.6697412430043239,0.9426721803945391,,,,False
,,J132- Raji,J134- Raji,3,3,1.2194250674204739,0.4237252819689427,0.9426721803945391,,,,False
,,J132- Raji,J135- Raji,3,3,3.7939710085516225,1.3183273645351494,0.794457471367652,,,,False
,,J132+ Raji,J133+ Raji,3,3,-47.95899429435177,-16.664770081615863,6.467493207651387e-12,,,,True
,,J132+ Raji,J134+ Raji,3,3,-39.07827289386509,-13.578900945376994,2.526181486217638e-10,,,,True
,,J132+ Raji,J135+ Raji,3,3,-40.384076208986684,-14.032640902573634,1.4713030793700455e-10,,,,True
,,J133- Raji,J133+ Raji,3,3,-55.58094976735208,-19.313243791266256,4.640732242933154e-13,,,,True
,,J133- Raji,J134- Raji,3,3,3.146851386213225,1.0934665249732667,0.8688219249692372,,,,False
,,J133- Raji,J135- Raji,3,3,5.7213973273443735,1.9880686075394733,0.43064976706892455,,,,False
,,J133+ Raji,J134+ Raji,3,3,8.880721400486685,3.0858691362388706,0.06774396128184479,,,,False
,,J133+ Raji,J135+ Raji,3,3,7.574918085365084,2.6321291790422268,0.14874165031302622,,,,False
,,J134- Raji,J134+ Raji,3,3,-49.847079753078624,-17.320841180000652,3.2995828291859652e-12,,,,True
,,J134- Raji,J135- Raji,3,3,2.5745459411311487,0.8946020825662068,0.9095919857936697,,,,False
,,J134+ Raji,J135+ Raji,3,3,-1.3058033151216009,-0.45373995719664395,0.9426721803945391,,,,False
,,J135- Raji,J135+ Raji,3,3,-53.727429009331374,-18.669183219763504,8.393286066166183e-13,,,,True


