id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,9,20,267.9956855740773,2.39281410844228,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6- Raji,JE6+ Raji,3,3,1.5874028999546828,0.6884621256310848,0.4990705409590288,2,20,0.05
,,JE6- Raji,J132- Raji,3,3,-7.529153349437208,-3.2654198372095213,0.003871506778911238,,,
,,JE6- Raji,J133- Raji,3,3,-10.032212130005039,-4.3510050838400245,0.0003096849279815572,,,
,,JE6- Raji,J134- Raji,3,3,-7.952597766915633,-3.449069144988999,0.0025370691248245425,,,
,,JE6- Raji,J135- Raji,3,3,-4.929440572793529,-2.137915418331685,0.045054410702913605,,,
,,JE6+ Raji,J132+ Raji,3,3,-21.484610806156475,-9.317949982569218,1.023699236490927e-08,,,
,,JE6+ Raji,J133+ Raji,3,3,-63.667587929681964,-27.612852994740138,0.0,,,
,,JE6+ Raji,J134+ Raji,3,3,-58.006928081896575,-25.157805248895578,0.0,,,
,,JE6+ Raji,J135+ Raji,3,3,-65.37661789665509,-28.354065199822497,0.0,,,
,,J132- Raji,J132+ Raji,3,3,-12.368054556764585,-5.364068019728612,2.9938236687510056e-05,,,
,,J132- Raji,J133- Raji,3,3,-2.50305878056783,-1.0855852466305027,0.29057478591431796,,,
,,J132- Raji,J134- Raji,3,3,-0.4234444174784251,-0.18364930777947772,0.8561377148808211,,,
,,J132- Raji,J135- Raji,3,3,2.5997127766436794,1.1275044188778365,0.27287488924627334,,,
,,J132+ Raji,J133+ Raji,3,3,-42.18297712352549,-18.294903012170924,5.88418203051333e-14,,,
,,J132+ Raji,J134+ Raji,3,3,-36.5223172757401,-15.839855266326362,8.775202786637237e-13,,,
,,J132+ Raji,J135+ Raji,3,3,-43.89200709049861,-19.03611521725328,2.7533531010703882e-14,,,
,,J133- Raji,J133+ Raji,3,3,-52.04797289972225,-22.573385785269032,1.1102230246251565e-15,,,
,,J133- Raji,J134- Raji,3,3,2.079614363089405,0.901935938851025,0.3778250768784708,,,
,,J133- Raji,J135- Raji,3,3,5.1027715572115095,2.213089665508339,0.038681742500805694,,,
,,J133+ Raji,J134+ Raji,3,3,5.660659847785389,2.4550477458445603,0.023365745275297112,,,
,,J133+ Raji,J135+ Raji,3,3,-1.7090299669731195,-0.7412122050823557,0.46717942837634396,,,
,,J134- Raji,J134+ Raji,3,3,-48.46692741502626,-21.020273978275497,4.218847493575595e-15,,,
,,J134- Raji,J135- Raji,3,3,3.0231571941221045,1.3111537266573143,0.2046608263090517,,,
,,J134+ Raji,J135+ Raji,3,3,-7.369689814758509,-3.1962599509269163,0.0045347547737641936,,,
,,J135- Raji,J135+ Raji,3,3,-58.85977442390687,-25.527687655859726,2.220446049250313e-16,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6- Raji,JE6+ Raji,3,3,1.5874028999546828,0.6884621256310848,0.8522066621026632,2,20,0.05,False
,,JE6- Raji,J132- Raji,3,3,-7.529153349437208,-3.2654198372095213,0.04548149178724803,,,,True
,,JE6- Raji,J133- Raji,3,3,-10.032212130005039,-4.3510050838400245,0.004326872460763798,,,,True
,,JE6- Raji,J134- Raji,3,3,-7.952597766915633,-3.449069144988999,0.0324844754893161,,,,True
,,JE6- Raji,J135- Raji,3,3,-4.929440572793529,-2.137915418331685,0.30844135110967663,,,,False
,,JE6+ Raji,J132+ Raji,3,3,-21.484610806156475,-9.317949982569218,1.6379186529302814e-07,,,,True
,,JE6+ Raji,J133+ Raji,3,3,-63.667587929681964,-27.612852994740138,0.0,,,,True
,,JE6+ Raji,J134+ Raji,3,3,-58.006928081896575,-25.157805248895578,0.0,,,,True
,,JE6+ Raji,J135+ Raji,3,3,-65.37661789665509,-28.354065199822497,0.0,,,,True
,,J132- Raji,J132+ Raji,3,3,-12.368054556764585,-5.364068019728612,0.00044897945122912564,,,,True
,,J132- Raji,J133- Raji,3,3,-2.50305878056783,-1.0855852466305027,0.8522066621026632,,,,False
,,J132- Raji,J134- Raji,3,3,-0.4234444174784251,-0.18364930777947772,0.8561377148808211,,,,False
,,J132- Raji,J135- Raji,3,3,2.5997127766436794,1.1275044188778365,0.8522066621026632,,,,False
,,J132+ Raji,J133+ Raji,3,3,-42.18297712352549,-18.294903012170924,1.0591527654923993e-12,,,,True
,,J132+ Raji,J134+ Raji,3,3,-36.5223172757401,-15.839855266326362,1.4917844737283303e-11,,,,True
,,J132+ Raji,J135+ Raji,3,3,-43.89200709049861,-19.03611521725328,5.231370892033738e-13,,,,True
,,J133- Raji,J133+ Raji,3,3,-52.04797289972225,-22.573385785269032,2.3314683517128287e-14,,,,True
,,J133- Raji,J134- Raji,3,3,2.079614363089405,0.901935938851025,0.8522066621026632,,,,False
,,J133- Raji,J135- Raji,3,3,5.1027715572115095,2.213089665508339,0.2988600470031496,,,,False
,,J133+ Raji,J134+ Raji,3,3,5.660659847785389,2.4550477458445603,0.2105592730390763,,,,False
,,J133+ Raji,J135+ Raji,3,3,-1.7090299669731195,-0.7412122050823557,0.8522066621026632,,,,False
,,J134- Raji,J134+ Raji,3,3,-48.46692741502626,-21.020273978275497,8.43769498715119e-14,,,,True
,,J134- Raji,J135- Raji,3,3,3.0231571941221045,1.3111537266573143,0.7986894125129856,,,,False
,,J134+ Raji,J135+ Raji,3,3,-7.369689814758509,-3.1962599509269163,0.04876653049204693,,,,True
,,J135- Raji,J135+ Raji,3,3,-58.85977442390687,-25.527687655859726,4.884981308350689e-15,,,,True


