id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,9,20,89.80764997920122,2.39281410844228,3.4083846855992306e-14,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6- Raji,JE6+ Raji,3,3,5.136192233478695,1.8197682317304231,0.08379633378301254,2,20,0.05
,,JE6- Raji,J132- Raji,3,3,-4.287054869629415,-1.5189163303868347,0.1444342519385815,,,
,,JE6- Raji,J133- Raji,3,3,0.9778938428803912,0.34647070599872226,0.7326075561398011,,,
,,JE6- Raji,J134- Raji,3,3,-41.08694613853799,-14.557227596423168,4.176214929429989e-12,,,
,,JE6- Raji,J135- Raji,3,3,10.560620467999875,3.7416593385587036,0.0012861286823766527,,,
,,JE6+ Raji,J132+ Raji,3,3,-6.602268683837366,-2.3392034920115314,0.02981532125494324,,,
,,JE6+ Raji,J133+ Raji,3,3,-32.37010951703255,-11.468826375455562,3.012854410400223e-10,,,
,,JE6+ Raji,J134+ Raji,3,3,-41.6221726115701,-14.746859932622797,3.2924774018283642e-12,,,
,,JE6+ Raji,J135+ Raji,3,3,-33.15419479109148,-11.746630127308844,1.9804269335566005e-10,,,
,,J132- Raji,J132+ Raji,3,3,2.8209784192707446,0.9994810701057263,0.32950162302456,,,
,,J132- Raji,J133- Raji,3,3,5.264948712509806,1.865387036385557,0.07686620212534856,,,
,,J132- Raji,J134- Raji,3,3,-36.799891268908574,-13.038311266036333,3.095101952510504e-11,,,
,,J132- Raji,J135- Raji,3,3,14.84767533762929,5.260575668945538,3.78692787224022e-05,,,
,,J132+ Raji,J133+ Raji,3,3,-25.767840833195187,-9.12962288344403,1.4297830919218768e-08,,,
,,J132+ Raji,J134+ Raji,3,3,-35.019903927732734,-12.407656440611266,7.517053646211025e-11,,,
,,J132+ Raji,J135+ Raji,3,3,-26.55192610725411,-9.407426635297313,8.747730317892888e-09,,,
,,J133- Raji,J133+ Raji,3,3,-28.21181112643425,-9.99552884972386,3.187662356296528e-09,,,
,,J133- Raji,J134- Raji,3,3,-42.06483998141838,-14.90369830242189,2.709832358505082e-12,,,
,,J133- Raji,J135- Raji,3,3,9.582726625119484,3.3951886325599814,0.0028730553724318764,,,
,,J133+ Raji,J134+ Raji,3,3,-9.252063094537547,-3.278033557167236,0.0037611981477814194,,,
,,J133+ Raji,J135+ Raji,3,3,-0.7840852740589241,-0.27780375185328254,0.7840144941573035,,,
,,J134- Raji,J134+ Raji,3,3,4.600965760446584,1.630135895530794,0.11872167762329622,,,
,,J134- Raji,J135- Raji,3,3,51.647566606537865,18.298886934981873,5.839773109528323e-14,,,
,,J134+ Raji,J135+ Raji,3,3,8.467977820478623,3.0002298053139533,0.007072239463742136,,,
,,J135- Raji,J135+ Raji,3,3,-38.57862302561266,-13.668521234137124,1.3188339309522235e-11,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6- Raji,JE6+ Raji,3,3,5.136192233478695,1.8197682317304231,0.42871534102729747,2,20,0.05,False
,,JE6- Raji,J132- Raji,3,3,-4.287054869629415,-1.5189163303868347,0.46842391103306424,,,,False
,,JE6- Raji,J133- Raji,3,3,0.9778938428803912,0.34647070599872226,0.9285012809664703,,,,False
,,JE6- Raji,J134- Raji,3,3,-41.08694613853799,-14.557227596423168,9.187672844745975e-11,,,,True
,,JE6- Raji,J135- Raji,3,3,10.560620467999875,3.7416593385587036,0.01532483848816757,,,,True
,,JE6+ Raji,J132+ Raji,3,3,-6.602268683837366,-2.3392034920115314,0.21506210672973958,,,,False
,,JE6+ Raji,J133+ Raji,3,3,-32.37010951703255,-11.468826375455562,5.121852497680379e-09,,,,True
,,JE6+ Raji,J134+ Raji,3,3,-41.6221726115701,-14.746859932622797,7.572698024205238e-11,,,,True
,,JE6+ Raji,J135+ Raji,3,3,-33.15419479109148,-11.746630127308844,3.564768480401881e-09,,,,True
,,J132- Raji,J132+ Raji,3,3,2.8209784192707446,0.9994810701057263,0.6985653363603729,,,,False
,,J132- Raji,J133- Raji,3,3,5.264948712509806,1.865387036385557,0.42871534102729747,,,,False
,,J132- Raji,J134- Raji,3,3,-36.799891268908574,-13.038311266036333,6.190203905021008e-10,,,,True
,,J132- Raji,J135- Raji,3,3,14.84767533762929,5.260575668945538,0.0004921887805046099,,,,True
,,J132+ Raji,J133+ Raji,3,3,-25.767840833195187,-9.12962288344403,2.0016961421731594e-07,,,,True
,,J132+ Raji,J134+ Raji,3,3,-35.019903927732734,-12.407656440611266,1.4282401927800947e-09,,,,True
,,J132+ Raji,J135+ Raji,3,3,-26.55192610725411,-9.407426635297313,1.3121594677478754e-07,,,,True
,,J133- Raji,J133+ Raji,3,3,-28.21181112643425,-9.99552884972386,5.100259647949912e-08,,,,True
,,J133- Raji,J134- Raji,3,3,-42.06483998141838,-14.90369830242189,6.503597660412197e-11,,,,True
,,J133- Raji,J135- Raji,3,3,9.582726625119484,3.3951886325599814,0.031153505162393458,,,,True
,,J133+ Raji,J134+ Raji,3,3,-9.252063094537547,-3.278033557167236,0.03698172710758607,,,,True
,,J133+ Raji,J135+ Raji,3,3,-0.7840852740589241,-0.27780375185328254,0.9285012809664703,,,,False
,,J134- Raji,J134+ Raji,3,3,4.600965760446584,1.630135895530794,0.46842391103306424,,,,False
,,J134- Raji,J135- Raji,3,3,51.647566606537865,18.298886934981873,1.4599432773820809e-12,,,,True
,,J134+ Raji,J135+ Raji,3,3,8.467977820478623,3.0002298053139533,0.06187895887650263,,,,False
,,J135- Raji,J135+ Raji,3,3,-38.57862302561266,-13.668521234137124,2.769551254999669e-10,,,,True


