id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,9,20,864.3407593438213,2.39281410844228,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6- Raji,JE6+ Raji,3,3,-0.0796248298616753,-0.06518751123586404,0.9486718996765071,2,20,0.05
,,JE6- Raji,J132- Raji,3,3,-9.424950820528029,-7.71604898343842,2.027954075778382e-07,,,
,,JE6- Raji,J133- Raji,3,3,-11.229614108178975,-9.193496515132553,1.2759855616550908e-08,,,
,,JE6- Raji,J134- Raji,3,3,-9.865672243115373,-8.076860212005032,1.0052647891889421e-07,,,
,,JE6- Raji,J135- Raji,3,3,-6.308284789711416,-5.1644868356104405,4.714555943152732e-05,,,
,,JE6+ Raji,J132+ Raji,3,3,-17.680527715605095,-14.474751168941,4.6351811278100286e-12,,,
,,JE6+ Raji,J133+ Raji,3,3,-66.69657836896127,-54.603368815648885,0.0,,,
,,JE6+ Raji,J134+ Raji,3,3,-48.31902496635128,-39.557974420439756,0.0,,,
,,JE6+ Raji,J135+ Raji,3,3,-60.14914969425494,-49.243098896832166,0.0,,,
,,J132- Raji,J132+ Raji,3,3,-8.335201724938742,-6.823889696738442,1.239560899701786e-06,,,
,,J132- Raji,J133- Raji,3,3,-1.8046632876509463,-1.4774475316941322,0.15513073400748256,,,
,,J132- Raji,J134- Raji,3,3,-0.4407214225873446,-0.36081122856661185,0.7220235673562527,,,
,,J132- Raji,J135- Raji,3,3,3.1166660308166136,2.551562147827981,0.019012674562559395,,,
,,J132+ Raji,J133+ Raji,3,3,-49.016050653356174,-40.12861764670789,0.0,,,
,,J132+ Raji,J134+ Raji,3,3,-30.63849725074618,-25.083223251498755,0.0,,,
,,J132+ Raji,J135+ Raji,3,3,-42.468621978649836,-34.76834772789116,0.0,,,
,,J133- Raji,J133+ Raji,3,3,-55.54658909064398,-45.4750598117522,0.0,,,
,,J133- Raji,J134- Raji,3,3,1.3639418650636017,1.1166363031275204,0.27738591065400775,,,
,,J133- Raji,J135- Raji,3,3,4.92132931846756,4.0290096795221135,0.0006573834808170087,,,
,,J133+ Raji,J134+ Raji,3,3,18.377553402609998,15.045394395209136,2.276179245086496e-12,,,
,,J133+ Raji,J135+ Raji,3,3,6.547428674706339,5.3602699188167255,3.019699591355618e-05,,,
,,J134- Raji,J134+ Raji,3,3,-38.53297755309758,-31.546301719670588,0.0,,,
,,J134- Raji,J135- Raji,3,3,3.5573874534039582,2.912373376394593,0.008612687987912926,,,
,,J134+ Raji,J135+ Raji,3,3,-11.830124727903659,-9.68512447639241,5.403334890630163e-09,,,
,,J135- Raji,J135+ Raji,3,3,-53.920489734405194,-44.14379957245759,0.0,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6- Raji,JE6+ Raji,3,3,-0.0796248298616753,-0.06518751123586404,0.9486718996765071,2,20,0.05,False
,,JE6- Raji,J132- Raji,3,3,-9.424950820528029,-7.71604898343842,2.23074722138783e-06,,,,True
,,JE6- Raji,J133- Raji,3,3,-11.229614108178975,-9.193496515132553,1.6587811035861932e-07,,,,True
,,JE6- Raji,J134- Raji,3,3,-9.865672243115373,-8.076860212005032,1.2063170800047374e-06,,,,True
,,JE6- Raji,J135- Raji,3,3,-6.308284789711416,-5.1644868356104405,0.00037710224561449124,,,,True
,,JE6+ Raji,J132+ Raji,3,3,-17.680527715605095,-14.474751168941,6.952771691715043e-11,,,,True
,,JE6+ Raji,J133+ Raji,3,3,-66.69657836896127,-54.603368815648885,0.0,,,,True
,,JE6+ Raji,J134+ Raji,3,3,-48.31902496635128,-39.557974420439756,0.0,,,,True
,,JE6+ Raji,J135+ Raji,3,3,-60.14914969425494,-49.243098896832166,0.0,,,,True
,,J132- Raji,J132+ Raji,3,3,-8.335201724938742,-6.823889696738442,1.2395539854215265e-05,,,,True
,,J132- Raji,J133- Raji,3,3,-1.8046632876509463,-1.4774475316941322,0.49048374020247487,,,,False
,,J132- Raji,J134- Raji,3,3,-0.4407214225873446,-0.36081122856661185,0.9227291028946563,,,,False
,,J132- Raji,J135- Raji,3,3,3.1166660308166136,2.551562147827981,0.0915166313686111,,,,False
,,J132+ Raji,J133+ Raji,3,3,-49.016050653356174,-40.12861764670789,0.0,,,,True
,,J132+ Raji,J134+ Raji,3,3,-30.63849725074618,-25.083223251498755,0.0,,,,True
,,J132+ Raji,J135+ Raji,3,3,-42.468621978649836,-34.76834772789116,0.0,,,,True
,,J133- Raji,J133+ Raji,3,3,-55.54658909064398,-45.4750598117522,0.0,,,,True
,,J133- Raji,J134- Raji,3,3,1.3639418650636017,1.1166363031275204,0.6226717901055147,,,,False
,,J133- Raji,J135- Raji,3,3,4.92132931846756,4.0290096795221135,0.004592619088486738,,,,True
,,J133+ Raji,J134+ Raji,3,3,18.377553402609998,15.045394395209136,3.6418867921383935e-11,,,,True
,,J133+ Raji,J135+ Raji,3,3,6.547428674706339,5.3602699188167255,0.0002717401386266305,,,,True
,,J134- Raji,J134+ Raji,3,3,-38.53297755309758,-31.546301719670588,0.0,,,,True
,,J134- Raji,J135- Raji,3,3,3.5573874534039582,2.912373376394593,0.05057614726656823,,,,False
,,J134+ Raji,J135+ Raji,3,3,-11.830124727903659,-9.68512447639241,7.564668580428702e-08,,,,True
,,J135- Raji,J135+ Raji,3,3,-53.920489734405194,-44.14379957245759,0.0,,,,True


