id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,1.4725554373956145,3.478049690765229,0.2816530851258796,0.05,False


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Not,JE6,J132,3,3,6879.050958451842,2.1666435987586867,0.055483615715703705,2,10,0.05
,protected,JE6,J133,3,3,5320.679227842944,1.675814826737183,0.12471045218522869,,,
,,JE6,J134,3,3,4200.321129492997,1.3229439559196092,0.21530676678455007,,,
,,JE6,J135,3,3,6237.460318793643,1.9645665592317436,0.07784383229743552,,,
,,J132,J133,3,3,-1558.3717306088984,-0.49082877202150377,0.6341397158915316,,,
,,J132,J134,3,3,-2678.7298289588452,-0.8436996428390776,0.41856204445477374,,,
,,J132,J135,3,3,-641.5906396581995,-0.20207703952694317,0.8439082682279051,,,
,,J133,J134,3,3,-1120.3580983499469,-0.35287087081757385,0.7315099458821703,,,
,,J133,J135,3,3,916.7810909506989,0.2887517324945606,0.7786684467967779,,,
,,J134,J135,3,3,2037.1391893006457,0.6416226033121345,0.5355474537347995,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Not,JE6,J132,3,3,6879.050958451842,2.1666435987586867,0.4349394873058623,2,10,0.05,False
,protected,JE6,J133,3,3,5320.679227842944,1.675814826737183,0.6554803960401125,,,,False
,,JE6,J134,3,3,4200.321129492997,1.3229439559196092,0.8168110166356201,,,,False
,,JE6,J135,3,3,6237.460318793643,1.9645665592317436,0.5177854860918851,,,,False
,,J132,J133,3,3,-1558.3717306088984,-0.49082877202150377,0.9820831742834377,,,,False
,,J132,J134,3,3,-2678.7298289588452,-0.8436996428390776,0.9613614988241906,,,,False
,,J132,J135,3,3,-641.5906396581995,-0.20207703952694317,0.9820831742834377,,,,False
,,J133,J134,3,3,-1120.3580983499469,-0.35287087081757385,0.9820831742834377,,,,False
,,J133,J135,3,3,916.7810909506989,0.2887517324945606,0.9820831742834377,,,,False
,,J134,J135,3,3,2037.1391893006457,0.6416226033121345,0.9783874136844173,,,,False


