id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,178.36971445409824,3.478049690765229,2.992199932272399e-09,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6,J132,3,3,-9.424950820528029,-19.804816221475626,2.361959294816529e-09,2,10,0.05
,,JE6,J133,3,3,-11.229614108178975,-23.59698717643968,4.2374104225473275e-10,,,
,,JE6,J134,3,3,-9.865672243115373,-20.730911958781626,1.5105150463767814e-09,,,
,,JE6,J135,3,3,-6.308284789711416,-13.2557106463464,1.1398778765325801e-07,,,
,,J132,J133,3,3,-1.8046632876509463,-3.792170954964052,0.0035308014963417733,,,
,,J132,J134,3,3,-0.4407214225873446,-0.926095737305996,0.3762052962772806,,,
,,J132,J135,3,3,3.1166660308166136,6.54910557512923,6.48020168867447e-05,,,
,,J133,J134,3,3,1.3639418650636017,2.866075217658056,0.016781241632740862,,,
,,J133,J135,3,3,4.92132931846756,10.341276530093282,1.1676913624913965e-06,,,
,,J134,J135,3,3,3.5573874534039582,7.475201312435226,2.122464232479082e-05,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6,J132,3,3,-9.424950820528029,-19.804816221475626,1.889567424750993e-08,2,10,0.05,True
,,JE6,J133,3,3,-11.229614108178975,-23.59698717643968,4.2374104225473275e-09,,,,True
,,JE6,J134,3,3,-9.865672243115373,-20.730911958781626,1.359463530636873e-08,,,,True
,,JE6,J135,3,3,-6.308284789711416,-13.2557106463464,7.979142406799866e-07,,,,True
,,J132,J133,3,3,-1.8046632876509463,-3.792170954964052,0.010555048828351565,,,,True
,,J132,J134,3,3,-0.4407214225873446,-0.926095737305996,0.3762052962772806,,,,False
,,J132,J135,3,3,3.1166660308166136,6.54910557512923,0.00025918287282711283,,,,True
,,J133,J134,3,3,1.3639418650636017,2.866075217658056,0.033280873194745264,,,,True
,,J133,J135,3,3,4.92132931846756,10.341276530093282,7.006127722419819e-06,,,,True
,,J134,J135,3,3,3.5573874534039582,7.475201312435226,0.00010611870686516589,,,,True


