id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,4,10,46.48099183502475,3.478049690765229,1.989926351475546e-06,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6,J132,3,3,-5.850285449863207,-8.34205566578436,8.144979416924158e-06,2,10,0.05
,,JE6,J133,3,3,-7.891403078975099,-11.2525319200436,5.336093036323319e-07,,,
,,JE6,J134,3,3,-8.606342774277607,-12.271980763523858,2.3655737324546067e-07,,,
,,JE6,J135,3,3,-5.4743376160284765,-7.805983061437558,1.4590370314593315e-05,,,
,,J132,J133,3,3,-2.041117629111892,-2.91047625425924,0.01555203699216512,,,
,,J132,J134,3,3,-2.7560573244144004,-3.929925097739499,0.0028205716361013877,,,
,,J132,J135,3,3,0.3759478338347302,0.5360726043468014,0.6036272209877409,,,
,,J133,J134,3,3,-0.7149396953025082,-1.0194488434802589,0.33201961192877905,,,
,,J133,J135,3,3,2.4170654629466224,3.4465488586060413,0.0062622911163559,,,
,,J134,J135,3,3,3.1320051582491306,4.4659977020863,0.0012048736950753813,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6,J132,3,3,-5.850285449863207,-8.34205566578436,6.51579778263578e-05,2,10,0.05,True
,,JE6,J133,3,3,-7.891403078975099,-11.2525319200436,4.8024734821128234e-06,,,,True
,,JE6,J134,3,3,-8.606342774277607,-12.271980763523858,2.3655712142467422e-06,,,,True
,,JE6,J135,3,3,-5.4743376160284765,-7.805983061437558,0.00010212812185383946,,,,True
,,J132,J133,3,3,-2.041117629111892,-2.91047625425924,0.04593427491939628,,,,True
,,J132,J134,3,3,-2.7560573244144004,-3.929925097739499,0.014023526014765864,,,,True
,,J132,J135,3,3,0.3759478338347302,0.5360726043468014,0.6036272209877409,,,,False
,,J133,J134,3,3,-0.7149396953025082,-1.0194488434802589,0.553802201152221,,,,False
,,J133,J135,3,3,2.4170654629466224,3.4465488586060413,0.024814847522648842,,,,True
,,J134,J135,3,3,3.1320051582491306,4.4659977020863,0.0072075013123386045,,,,True


