Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
1,1,0,607527,787789.8,1275579,1846792.6,513237,695370.3,20151.299,1124.3263,1028.9695
2,2,0.0002,796257,1037680.25,910267,1357913,695502,962400.06,37317.516,2107.8337,6693.5205
3,3,0.0002,570782,808862.7,1051745,1462231.6,480873,765548.94,27508.916,1516.6482,11568.71
4,4,0.0004,714589,893952.1,1182176,1606074.5,582280,715349.56,50045.543,2399.236,1301.4832
6,5,0.0016999999,1017730,1429186.6,1187204,1713627.5,796307,1217878.1,70094.11,2816.0425,982.6293
7,6,0.0018,1177423,1758513.6,1376540,2207958.5,1029908,1686847.4,145726.6,1982.4208,11496.76
8,7,0.0022,450343,579187.7,906130,1244371.5,444492,589779.56,32499.65,1101.0746,1285.0146
9,8,0.0028,1057694,1444217,1309652,1970023.3,938851,1301403.3,25766.063,4377.9634,17530.695
10,9,0.0030999999,703651,985065.4,1003040,1519834.9,768816,1104818.6,42498.793,2398.2021,752.23724
11,10,0.0034999999,836682,1211919.3,1187755,1679588.8,700076,1004904.5,58467.848,2162.6025,1111.7914
12,11,0.0037,505191,675370,1255930,1691719.9,532077,758228.8,18855.424,1670.9607,794.3638
13,12,0.0039999997,880106,1127694.6,1424918,1794469.3,834292,1087296.9,20789.004,4493.206,2371.601
14,13,0.0041,1073563,1486176.1,1827879,2676533.3,849371,1276123.6,34390.258,4941.456,2059.0244
15,14,0.0047,688493,939021.44,1276586,1786869.8,617366,901572,89029.125,1396.292,778.0748
16,15,0.0050999997,921023,1352926.8,1187072,1796590.4,929301,1452888.6,61463.293,3374.771,1708.4047
17,16,0.0052,768187,1062294.8,1039179,1458288.5,527507,767805.3,87322.62,1337.1162,6856.5557
18,17,0.0053999997,562442,767544.56,926384,1215305.1,593699,834964.56,49002.65,1846.8916,621.8909
22,18,0.0084,734202,1019618.5,1283066,1766883.5,671287,968358.3,68356.71,1245.298,663.3422
23,19,0.0088,672511,893621.44,978655,1421507.1,604444,820351.75,21284.918,2180.5398,665.1427
24,20,0.011399999,480506,643800.6,932300,1263655.3,461779,677838.3,20056.021,1829.4889,1307.6233
25,21,0.0117999995,941974,3487787.8,1398052,4194304,1023281,3262791.8,220709.6,11422.031,21466.996
