Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
160,1,0.0122,849836,1194074.1,1144582,1684348.4,669567,1069208.9,61237.703,2758.5764,8069.4653
161,2,0.012399999,805818,1172131.4,1448720,1893494.1,765861,1087394.9,18769.7,2718.9536,6949.4907
339,3,0.025899999,1225070,1771068,1586903,2571602,1069226,1726280.5,232817.86,-213.72168,37070.594
479,4,0.037,564524,781520.56,931541,1272804.6,613522,945599.94,34891.68,1151.2197,7072.7964
565,5,0.0425,339490,435247.3,1035412,1224758.4,383940,450206.97,9726.3545,1434.7761,4559.1846
614,6,0.0471,944693,1238904.3,1151235,1512170.8,972246,1310290.3,64775.453,896.4863,10507.687
683,7,0.052899998,1100711,1796930.5,1543793,2622014.5,870154,1578501.8,68913.02,3943.1855,11176.863
754,8,0.0581,792797,1091438.4,1456357,2321750,646618,946716.8,125353.89,6035.2896,6962.855
764,9,0.0591,671322,906645.1,1403904,1835548.4,430756,610224.8,35613.176,2239.0073,6080.0283
925,10,0.068799995,1064904,1458008.5,1316751,1801808.1,973519,1237441.8,31860.924,2960.8672,12385.279
932,11,0.0692,394822,491001.03,1026724,1266418.4,330369,430773.88,10165.527,1671.6763,6701.0586
961,12,0.0712,321094,420428.78,629145,840790.25,383076,508904.2,10722.829,892.8302,13616.025
996,13,0.0734,814424,2182039.3,1665163,4194304,637904,1697058.8,81097.32,7973.5,37308.844
1134,14,0.0839,705953,990893.8,1838579,2316766.3,677871,942665.06,18976.158,3123.121,14587.392
1191,15,0.087699994,763742,1006620.25,955996,1321190.4,968096,1277727.4,28457.424,1744.2439,7866.8364
1212,16,0.089099996,1065088,1806907.9,1703518,3440362.8,717331,1421214.8,100807.125,4548.4756,9692.395
1220,17,0.0896,522752,686601.44,1328000,1749967.9,505790,663741.25,16807.383,2137.6863,9559.673
1266,18,0.0931,782482,1468018.9,1307092,3220963.3,690377,1336718.3,98983.03,3548.9321,18266.66
1333,19,0.0976,977555,1416814.5,1831504,2489186,686539,1038975.4,46058.18,5004.714,11137.176
1363,20,0.0997,775981,1242258.9,1262710,1996378.6,865904,1547161.8,98206.336,1847.179,7101.1
1420,21,0.103199996,906277,1450255.3,1462734,2005221.6,701315,1289211.3,38764.87,1600.9834,9992.101
1422,22,0.1033,1195307,1807919.4,1459171,2508876.8,1428961,2338309.8,44741.676,5344.41,13589.432
1432,23,0.1039,581859,802325.1,931207,1297477,622773,924561.2,24951.121,13142.348,10075.131
1484,24,0.107499994,656345,964998.3,1239363,1907332.8,451667,763635.6,131963.56,-487.3723,10649.779
1528,25,0.1107,595955,746379.7,767387,1060786,743298,931756.56,17310.723,526.2722,15341.259
1554,26,0.1129,581378,765410.9,924000,1269736.4,618735,865538.06,30057.283,1265.9669,7009.7954
1657,27,0.12,635568,859414.06,1153932,1663623,737883,1091970.8,18013.648,2122.2483,7108.8013
1702,28,0.122999996,604177,861176.56,944774,1312077,691479,1014478.1,10787.997,1909.0989,5792.8115
1793,29,0.1299,799582,1126626.6,1127238,1564721.1,894855,1304661.5,14361.314,1704.0313,10700.511
1794,30,0.1299,925425,1093168,1326391,1642625.8,572383,673269.94,57333.74,66790.11,13398.521
1804,31,0.13059999,765020,968438.06,1292550,1704774.8,496063,650755.94,35883.5,1333.5754,7854.4116
1829,32,0.1326,598476,765652,1382227,1715929.9,343825,460322.72,224322.5,-4003.7617,6756.6836
1840,33,0.1334,652537,1040862.75,642035,951238.06,715739,1245430.4,213197.89,-158.06152,5844.3486
1876,34,0.1354,920674,3388838.3,1499840,4194304,852562,2674657,61674.496,11393.164,9001.272
1981,35,0.1427,1348652,1955595.6,1528977,2149956,836583,1310842.9,37003.25,4067.9941,14613.331
2071,36,0.1487,1487182,2896213,2087010,4194304,1140853,2475608.3,46062.496,9810.568,16421.977
2083,37,0.1494,740545,1004513.25,1500708,2138808,502195,780333,149927.86,216.58887,6911.6113
2147,38,0.1547,921357,2104231.8,1043112,2490267.5,1100679,2570002.5,64004.89,49228.01,8890.43
2154,39,0.1551,902431,1188555.3,1667848,2392345.8,558173,805936.25,90489.34,11008.551,9166.458
2186,40,0.15779999,1195657,4194304,1172467,4194304,1022572,4194304,301320,15099.139,13312.671
2246,41,0.1619,1042288,1525736.4,1779428,2809381.3,789542,1296699.9,104721.66,3106.4526,12102.857
2266,42,0.163,525782,1300798.9,1326847,3196911,558754,1417930.5,51305.54,2862.8206,52899.746
