Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
1,1,0,1031393,1460303.5,1799448,2742822.3,655965,1012743.06,44351.54,5410.172,2631.7168
2,2,0,849059,1200644.6,1157385,1577048,513191,772086.6,56087.21,1988.4387,41174.426
4,3,0.0002,774899,1047093.7,1437144,1959000.4,818124,1149082.8,93507.64,2418.7258,31192.96
6,4,0.0008,593206,808036.5,1465919,1880803.9,526288,735749.75,38845.547,1348.6678,31679.11
9,5,0.0015,478347,595003.06,1055948,1428814.8,377476,490672.28,32059.59,524.42676,103917.414
12,6,0.0016999999,1001458,1377384.1,1666022,2480527,619447,944554.44,66447.21,3638.5142,4216.5586
13,7,0.0018999999,1023685,1416991.9,1483293,2172063,826931,1219292.5,49713.26,3795.3062,1065.3937
14,8,0.0018999999,1070889,1935731.4,2340473,3554770,921818,1640977.5,47653.824,14328.957,24145.066
16,9,0.0019999999,1217765,1707241.5,1764970,2355104,1064910,1537876.4,168988.98,1404.5308,253934.42
18,10,0.0019999999,657338,903683.9,1265552,1679817.4,359279,506767.56,52553.79,2913.1187,5317.982
19,11,0.0022,1108419,1403921.5,1600028,2129495.5,784833,1033221.8,53120.42,3212.803,1880.8745
20,12,0.0025,1302478,2350335.8,1584702,2558879.5,854705,1667670.4,118707.195,7073.286,47618.367
25,13,0.003,607210,812906.9,1346933,1723193.3,551313,769806.9,56098.137,668.9022,1660.6564
26,14,0.0030999999,1514383,4194304,2544504,4194304,1620209,4194304,95766.125,130152.47,27716.582
27,15,0.0032,634501,869810.9,1496789,1958596.5,551805,782480.56,41798.88,1401.7836,31242.982
28,16,0.0034999999,856675,1203880.4,1909408,2587929.5,752130,1071976.8,44241.188,3005.676,1659.5313
29,17,0.0034999999,1192611,1784822,1696977,2350678,1428818,2159221,157650.78,4695.4614,133007.03
30,18,0.0034999999,928509,1170271.3,1332960,1748308.1,763977,1010024.44,30936.654,2040.8138,659.9617
34,19,0.0039,556605,706023.8,1129760,1412786.9,331936,424692.78,24697.158,1253.4888,9275.16
35,20,0.0041,1024875,1501467.6,1712362,2393396.8,936075,1526585.9,202251.55,690.6658,124057.67
36,21,0.0042,1124475,1536594.4,1327855,1999338.8,696128,998947.75,155924.97,-794.124,312684.88
39,22,0.0047,820349,1023851.3,1523446,2095393.5,639356,849462.7,37173.707,3197.3894,1122.2452
40,23,0.0047,1022569,1393468.3,1462060,2179874.3,859294,1204946.4,73626.43,2245.4675,3418.4275
41,24,0.0047999998,1299312,1947151.1,1970535,3066148.3,1076499,1749241.4,116644.34,5986.4063,122727.016
42,25,0.0047999998,996778,1403609.1,1614684,2371969.3,783876,1185774.5,42284.773,5755.3633,14404.725
43,26,0.005,1151925,1460528.3,1289722,1799233.9,927351,1284034,77486.03,1841.9388,3120.0051
44,27,0.0055,655230,981833.25,1415977,1934995,453597,733080.06,39275.773,1948.893,30094.197
48,28,0.006,1782728,3871672.8,2512091,4194304,1545779,3518771.8,73228.44,54659.26,52540.777
50,29,0.0061999997,905087,1985543.3,1400577,3526975,815576,1817026.9,143216.48,4833.121,220333.53
52,30,0.0064999997,1336666,1853086.8,2093837,2900959.8,922059,1421459.3,46341.113,5729.4126,22062.469
53,31,0.0066,1145627,1666696.6,1841316,2594131,746702,1170023.9,45411.46,4041.0376,6972.4316
54,32,0.0067,883656,1380248.1,1542794,2302670.8,459422,801617.56,48994.766,7567.675,3796.5112
55,33,0.0067,1010321,1386149.4,1066310,1427229.5,682267,994723.1,139914,415.21423,197246.02
56,34,0.0069,726974,1034110.1,1508838,2285665.3,492143,735800.7,36716.92,4703.1055,5066.749
57,35,0.0069999998,1202761,1533634.9,1368166,1803171.4,676649,910671.44,38669.977,38776.473,9481.681
59,36,0.0075999997,904089,1222312,1249322,1610134.5,558098,767995.44,35625.59,1541.5283,22628.553
60,37,0.0077,808522,1179329.6,1383001,1977385.6,468896,725719.6,30256.607,4044.844,8638.758
62,38,0.0079,757670,995706.25,1177526,1700759,767270,1047953.44,110436.68,1517.3584,63209.793
63,39,0.007999999,773929,1077610.1,1284459,1779435.8,629139,836865.2,53077.594,2466.6033,16732.281
64,40,0.0082,660811,906265.1,1203585,1767211.3,412186,576582.94,49886,1995.8921,56096.617
70,41,0.0089,875484,1241864.4,1871620,2665732.3,793863,1184329.5,32021.98,5699.833,1131.3514
73,42,0.0095999995,1022925,1512539.3,1657095,2298861.5,725617,1150146,52301.395,3351.2979,53191.06
75,43,0.0099,632369,901117.56,1858181,2476710.8,552672,757303.4,49991.152,2374.3677,5041.9053
76,44,0.01,967690,1290683.4,1306343,1773548.8,693305,912387.4,53810.223,2845.495,5421.7197
77,45,0.010199999,1231120,1844700.1,1985241,2984803.3,1223467,1947373.9,237338.75,861.006,364695.47
80,46,0.0106999995,891326,1368001,1868477,2627594.3,968535,1514400.3,72836.766,5157.534,13323.449
83,47,0.0109,1183692,1680260.5,1886569,2860216.5,782399,1220869.6,65818.68,5244.839,22239.379
84,48,0.0109,859996,1174085.5,1421641,1971856.6,842792,1234456.6,58886.656,2076.3066,131353.34
89,49,0.0117,765553,1008530.7,1254151,1626786.4,454464,604872.5,50475.316,1820.649,947.44257
92,50,0.0117999995,1195007,1875297.6,1591487,2310541.3,671500,1093857.5,83021.984,6298.4795,9186.77
93,51,0.012,871499,1181363,1762953,2427968.8,920840,1226016,41446.47,4594.8506,2581.6064
95,52,0.0121,1002159,1402277.8,1491495,2112604,659332,975610.56,37135.254,5758.354,6901.6567
97,53,0.0123,1569342,2284847.3,1522455,2368321,1322331,2030439.6,158251.89,4924.959,22506.23
98,54,0.012399999,568418,793638.9,1238595,1553510.4,386792,550867.06,31150.285,1542.2074,1509.7461
99,55,0.0128,1491782,3318977.8,2107297,4194304,1068289,2426111,129340.164,12004.654,91725.79
100,56,0.0133,1104545,1679722.8,1792943,2651303,857574,1371454.1,135396.55,938.0735,117865.4
101,57,0.0133,1041426,1594676.6,2044293,3098334.5,643070,1076844.6,66491.59,7984.526,2042.2177
105,58,0.0139,765619,1072348.6,1942154,2573441,629040,884318.5,26625.135,3517.5657,3746.484
110,59,0.0145,719703,1035854.44,1618301,2101033.3,767063,1135838.8,32934.3,3623.7148,13466.997
111,60,0.014599999,970177,1335975,1215152,1694626.5,856999,1221542.8,89174.51,1281.3859,38098.797
112,61,0.014699999,1150466,1589991.3,1716532,2600823.3,881075,1285566.3,121158.62,2558.23,12713.431
116,62,0.0150999995,1039596,1365852.8,1453915,1989839.3,795940,1010981.5,45048.96,3166.68,3672.8457
119,63,0.015899999,978108,1403056.4,1505313,1975234.5,1003913,1406340.9,108090.92,3351.2085,19733.156
123,64,0.0162,802130,1078532.6,1240528,1596363.9,522250,726029.7,58661.766,1973.1721,4350.3345
124,65,0.0164,1160879,1612269.3,1682087,2408874.8,668789,999637.4,78143.766,6181.7686,19190.055
125,66,0.0165,728860,968846.25,1332819,1701056.5,557659,741048.7,33524.61,2853.2869,8801.278
126,67,0.0166,1266020,1822937.1,2036982,2939657.3,1125679,1743508.4,45097.69,7126.871,23216.852
127,68,0.0167,742498,1051680.5,1901496,2496184.8,661598,925051.94,66848.164,3545.872,3947.795
128,69,0.0167,1304454,2130620,1799886,2825870,944290,1671225.1,108301.88,4833.451,15903.311
130,70,0.017099999,1042466,1536417.6,1791792,2650093,802395,1268637.1,69321.54,7193.4316,9107.957
132,71,0.017199999,865675,1154918.5,1778005,2291234.5,788291,1117936.6,32012.297,3749.9321,8622.628
134,72,0.0173,1315118,1821397,2508336,3550553.8,1100078,1613953.8,101218.65,5634.052,11405.175
135,73,0.0174,494766,618338.7,1316385,1649442.4,501888,601224.1,41032.72,791.57996,93.61954
136,74,0.0176,1182809,1716590.1,1546870,2544681.3,714197,1066210.9,298490.2,-670.0342,222559.58
137,75,0.0176,818694,1353615.3,1962622,3114268.8,442933,799508.5,87762.66,4717.611,12764.913
139,76,0.0178,995128,1422966.8,1207985,1857347.1,818200,1222027,35950.06,2882.71,72902.76
140,77,0.0179,1112352,1689622.3,1369211,2093367,1208048,1960508.1,63133.555,3543.1724,7116.6714
