Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
1,1,0,625557,865407.75,1356618,1660171,421018,580475.1,45793.074,1217.9587,53804.656
3,2,0.00029999999,1082594,1656404.5,896909,1404482.4,508432,870653.6,247675.34,-511.72388,169356.9
23,3,0.0016,832082,1147467.5,1118238,1493225.5,623551,912688.75,59288.08,800.84814,32909.004
32,4,0.0026,743298,1115574.1,1368370,2059781.3,478617,770749.8,82043.45,1079.4005,28672.648
39,5,0.0033,1691715,2767352,1726043,2889861.5,1564228,2806075.3,293628.78,2124.6514,316106.84
46,6,0.0042999997,1245845,1852204.5,1750590,2729816.3,882418,1279721,73746.74,3915.0166,60150.125
69,7,0.0061999997,755275,1082863.9,1313296,1690078.5,508538,780752.75,70668.27,1793.6565,54811.57
93,8,0.0087,615557,888181.06,840512,1113440.8,626543,981657,65255.082,2527.1416,40330.04
98,9,0.0087,978994,1339593.4,1332900,1859888.8,782337,1193298.4,34607.496,3325.498,48088.41
105,10,0.0093,973813,1963076.9,1445740,3537725.8,477509,1158688.9,114453.72,9021.918,55301.344
136,11,0.012499999,658928,916146.06,1042600,1369633.8,1025613,1444039.1,194082.75,-1532.9231,180651.27
138,12,0.0127,796040,1130886.4,1079303,1550785,488391,762107.5,51450.895,796.43066,164199.77
143,13,0.012999999,967692,1351651.3,1325667,1829144.3,891386,1261867.9,100649.04,1668.8422,69811.9
145,14,0.0131,1664215,2312757.3,1452121,2404368.5,1348769,2101347.5,102893.18,2992.254,247760.73
153,15,0.0139,735856,1018316.6,625969,888531.1,447714,641108.3,45524.336,1445.235,48942.56
154,16,0.0139,972528,1242508.5,1342684,2093831.3,847370,1110710.4,64596.418,486.78418,42652.68
157,17,0.0142,1502569,4194304,2639976,4194304,1208666,3498975,262281.47,29483.64,160842.88
160,18,0.0144,1222436,1674455.1,1720155,2453819.5,714396,1043175.94,178844.02,991.50684,91022.195
184,19,0.0163,1026443,1633108.4,1418538,2047281.1,968306,1573663.4,91107.836,4994.0156,54092.61
186,20,0.0164,971373,1287731.1,1462581,2210878.3,703745,1006595.94,80195.91,2318.389,34649.71
200,21,0.0174,942615,1306513.3,1953175,2592848.3,724242,1080868.8,104915.734,1480.4768,134258.81
206,22,0.0178,1105464,1592414.5,1421913,2169730.8,996607,1390774.4,49222.137,3511.792,50093.125
208,23,0.0179,1203319,2757183.8,1495290,3849836,1132817,2840085.8,106692.64,11344.434,53552.715
221,24,0.0187,660319,912460.25,981937,1353194.5,863160,1205031.8,97709.89,634.57825,51100.406
225,25,0.019199999,1068597,1357403.9,1501678,1969499.6,689765,836625.4,91145.875,1188.6926,136980.08
233,26,0.0199,563034,771903.94,1054171,1442703.6,639740,887661.06,91790.875,1791.9336,67026.375
251,27,0.0213,1263207,1778899.6,988396,1466086,603058,943040.3,57195.055,1100.5907,467510.88
256,28,0.021699999,895207,1232004.4,1517784,2073164.6,494661,701976.56,59586.37,4236.181,55193.53
266,29,0.0222,616085,820572.25,1034639,1327369.8,715317,972154.25,97667.93,-879.5488,233819.75
267,30,0.0224,694790,951498.2,1233727,1591391.3,746800,1107928.4,62755.77,1497.9729,28697.799
272,31,0.022499999,627650,869373.06,1079077,1424368.6,638501,942789.6,64661.5,1863.66,25364.299
299,32,0.0246,1752060,2754162,2294180,3346686,1444546,2325140.8,85593.71,5754.884,85592.92
301,33,0.024699999,1240105,3244135.5,1994737,4194304,1234116,2979879,141182.63,12396.117,50061.785
303,34,0.024799999,948877,1360119.3,1517644,2094683.9,794822,1084812.4,196299.4,-1551.7639,174777.08
305,35,0.024799999,706292,1054493.3,1310973,1777717.6,665070,1036480.2,129306.33,763.5569,240610.89
306,36,0.024899999,717236,1120702.1,1051942,1524032,756971,1187128.1,86410.27,989.3523,53345.656
310,37,0.0251,562831,1308582,1339290,3122437.5,643981,1451892.6,42465.87,4879.473,40103.438
314,38,0.0255,655459,987873.25,820740,1127688.8,609899,997035.94,54781.41,1234.9409,51595.64
316,39,0.0256,725082,1111955.3,1243438,1725782.9,645102,997007.06,98484.95,568.3319,69903.836
318,40,0.0257,801069,2283520,1361870,3000817.3,874596,2214602,175271.4,5054.507,149857.02
320,41,0.025899999,788983,1176325.1,1850763,2440191,687263,1060361,78737.27,2729.8066,35433.98
323,42,0.0263,1266811,1805592.3,1165166,1576090.1,1342821,1925190.5,89975.34,2238.1375,116460.47
335,43,0.0277,1278096,1846170.3,1566449,2332393.3,1411836,2108813,71838.555,2486.4436,64662.91
336,44,0.0277,576103,848432.3,886608,1180267,665531,1044291.8,22394.705,1871.265,39349.867
344,45,0.028199999,838719,1159067.1,1341340,1857289.9,796932,1151739.8,97021.766,324.71777,51265.39
353,46,0.0286,1125032,1391968.1,1597785,2042937.9,565271,729109.75,34283.113,2817.865,85088.49
358,47,0.029,1010831,1360800.8,1481489,2145991,579027,863507.06,40750.574,2096.2944,35558.19
360,48,0.029299999,580205,840048,1025328,1346015.9,697394,1031824.75,97284.086,1219.5808,34428.4
364,49,0.0295,926662,1340000.4,1017567,1348609.5,704566,1105277.1,68953.69,3158.3513,51538.582
372,50,0.0301,791028,1064206.1,1421721,1836969,881116,1184020,75037.14,860.9271,69435.984
373,51,0.0301,609938,861367.4,969689,1380818.1,338804,504338.34,89692.52,836.14355,25959.13
