Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
28,1,0.003,877739,1240625.6,1113164,1497052.5,1122203,1637829,61057.555,1763.6895,36577.816
79,2,0.0067,1004497,2365417,1503420,3771004.3,725711,1852341,336666.3,1066.4314,39307.844
250,3,0.021399999,997978,4194304,951927,4194304,478906,4194304,434332.72,763097.4,205229.53
489,4,0.040599998,1059430,1457820.1,1448423,2088421.4,799165,1160882.4,256202.81,-230.78052,37826.57
628,5,0.0545,449792,632794.9,1166884,1402500,487454,679788.94,52146.51,271.68848,49004.19
852,6,0.0747,891240,1264503,1944149,2573287.5,802993,1171369.5,158856.33,1659.4319,69690.74
951,7,0.083299994,903290,1305193.4,1615932,2328729.5,585173,904805.7,302568.8,-84.35034,48774.59
1154,8,0.1016,531703,714142,1160701,1432836.9,519923,692852.6,21071.955,2084.2266,23667.568
1259,9,0.1114,972572,1505395,1484444,2146560.5,603284,995282.8,70138.46,2809.6238,83440.71
1267,10,0.1118,373573,531096.3,1050102,1325446.3,499313,670059.1,113449.01,-132.87744,23260.408
1327,11,0.116299994,1095587,1560182.4,1235239,1643145.9,1133806,1750471.4,63470.293,3385.699,50632.45
1349,12,0.1188,1189652,2597996.8,1890941,4194304,1068977,2697129.3,105666.27,22550.531,60754.094
1370,13,0.1204,1195774,1838817.1,1451005,2190446.5,713901,1215074.8,242590,2224.97,52787.992
1684,14,0.14829999,712202,1043690.9,1468719,1956625.3,611518,883320.25,94460.664,1217.8464,36585.78
1701,15,0.1496,1518754,2391620.5,1241828,1758956.9,1677348,2896963.3,241161.4,7196.95,68736.445
1747,16,0.1532,1506776,3023056.3,1839953,3341273,1134425,2559477,282937.34,14593.379,59098.824
1813,17,0.15789999,916741,1295421.1,1261614,1544066.1,616775,885082.94,337656.1,-2692.0732,58656.895
1886,18,0.1645,978172,1369009.8,1152690,1517827,1097595,1664031.3,92280.24,720.37354,71946.59
1896,19,0.1655,1230346,3789921.3,1450693,4194304,925487,2820016.5,203440.28,13225.973,59904.875
1903,20,0.166,1260792,2365912.3,2057798,3691506.3,1093355,2014609.8,254133.44,8301.43,93711.42
1979,21,0.17279999,1327564,1943907.8,1947449,2753768.8,1155383,1824266,141292.55,4311.487,67889.766
2015,22,0.1759,737567,922541.5,913355,1224323.6,898838,1155486.9,72428.47,-996.66504,44172.21
2100,23,0.18339999,1476176,3792576.8,1470569,4194304,1369976,3371311,293770.78,21439.73,85109.016
2104,24,0.1837,437343,573645.3,1253941,1522065.9,287595,355587.34,59312.016,311.9364,22981.725
2369,25,0.2093,699188,940949.06,920925,1187228.3,501047,721157.5,162933.66,-1645.1318,37390.74
2400,26,0.2121,932900,2248829.5,2028944,4194304,567069,1572857.8,82475.37,16024.227,84216.414
2466,27,0.218,1099727,1625302.4,1057383,1591943.1,641080,1024083.56,130876.32,1815.896,66093.34
2513,28,0.2215,1137278,1671271.1,1737433,2329239,1003320,1561311.6,452007.2,-3946.2598,86249.74
2850,29,0.2502,926268,1286256.4,1244145,1655246,657009,924395.06,119446.97,495.55432,64771.645
2864,30,0.2513,770837,965948.2,1149166,1500818.3,835466,1104580.4,35844.008,1077.2264,49573.06
3042,31,0.26999998,1360071,2102996.5,1613589,2318651.8,924132,1499176.6,101968.28,2813.7485,186040.39
3062,32,0.2714,1046190,1447281,1593579,2157211.8,626406,906517.5,179968.69,1673.9446,83847.3
3090,33,0.27359998,586114,803943.8,676320,907627.75,729506,994704.2,191121.89,-1443.533,55284.383
3182,34,0.2829,777755,1011664.1,1257515,1628326.9,487021,675504.4,101591.47,610.155,76091.89
3193,35,0.2837,785582,1027198.5,1391636,1813487.3,598028,834483.7,63841.863,1537.374,40644.043
3199,36,0.28419998,807265,1094252,1285270,1721554.6,445074,643291.06,173471.56,-788.0813,80002.94
