Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
2,1,0.0002,671641,1057279.3,1499070,2048112.3,632548,1032569.25,86015.086,2224.1367,39473.94
16,2,0.0014,1144756,1686823.1,1300623,2349121.8,813328,1329904,191320.22,4658.8193,66269.69
32,3,0.0026,1463296,2507433.5,1823455,2935038.5,1248369,2325769.3,169323,3373.319,74124.04
38,4,0.003,1515758,2314293.8,1692385,2696935.8,862075,1356954.9,161572.89,3368.1055,84914.97
39,5,0.0032,1211014,1980197.5,1726107,2760661.3,729673,1334128.3,143555.55,3642.9634,79890.555
55,6,0.0044,1378338,2053224.5,1433020,2066448,1000857,1645297.8,66049.25,4601.1777,92925.23
62,7,0.0055,1230399,1773360.3,1600939,2424723.3,919015,1467454,148287.45,2463.2505,53971.254
71,8,0.0061,675189,897623.7,1035141,1499213.4,577174,830525.6,36334.832,1364.6235,34740.613
73,9,0.0061999997,787337,1812698.1,1362537,3335954.3,803701,2058339.4,151032.92,5320.7134,40176.406
95,10,0.0079,647462,918697.25,1522073,2158900.5,525576,774195,134984.33,948.4652,135373.47
112,11,0.0089,583215,757652.5,1260823,1841118.6,408000,562106.2,105625.19,-548.9365,107299.39
120,12,0.0095,840734,1192041.1,893496,1309824.6,407785,619203.25,175445.36,-452.8667,83913.93
125,13,0.010199999,977612,1474498.5,1537006,2458142,582784,944645.6,276989.38,-650.5808,368765.84
128,14,0.0103,758482,2745727,1373338,4194304,896162,2311612.3,281228.28,16541.85,96731.45
147,15,0.0116,895967,1859089,1651591,3858963,701385,1823207.4,228964.11,4856.659,124397.25
161,16,0.0126,1263164,2132384.3,1846716,2805078,826846,1494246,220545.63,2818.1025,188422.73
165,17,0.0128,947676,1471045.8,1716754,2561396.5,993775,1564515.4,92167.67,3584.4019,46794.26
172,18,0.013599999,1426004,2078245.1,1814929,2953058,1481849,2242332.8,359975.78,-1915.2891,123365.164
174,19,0.0137,1281301,1825915,1614214,2307658.5,750949,1157655.1,81530.484,2550.625,55990.543
185,20,0.0148,1205255,3093132.5,1942105,4194304,793824,2369013.8,234642.3,12848.713,74934.02
208,21,0.0167,929286,1308502.8,1562892,2083237.3,815857,1140948.1,71436.7,2799.575,33866.81
