Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
1,1,0,723831,1098745,1361185,1787666.5,771354,1179040,148702.02,5630.2075,37053.188
51,2,0.0053999997,802230,1084472.4,1311307,1920538.3,674404,979308.94,79872.63,8310.984,31105.84
154,3,0.0148,920130,1253575.3,1031152,1489293.6,975304,1392390.1,375425.47,6208.695,89860.945
186,4,0.0187,782220,1047752.9,1196490,1586333.5,428628,625793.9,233598.28,5447.6113,100823.31
205,5,0.0208,724750,1001668.1,1515284,2286709,540777,775212.8,251637.42,5257.658,247444.9
210,6,0.021499999,773843,1117904.1,1353302,1892297.1,622653,1009751.5,138524.02,8405.517,38912.41
229,7,0.022699999,661993,980788.6,1144407,1742605.3,675456,995416.25,252863.53,2163.9214,96115.14
289,8,0.0276,799677,1203743.4,1214371,1760115.5,1017784,1571344.5,128054.4,9236.656,38252.617
342,9,0.033299997,1090137,1940977.5,2129531,3086517.8,925508,1816071.3,251788.17,13337.463,41829.61
343,10,0.0334,1056429,1656327.9,1447729,2161857.8,1160231,1913197.4,331005.22,15214.598,62652.727
382,11,0.0374,1000246,1449369.4,1327086,1837951.6,585666,903508.56,148282.34,6844.106,93744.62
385,12,0.037699997,1286308,2060946.6,1857340,2872406.5,977353,1741751.5,141316.06,14881.23,67796.33
416,13,0.04,862849,2357563.8,1175312,2922715.5,915359,2780194.3,343610.75,19377.563,154471.98
430,14,0.041699998,859234,1392994,1288592,1873881.5,857347,1470743,94237.93,13646.195,34868.117
446,15,0.0429,731841,1037900.4,1402357,1834013.5,521354,756697.1,183855.34,9190.016,45045.9
467,16,0.045599997,684813,1022521.8,819193,1070432.5,716750,1157521.6,48567.953,11068.039,29623.846
572,17,0.055299997,838100,1158271.8,1557284,2249333,594613,870687.5,141358.31,7896.934,36651
601,18,0.058399998,1630415,2487916.3,1528744,2188506.3,1121807,1741270.1,165521.08,20869.043,75897.4
606,19,0.0587,898832,1303873.9,1101770,1631717.1,592294,830949.9,112533.125,10753.857,38864.96
659,20,0.064399995,800993,2051953.6,1006634,2981746.5,941869,1805103,272682.13,21294.914,58362.11
672,21,0.0657,886052,1193272.5,1372571,1885729.9,629471,877897.25,55404.645,8121.9355,36064.07
676,22,0.066,1120672,1684756.1,2108439,2994125.8,934234,1568098.1,271457.16,12708.295,49819.785
712,23,0.0699,1127665,1490942.8,1271158,1968689.3,809450,1164837.8,56916.074,10841.154,44195.07
743,24,0.0736,1010825,1477172.1,1188091,1675580.8,666720,923180.5,60577.125,8093.6104,55905.605
759,25,0.0747,825080,1138948.6,638233,895794,893932,1271076.5,70365.47,14341.75,41361.008
