Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
1,1,0,801422,1138259.6,1443179,2084218,670191,943213.9,53623.25,4441.0703,31864.031
11,2,0.0007,1044254,2558005.5,1723367,4194304,893168,2303488.5,311831.47,6736.4893,82864.984
21,3,0.0018999999,396457,560366.9,773257,960835.75,455747,643254,19758.13,887.26904,33404.71
25,4,0.0022,1067477,1628390.6,873375,1391488.3,1238790,2063626.6,303693.16,-1822.3257,102314.55
29,5,0.0025,1096177,4194304,2331241,4194304,1046919,3947138.3,197853.9,15276.883,126335.09
35,6,0.0030999999,1352744,3075330.5,1927072,4194304,962222,1982200.3,116604.484,17899.176,85955.23
42,7,0.0039,1377761,1856461.8,1076896,1428079.1,1073426,1294474.9,83177.48,2850.301,61013.555
49,8,0.0050999997,1189381,1688956.3,1493204,2046500.6,923396,1342943.4,109078.164,3100.189,54216.45
55,9,0.0056999996,933703,1219737.6,1636223,2062093.1,776987,1011468.06,79300.34,5406.72,38245.87
57,10,0.0058,741734,1192902.9,1086291,1719939.1,834561,1436684.1,225199.34,474.09192,104552.53
60,11,0.0061,584173,841973.94,1277120,1877014.8,438302,694163.8,37572.85,3253.0935,26025.928
65,12,0.0063,763176,1089125.1,1229328,1707425.3,468526,720492.44,100619.57,-47.40918,45132.54
73,13,0.0074,918798,1224960,1271841,1645054.3,1131344,1476450.4,136256.39,-856.5928,137412.03
90,14,0.0089,578075,814871.06,855477,1144771,699523,995453.56,62876.215,1042.7145,72833.17
92,15,0.009,1116492,1420332.1,882082,1394617.1,609211,804038.6,93956.28,1520.6285,57216.617
100,16,0.009699999,1140834,1753342.3,1307066,2005475.4,681137,1113387.6,174256.48,2922.6692,56238.883
107,17,0.0106,840692,1147498.8,1200082,1891397,643108,921654.3,107021.2,3183.8433,43056.39
108,18,0.0106,1659917,2298540.5,1927487,2945269,1194148,1853867,80027.16,5593.041,95588.73
111,19,0.011,671745,922824.7,1105236,1538807.1,548027,840639.56,23519.148,1840.0325,34176.992
113,20,0.0111,1227620,2121786.5,1746246,2636735.5,865530,1573149,75578.29,7892.143,78915.33
114,21,0.0112,830809,1364919.3,1401802,2078745.8,983588,1736126.5,105278.05,2588.6667,138266.17
116,22,0.011299999,1196073,1689582.5,1436189,2058281.8,1142485,1581523.5,85408.17,2995.8433,57694.41
120,23,0.0116,1008080,1570166.9,1423435,2074924.6,723839,1263112,66807.44,6350.092,78213.14
125,24,0.0121,916469,1239761,1323782,1775677.3,925551,1289807.8,54925.586,3198.3975,108557.66
129,25,0.0126,739209,1050057.1,1344459,1937043.8,814862,1213425.1,56037.613,3764.435,42338.797
137,26,0.013499999,802728,1237010.9,1482008,1950582.3,842573,1357355.4,77374.55,2281.562,118784.53
143,27,0.0144,1245838,4194304,2147268,4194304,902402,3913957.5,106114.31,78987.43,69328.38
151,28,0.0154,1223275,3172411.8,2050151,4194304,1083498,2725329.8,203409.86,9795.906,80789.04
154,29,0.0155,883310,1293727.9,1307044,2068569,679487,1098191.4,255453.97,-1351.6589,121901.445
170,30,0.0167,1422179,2156335.3,1838326,3083934.8,1217644,1976065.6,330598.22,-1219.5176,231131.2
178,31,0.0173,923999,1169086.3,1168100,1497699.8,556191,689953.6,56929.703,4001.0083,33280.145
181,32,0.0176,546915,735104,1109344,1441560.4,622717,807644.5,43019.82,899.11255,72194.17
186,33,0.018,460935,591499.8,990863,1319254.9,523154,690726.56,37202.426,1488.0837,54558.69
188,34,0.018199999,975283,1488245.4,1787295,2503681,901758,1492326.9,52152.863,2567.9607,110555.62
199,35,0.019399999,555438,928087.3,1592413,2344299,439280,782241.44,152719.47,1333.6306,38796.344
204,36,0.0197,539919,703867.75,1452497,1805084,357756,463202.47,69406.01,1403.3755,118553.664
208,37,0.02,1034599,1449653.1,2049434,2956528,818035,1278230.9,72285.02,4972.0576,40904.93
209,38,0.0201,867717,1309435.5,1211212,1697424.5,779984,1222986.6,86677.59,1785.5773,61130.652
216,39,0.0206,942825,1349489.4,1947101,2883397.8,787849,1225030.8,200146.83,1216.9814,93625.21
220,40,0.0209,648374,923907.94,1542508,2103432.8,408818,612699.8,62432.64,702.1117,39456.176
227,41,0.021599999,830726,1147977.6,1333412,1721648.5,895264,1250021.3,112853.945,85.87427,131512.78
228,42,0.0218,975883,3118177.3,1741231,4194304,929583,2927991,111778.16,12122.912,56025.22
232,43,0.0223,657780,924949,1454329,1824532.8,636364,883147.25,80104.836,-569.5913,66188.04
240,44,0.023,1115659,1553129.3,1681490,2474453,1067198,1612637.1,102038.29,3651.706,60404.535
242,45,0.0231,1463953,2392708.5,2091365,2990081.8,1165628,2073613.9,128358.336,4545.3125,89575.78
250,46,0.023699999,1168923,1904572.8,1905412,2838547.8,1064394,1844574.8,286950.5,2798.628,155430.78
