Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
1,1,0,1457730,2174812.5,1626249,2542994,796233,1319227,187358.38,3488.016,103954.04
4,2,0.0002,699260,1011135.7,1427627,1861078.3,496839,771059.9,137524.28,990.5427,155061.92
14,3,0.0007,658123,944394.5,1019919,1462217.9,491772,770766.2,65249.92,2516.58,30435.527
18,4,0.0009,744525,1142808.4,1383558,1928118.4,653494,1005600,37766.227,4556.332,80030.82
22,5,0.0009999999,673122,936838.8,1371099,1935013.1,438904,636444.6,35201.79,1935.8594,44637.08
23,6,0.0014,939230,1431634.8,1332696,1932328.3,1186428,1833422.8,85543.555,2852.1724,69552.21
48,7,0.0032,1185854,1707630.5,1539824,2210160.5,1105076,1707353.3,69518.17,4748.909,47952.266
54,8,0.0037999998,1623580,4194304,1801615,4194304,1603185,4194304,316819.84,21819.875,184264.03
96,9,0.0075999997,801389,1969931.4,1669800,4194304,824255,1909569.3,85462.695,10045.275,60493.246
105,10,0.008599999,1316846,1975692.6,1532680,2422413.3,1058008,1576560.4,149323.22,1141.6084,283878.7
110,11,0.0089,1547542,2202863.8,1794382,2435314.8,1512978,2228304.8,107076.11,3039.7114,63308.03
130,12,0.0105,1607400,4194304,1906446,4194304,1283724,3962427.8,222822.92,26129.309,283329.47
135,13,0.0112,1521448,2537236.8,1895370,2860416,917997,1668646.8,262908.94,5061.3257,359449.88
150,14,0.0122,967881,1436408.5,1492226,2123306.8,623967,949130.5,47413.26,3323.7144,42314.65
153,15,0.0126,700259,1200679.8,906277,1309160.9,812308,1505105.6,113991.19,812.0808,300109.06
168,16,0.0139,1614673,4194304,2422951,4194304,1189496,4194304,379527.03,9489.666,260560.03
187,17,0.0157,1334045,2130239.3,2018636,2836325.8,852177,1389433.3,100811.23,6135.1504,68007.54
189,18,0.0158,895925,1285123.9,1520212,2209346.5,579015,906281.56,50631.293,3266.8093,54413.992
192,19,0.0162,1061316,1482059.9,1056765,1495981,1108136,1693564.9,107597.27,828.6719,74155.07
194,20,0.0166,1333201,1850880.9,1096478,1607704.1,713633,1084270.3,89838.75,3173.894,60926.81
199,21,0.017099999,652319,882019.75,1324579,1700199.8,440165,634249.7,54970.715,1671.623,51061.86
207,22,0.0175,1048510,1794572.1,2505875,3945918,804842,1548296.5,41194.813,5430.2197,38047.87
234,23,0.0202,1265654,2591185.8,1531992,3958965.3,1098242,2274543,163933.14,6709.451,48274.34
235,24,0.020299999,1000975,2705683,852932,2540632.8,955052,2356545,105622.04,11657.777,72034.85
240,25,0.0206,1323327,3537929.8,2581530,4194304,1038833,2849698.8,124943.85,28263.945,80175.484
246,26,0.0211,1531178,3960297.8,1661986,3770312.3,935608,2349229,189754.8,20876.607,417425.5
251,27,0.0213,1205056,1763791.9,1846994,2727231.5,1229574,1939593.3,190104.14,2801.2566,128881.58
255,28,0.0219,1224175,1833773.1,1865224,2846740.5,874759,1445568.1,154767.1,2172.5178,48439.914
269,29,0.022799999,1130911,1710920.5,1848435,3041037.3,738994,1155168.5,159323.28,4000.1953,63650.03
271,30,0.023,727838,1004424.3,1201281,1596821.4,413510,601685.1,157912.25,1745.8022,86015.08
272,31,0.023,471365,654547,1062113,1339253.1,544998,782434.44,45112.176,2048.6182,42277.48
279,32,0.023799999,840491,1259964.8,1390750,1963100.5,443575,715937.1,83469.73,3802.8054,64655.93
300,33,0.024899999,625501,840987.9,1272079,1620676.3,538539,731278.25,89226.73,2328.7815,33505.05
313,34,0.0262,951885,1369869.4,961920,1400897.1,732980,1144725.5,164250.8,1449.2458,67751.38
324,35,0.0274,1393724,3721867.3,1425833,4194304,877150,2642320.3,231901.61,10201.506,116927.28
327,36,0.0277,792054,2125592,1473221,3723143.5,760558,1659496.6,123959.99,5362.9873,53560.54
334,37,0.027999999,1293883,1859916.1,1541025,2354173.8,1017213,1513772.4,54900.81,2645.7456,192508.31
335,38,0.028099999,1166674,1600961.3,1416518,2198946.8,1042614,1454879.5,58773.418,2487.1487,89481.914
340,39,0.0286,808542,1199020.6,1422781,1922275.4,529130,750789.9,66079.55,1804.0166,45601.746
347,40,0.0295,726229,1018877.4,1123217,1771264.3,640146,966635.2,53378.055,2489.231,34483.184
350,41,0.0296,905367,1293088,1019838,1451478.8,498764,752258.94,53476.59,1891.3856,32135.598
360,42,0.03,1084792,1528677,1701128,2534622.8,945259,1432899.9,157083.58,2572.692,92896.62
362,43,0.030199999,725530,1278646.5,1225327,1921164.8,816304,1460843.1,120644.46,2750.914,103532.74
367,44,0.0307,1558810,2535283,1653949,2441210.8,803632,1560331.9,182056.92,2132.6128,193333.3
382,45,0.031799998,935662,1305922,1141081,1581296.3,1100177,1585197.9,359604.06,-5944.4116,323259.3
385,46,0.031799998,1111865,1752228,1049620,1673337.1,792684,1260524.6,206604.75,344.88843,71854.164
