Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
1,1,0,466376,625970.94,1169904,1442199.3,366353,459999.63,31573.625,1027.2125,8103.812
8,2,0.0008,851889,1213520.8,963516,1498393.3,594575,867477.44,24506.973,5350.214,12639.342
9,3,0.0009999999,511325,706559.56,809200,1138399.6,641512,910102.4,14599.443,1734.7607,5635.183
16,4,0.0018999999,1194532,1645189.6,2021538,2814751.3,911144,1291746.8,37054.17,5627.995,19752.443
17,5,0.0019999999,999734,1282443.9,1410850,1959463.3,522295,741349.5,26756.533,2056.2944,12393.217
26,6,0.0029,877923,1223983.5,1297862,1719643.4,750201,1000618.3,24018.203,3832.4907,21254.172
30,7,0.0030999999,1288984,4194304,1986505,4194304,1095551,4160173.5,117964.92,19755.717,40850.41
38,8,0.0039,1108888,2993646.5,1019974,2020074.3,890028,3043860,44463.96,40755.984,13542.825
48,9,0.0046,743494,943556.25,1262370,1544113.1,483145,594071.6,41855.477,1459.7538,10755.497
50,10,0.005,1085212,2407225,1714529,3836944,870779,1744048.6,32471.377,7858.209,12818.351
56,11,0.0053999997,915856,1221483.9,876975,1322921,495458,724828,41483.137,2566.8167,20103.355
61,12,0.0056999996,559684,725580.75,1395122,1810051.5,417375,574877.7,32530.592,2726.417,9132.609
64,13,0.0058999998,721920,1144953.6,1316478,1966376.9,900767,1467903.9,19803.854,4082.5386,8766.442
67,14,0.0061,688368,944124.2,1095845,1525627.6,400327,573329.5,26459.12,1459.5145,10912.251
73,15,0.0067,1004456,1389922.8,1489623,1977832.1,625731,885222.6,14255.708,5400.2563,9553.252
75,16,0.0069,906633,1329034.8,1956833,2771190.3,737957,1149134.9,84262.99,3147.7295,59887.332
79,17,0.0072999997,984439,1736586.6,1751482,2656417.3,825873,1653635.3,60218.57,5524.74,14839.542
93,18,0.0084999995,764727,1099390.6,1309972,1940504.6,571111,932899,44059.61,4772.044,10546.088
109,19,0.009699999,1131939,2521318,1114027,2705837.3,759183,1560310.5,62455.816,6755.8955,13009.781
138,20,0.012,477017,618179.7,1002625,1278253.8,383017,541501.7,28988.021,1200.9866,14468.762
141,21,0.0122,851725,1131328.3,1332086,1843588.5,494185,697645,11186.951,3531.1074,8883.343
161,22,0.013599999,1119599,1507611.5,1597365,2197444.5,1094964,1499042.5,64113.473,3499.0032,14683.194
162,23,0.0138,896193,1283476.3,1729336,2425453.5,798242,1244925.1,9363.001,6761.447,15546.099
176,24,0.014699999,925714,1257650.6,1295927,1794651.9,1009792,1378547.9,34400.37,3816.1377,9778.378
182,25,0.015199999,952347,1332710.8,1211399,1764137.5,473491,723334.8,79077.99,3671.7183,13374.121
183,26,0.015299999,813244,1281775.6,1268724,1953575.1,752806,1154043.3,33501.395,8534.66,12922.353
185,27,0.0155,731888,1028238.06,1769078,2264931,629673,877030.56,21186.26,3596.1553,12129.367
186,28,0.0156,869812,2197388.5,1207506,2617414.8,847696,2377492.8,25326.121,21874.94,12348.176
187,29,0.0156,472011,628348.2,1122936,1454016,267031,366555.53,169474.5,-1787.4585,135109.2
190,30,0.0158,940866,1352227.1,1241353,1725261.1,928906,1492521.8,42924.797,4413.368,11339.5205
203,31,0.0169,1117845,1722243.5,1305475,2348982.5,809178,1405964.4,35652.55,7618.7905,57330.543
