Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
2,1,0,888863,1518566,2247054,3775734.5,459316,856104.4,34873.406,7944.0293,18987.223
4,2,0.0001,785964,1359373.3,1885398,3087970.3,776791,1556360.9,95338.484,4262.6245,11561.491
9,3,0.00049999997,619656,1054890.9,1364260,2477448.3,444322,871901.1,14715.223,1954.7238,10766.207
12,4,0.0008,381569,541941.2,1225044,1657734.6,194186,299919.3,49435.223,122.30078,16126.1875
63,5,0.0046,481999,1291042.4,2507381,4194304,428554,1303543,150276.05,5397.8857,26579.078
70,6,0.005,661752,2478751.3,2738843,4194304,461828,2154664.3,199673.17,16659.043,10702.957
82,7,0.006,583405,973795.4,1796575,3203429.8,339979,594238.9,60371.56,820.3624,13968.489
92,8,0.0067999996,769155,1178775.8,1738639,2706450,388718,658647.56,77679.87,2177.1682,11486.944
95,9,0.0069,648342,1728015,1661868,4194304,562631,1755002.9,135753.6,5733.2056,19523.715
97,10,0.0071,647803,1858880.3,1688144,4194304,566672,1447955.1,109944.984,5518.6274,8843.468
105,11,0.0079,753934,1095541.8,1787232,2667030,528368,758352.7,8684.3125,1281.8329,15916.376
106,12,0.0079,756782,1267376.8,2178950,3747013.5,419415,769351.1,65440.453,2579.3286,18735.258
124,13,0.0093,737065,1183611.9,1887568,3010081.3,439165,770963.1,48839.766,2758.644,11834.034
128,14,0.0095999995,1407933,3358134,3007996,4194304,968639,2843926.8,213131.23,9252.022,25380.803
130,15,0.0098,464127,666576.5,1768536,2551911,234003,352198.75,23940.578,3334.123,6842.0728
131,16,0.0098,1116392,1850912.3,2137700,3739041.3,1013444,1750398.8,99331.57,5016.493,21209.37
135,17,0.0101,587008,1501514.9,1681078,4194304,398799,1116660.3,39386.285,5015.948,10236.612
144,18,0.0105,988261,1853004,2637310,4194304,628351,1372786.6,152663.38,5064.6553,18621.709
153,19,0.011,966029,1488081.9,1370474,2701790.5,705586,1083788.9,92652.125,2199.051,13287.008
161,20,0.0117,794776,2323528,2654198,4194304,475946,1444279.1,152061.5,11989.838,17997.607
167,21,0.012,629859,982281.4,1643581,2511720.3,550694,866505.1,55866.426,2126.565,9033.019
170,22,0.0122,972871,1797454.1,2763909,4194304,760381,1550840.8,35393.484,6968.991,17032.418
171,23,0.0123,811301,1302124.8,2645478,3962438,786238,1319233.8,17155.451,5457.93,22615.596
177,24,0.0126,598653,973972.4,2232083,3752882.5,456524,802712.94,175773.64,1699.1368,13575.619
196,25,0.0137,1136838,1779084.9,1880302,2949538.5,703271,1162484.6,60812.547,2603.6497,18704.633
197,26,0.0137,456066,737987.7,1392191,2256165,462690,818131.9,35018.227,1480.6143,33388.42
200,27,0.0142,676726,1021658,2057559,3469571.3,697726,1175970.1,57896.54,3375.2349,14540.458
201,28,0.0143,541338,800083.6,1005248,1712546.3,261640,420386.56,66963.3,86.50366,12842.875
202,29,0.0145,598368,840179.5,1798255,2599168,497148,747031,61010.984,1776.9681,16695.297
208,30,0.014699999,693205,1003973.5,2032698,3022469.8,425984,655962.7,38251.31,3151.307,12602.062
217,31,0.0157,909021,1270543.8,1449066,2312408.5,601338,884582.1,71614.95,564.23926,26990.273
218,32,0.0157,749938,989789,1458010,1971235.3,778572,1078328.8,116864.22,130667.414,19595.486
221,33,0.0158,440720,756943.25,849055,1381826.6,506091,962686.6,107257.59,1287.7837,7657.1094
226,34,0.015999999,888143,1450457.8,999541,1705588.8,447910,848703.06,59065.656,1350.7048,23627.088
244,35,0.0173,738708,1888894.4,1533856,4194304,404560,1108894.3,161227.56,5482.6724,16053.905
247,36,0.0175,430666,674567.56,2007934,3327391.8,408549,666122.44,39812.25,2685.5603,11008.657
273,37,0.019299999,1006922,3358243.5,2557197,4194304,859728,3050606.5,402537.38,13749.039,15869.414
276,38,0.0195,509880,728842.75,1631988,2319567,387495,565303.06,91859.336,-445.8308,7374.968
292,39,0.0208,1263374,3686748.8,2696266,4194304,895182,2518762.8,214195.48,16410.57,25873.578
306,40,0.021699999,669419,1076526.9,1740766,2986185.5,309524,541212.44,25790.988,5087.238,11651.383
326,41,0.022799999,782842,1251036.8,1402547,2255615.3,445761,769046.5,145251.39,1568.5913,17769.033
329,42,0.0231,917019,2170194.8,2635731,4194304,517548,1358749.4,127337.53,8886.609,33035.746
346,43,0.024,893547,3332435,2040167,4194304,1182395,3703980.3,168859.19,15751.131,14086.714
354,44,0.024899999,579477,924871.06,1629155,2432878.8,537842,877452.06,85546.89,493.41687,39584.61
374,45,0.0257,566746,848674.1,2302532,3693894.8,473808,750162.9,24204.883,3350.8403,7554.9863
387,46,0.0265,669944,1028841.8,1899466,2796269.8,495949,798079.4,61414.58,899.496,37158.516
390,47,0.0267,497422,705164.4,2244055,3305950.3,455230,647986.75,60191.895,3071.4468,22518.172
419,48,0.028299998,367747,547707,990596,1621361.6,406684,617071.2,64127.848,-231.07275,12220.422
420,49,0.0284,335318,455430.88,1425359,1839881.8,272540,385910.47,23073.273,-183.25708,7118.5854
440,50,0.0298,765203,1114436.9,1786461,2577309.3,620190,947951.2,18520.31,3045.0864,8381.554
453,51,0.0309,1404123,2236202.3,3128232,4194304,992638,1631544,142378.14,12922.1875,50427.133
459,52,0.0311,687587,2293650.5,1891485,4194304,440422,1461693.9,139431.8,8397.822,18510.674
469,53,0.0317,691099,1216869,2475721,4194304,749202,1377622.5,171508.73,4804.8286,21054.457
472,54,0.0319,621589,940031.4,2266616,3362582.5,500784,813597.9,48050.273,3004.1072,13378.482
473,55,0.0319,917899,2779868.5,1842801,4194304,561463,1786356.3,65965.73,10986.059,16269.623
480,56,0.0324,823474,1224562.8,1517887,2527443.3,446516,693242.56,53240.938,1948.8857,24711.377
486,57,0.0328,662194,1003086.1,2211045,3511385.5,441714,734839.2,24248.28,4095.749,29270.236
491,58,0.033099998,610630,874595.56,1343866,1949988.5,628324,997935.75,162593.1,-220.82178,23688.191
492,59,0.0332,556804,950109.8,2160402,3831019.5,390525,726106.2,42993.8,2391.5723,15448.292
501,60,0.033999998,1240969,2264794.8,2197438,4194304,783166,1573039.8,123206.336,6738.8955,24208.107
508,61,0.034399997,662179,940466.94,1687577,2396043,426177,628654.75,152468.17,-1289.5554,7567.4546
509,62,0.0346,472381,716186.7,2035161,3311167.3,321921,486788.1,70862.055,3028.1426,11257.024
510,63,0.0346,636057,1613701,2075471,4194304,500012,1204515,42223.35,8408.242,18942.393
532,64,0.0361,1006148,1686479.3,2596714,4194304,613530,1103419.3,116666.67,6201.997,16910.543
541,65,0.0368,445973,712862.3,1166161,1958822.6,420860,755201.25,8656.683,1683.3737,18406.39
545,66,0.037299998,1203883,1962221,2219931,3945760.5,872875,1521162.8,89238.54,10323.656,33339.99
549,67,0.0376,1012394,2422021.5,2845447,4194304,653945,1880350.3,173319.66,6813.0933,17640.828
552,68,0.037699997,609191,915443.4,2608024,3796962.3,541422,804906.6,50510.273,3720.559,15579.622
577,69,0.0392,897994,1682619,2380938,4194304,569305,1203839,197504.31,4670.2246,13331.997
594,70,0.0401,560325,918011.7,1694780,2512311,285854,501295.63,11258.042,2469.4915,11457.208
611,71,0.0412,650106,1060663.9,1871124,2841500.3,413751,741486.6,48756.406,1853.5142,14693.87
624,72,0.0425,486905,679411.5,1518819,1948650,382777,534062.25,9477.615,-205.24976,6616.719
628,73,0.042799998,634394,996847.8,2064162,3555614.8,375323,650759.06,159854.19,1127.0476,47015.875
679,74,0.046299998,739260,1917203.3,1859751,4194304,583648,1505137.3,65145.973,5027.069,10288.494
680,75,0.046299998,868150,1307338.5,1619852,2702910.5,618659,1032978.5,20701.97,2451.739,28323.963
690,76,0.047399998,319670,438498.56,1269855,1747315.8,294173,412210.72,30807.502,1204.9187,5800.7974
693,77,0.0477,580947,1000018.44,2520360,4194304,468366,859904.5,80065.984,4551.256,7226.017
711,78,0.048899997,912633,1372104.3,1869945,2954809.3,771268,1265811.8,32126.266,3053.4563,10245.662
724,79,0.0502,925467,1270260.1,1793577,2447268,885277,1175524.8,25701.787,2926.7046,15284.11
732,80,0.051,679797,2235402.8,2588120,4194304,539707,1835674.6,75419.164,11569.8125,13850.671
736,81,0.0512,693518,1059092,2254728,3304066,499981,826657.9,8423.898,3733.853,15889.75
737,82,0.0512,621015,1014358.44,1385583,2126507.8,330942,601361.75,40981.285,1639.4446,12464.323
752,83,0.0524,742175,1199098,1895799,3140917.8,494901,893124.7,38638.72,3435.7285,9389.064
768,84,0.0541,768990,1192998.9,1917388,3476160.3,629283,1039377.75,49046.918,4207.2783,55883.098
774,85,0.0545,535342,813078.4,1351063,1874500.5,348801,562151.75,36901.195,784.31726,12252.669
775,86,0.0545,683437,1585443.3,2395463,4194304,448008,1360476.5,107569.086,7197.9736,11315.496
776,87,0.0546,1039860,1652296.5,1539455,2385446,515648,916712.9,38523.77,3319.901,14503.119
797,88,0.0557,329129,777652.1,1700844,4073197.5,334173,885727,106955.04,713.6647,26209.191
799,89,0.0557,1590201,3361747.5,2899538,4194304,1392747,2897552.8,212758.95,10919.5625,23149.322
818,90,0.0569,577103,958739.3,1509696,2336917.5,317249,596692.1,13400.714,1627.4954,13817.451
823,91,0.0572,519481,819900.06,1168474,1801824.9,592297,999476.2,83177.66,764.0934,7803.0283
836,92,0.058,920049,2536663,2398584,4194304,552610,1840762.6,96903.96,11303.908,16526.826
840,93,0.058199998,455638,610422.2,1353096,1852697.9,523985,696226.9,31583.682,621.17834,10059.862
844,94,0.0585,652766,1014670.6,1169879,1832708.6,385603,622371,26950.945,2434.3232,19239.82
849,95,0.0589,622909,957277.44,1907730,3119565,333587,576108.25,20510.365,3120.5273,7291.57
850,96,0.0589,478429,686918.3,1689299,2658256.5,329418,495931.22,33311.94,1102.7871,6844.0283
864,97,0.059699997,472350,667610.94,1216172,1864320,407297,615825.06,29196.775,393.82385,6334.504
865,98,0.0598,502267,1678289,1898793,4194304,469652,1453513,113300.94,4119.184,17538.357
878,99,0.0605,649085,942042.75,797538,1265212,377290,543807.25,38965.96,1271.3491,8154.8125
883,100,0.0609,727457,1118038.5,2125903,3889139.8,404786,660962.2,58018.625,6565.538,8412.243
885,101,0.060999997,619522,1839498.6,1578454,4194304,486723,1236982.5,89710.89,3606.2778,19387.402
888,102,0.061199997,844248,1376535.8,2039133,3378912.5,446301,774454.56,38597.35,4612.382,9215.77
889,103,0.0613,651190,1848242,1761507,4194304,711629,1894617.8,111349.65,7615.149,18730.338
897,104,0.061899997,485728,699551.94,1716150,2520543.3,483586,705926.1,132848.38,-449.9441,9972.675
905,105,0.062299997,894299,1414356.1,2735804,4194304,673850,1126264.5,41683.035,6583.9604,10659.227
907,106,0.0626,463400,1191446.3,1184978,3303572.5,246507,687447,71715.57,1805.0209,12674.962
912,107,0.063,408166,612222.2,2134393,3357076.8,351640,549339.3,61412.813,3997.5068,8104.4604
920,108,0.0638,409824,578816.25,1564253,2342372.3,306961,443958.34,49742.84,432.22778,6032.42
928,109,0.0643,848661,3383811.3,1627370,4194304,770639,3205953.3,137622.23,31620.582,43154.43
942,110,0.0651,1236223,2036306.3,2677926,4194304,685305,1377365.8,193831.53,1173.7352,268735.63
985,111,0.0687,836312,1363070.9,1559069,2499232.5,500575,850663.56,101252.06,2115.0315,11948.401
1002,112,0.069699995,746181,2402571,2467490,4194304,690778,1983028,235714.45,7544.725,29903.664
1009,113,0.07,1083767,1623492.3,2661421,4194304,1009906,1635055.8,121767.88,6233.0073,20289.684
1021,114,0.0709,427633,521369.44,1704626,2310002.3,336719,408746.22,8618.831,1098.0765,7595.864
1022,115,0.070999995,539902,1411787.8,1968669,4194304,456591,1357326,43879.145,7949.7983,17918.135
