Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
41,1,0.0052,826360,1952538.1,2374868,4194304,544263,1690451.5,127817.24,6302.3506,16296.775
139,2,0.0143,650088,1891288.6,1564453,2713291.3,500031,1673069.8,39722.813,15138.631,7502.6606
145,3,0.014599999,832113,3305672.8,2610572,4194304,818652,2902845,204170.47,12337.992,9551.776
164,4,0.0169,663143,981749.06,1694284,2470315,703127,1036935.5,124084.445,238.44263,8403.342
184,5,0.0188,853969,1248605.6,1656730,2358870.3,842861,1233449.1,39275.008,3434.752,15781.508
213,6,0.0206,938300,1431051.3,2125370,3714810,623327,1079557.3,42587.66,5326.6167,13317.727
293,7,0.028299998,525629,720287.75,1400955,1942749.1,571946,793066.8,80830.51,426.62415,7430.268
302,8,0.029099999,1073209,2470286.5,1572724,4194304,766507,2331299.5,118102.07,7681.2617,19495.38
328,9,0.0317,711832,997859.56,1500369,2190795,445268,624418.94,28450.342,2210.7646,8924.345
361,10,0.0354,438374,605456.8,2077318,2733027.3,376085,482125.16,23714.242,2018.5286,8156.066
364,11,0.0357,464901,626988,1083997,1360323.5,538868,701477.94,38915.13,-300.75977,7479.329
441,12,0.043899998,277532,389561.94,1874908,2415931,236603,316894.44,13549.034,903.2256,5161.287
455,13,0.045199998,513172,681266.3,1499112,2185505.3,348833,508489.63,123181.1,-1505.4309,8379.092
496,14,0.0501,551865,696518,1507372,2050826.6,474416,586365.1,16615.04,895.6206,6778.505
515,15,0.0526,992106,1579454.3,1875411,3151005.5,626545,1050899.1,137496.77,4821.16,20918.766
561,16,0.0572,910721,1299015.5,2227500,3558852.5,552803,816890.06,22992.65,4643.2207,24153.559
625,17,0.0639,584800,900489.1,1730144,2357925,329377,536220,31369.46,692.5067,7034.008
646,18,0.0661,1030562,1490927.9,2060196,2952956,719961,1120961.3,122703.695,2014.188,12422.445
664,19,0.067499995,582336,917046.8,1308529,1960319.3,848097,1409562,15767.411,1704.6362,11042.837
666,20,0.0676,1006666,1571243.5,1678216,2627628.5,567053,999506.3,17070.771,4630.423,17937.275
702,21,0.0714,851315,2525695.5,2405451,4194304,556438,1762520.5,86913.055,11451.494,10735.648
758,22,0.0782,802593,1164568.4,1649215,2499909.8,550977,824282.3,41786.73,983.85596,12997.102
782,23,0.0806,512163,772048.5,1258737,1635810.9,285066,461418.13,17415.1,1519.041,10354.028
815,24,0.083,1206035,3038122,1788922,4194304,998820,2918943.8,57202.414,60143.24,15373.253
848,25,0.0865,1520215,2546847.3,2608258,4194304,1086175,1913998.3,49694.566,9984.41,30059.063
956,26,0.0984,1539572,4062266.5,2871405,4194304,1013650,3039468.3,95227.91,63819.746,24271.645
1001,27,0.1033,586251,813817.9,1042517,1482463.5,290638,425667.4,54902.36,770.5453,7373.1553
1068,28,0.109799996,687242,1144372.1,1765165,3152743.5,719489,1251978.9,39984.77,2818.064,11553.652
1127,29,0.116,320345,496948.7,984968,1260737.4,409901,616845.75,11033.506,723.08496,11728.264
1149,30,0.1182,745106,992171.94,474582,670476.6,695586,911746.06,15646.007,12947.689,8500.864
1179,31,0.1209,735228,849509.06,810732,1090860.9,677796,807141.1,42537.09,20539.23,11776.674
1186,32,0.1214,386860,543182,1367065,1677614.1,376598,531863.3,32420.771,-173.88281,18283.838
1231,33,0.1261,662410,1091238.9,1363170,2157260,718741,1272691.8,83860.92,6686.848,26972.414
1279,34,0.13059999,543698,688597.8,1605319,2173007.5,323407,432494.38,36252.69,1353.1816,17625.28
1300,35,0.1335,364152,513356.66,1728577,2365969.3,186927,277838.7,58445.15,2269.3003,8274.332
1317,36,0.1352,806103,1074766.5,2585859,3721390.3,570835,786102,91069.22,2853.7231,11958.843
1351,37,0.1383,753835,1135174.9,2005672,3324463.5,769528,1249212.5,62049.875,6036.0654,8211.817
1416,38,0.1452,664942,959464.6,1682615,2474612.5,380455,574130.1,11509.72,3790.3855,10973.007
1449,39,0.1479,1186229,1720265.3,1545823,2489147.5,754750,1135674.6,43135.348,1518.1636,22651.965
1451,40,0.148,317646,403096.7,1427161,1755224,301767,368935.7,10685.071,55.6709,5016.7993
1622,41,0.16679999,516522,726990.25,2492360,3397199.8,529271,753924.1,75953.516,3799.9683,6603.444
1627,42,0.1677,373408,466960.3,1383417,1823283.3,421917,572168.5,9374.564,460.15833,5562.2173
1656,43,0.1708,1258123,2313670,1818358,4194304,789197,1763179,50374.05,9390.202,23508.602
1685,44,0.17379999,640815,842685.7,1698803,2336439.5,564337,776135.06,9335.381,1170.738,8054.604
1725,45,0.1783,776610,1403078.5,2183010,3388832.5,807063,1629294.5,19692.041,6437.913,12611.501
1808,46,0.18679999,633730,1413263,762494,2109301,703904,1628132.5,42730.656,4197.8574,9814.899
1825,47,0.18879999,765861,1163519.1,2683515,3983540.5,463723,786649,70199.445,5215.9365,12834.519
1898,48,0.1954,1852064,4194304,1489280,4194304,1739615,4194304,244057.78,34625.09,44215.934
1933,49,0.20009999,763313,1115111.4,1994518,2954565,563621,936725.94,42336.582,2142.161,10669.401
1936,50,0.2003,831066,1174231.1,1696960,2152118,451035,665074.9,31081.346,1582.2917,10032.822
1955,51,0.20189999,815279,1299397.8,1891689,3127572.8,925434,1493045.5,89367.91,3011.8386,9319.009
2000,52,0.20629999,963453,1649505.4,2303177,3821685.5,821366,1587347.3,225220.19,4821.775,11094.02
2095,53,0.21589999,444216,1155162.5,1479041,3843816.5,627475,1294220.3,44069.38,5211.08,9307.201
2113,54,0.2175,863848,1351513.5,2147903,3605666.3,912964,1545970,139491.48,7939.592,53608.875
2158,55,0.2234,960086,2242440.8,2044942,4079199.8,776656,1813789.3,133493.08,6334.097,16782.008
2168,56,0.2243,660427,936825.75,2167174,2933750,581801,844328.9,58610.395,378.5586,33677.36
2215,57,0.22899999,735646,1228962.5,2031315,3173730.5,757541,1358461.8,17797.098,5424.8525,8562.938
2249,58,0.2322,454789,569521.94,1221260,1677791.5,555422,734316.75,74688.586,794.1803,6683.6245
2251,59,0.233,944004,1399913.1,1872726,3106768.3,1092325,1644700.3,159749.94,1223.0999,10355.806
2290,60,0.2377,458125,629900.5,1568040,1977668.9,377845,510526.88,26480.066,565.9071,7582.086
2294,61,0.23789999,414108,598161.06,1802337,2597077.8,475743,725330.3,168085.55,-695.28394,36544.15
2317,62,0.23979999,340960,416453.75,1000317,1281861.6,385966,490502.4,29165.363,687.6821,7438.274
2319,63,0.2399,812541,1201616.3,2108581,3077116.5,590030,937522.6,33351.945,6541.6006,10769.431
2330,64,0.2411,720986,1003598.9,1651698,2282061.8,650015,954504.4,67427.414,-53.156006,11744.888
2360,65,0.2439,549906,752289.25,873344,1136606,285664,412280.78,27754.66,992.4678,20841.936
2431,66,0.25079998,620499,1609636.8,1913666,4194304,613480,1532180.5,103305.84,8106.947,9107.686
2485,67,0.25669998,569887,770820.1,2275290,3167155.5,375580,549234.2,32291.803,1937.046,11115.51
2486,68,0.25689998,815802,1154920.6,1694338,2328031.3,479532,709647.94,12533.418,3015.6472,10587.375
2542,69,0.2633,1048471,2438989.3,2192395,4194304,699751,1885161.6,58416.027,8680.723,15991.985
2548,70,0.26369998,476521,683931.1,1863324,2510104.5,371069,540330.6,38704.52,6429.948,5965.5825
2558,71,0.26479998,869518,1237071.9,2316104,3371700.5,965478,1375817.3,58867.395,5811.902,10302.969
2596,72,0.2687,475791,668468.44,1822672,2483145,346491,523017.3,240900.13,-1735.8625,13894.761
2709,73,0.2819,877071,1345688.3,2828077,4194304,679758,1157539.5,123239.28,6542.1177,9976.553
2732,74,0.2841,424021,533981,2109474,2724805.3,400663,490318.88,72512.23,-3.0925293,81843.914
2774,75,0.2882,897884,1356054.1,2616199,3953079,724468,1153257.1,42871.273,4738.5522,11325.418
2808,76,0.2916,957717,1321180.1,1668319,2539373.8,711383,1087868.9,23215.91,3530.3044,11229.176
2870,77,0.2978,627896,1329910.8,1444376,3767846,406155,900854.94,50492.75,2467,8882.581
2874,78,0.29799998,425523,637460.56,1476212,1939718.8,262955,389432.03,77114.79,53.62207,8223.412
2886,79,0.29909998,1178152,2382065.3,1151082,2491237.5,1180995,2504626,30135.242,33178.33,13851.346
2967,80,0.3074,669973,773457.2,1529454,1815538,560657,640616.5,8758.417,824.53503,8576.731
3009,81,0.311,338094,468164.7,1245168,1545200.3,301822,402277.6,7932.1826,1092.0348,15737.465
3033,82,0.3134,906386,2214177.5,1523925,4194304,763157,1761620.5,42631.473,4897.3076,13680.793
3060,83,0.3164,891685,1337007.9,2349303,3731684,1110031,1697770.5,203259.8,4033.3408,15640.999
3067,84,0.3172,1074101,2439345.3,2555870,4194304,882107,1898063.9,140957.72,5936.847,14864.321
3089,85,0.3191,442682,592210.2,1294870,1774939.1,424326,570876.06,27125.342,233.77222,9626.29
3162,86,0.3277,836148,1305989.4,2199972,3828299.5,1128967,1773735.3,96956.88,7455.101,15390.6
3168,87,0.3283,732890,988547.25,1568628,2228709.5,863183,1140501.9,68425.81,2263.0352,11736.566
3263,88,0.33879998,593546,898031.25,1668435,2518669.5,680715,1061618.3,47217.336,2486.0034,10102.428
3277,89,0.3403,1276043,2072693.4,2395169,3780577.5,689522,1240374.9,9279.359,5793.875,18520.404
3317,90,0.3455,827795,1282193.9,1585834,2179071,588793,947433.9,43816.957,1780.7892,18033.006
3330,91,0.3462,907853,1409590,2396668,4088639.5,795499,1302851.3,30925.852,5653.1123,80498.39
3409,92,0.3547,556495,722683.7,1937983,2853453,362140,480761.75,7769.176,1191.4314,17122.047
3410,93,0.3548,520278,780964.25,823992,1338792.6,597943,875115.6,11938.098,1564.1396,6750.694
3437,94,0.3579,495611,700385.44,1623750,2185065.3,331557,473392.66,32956.81,844.76355,7213.3564
3510,95,0.3649,721281,1149297.9,1394529,2257874,831744,1395125.1,79652.28,4188.1123,10975.393
3571,96,0.3706,825293,1289526.4,1449419,2348726,963968,1572925.8,17457.314,4076.3828,11330.408
3576,97,0.3716,550366,741731.25,1485699,2056777.5,461126,656678.75,60383.445,377.15918,7015.2446
3609,98,0.3751,1035375,2591724.5,2468559,4194304,799921,2194243.5,84981.8,9890.475,13978.638
3667,99,0.3796,467277,650168.2,1274564,1809447.3,366568,554425.9,31357.098,600.35205,6054.838
3870,100,0.4008,635154,887958.44,1493164,1929182.8,393693,566198.06,23094.277,789.51294,10393.1455
3902,101,0.40399998,670803,1902563.1,2055895,4194304,680476,1759322.4,157574.11,2783.6382,9658.062
3904,102,0.4043,1266961,2380626.8,2562500,4194304,875361,1723653.1,107567.81,10201.663,22171.654
3994,103,0.412,718666,975778.4,2214294,3105626.8,430313,616729.75,15894.964,3849.495,12548.981
3996,104,0.4122,696767,970190.8,2652460,3935584.3,533317,795432.25,27153.297,6895.1304,8558.15
4012,105,0.4136,545447,777864.5,1998308,3048576.8,484395,722374.8,36459.64,3530.9463,8979.005
4180,106,0.43199998,897873,1309897,1655060,2539636,1012714,1584708.5,75549.86,2714.6826,10932.812
4190,107,0.43269998,564928,1420480.9,2045389,4194304,378273,1041194.1,90150.01,6241.6387,6643.4346
4215,108,0.43539998,674527,941840.06,1665183,2289952,568466,830287.2,26472.604,1510.0244,12897.8
4308,109,0.4448,778121,1161971.9,2420191,4035527.3,528357,845243.5,32291.963,3873.6016,12592.82
4375,110,0.4518,407583,579650,2082635,2702041.8,364438,528188.06,16354.087,2239.6067,12624.3545
4411,111,0.45549998,512953,720047,2309532,3328768.5,330051,480864.38,68247.08,2507.206,12055.485
4468,112,0.4603,518803,713344.75,1620455,2245367.3,297901,418582.72,26135.104,3201.8848,6916.558
4510,113,0.4648,1178741,2290441.3,2846605,4194304,788558,1828119.8,162588.61,7722.643,15016.959
4615,114,0.47559997,791911,2236668,1351900,3658106.5,582703,1673694.5,66337.66,7206.7896,9399.74
4720,115,0.48659998,732324,1882133.8,2503127,4194304,629695,1652205.5,65992.766,8415.518,8674.597
4749,116,0.4894,1007511,3039531.3,2196397,4194304,812004,2597314.5,200252.27,11022.553,14233.743
4934,117,0.5075,833986,1162900.8,1712978,2461739,542607,837739.8,9435.511,2822.855,9540.296
4938,118,0.508,521254,758117,1911532,2753898.3,643961,964719.25,53603.887,3089.0378,40136.953
4949,119,0.50909996,491233,622884.7,1340387,1838953.8,307187,383870.6,48344.563,56.137207,38241.96
4956,120,0.5099,926076,1388715.3,2591914,4194304,666590,1060822.1,47348.797,7340.1504,10353.237
4958,121,0.51019996,223647,313300.97,1012889,1205322.1,257690,379907,12632.765,-870.18823,20684.691
4970,122,0.5117,1061787,1611395.8,1558957,2630092,1014757,1696344.9,71930.86,4051.0908,14131.799
5009,123,0.5159,559776,826833.06,2408923,3495829,608227,966992.8,49829.363,3209.5068,60263.156
5013,124,0.51629996,289118,357997.8,1444918,1756621.8,199442,257032.77,18555.418,-1216.6389,11211.357
5053,125,0.5208,799187,1187605.8,2865714,4075596.3,620582,937894.2,40735.293,5081.328,10919.603
5061,126,0.52129996,922495,1320467.9,1965401,2798238.3,949731,1444850.3,28868.89,3323.1787,11542.907
5064,127,0.5216,524037,728568,2060748,2870105.8,416613,626726.3,58161.703,1974.9675,7615.3228
5090,128,0.5239,633321,840386.06,1206142,1737231.6,484233,693454.06,25291.904,641.36633,9912.907
5104,129,0.5254,686949,879945,1465840,1868238.4,736560,912499.9,78331.78,-1171.645,7914.4175
5115,130,0.5262,1233574,1934045.6,2615251,4194304,791306,1343104.8,94258.57,5603.714,34965.188
