Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
8,1,0.00049999997,580660,844082.75,1890765,2820461,324672,486429.34,33558.156,3670.019,7597.69
11,2,0.0007,683489,1067960.3,2154766,3353424.3,502446,844450.6,112437.414,1635.0479,9747.663
57,3,0.0045,776542,1241633.1,1779985,2946830.8,533003,901712.1,23211.604,3901.2139,9821.883
67,4,0.0050999997,1551770,3840001.3,1246157,3456539.8,1328855,3040514.3,75155.98,32096.742,24085.77
111,5,0.009,913510,1573897.6,1636917,2850769.8,858984,1584101.5,70827.555,8356.426,29867.498
118,6,0.009699999,559983,785966.25,1314338,1874177.3,355482,504434.25,29940.094,750.53235,11073.743
120,7,0.01,357693,492021.44,2078854,3076697,241561,341634.03,12310.638,2173.315,6363.6733
162,8,0.0139,483815,708471,2132436,3409149.5,346646,512198.22,101289.36,2581.618,9138.001
171,9,0.0145,658292,995567,1986484,3020502.8,363020,565505.06,97214.875,2969.7031,10155.549
185,10,0.015899999,560948,909975.2,1381987,2231170.8,267814,490453.2,85597.23,814.17017,26503.182
311,11,0.025799999,733503,1111781.4,1972960,3459570.3,445043,700999.9,60140.86,1856.7904,9793.446
359,12,0.03,353736,452387.63,1493633,1849425,314118,368913,19458.904,836.34656,7966.3037
363,13,0.030199999,861833,1437556.5,2393183,3931094.5,925287,1644350.3,67919.99,4953.7935,23831.387
371,14,0.030599998,581378,1412889.9,1964722,4194304,478130,1361509,93948.555,4653.469,9091.69
377,15,0.031,402270,553262.8,868395,1303774.5,427403,631871.2,21523.43,-122.41748,6354.768
379,16,0.0311,494099,733151.06,1678760,2397975,435914,674010.9,47554.93,-105.791504,11080.819
390,17,0.031999998,849724,1280820,2304399,3694906.3,454122,735310.94,52386.863,5904.25,11044.342
391,18,0.0321,556836,774212.4,1434059,2060438.4,535295,705176.75,16168.965,1187.7775,9350.91
411,19,0.0336,310415,419505.34,1234436,1799770.4,203688,284562.25,13361.397,-248.53589,12842.411
413,20,0.0337,605091,952384.75,2241647,3284387.8,373611,588853.2,110248.28,2697.182,12185.115
435,21,0.0354,704439,1066875.3,2126237,3105295.3,486304,770618.6,29766.525,3864.2222,8497.257
442,22,0.036,272504,363986.7,966143,1252351,277915,364640.47,10430.394,-803.5327,7732.704
472,23,0.038599998,556005,1543508.3,2434469,4194304,367877,1171598.8,137946.97,8897.15,8908.085
479,24,0.0391,403493,556741.7,1431614,1953735,261596,372338.47,177789,-2776.871,7180.7217
487,25,0.04,550011,845802.1,1704866,2800752.3,549574,873694.4,24835.748,4541.5127,8872.528
536,26,0.043399997,729611,1043077.9,1358049,2251168.5,402351,598068.7,99409.72,1088.2363,31855.904
565,27,0.046299998,745737,1766984.3,1909669,4194304,467249,1268949.6,103244.234,5423.7314,8636.494
574,28,0.0469,443153,606305.1,1804731,2523453.3,272850,378195.25,33914.027,1859.3494,8546.656
594,29,0.0486,834403,1228491.3,2433611,3759742.5,585351,892298.56,67963.38,4490.565,21240.97
598,30,0.048699997,596265,876277.06,2382887,3672216,463389,738422.9,29016.672,5649.858,10203.311
599,31,0.0488,405034,547792.8,1229381,1588476.1,423757,571615.75,90423.625,-1239.7122,11301.486
615,32,0.0499,477228,737447.2,1385515,1913537.8,495057,725600.06,37818.543,126.12695,8813.395
656,33,0.0525,684971,2080240.1,1839087,4194304,617710,1832209.6,111668.9,4899.5815,16580.729
677,34,0.0545,1069624,1714439.6,2197855,3691560,724154,1312416,85896.98,4329.842,24434.432
699,35,0.0563,443736,1180582.6,1389496,3151667.5,376590,828386.2,23557.922,3476.6807,6876.2227
711,36,0.057299998,1122264,3496500.8,2424059,4194304,747833,2481046.8,160694.63,13045.195,13282.408
741,37,0.059699997,907790,1437425.4,1708018,2796105.5,574723,1034455.2,14526.988,5369.699,22297.363
755,38,0.0609,577859,815422.2,2153158,3394695.3,408194,591368.8,180143.94,-226.93335,15025.717
773,39,0.0624,682819,1380519.3,1727308,4194304,495804,1256138.8,79974.46,6733.563,9344.134
781,40,0.063099995,763735,2199825,2129717,4194304,625812,1632768.4,108804.89,8677.931,17911.846
783,41,0.0632,586582,942570.7,1985840,3423500.8,331378,568415.6,37840.41,4296.635,8690.214
791,42,0.0639,981497,2334178.5,2406536,4194304,735654,1946825.8,145581.05,6820.1694,11509.188
797,43,0.0645,617800,838251.5,1773470,2360602.5,418265,559660.75,47415.063,1127.5223,7536.623
807,44,0.0652,384820,547458,1270279,1772182.1,274222,415739.44,30156.12,979.6456,6365.2017
819,45,0.0656,396396,561803.9,1475481,1959935,312709,423882.06,54244.63,-784.36255,8556.025
842,46,0.0672,944816,1476537.8,2852350,4194304,739240,1239316.8,34659.348,5568.383,21842.54
886,47,0.0711,600126,841183.44,1904996,2871247.5,802617,1023355.5,78259.195,3019.9268,13264.108
909,48,0.072799996,1109853,1725496.4,2533438,4027227.5,1402029,1960317.8,37564.64,11739.475,13472.823
929,49,0.074099995,452098,1156247.6,1874862,4194304,479632,1089912.4,124368.555,2894.1548,8026.733
949,50,0.075899996,706575,1002602.8,1727023,2707184.8,448653,701847.5,55269.074,530.9912,8043.746
967,51,0.077199996,766278,1228952.3,2554942,3779387.8,763483,1280364.9,110606.53,4490.839,22471.643
974,52,0.078,882054,1409726.4,1702209,2931326.8,756720,1285879.9,28866.023,5085.3823,17054.705
1007,53,0.0804,665194,1148553.5,2616030,4194304,486168,904760.7,139943.22,6220.54,10273.932
1023,54,0.0815,322352,470442.5,1953712,2742062.3,301332,460062.06,81903.42,1492.5613,7742.3384
1027,55,0.0818,621928,1006370.4,2317733,3775596.8,342068,607937,50261.37,5604.3496,11448.741
1036,56,0.0827,460148,1894573.8,2341977,4194304,431137,1459916.5,80793.71,7026.634,10121.907
1082,57,0.0862,913367,1414926.1,2672448,4194304,594834,1023915.7,53532.402,5933.315,10513.7705
1114,58,0.0888,566541,842684.94,1891218,2589914.3,276928,452531.38,30368.146,1778.1697,13325.599
1122,59,0.089499995,299553,395642.53,1363409,1800821.6,275188,361108.3,227632.67,-4624.859,8306.945
1126,60,0.0897,765842,1740520.3,1840177,4194304,408737,1068673.5,204462.36,4920.487,17880.29
1157,61,0.092099994,580124,808447.25,1366730,2091633.4,328259,490348.25,7472.578,1849.6924,10917.722
1171,62,0.0933,615195,1038536.9,1657646,2389983.5,308413,559985.56,7633.9883,2743.8823,7123.323
1196,63,0.095,961314,2141997,2580634,4194304,740535,1998994,37751.816,9798.23,11167.387
1202,64,0.0954,366346,521317.13,1042811,1510886.9,425553,604376.4,25415.71,2087.4595,6372.2227
1205,65,0.095599994,632532,1442883,2296215,4194304,676342,1340305.4,165939.39,5490.1104,7819.1064
1207,66,0.096,748357,1163189.4,2116869,3127061.8,491123,800871.94,66314.71,3549.4333,70232.58
1210,67,0.0962,898894,3327304,2237976,4194304,689058,2524897.5,247354.34,12697.498,11812.052
1223,68,0.0973,708830,1819182.5,2185217,4194304,399804,1194010.9,35701.73,7647.8325,7969.098
1224,69,0.0975,341474,461435.78,1146256,1429560.5,225665,301399.38,20383.846,227.0376,6633.677
1235,70,0.098699994,381578,558549.4,1262481,1997177.8,418582,608112.9,46380.086,610.2554,6418.1074
1270,71,0.101399995,968424,4131774.5,1261217,4194304,1432798,4194304,187617.34,34907.887,20147.758
1282,72,0.1024,769182,2234821.3,2440646,4194304,609698,1615533.6,110036.75,13749.816,10483.21
1287,73,0.102699995,652342,1074004.1,1799193,2831936.8,474395,855775.7,52243.74,2639.3884,15243.436
1290,74,0.103099994,426809,654149.6,1294322,1709551.9,307607,470714.9,15235.618,337.18494,14064.383
1304,75,0.104399994,570999,1279338.4,2038105,4043111.3,349599,739516.75,64194.867,7889.9814,8186.9946
1346,76,0.1074,424644,609949.44,2060491,2979394.5,240216,361168.75,39462.414,2909.9827,7791.4155
1381,77,0.110199995,940142,1370009.8,2295153,3674446.8,795103,1121366.9,46494.402,6120.422,15825.414
1389,78,0.1112,878360,1310483.6,1974557,3094503.3,690409,1065420.6,30497.045,1385.3315,11486.309
1449,79,0.1158,1361094,2847207.3,2216747,4194304,774035,1775312.5,136682.64,18344.146,25907.057
1459,80,0.116399996,841268,1301803.8,1602097,2695434.8,725594,1212923.1,127442.44,2129.2312,10004.283
1520,81,0.121199995,812255,2346607,1979477,4194304,548401,1602358.9,571174.94,-2153.7002,125735.26
1545,82,0.1235,460198,725137.5,1616178,2511716.8,440097,730565.6,47535.402,539.7136,11477.3
1571,83,0.1256,465364,1110786.5,1987480,4194304,262600,712132.56,53103.145,6650.442,7600.234
1602,84,0.1284,686154,1114461.6,2354317,4194304,487162,858433.8,48621.12,4507.341,178040.48
1617,85,0.12969999,1020211,2748014.5,2082789,4194304,970299,2715011.5,129273.984,16242.367,17064.7
1641,86,0.13149999,446768,669647.5,2255079,3237106,384713,577695.7,24045.883,1974.6937,17273.01
1645,87,0.1317,459271,1226682,1800030,4194304,423566,1012606.75,165886.31,4884.9893,30146.336
1654,88,0.13229999,992604,1838288,2298387,4194304,1024929,2013396,143676.88,9216.943,26193.514
1661,89,0.1331,479287,630146.56,1942808,2621767.3,433620,531423.9,32789.55,3499.3782,10732.154
1687,90,0.1354,798849,1391394.3,2264615,4194304,480120,933148.56,104597.91,6703.3506,12602.534
1705,91,0.1364,713498,1088538.8,1900877,2880844.5,368701,605487.6,148725.69,-357.98535,9468.652
1717,92,0.1371,623831,878963.2,1911980,2963801,359162,533872.9,28408.559,4143.699,23220.385
1739,93,0.1388,349564,500998.28,1353482,1934067.9,180773,287904.72,17516.873,257.27173,6013.4224
1746,94,0.1391,660965,966708.06,1768076,2714539,406795,662215.56,81256.76,422.31506,10692.165
1749,95,0.1392,697386,1893039.4,1564656,4194304,398829,1232371.8,98904.26,8480.327,8326.276
1782,96,0.1418,967771,3370544.5,2443353,4194304,865367,2661240.8,101071.19,17533.166,11318.897
1816,97,0.14459999,1255091,2069612.5,2463361,4194304,637806,1179584.5,361779.4,7734.352,36815.844
1823,98,0.1452,676424,984703.9,2123002,3446179.3,515014,802223.4,180860.53,1289.5178,38052.234
1829,99,0.1457,1210708,2683954.5,3039140,4194304,797171,1901470.6,273221.16,10757.99,14039.18
1832,100,0.1458,314321,398012.78,1494619,1994701.4,183137,237956.53,34224.54,1121.6807,13340.239
1894,101,0.1501,661818,1850642.8,1957124,4194304,387916,1085356.5,30330.072,9266.037,8193.333
1898,102,0.1503,626697,864131.44,2495203,3700874.5,520078,747680.9,44637.94,5475.8022,11577.023
1906,103,0.151,712973,1445257.3,2054097,4194304,868773,1815158,70689.86,8624.9375,26123.838
1911,104,0.1514,376479,567851.06,2163109,3448658.8,335616,519682.63,48850.527,2865.0671,5600.923
1929,105,0.1525,1291942,1945498.5,1844225,3250984.5,783780,1260776.3,71999.8,5552.5967,51401.746
1953,106,0.15439999,366175,529371.1,1351642,1945242.5,424379,635001.4,86665.86,-960.3635,20263.773
1964,107,0.15519999,626253,1010457.75,2565257,4194304,498545,854210.7,36292.3,6454.4243,29674.744
1967,108,0.1555,1019938,2398500,1109959,2264189.3,601586,1417473.8,85318.56,5763.077,13862.739
1981,109,0.1563,911281,1547367.5,2802823,4194304,577984,1078027.9,103202.375,6975.9746,22851.88
2010,110,0.1584,773774,1353160,2533061,3913330.5,689034,1269963.8,104305.86,3298.783,13538.601
2017,111,0.159,423842,586442.4,1523711,2078488.4,260436,373722.56,20932.07,548.3546,5868.639
2018,112,0.159,478678,665136,1810035,2397755.5,490784,692571.2,53994.1,613.28906,9269.138
2028,113,0.1599,575884,859639.94,2438630,3929672.3,419956,653812.1,30923.52,4896.5005,9171.362
2050,114,0.1611,732088,1150346.9,2027047,3036649,508289,851014.9,87766.914,3239.9697,10718.861
2069,115,0.1628,570062,742074.8,1974082,2819331.8,330151,441778.22,31413.139,3933.2605,12625.47
2081,116,0.16409999,965063,1527881.6,1982646,3517259.5,651052,1078691.8,61074.285,3961.5151,11042.827
2082,117,0.1643,667844,934911.06,1902104,2785554.8,491758,749174.9,19969.566,2112.2874,16530.494
2084,118,0.1647,498046,729406.25,2135347,3349854,412393,647516.2,42061.344,3323.6536,6906.758
2090,119,0.16499999,932541,1518545.8,1090173,2002550,1087915,1929171.5,10458.998,3200.7095,23526.602
2103,120,0.166,646502,1262061.4,2516887,4194304,548413,1205835.1,123486.3,4645.913,7978.166
2104,121,0.1661,447048,651477.94,1652243,2674613,309190,506343.75,20330.496,2243.4187,7623.3335
2107,122,0.1664,875416,1211805,2108466,2835471.5,785279,1030594.9,16770.38,3644.967,73893.06
2126,123,0.1682,503027,817813.8,1739541,2832078.5,549798,916858.06,11487.442,4536.823,8536.15
2147,124,0.1698,1435975,2959111,2821204,4194304,1060846,2293235,289348.47,11630.5625,21679.756
2150,125,0.17,588789,840586.3,1843371,2594030.5,375530,535031.7,115763.09,-140.17676,8615.023
2188,126,0.17359999,404672,584222,2035171,3029975.8,328371,494424.72,23058.46,3377.278,8207.981
2190,127,0.17369999,410299,590804.75,1123350,1343205.9,225697,341481.47,10896.611,287.4026,10946.886
2193,128,0.1739,632985,1018060,1353833,2323863.3,333295,579775.9,24880.834,3814.5454,17131.328
2198,129,0.1741,409328,573200.2,1553523,1990623.3,317960,450787.28,130873.01,-1793.731,13196.446
2229,130,0.1771,433829,637058.56,1499706,2027813.8,476561,713210.25,12302.398,833.666,7978.1367
2231,131,0.1771,764630,1150492.8,1092518,1663421.3,391575,665630.44,41592.42,718.21655,13169.693
2234,132,0.17729999,434700,882556.3,1236274,2113106,430557,825250.75,99587.21,907.7345,21983.19
2252,133,0.17899999,701808,1035739.1,2025218,3257638.8,370732,577122.4,112048.984,3884.2476,7913.332
2255,134,0.1792,654334,953569.5,2593303,3832344.3,534039,803878.56,86943.05,3860.2913,7531.6597
2266,135,0.17989999,352219,461247.38,1687095,2347136,284199,366330.6,8196.812,2597.6829,10294.724
2270,136,0.1803,691960,1517061.8,1287133,2659911.3,787317,1733168.9,39855.645,13173.051,11180.797
2331,137,0.1856,793772,1037254.6,947625,1281701.3,592167,793266.6,23911.844,9567.227,9291.265
2367,138,0.18789999,1440491,4194304,3185841,4194304,1082421,4194304,259948.05,22564.63,22195.725
2396,139,0.18969999,1106241,1436366,1195599,1657723.8,619526,827538.9,67926.59,49115.87,25962.713
2405,140,0.19039999,400441,561804.94,1833831,2556759.3,307507,455939.03,41926.78,1165.4231,6760.6396
2411,141,0.191,314819,405353,1279489,1640905.9,206687,265843.66,41774.723,-1613.3127,6376.4346
2424,142,0.1918,456168,613518.06,1361321,1790507,257214,357992.4,29364.014,1022.77014,15647.334
2453,143,0.19469999,483597,690436.7,2172486,3003640.5,359367,525301.6,13192.74,2784.5508,8639.143
2461,144,0.1951,871521,2504254.3,2704435,4194304,660798,1935629,63063.23,10171.609,10069.499
2463,145,0.1953,979257,1521068.5,1814793,2778709.5,569574,933692.06,131196.28,3767.9946,11682.174
2480,146,0.1964,1127784,1618253.5,2397316,3897991.5,759610,1215918.5,65318.793,3815.2744,16691.043
2486,147,0.1968,638763,1623094.9,2238427,4194304,468032,1091006.5,51551.203,7286.294,8359.556
2497,148,0.19759999,718665,1165404.5,2436712,4011518,411854,792394.25,30461.906,4372.525,15517.689
2517,149,0.19919999,1007333,1710534.4,2464909,3961060.8,989940,1746519.6,45908.957,5414.368,11315.778
2521,150,0.1994,1115318,1837070.8,2698760,4194304,897683,1621804.3,76394.305,5169.7705,17402.723
2523,151,0.1994,780649,2300014,2191835,4194304,623915,1873151.5,282867.03,5889.392,10521.754
2525,152,0.1995,1006893,2887113.3,2488592,4194304,957361,2384711,106646.7,9203.708,11132.691
2526,153,0.1995,474785,1485373.4,2147054,4194304,604650,1518757,57792.86,5987.954,7608.119
2546,154,0.2007,849762,1200568.4,2402617,4039919,930866,1327198.4,54180.51,3260.5125,14612.893
2563,155,0.20179999,1009984,2058946.6,1816610,4082364.5,771329,1618852.4,91428.57,4781.3203,13655.475
2578,156,0.2025,414824,681589.25,2100190,3603474.3,481369,802458.06,102940.69,2876.4028,10541.3955
2622,157,0.2056,904662,1994525.6,2976736,4194304,636006,1571516,54472.625,6876.841,20255.496
2650,158,0.2077,978332,1418999.3,2098949,3248669.8,616209,942620.7,15536.595,5628.001,33348.01
2652,159,0.20789999,1053621,2562612.5,2968563,4194304,953737,2482282.8,169575.81,10953.781,13828.077
2689,160,0.2113,1546927,4194304,2026345,4194304,1338021,3722065,261221.66,12547.443,46764.313
2694,161,0.21149999,501131,1348033.4,1666945,4194304,542875,1456317.5,177871.92,1043.2961,21405.926
