Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
4,1,0.0001,669099,1049155.5,1933392,2986141.8,474247,796728.4,24415.604,8695.492,12141.177
6,2,0.00029999999,929474,1817550.3,2561132,4194304,614809,1465160.5,68603.71,24145.195,10391.746
7,3,0.0004,453460,673676.75,2406931,3450467.3,339536,521795.72,65585.945,10151.814,10529.321
8,4,0.00049999997,617544,1514737.5,2586485,4194304,464618,1004675.25,164704.27,18535.135,11966.78
19,5,0.0013,1179806,1631890.3,1728479,2505765,1097294,1434858.4,33515.95,36736.86,17044.424
26,6,0.0018999999,841349,2400672.8,2501834,4194304,863233,2494329.8,103139.3,30350.982,13819.351
44,7,0.003,679103,933743.06,2099775,3026592.8,385772,570116.44,46977.34,11319.383,7539.753
66,8,0.005,1037424,2442694.3,2980072,4194304,946885,2023319,43009.297,26697.16,23054.646
68,9,0.0052,454576,651862.06,1915690,2461792.5,341951,495982.56,13232.641,6576.986,8939.182
72,10,0.0056999996,554919,814698.06,2381890,3333429.3,520101,727722.3,39084.87,11711.055,8643.686
73,11,0.0058,431359,593134.94,1796894,2516919.3,462845,677166.5,139662.2,6102.3193,9191.606
84,12,0.0066,982051,1565090.5,1705139,3144180.3,847874,1441445.3,79173.83,15677.92,16160.711
92,13,0.0072,838435,1768387.8,2008955,4110124.5,727521,1800095.6,144869.83,19481.355,9234.263
93,14,0.0072,817647,1264921,2667809,4194304,699792,1087349.3,38777.965,16291.551,9103.549
129,15,0.0099,665450,1029011.94,2182671,3262634.8,698571,1212291.4,123049.69,14259.473,10976.975
134,16,0.0103,487638,1511632.5,1174874,3492798.8,625796,1872054.9,160959.92,20469.549,7043.424
147,17,0.0116,1070465,2067474.5,2737601,4194304,1154311,2087247.4,359914.5,26826.121,26977.965
155,18,0.012499999,763356,1276998.5,2729864,4194304,461260,878105.1,77081.21,18502.484,8271.967
165,19,0.0134,892892,3191267.8,2492466,4194304,691175,2408160.3,126777.875,42257.63,12066.981
167,20,0.0138,560811,866012.44,1066797,1644002.5,289738,497837.2,29493.135,8890.107,10913.543
227,21,0.0186,1181039,1997972.5,2593169,4194304,795238,1476052.9,68641.87,22462.111,15537.648
228,22,0.0186,568856,806714.9,1571943,2244392.3,435742,657025.8,90057.73,5697.5156,11434.41
234,23,0.0189,612173,900883,1919561,2738411.8,662450,956875.75,43451.125,8519.135,10538.455
241,24,0.0195,1137054,1928700.3,2445327,4194304,742033,1267832.3,139520.84,41096.17,21620.168
249,25,0.0199,470355,733389.94,1094995,1481297.3,580365,927834.56,33193.004,6768.7935,7765.7676
