Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
6,1,0.00049999997,496209,721842.5,1464871,2061974.5,340184,513799.06,28118.457,657.72534,13984.043
7,2,0.00049999997,807594,1192852,1641155,2868908.5,929715,1409825.6,49571.387,3519.893,9125.904
11,3,0.0009,686349,1019270.9,2439469,3593039.3,469534,731147.4,57280.016,3517.5408,7685.9063
13,4,0.0011999999,656147,1036555.06,1938690,2950902.3,355566,616143.75,45641.473,5452.8804,19236.99
20,5,0.0015,642625,1457198.6,1135505,3289200.3,679563,1474007.9,64614.15,5912.257,18584.027
23,6,0.0018,736175,1124947.9,2232062,3336270.5,516627,786017.1,125462.26,2823.7358,11323.301
40,7,0.0026999998,933430,1387184,1886943,2809520.5,863356,1367366.6,92406.87,2014.5334,13863.02
64,8,0.0045,1490837,3790123.3,2415840,4194304,735934,2131305.8,83139.984,33045.78,23204.408
69,9,0.0049,862110,1521932.8,1612475,3098675.8,834577,1496118.3,125894.64,1154.2181,112657.945
79,10,0.0053999997,551307,871410.5,1464938,2448867,287135,489126.66,54651.09,1337.3717,8624.856
88,11,0.0061999997,610549,925959.75,2204818,3580515.3,356636,571726.06,173064.39,1195.2671,9520.257
93,12,0.0063,338319,429663.56,1558250,1964985.3,219112,271477.28,18574.146,255.96216,9336.449
97,13,0.0066,815897,1135995,1834664,2856516.3,465370,683936.3,60640.125,3082.8975,12724.609
104,14,0.0069999998,758596,2144234.8,2590576,4194304,826952,1987038,102405.2,12273.08,14160.157
125,15,0.0084999995,1285456,1994373.5,2442912,4178675.5,928419,1511148.8,76234,7735.2827,17069.902
128,16,0.008599999,1085922,1698721,1859558,3198132.8,704231,1197159.3,54334.848,2627.789,22038.375
147,17,0.009699999,597519,820812.7,1736500,2557201.8,525024,744803,15706.728,2639.8381,6846.1743
170,18,0.0116,589865,959104.4,2402390,3514540.5,645768,1119093.8,58173.344,3103.6045,10399.029
174,19,0.0121,788046,1267939.1,2363277,3942907,435937,751968.1,34982.75,7099.4165,11800.927
175,20,0.0121,1107353,1764475,2299096,3660734.8,682215,1155947.9,54708.137,6426.925,21667.902
182,21,0.0126,410444,576294.4,1502390,2241613,429717,586854.06,52997.965,1184.1752,16937.742
186,22,0.0128,371317,535316.94,1281301,1670958.5,407830,604265.25,91503.6,-993.45483,7277.2354
188,23,0.0128999995,877249,1311132.1,2341447,3893572,706092,1094560.3,68992.84,4771.657,14628.462
191,24,0.0132,545046,925662.5,1498546,2747336.8,410223,764722.25,75683.55,1896.7339,12062.207
204,25,0.0139999995,806061,1199201.4,2034633,3268807.3,611991,934423.7,80893.88,2055.8389,10074.723
205,26,0.0139999995,590651,914025.06,1870597,2838869,529813,841171.4,47805.35,2800.728,15776.493
208,27,0.0144,412468,532982.75,603725,841761.1,395604,528239.7,16312.225,14841.496,30186.459
213,28,0.014699999,481190,677795.06,1242466,1772018.3,214576,329133.97,20707.611,1663.251,9313.648
224,29,0.0150999995,893430,1667390.8,1957190,3946282.5,536520,1201120.3,146383.56,11605.137,11655.601
227,30,0.015299999,616111,853884.75,1367076,1910985.9,349349,502721.88,27927.361,412.06763,14761.791
228,31,0.015299999,813302,1170625.4,1439968,2198259.3,762526,1091894.4,43862.2,2923.5415,9974.145
231,32,0.0154,451507,689600.75,1877124,3119457.8,421615,659462.94,43476.473,3801.1968,6726.966
241,33,0.016099999,451249,1142901.6,1774984,4085340.8,367822,773238.9,56241.215,4979.442,7358.8765
247,34,0.0166,582328,831535.4,2031593,3024524,657747,919918.44,91517.07,2207.7573,13130.523
253,35,0.016999999,604212,941953.56,1942590,2935517,341079,591654.3,9194.508,4445.176,25948.703
286,36,0.0187,558483,784718.2,1238141,1673282.5,500726,705448.6,76083.086,-118.94922,24866.307
296,37,0.019399999,460419,1255376.8,2461529,4194304,540573,1220780.5,157354.38,5750.3086,14859.759
310,38,0.0202,527760,717762.06,1556997,2137963.8,398582,558045.1,49545.39,498.5603,8576.255
313,39,0.020299999,511004,663645.2,1331091,1698505.9,376540,503206.72,20675.998,-571.3782,6367.1807
330,40,0.021399999,697063,1169619.1,2054194,3304912.5,456805,820525.94,21348.648,3089.078,8703.642
344,41,0.0222,838615,2608916.5,742106,1695557.6,717053,2325471.3,155002.97,159884.61,68710.49
358,42,0.022799999,967463,1578388.9,2811073,4194304,508880,914133.6,75936.84,5236.6436,22711.543
370,43,0.0233,1071201,1535476.9,1409216,2346049.5,614720,902227.8,29941.184,3523.0454,13627.633
371,44,0.0234,1158862,2924675.5,3103184,4194304,897483,2541094.3,100901.16,14805.6875,41970.125
376,45,0.023599999,679411,1004693.4,1452384,2154471.5,410334,623576.6,19272.006,2173.1025,10424.217
377,46,0.023699999,427125,925455.9,633770,1539493.4,332865,851841.06,10293.334,14017.5,8172.2124
380,47,0.023799999,862904,1642645.3,2478946,4194304,798946,1642851.9,39827.805,8758.384,9331.951
382,48,0.023899999,1035990,1684668,1715294,2988870.3,569471,1007359,105074.555,4362.493,23356.846
389,49,0.0243,893726,1222503.5,2395287,3794833.3,758023,1079918.6,19679.676,4445.1924,20434.29
391,50,0.0245,842842,1351202.1,1868073,2871526.5,487012,862870.44,23876.625,3768.438,12823.586
402,51,0.0255,560669,786245.75,1666189,2531954.3,504135,714911.2,26090.451,1709.9836,9188.592
404,52,0.0256,580808,885343.44,2469756,3712167,481079,741583.5,100387.15,3764.2021,17314.176
414,53,0.0263,549807,920152.4,2353770,4194304,415892,725712.56,55056.496,6075.797,12095.725
419,54,0.0266,508490,792158.94,1492414,2411149.3,284380,462947.22,14855.0625,2157.905,11160.767
425,55,0.026999999,360915,504845.3,1880807,2702790.5,204971,287457.53,68987.34,723.1167,12845.018
435,56,0.0275,828043,2029666.6,2440516,4194304,622776,1516069.1,68050.555,9765.359,12664.314
445,57,0.027999999,781271,1308093.3,1988867,3256944,392459,719000.75,43006.926,5688.008,8885.019
446,58,0.027999999,777315,1575673.5,1789987,3706864.3,604017,1399107,125044.99,3022.2593,32265.998
451,59,0.0285,810524,1182069.3,1975321,2951433.8,462941,752203.5,403254.66,-5061.382,25449.17
456,60,0.0286,687258,1059144,2465738,3852790.3,717843,1102698.5,21632.877,7061.541,12335.481
464,61,0.0297,377976,519218.28,1209609,1698655.3,256485,384185.38,43718.637,-386.84253,40970.227
472,62,0.030299999,770599,1172887.9,1652582,2555454.3,530033,866220.7,41443.78,3152.2935,15437.833
491,63,0.0317,564277,891841.94,1682235,2565603.5,290572,488968.44,102315.87,1001.13086,6794.454
503,64,0.0325,657108,879938.25,1425622,2019745.8,459135,588707.3,29956.354,196.77222,9562.274
518,65,0.033299997,957296,1693966.6,3004389,4194304,813914,1610493.5,101889.75,2670.5059,15486.717
531,66,0.0339,583426,817672.2,1203139,1841469.1,396019,597187.2,33296.68,258.59204,9670.977
540,67,0.0343,960511,1723627.5,1531696,2794922,989876,1835922.6,80439.5,6305.424,23926.22
541,68,0.0343,736914,1968090.8,1952799,3479007.3,485967,1936713.3,52337.188,21903.19,11792.662
542,69,0.0345,605517,998576.56,2670501,4194304,430680,772421.44,71497.266,5347.1133,15827.902
558,70,0.0359,766608,1097370.4,1472290,2067247.9,477352,727319,25767.701,1458.6348,11830.141
567,71,0.036599997,571027,829876.44,1781702,2574341.3,339287,508755.38,50846.37,3293.3035,15608.967
582,72,0.037499998,694740,1001357.56,1826830,2449441.5,471793,714480.4,49830.37,1771.6187,9480.281
586,73,0.0378,473165,705730.1,1942247,3038717.5,587588,872576.9,58172.45,2936.149,10783.695
600,74,0.038799997,695862,1849844.3,2153804,4194304,621082,1847942.4,89782.234,6067.9414,23746.014
611,75,0.039499998,1254278,3791265,2030128,4194304,712152,3009018,164135.53,19144.996,47364.504
615,76,0.039699998,731699,1151030,1673987,2613050.8,574448,1008952.06,22238.008,2141.9243,13394.6455
638,77,0.0414,644872,1062636.5,2379783,3772926,341190,655129.44,32150.645,5343.1777,11586.447
641,78,0.0416,565590,949138.56,1775962,3145613.3,295642,520245.66,20834.467,5117.8613,9805.777
649,79,0.042,408607,568291.4,1135609,1532649.4,436905,603241.3,52820.47,-512.0923,8506.223
651,80,0.042,756708,1184166.1,2387679,3842900.5,551784,935429.75,49664.01,4276.67,33923.85
670,81,0.042999998,684324,1000787.94,1286101,1792094.6,696123,991766.6,44898.414,889.5194,7636.0786
686,82,0.0442,700114,1163291.9,1581564,2487464,541112,1028221.94,24887.572,3081.2214,8687.708
690,83,0.0444,778434,1827296.8,2585742,4194304,647169,1388355.9,80119.06,14566.947,14291.054
699,84,0.0448,381315,535876.75,1278381,1616896.3,200123,295789.22,27272.58,477.83398,7125.1294
722,85,0.046299998,851821,1398328,1220394,2494418.5,406113,735442.1,90240.836,7221.1177,14899.96
731,86,0.0468,761618,2096164,2687624,4194304,681409,1880970.6,112295.19,9945.583,11507.82
734,87,0.0471,835228,1189305.4,2002853,3032067.5,385200,590894.25,11606.002,5983.5024,9092.238
762,88,0.0493,1268550,2261147.8,2689827,4194304,670003,1346886.1,97763.57,10090.704,29725.848
784,89,0.0506,1010374,1757139.3,2611294,4194304,779847,1517371,99136.195,6133.922,16230.194
785,90,0.050699998,529907,751305.25,1728499,2750625,290463,428066.3,11974.217,3287.1682,9426.696
809,91,0.0524,622199,871155.3,2615769,3684610.3,498455,691217.06,15164.297,3804.7139,10586.921
847,92,0.0546,1057202,2648479.5,2426651,4194304,682684,2310848.5,156717.25,14422.518,32402.428
854,93,0.0552,661043,1022715,2089389,3183888,376969,596350.5,19915.383,5332.2324,7966.024
868,94,0.056599997,1404178,2641377.3,1943427,4194304,985090,2009452.1,221797.28,4449.786,20964.941
884,95,0.057299998,915469,1373429.5,2075692,3140046.8,508041,846818.8,96395.086,4016.706,15710.097
888,96,0.057499997,366443,522891.44,2168231,3101098,352571,516645.6,22466.434,2208.6523,8796.392
894,97,0.058,678474,1061743.5,1668099,2562615,600560,1000831.94,40631.39,1067.9297,11913.649
933,98,0.0614,1267003,3864924.8,2704843,4194304,747839,2683032.5,139074.72,18854.486,23728.74
935,99,0.0616,1036348,2379015.5,1523453,4194304,655410,1533824.1,183890.13,4174.4365,22983.293
945,100,0.0622,1143699,1478145.4,2825077,4194304,952302,1255772.6,53698.08,9073.463,58625.105
955,101,0.063,738992,1090921.5,1947907,3020415,448271,702683.44,34911.45,4625.616,12917.043
959,102,0.0634,425598,611709.06,1695224,2299667.5,288608,448366.63,24682.486,1045.9314,7516.5596
962,103,0.0635,838247,1202952.9,2189334,3502149,588755,876476,26249.545,5328.5977,10866.996
984,104,0.0652,789369,1605020.4,2740091,4194304,594781,1194343.9,139459.34,5752.326,33972.68
988,105,0.0654,443804,636340.9,1330476,1871784.4,296638,449612.25,18901.664,465.037,6793.9937
997,106,0.066199996,541188,794897.25,881980,1369383.8,547568,853994.44,44356.57,1057.8795,12237.433
1007,107,0.067099996,471207,751061.1,1591965,2327103.5,421297,714523.56,26134.154,1346.5035,43426.375
1010,108,0.0674,581456,799363.6,1909282,2700948,427339,642598.06,27578.781,3748.9583,11399.488
1023,109,0.0681,832381,1395691,2710780,4194304,791824,1450291.9,176155.11,4354.0977,16669.465
1031,110,0.0683,792092,1404957.1,620490,1167103.9,715839,1307142.5,96955.375,1619.4978,11695.295
1038,111,0.068799995,748420,1966358.6,2717632,4194304,593457,1428183.1,128798.7,12178.35,14772.445
1051,112,0.0694,567221,1110461.1,1228196,2193023.8,592525,1186394,78176.15,6014.9717,8561.915
1082,113,0.0717,354465,461558.16,1278746,1715607,241309,323190.72,42558.387,-864.90845,6701.993
