Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
16,1,0.0011,1166229,2010386.4,1493469,3430080.5,922084,1692145.9,75985.4,2991.146,44881.363
28,2,0.0016999999,783172,1095827.4,1512571,2024555.8,658889,933687.06,40111.68,605.5453,54917.99
29,3,0.0016999999,943403,1684208.4,1472784,2249140.3,477523,926914.6,67919.93,1843.8727,52327.59
42,4,0.0025,761631,1076624.6,1310138,1804558.1,440120,678954.75,26798.354,782.7014,62891.45
60,5,0.0041,1631554,4194304,2987180,4194304,1414408,4194304,167641.92,36453.938,66560.06
78,6,0.0053999997,1374067,3223959.3,1800635,4194304,982005,2516475,102150.61,5747.093,122368.45
101,7,0.0069,707965,915990.2,1365443,1877512.1,624324,801689.8,96111.04,-599.5476,58685.098
109,8,0.0074,1503148,3612047.8,1978342,4194304,1244563,3117306.5,225157.55,18810.223,273049.5
119,9,0.0082,769897,1192208,1269319,1860759.5,834659,1314560.4,94360.266,787.90625,47112.79
121,10,0.0083,1015622,1438002.6,1748618,2443872,736991,1023843.2,31349.244,1841.8998,35026.85
138,11,0.0101,898664,1256656.6,1537083,2195717,997540,1495739.6,58969.934,852.5962,77389.8
147,12,0.0106999995,947835,1411432.5,1190614,1659436.4,924425,1394277.4,98912.58,274.43982,147238.08
159,13,0.012,722008,1009323.44,1841988,2587072.3,473570,689304.75,100900.305,665.562,138337.33
162,14,0.0122,963295,2255175.5,2444838,4194304,812929,2181513.5,68596.586,23075.414,54129.523
168,15,0.012499999,1071564,1802137.6,1212074,2079812.1,1174822,1957539.1,56556.863,3131.9001,37041.297
201,16,0.015,770105,1301109.5,2127759,3684100,835990,1523122.4,103047.82,3402.9287,79935.875
202,17,0.015,742507,1330604,1563157,2444053.3,642512,1313373,44926.39,2007.6271,123156.26
209,18,0.0156,749923,1150582.3,1287521,1782689.4,398327,615219.4,79632.4,1523.4866,40093.43
215,19,0.0164,644521,1002476.06,1828924,2898133.3,485360,806740.1,51985.004,1466.8518,45894.777
221,20,0.0168,737550,1215574.3,1297592,2051048.9,923817,1495399.4,113557.016,2313.654,37997.953
227,21,0.017099999,1141725,1608374.3,2020459,3128683.8,947426,1346538.5,41704.18,4458.495,77592.08
314,22,0.0244,720384,1215024,1341744,2224884,526984,1006144.25,47106.84,3190.0474,32812.563
327,23,0.0253,587320,863774.94,1332833,1952453,394428,636885.4,62618.42,-243.31592,67496.86
335,24,0.025799999,1285304,1953859,1778273,2733932.8,1060148,1720794.4,64339.73,3333.9275,103662.08
341,25,0.0263,1013736,2492567,1460999,4156501.5,701234,1649390.1,172496.97,3736.8274,125603.62
352,26,0.0273,1323339,2866708.8,2691003,4194304,897266,2077303.6,137455.64,23967.34,109549.09
362,27,0.028099999,1099250,1743331.8,1506800,2276698.5,1127781,1789110.9,93223.945,1564.4644,110171.54
388,28,0.0301,1176332,1936891.3,1401013,2400642.5,882716,1500527.5,102959.93,3819.9976,70501.2
405,29,0.0313,751133,1039018.06,1908202,2759414,1040473,1342820.5,62178.906,2232.0618,44207.156
407,30,0.0316,516904,699324.8,1370617,1726170,481617,668792.25,72055.81,-8.316895,29897.87
408,31,0.031799998,730211,1011242,1189730,1500250.3,824309,1127428.4,35409.01,1370.5898,27341.805
422,32,0.0328,1028724,1610585.8,1004299,1650180.3,603228,1030298.06,31957.025,949.54736,76621.39
438,33,0.033999998,829550,1085172.9,1772863,2564774.5,644897,846345.56,60537.89,1409.9167,47865.965
442,34,0.034199998,788594,2139353,1306605,3611679.3,509950,1409063.6,50171.676,4668.084,51909.523
443,35,0.0343,576952,855681.75,1047639,1690093,736754,1089110.8,58939.375,250.65894,38832.957
445,36,0.0345,933640,1498186.3,1785609,2947805,480902,861521.25,228775.1,1525.7394,72216.2
447,37,0.0347,577680,766911.1,1427632,1889545.6,592873,759992.06,52701.71,210.67603,23186.621
456,38,0.035499997,866016,2253676,1509173,3111776.5,1035437,2746795.3,74690.54,5399.785,30507.893
457,39,0.035499997,891677,1213091.8,1586180,2377298,673035,904439.2,38119.54,1511.0776,31425.854
468,40,0.036199998,679904,980766.1,2004467,3103832.5,487958,761953.44,43351.8,1776.3037,24867.936
487,41,0.0378,773257,1089372.1,1413665,1847677.6,780666,1125740,34491.45,1046.0084,29632.348
504,42,0.0391,914356,1882967.8,1481163,4100593.8,914126,1683854.1,125595.53,1578.6718,71187.336
506,43,0.0392,697284,1116355.3,1315390,2062305.6,400040,693076.4,136173.16,-1008.281,68615.65
512,44,0.0396,693103,1162975.3,1312739,2118747.5,336019,645080.8,52097.414,1829.6262,29859.006
523,45,0.0401,665447,950863.2,1210915,1718958.3,643022,868717.25,124371.01,-2144.537,53859.273
536,46,0.0409,1260626,2217232.5,1549624,3593509,764115,1501831.6,83869,3591.82,46091.523
559,47,0.0423,1094487,1733214.1,1764171,2704567.3,604081,1052964.9,60324.69,2397.0435,81739.92
560,48,0.0424,1067089,1805048.5,1232848,1996079.1,524332,1010760.2,63889.3,2775.4277,56301.383
570,49,0.042799998,1427808,2115069.3,2411486,3873799,1207771,1897527.6,122308.37,4466.333,70529.41
610,50,0.046099998,1142875,2023028.5,2114029,4194304,805768,1471845.6,108835.33,4955.122,58636.13
612,51,0.046299998,1249246,2131341.5,2906999,4194304,984329,1840448,187987.4,5969.97,58790.27
