Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
5,1,0.0002,716443,1027592.2,1232493,1692145.6,583441,923398.94,31936.264,3974.6343,6778.0947
15,2,0.0008,675976,1665470,1299494,3195558.3,348614,910851.2,133789.22,4050.4885,17511.895
31,3,0.0016999999,597011,1568194,1551253,3476353.8,611050,1509876.3,85064.48,7807.9883,6761.191
44,4,0.0026,965478,2618763.3,1541566,4194304,647062,1914791.8,45852.7,9773.92,11227.348
60,5,0.0034999999,860411,1237602.5,1421596,1981483.4,594632,876697.56,37330.676,2722.408,11535.806
63,6,0.0036,990773,2049328.4,1577378,3853807.3,643061,1499216.5,94866.2,5313.038,17348.502
65,7,0.0037,660374,968075.8,1241705,1772418.9,791746,1203891.5,78955.78,900.58606,24554.188
73,8,0.0042999997,1010488,1527426.1,1857707,2942353.5,737827,1222372.5,47778.82,5862.451,24602.117
85,9,0.0049,723637,962704.56,1210442,1585053.3,549619,727114.9,31356.191,961.5332,7492.628
91,10,0.0050999997,894944,1263709.5,1695684,2569705,1065550,1530103.4,17786.37,4622.7837,9924.465
103,11,0.0058999998,696697,1607582.6,1197270,3062124.3,768593,1871884.5,38198.05,5976.392,9002.481
132,12,0.0074,1044064,1439933.5,2250901,3158841.8,865493,1286971.6,70935.61,3104.663,16882.47
170,13,0.0095,1275385,2985875.3,2018328,4194304,814725,2615831.5,142425.69,9035.547,23285.197
176,14,0.0101,1156274,1512478.1,1101062,1418746.3,879606,1153014.4,13699.779,3313.6973,12511.487
179,15,0.0103,847772,1282933.1,1313519,2092031.6,550414,890665.3,43611.58,11181.176,18575.994
188,16,0.0106999995,1018327,1380971.9,1109092,1655278.8,861651,1141781.1,48928.86,2306.0667,10191.861
193,17,0.0112,874273,1384436.6,1525759,2224170.8,959950,1596323.6,42122.613,5962.961,19085.025
205,18,0.011899999,580054,742651.5,1280556,1760594.5,451842,612789.25,20408.162,1884.9222,8522.672
213,19,0.0122,610862,960869.8,1192395,1664986.9,698119,1164702.6,15073.662,6040.212,10475.339
227,20,0.0128999995,1201067,1699897.5,1587912,2313663.8,754608,1109069.4,26965.668,6006.0454,28954.936
228,21,0.0128999995,835313,1268962.8,1654384,2330556.8,627293,979291.8,18282.314,3701.892,10688.462
235,22,0.0133,850766,1222349.1,1651944,2326981,468988,689647.7,21801.97,3452.0696,11762.158
243,23,0.0139999995,646924,891180,1726426,2475708.5,471556,708654.1,46136.07,1769.7327,6375.0264
253,24,0.014699999,715524,983466.06,1338136,1718633.6,574875,785563.44,37288.273,2141.066,6553.8247
305,25,0.0178,777408,1088657.3,940666,1354068.5,900526,1330193.6,46933.758,1211.8561,10391.568
308,26,0.018099999,867658,1375537.1,1758581,2507681,627581,1066535.1,21531.068,4643.141,10796.706
324,27,0.0191,723036,1044815.3,1638256,2108323,690617,1080720.4,37800.07,1048.6635,27270.875
328,28,0.0195,541395,722115,1220058,1639424.4,276051,392949.3,28052.252,1305.0469,5640.771
371,29,0.0223,854128,1280891,1071804,1604863.4,891547,1408116.8,61583.684,1884.7776,16380.66
389,30,0.0234,878173,1271736.5,1222868,1875019.5,852055,1344913.9,32155.361,4106.1353,10557.262
403,31,0.0241,662124,995768.9,1867161,2775709.5,443482,724463.3,60803.055,1507.9866,9990.201
414,32,0.024999999,1252997,3460259.5,2092515,4194304,1096648,2693348.8,45682.473,10625.611,18823.072
419,33,0.0256,632594,784108.5,1017733,1245958.6,677930,897304.44,55605.01,812.3905,8193.617
425,34,0.025899999,918223,2238597.3,2111941,4194304,872490,2054136.5,82515.61,9146.1455,9245.919
441,35,0.027099999,924995,2203785.3,1105918,2609583,684756,1490442.5,51101.055,9407.95,21499.97
448,36,0.0278,737981,996479.2,1414171,1812995.8,473194,680683.56,48787.99,2380.66,9806.193
451,37,0.0279,542867,774808.4,1470335,1795671.1,493346,714747.3,19962.176,1622.6299,13909.547
464,38,0.0287,908626,1206578.9,1690575,2309843.3,742986,1039179.06,16179.23,3058.065,25597.111
482,39,0.0296,834643,1270979.4,1662778,2532302.3,561178,898225.56,38772.945,2817.7666,18755.953
503,40,0.0308,940734,1322423.1,1369536,1967397.4,590386,874827.4,22623.129,3867.4355,18764.084
513,41,0.0316,827465,1245474.6,974142,1500468.5,453306,753532.8,15124.442,3330.595,11195.401
516,42,0.031799998,1108647,1567007.9,1407505,2078017,1065457,1641466,97486.16,2636.0437,13073.156
526,43,0.0325,606070,1434047.3,1389179,2870615.5,369198,862974.8,29130.254,5359.9316,6658.4404
529,44,0.0326,614264,888398.6,1162451,1537463.6,374170,544814.3,28883.357,1964.5688,13527.763
