Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
18,1,0.0008,1050018,1689504,933201,1462346.5,680239,1199087.8,118902.78,5492.918,13815.334
83,2,0.0072999997,955043,1562750.8,2076789,2992440.8,743152,1314128.4,32375.174,4944.331,11506.941
111,3,0.009099999,350989,445320.94,1262009,1580279.9,365656,491444.28,23651.002,2122.643,9588.197
131,4,0.0103,977810,4194304,1650269,4194304,628158,2920344.5,117144.86,17444.402,24507.705
153,5,0.012399999,593246,1219244.9,1090841,2667230,673061,1430782.1,24159.383,4935.5225,16916.557
155,6,0.0126,698187,1650532.1,1962424,4127524.8,501266,1213370.5,82547.9,6233.745,11253.108
189,7,0.0155,938135,1342153.4,1704895,2567563.8,676178,1074634.1,13971.807,5206.307,32970.51
190,8,0.0155,517515,680169.56,1742404,2272314.8,447256,626506.75,32539.527,2486.1152,5756.499
203,9,0.0164,915913,1274369,1642202,2396613.5,558103,813618.5,12939.932,3434.364,9380.068
225,10,0.0185,400208,561014.8,1877244,2487335,401712,583718.2,44753.254,2524.8525,5794.8784
300,11,0.0256,570357,822497.4,975545,1361773.3,714603,1028818.3,13665.261,2329.7476,17204.916
315,12,0.027199998,563566,801596.1,1140832,1501204.6,689379,1004190.44,18329.791,2319.237,12738.726
369,13,0.0316,777239,1120745.5,1455020,1981971.3,398866,636401.4,12501.93,3461.3674,9713.08
371,14,0.031799998,958858,2058635.3,1468939,3058618.8,726154,1724783.6,41199.434,7256.919,19138.781
390,15,0.0336,1086713,1606261.6,1582978,2100343.8,676515,1099596.5,26008.064,2808.9573,15230.441
422,16,0.036199998,907588,1454847.5,1488618,2196715.5,998535,1746636.5,33534.836,4206.0635,8816.001
465,17,0.0404,600158,866196.1,1350121,1806892.5,677601,1029909.3,33229.848,3174.6338,7733.279
480,18,0.0423,874087,1350987.9,1748822,2625256.5,601780,1072823.4,32513.908,3249.5454,22289.436
491,19,0.0429,473393,617121.94,1293574,1650116.4,553702,696032.9,13716.945,1813.716,7803.0337
494,20,0.0433,699184,1802915.6,1424111,3634819,573716,1399638,68468.24,20254.988,11889.088
529,21,0.046499997,398177,606781.75,1044765,1375455.9,462981,738808.75,12954.218,2097.4675,6527.3413
544,22,0.048,970023,2543173.3,1963942,4194304,1057166,2904730,46884.65,13760.85,9575.896
565,23,0.049799997,507826,675286.6,1085355,1439255.9,578889,767149.4,14245,3593.3206,23854.115
588,24,0.0517,1052178,1680009.6,1967294,2856442.8,905125,1575165.4,21047.227,6872.7334,32796.746
610,25,0.0535,1026031,1424972.3,1487695,2187370.3,795626,1201788.6,31170.63,6048.4185,15306.0205
657,26,0.0561,549631,800407.1,1438170,1867408.4,638620,923560.56,38942.45,1245.6355,40032.72
678,27,0.058199998,840591,1197971.9,1785435,2512227,487789,743298.5,147672.77,658.77893,10048.444
722,28,0.0618,1384971,2210690.3,1891182,3289523.8,834532,1464767.8,40671.4,8576.783,21150.322
789,29,0.067099996,641470,1127881.5,843215,1506735.5,681833,1384904.9,21999.514,3375.3955,10416.194
809,30,0.0687,888291,1238808,1739182,2402241.3,906239,1394433.3,153750.83,-542.87915,17281.945
846,31,0.0717,1116977,2717434.3,1737855,4194304,849643,2304276,159134.95,11546.664,20933.566
