Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
6,1,0.0004,727510,959079.2,1285394,1761433,732114,974773.5,49128.754,6054.38,10155.38
12,2,0.0008,803396,2439605,1959556,4194304,791260,2445880,127837.66,21145.13,14822.706
13,3,0.0008,1035937,1450895.4,1552754,2048700.6,655356,924187.5,45008.344,8730.934,18388.953
23,4,0.0019999999,663546,909102.25,1474777,1966382.3,432065,615932.8,40560.527,12342.406,7138.3896
27,5,0.0023,467371,968957.44,1078311,2531414.8,431971,1045170.4,82173.375,8788.13,10288.504
56,6,0.0046,606053,817016.2,1264245,1787435.6,443586,653699.56,64796.645,6802.477,13856.484
83,7,0.006,1086737,2615187.5,1482861,2744267.3,1197276,2892556.5,71305.7,55179.813,11143.925
95,8,0.0069,511536,670830.1,1412924,1750516.1,452040,575594.94,21277.54,4713.517,5308.6777
100,9,0.0071,842273,1176540.5,1526088,2154441.5,782247,984234.7,36824.453,9600.973,9896.353
104,10,0.0072,951813,1352189.1,1462755,2026377.8,650387,1030418.2,115685.14,8619.586,20615.387
107,11,0.0075999997,1087369,1593399.1,1457843,2125580.8,678014,1023279.9,55313.656,28768.623,16083.927
122,12,0.008599999,785680,1039257.7,1508375,1966185,711626,950870.25,24804.785,7514.689,7360.587
129,13,0.0095,760341,2103659,1554498,4011918,641827,1771876.1,113721.36,19375.7,14159.241
158,14,0.011899999,773689,1061471.9,1723676,2312311.3,626390,934466.5,124925.875,15657.258,8763.624
161,15,0.0121,1057962,1410803.4,1316734,1777708.5,929973,1256166.3,100329.37,17990.178,11970.418
181,16,0.0142,869343,1232309.9,2283174,3118817,672375,984507.3,71326.37,44632.285,10922.647
232,17,0.017199999,721191,1022140.6,1634622,2226700.3,532906,779889.94,32983.766,7953.314,10502.5625
244,18,0.0185,912358,1297048.6,1138295,1665559,1003751,1512204,35729.594,9541.945,14168.986
251,19,0.019,1052100,2629054.3,1506910,3809239.8,681815,1923672.5,57561.156,26359.734,13429.289
290,20,0.021699999,764365,1071175.1,1757222,2605932.5,602172,919970.94,47746.785,9834.843,9353.66
294,21,0.022,856785,1165101.9,1186997,1520843.9,446198,640407.56,35465.695,7267.9956,11637.352
308,22,0.0229,957738,1213937,2021236,2810681.3,762836,1044738.7,41663.27,10102.702,9907.85
322,23,0.0241,520189,698827.2,1643024,2132346,522558,709492.25,149350.05,6623.67,9277.818
335,24,0.024799999,797020,1048717.6,1187916,1581121.8,896439,1214017.5,38506.734,5516.7393,12235.823
360,25,0.026999999,873671,2293119,1522888,3815164,834517,1795105.3,79830.24,30159.285,9956.356
367,26,0.0276,687266,947510.6,1194412,1804642.6,352854,530518.4,42542.723,6671.57,12722.199
413,27,0.0315,1056493,1581773.8,1804733,2390212.3,949955,1512663.3,67353.55,12593.641,15981.228
442,28,0.033999998,665651,985958.8,1356673,1750394,795738,1283097.9,34185.656,10332.742,13258.937
462,29,0.0352,706910,965803.1,1761288,2415192.8,605096,923503.9,49484.316,9427.429,7736.512
496,30,0.037299998,765140,961798.7,1602539,2177602.3,550724,733453.8,18212.02,7460.36,11348.032
517,31,0.0387,761617,1055625.9,1620976,2239192.8,830136,1232949.3,52533.297,12596.523,8555.034
531,32,0.039699998,547565,824903.7,856325,1319058.8,536927,885452.25,146163.52,6662.352,10362.594
539,33,0.0402,1148986,1539532.8,2057522,2836478.3,903837,1286809.8,101233.266,30995.197,19458.63
545,34,0.0409,1388772,1911645.4,1634774,2487818.8,927951,1411790.3,41105.7,16558.21,24283.635
556,35,0.041899998,956666,1935958,1369374,3301257.8,461852,1131833.5,93051.17,13859.717,10579.192
558,36,0.042099997,888256,2023230.9,1738365,3828109,945060,2262600.8,84549.19,19896.51,10328.557
564,37,0.0425,590328,832668.25,1346841,1764374.9,426095,638151.44,68179.14,5672.032,6884.943
585,38,0.044099998,710427,971419.3,1362384,1957158.5,374549,539722.9,31604.736,10205.529,7194.099
594,39,0.0448,634428,848972,1267564,1662140.5,526672,699296.06,21620.518,6966.4663,10251.138
607,40,0.046,971675,1468952.3,1197427,1708388.5,547983,886528.94,47084.44,11857.3125,12032.725
629,41,0.047199998,561615,699387.44,1504138,1861789.3,370255,490853.34,45523.438,37378.527,6351.3955
635,42,0.047599997,918285,1220087.9,1533471,1983502.5,519282,733005.3,18773.344,10465.238,10328.021
664,43,0.0493,1148864,2608207.8,1417438,3719690.3,1243946,3139527.3,99075.945,25343.295,23449.848
667,44,0.049599998,907414,1079396.4,1099499,1432467.6,998760,1182356.4,21049.44,7718.4624,9877.065
685,45,0.0512,489369,682893.2,847377,1069093.4,619561,895616.2,37822.664,5758.948,5587.473
737,46,0.0556,902367,1169789.1,1556735,2074239.6,818975,1113689.3,61455.57,9560.778,19250.584
783,47,0.059,1167616,1656209.5,1570845,2270349.5,1098851,1615488.6,101879.9,66668.945,23143.576
839,48,0.0633,590826,763786.3,1130456,1630718.9,666387,866508.56,67248.98,51917.06,16236.978
899,49,0.0676,795212,1063488.1,1050889,1337823.3,948134,1283931.1,16394.29,7233.7715,7630.3384
905,50,0.067999996,792538,1057726.1,1367873,1880778.4,968308,1360301.4,28583.133,8575.436,17161.346
913,51,0.0687,793071,2639405.5,1699362,4194304,1000362,2726512.3,75662.32,29992.023,8049.4385
934,52,0.0705,910855,1274851.4,1334856,1918437.1,1288102,1776358.6,24988.23,11260.426,17424.879
953,53,0.072399996,598747,803806.3,1493881,1973397.4,611524,889902.94,33124.33,20033.08,13436.109
964,54,0.073,1004057,1325553.3,1472925,1977005.5,1230639,1668239.9,89144.34,67688.664,60067.137
997,55,0.0756,1208285,1547474.8,1557866,2151200.5,937901,1275686.4,46294.703,9403.576,14444.446
1055,56,0.0802,885170,1379445.6,1567734,2246242.8,839167,1410604.1,39095.797,15877.799,19327.719
1074,57,0.0817,580482,724493.8,1034168,1193854,585352,688785.06,15534.641,1942.1094,21908.553
1090,58,0.082899995,1204937,1668850.3,1658340,2306522.3,888991,1275339.1,31938.46,10760.043,17033.555
1093,59,0.083399996,719786,2335910.3,1346892,4194304,1046764,2762294,129043.945,26831.076,13224.399
1126,60,0.085499994,1079309,2411813,1165194,2879175.5,1293562,2968411.8,36912.848,20854.78,11089.232
1156,61,0.0874,758764,1005057.94,1297154,1688395.1,770510,1078211.4,56534.68,4932.9766,10534.102
1162,62,0.088,1227211,2419052.8,1608278,3537968.8,679611,1485114.1,82904.18,18295.195,29221.377
1173,63,0.088999994,1103532,1631458,1568590,2233016,949956,1512400.5,137182.02,9748.293,12881.339
1176,64,0.0893,530372,668720.06,1161598,1523842,542334,708050.5,81657.88,3821.711,10409.935
1195,65,0.0909,1008191,2222624.8,1561273,3547525.5,1140596,2773154.3,92235.64,21865.438,10761.373
1231,66,0.0933,531152,797053.4,1588366,2524409.8,279314,478752.97,161657.39,51721.387,10832.636
1241,67,0.093899995,637472,886608.25,1198245,1514958.3,768772,1088248.3,30337.383,8710.876,6382.4155
1266,68,0.0954,664920,876254.56,1152354,1473125.9,371936,496477.1,35928.18,7428.5234,9840.423
1277,69,0.0963,1190228,4174434,1708116,4194304,1321702,3688087.3,169481.92,46616.465,11650.652
1293,70,0.097799994,835765,1068946.9,1500439,1793026.9,744161,1031368.5,62368.47,10487.964,8304.148
1312,71,0.099,1042038,1501853.8,1370745,1969705.4,566800,884372.1,30560.516,13066.82,19132.31
1396,72,0.106599994,800169,977216.7,1435245,1895675,687667,897176.06,24552.938,7952.524,10136.436
1402,73,0.107,504743,900965.7,1393177,2768332.5,324579,696124.4,25676.293,6432.681,18713.986
1405,74,0.1073,731592,1603360.6,1438086,3621705,702204,1441309.5,117332.93,12020.857,7709.414
1438,75,0.11,620434,726583.44,1472152,1931945.6,391719,483287.88,30786.008,5495.1885,8208.577
1463,76,0.111499995,452705,577691.6,1192488,1443337.4,540374,666292.25,26683.156,4183.1035,8885.807
1515,77,0.1147,1190063,1775066.5,1557177,2259238.3,783073,1274732.5,56571.66,9692.227,18367.348
1535,78,0.1165,1127694,2496418.5,1901337,4194304,748767,1988183.6,97922.02,26380.434,21889.05
1547,79,0.1175,1068087,3904256.5,2127694,4194304,879319,3105605.3,108748.6,34280.465,16227.865
1603,80,0.1215,980756,3760495,1804953,4194304,694305,2684109.3,128285.76,32280.775,14771.321
1647,81,0.12539999,588224,753180,1275932,1635674,464427,606077.9,19826.338,6832.914,6596.122
1666,82,0.1267,1084525,2540179,1482711,3350835,1174861,2354871,60605.55,18488.074,23283.736
1675,83,0.12719999,724360,2063935.5,1222027,3842554.3,758621,1781580,82912.734,23461.416,8688.717
1736,84,0.1318,1001867,1523257.3,1424641,2050316.6,762632,1287245.1,57728.93,11039.904,20493.344
1745,85,0.1327,1003430,3396194.8,1693983,4194304,912787,3471994,215743.42,32774.492,11039.774
1746,86,0.1328,746560,977744.6,1675512,2069162.5,701203,861537.7,54771.3,5658.8545,11185.924
1763,87,0.1338,672085,862392.4,1393549,1780644.3,627134,810827.94,31104.387,6562.2417,7196.688
1784,88,0.13599999,955429,2778709.5,1780588,3899391,605646,1889419.6,160694.19,22333.17,23348.633
1788,89,0.1364,688921,893818.56,1278641,1569953.1,637292,822573.94,41470.77,4741.7026,6677.1226
1813,90,0.1387,644919,814968.8,1449108,1838892.5,651910,828346.3,30656.762,8002.6987,6533.694
1816,91,0.1388,1257785,3312833.5,1920429,4194304,1199660,3751659.8,101337.55,31326.055,17694.21
1819,92,0.1392,1013612,1451272.5,1562231,2113627,818161,1247466,23965.44,13289.926,11998.548
1823,93,0.1393,563381,732579.4,1103874,1442497,307036,413151.3,47332.625,5738.4814,14393.632
1861,94,0.1418,723682,956048.9,1798397,2436029.8,555863,791112.5,45380.41,7618.1255,7028.423
1869,95,0.1425,835795,1124380.6,1833482,2511776.5,607287,890378.3,245930.17,6624.771,9606.573
1873,96,0.1428,933580,1206113.8,1431637,1786630,572664,773862.06,34904.527,7928.9263,20292.25
1875,97,0.1431,632607,839345.4,1339534,1708925,505790,704774.7,15582.945,9500.353,9507.686
1894,98,0.1444,967826,1283257.4,1244818,1795527.8,542704,808674.44,29948.945,10676.789,27569.635
1916,99,0.1459,453706,627473.2,1351883,1668362.1,391935,555376.2,54435.152,6158.2334,14072.792
1924,100,0.1463,753388,1093014.1,914354,1254215,873354,1355014.6,70192.32,8148.9575,8180.512
1950,101,0.148,604660,818999.2,1358870,1754779.4,673395,946958,25006.277,8744.906,12491.754
1957,102,0.1486,847418,1166088.6,1558947,2160024.8,981376,1416798,51829.504,11595.508,7951.5884
2019,103,0.15359999,859753,1198089.1,1528429,2178929,461773,683851.25,69325.125,10428.013,8051.7637
2022,104,0.1538,671852,824918.9,1461880,1858245.5,571145,737779.6,99382.13,5217.3374,6686.1772
2054,105,0.15709999,543299,755656.8,1192446,1577712.8,688606,1053662.5,59237.863,7409.382,8920.271
2072,106,0.15799999,832458,1227399.4,1464295,2092122.1,910327,1471516.1,53923.395,13359.939,7870.445
2095,107,0.1598,909229,1201053.4,1343830,1797832.9,794568,1097573,38528.535,7345.8193,12233.555
2112,108,0.1611,1129098,1637986.9,1393166,1887038.1,961355,1385156.9,32721.852,13243.977,14940.878
2115,109,0.16129999,495049,585503.6,997333,1269338.9,263744,332159.13,16936.102,4374.819,5392.999
2131,110,0.16229999,778768,956952,988155,1252660.4,889746,1135966.5,65603.12,52220.28,35637.6
2171,111,0.16569999,660392,861121.94,1531867,1893563.1,493480,677994.6,15419.938,6886.4995,11532.816
2178,112,0.1664,920300,1256474.3,1230058,1606334.3,514853,705556.6,21105.838,8547.314,11194.257
2184,113,0.16679999,1023392,1489217.4,1349725,1858292.5,628659,989986.3,55211.617,15150.17,12610.229
2188,114,0.1672,826617,2085492,1837593,4077201.5,865256,1812071.6,50036.223,23166.523,8525.461
2189,115,0.1673,1057960,1402496.9,1473618,1992872.9,686628,957041.4,22568.813,9119.718,18273.895
2215,116,0.1692,663701,947964.94,1290893,1857834.1,849057,1275698.8,62625.57,10694.764,7645.823
2217,117,0.16929999,836149,1093549.5,1331137,1819474.3,755594,1074775,263599.94,3866.1553,10025.398
2219,118,0.16939999,815619,1100400.8,1998086,2660950,727555,968224.2,43345.734,8799.686,8434.187
2276,119,0.1739,627531,842347.2,1673609,2231658.8,827908,1071029,26230.447,8888.039,9293.335
2282,120,0.1743,900325,1912645.3,1580065,3817385.8,984529,2001593.9,146357.39,18498.543,9796.593
2288,121,0.1749,635861,843039.44,1192417,1589993.3,513762,734440.1,50713.99,7953.0513,7388.4595
2290,122,0.1753,638389,804725.44,1095448,1472470.8,401760,510773.84,16273.301,20091.416,7510.2905
2291,123,0.1753,729125,973222.5,1230201,1675225.3,413291,605713,20571.8,8288.891,10653.688
2295,124,0.1757,670711,953866.4,1769277,2236167.3,559909,778361.8,27699.885,9887.429,12145.911
2321,125,0.17809999,796156,1193971.4,1253443,1718402.3,905007,1367997.4,28582.717,12683.381,10139.791
2346,126,0.1805,940308,1388537.4,1661146,2335906.5,1071551,1601222.8,76839.266,15639.709,11600.821
2349,127,0.1806,674142,1650122.9,1804481,4100896,888066,1856020.3,89261.52,18808.188,7296.3896
2353,128,0.18079999,838538,1150067.6,2221376,3150956.5,656454,990216.1,70366.13,14455.895,10891.667
2363,129,0.18159999,1049053,3544797.3,1802096,4194304,1082358,3337979.3,106688.125,34147.777,14007.012
2364,130,0.18159999,609627,854778.25,1359316,1806326.9,426932,644844.1,15893.096,7013.4478,7928.579
2388,131,0.18339999,717975,1684100.1,1394143,3686991.5,634041,1723308.3,149017.25,17611.99,8993.632
2410,132,0.1855,716427,967856.94,1338408,1882021.8,574013,857607.7,31764.238,9116.072,8546.439
2420,133,0.1864,1012871,3467211.8,1741046,4194304,919175,3442588.5,157685.42,37929.844,11905.5
2427,134,0.1871,605213,831556.5,901364,1197164.9,645954,934755,676526.3,-3459.5435,82288.7
2445,135,0.1889,1044575,1455668.6,1420879,2099718.8,1200304,1740193.5,32492.178,14835.73,11237.052
2500,136,0.1929,834749,1114315.3,875255,1248562.4,551520,837361.56,37035.81,9000.941,23369.23
2509,137,0.1936,847807,1084047.6,1276541,1837593.5,816711,1081113,35022.266,9974.603,9904.711
2554,138,0.19659999,724951,987837.75,1245880,1726506.4,712185,994177.94,46962.7,7621.8687,7476.045
2562,139,0.1969,846949,1232507.6,1792046,2396703.5,869201,1331631.5,35187.53,10091.637,17849.648
2565,140,0.1972,1199439,1770305.5,1315529,1813686.9,617979,970081.75,67277.336,13535.947,21874.68
2593,141,0.19999999,669114,949210.4,1430652,1973356,745005,1121084.6,40037.3,9586.833,8011.9775
2599,142,0.2005,825245,1005078.9,1155484,1554581.4,644511,849829.44,32224.396,6464.2827,9559.862
2625,143,0.2025,678835,947082,1635076,2086400.1,549498,770305.44,22855.254,9710.32,9526.122
2666,144,0.2049,951270,1389525,1974431,2695413.5,715761,1194907.5,42750.965,16512.178,11811.156
2690,145,0.20629999,574384,754500.25,1608038,2263172.3,701218,1008805.7,93180.945,10009.913,6293.762
2717,146,0.2082,701501,945915.06,1665578,2144549.8,741662,1025488.25,26822.09,8525.764,10849.25
2752,147,0.211,722148,1123953.9,1407189,1982101.1,942509,1546715.1,77886.29,9614.929,13718.764
2795,148,0.21419999,744602,1018152.9,1732922,2461913.5,591834,862407,38287.613,12086.779,16201.451
2843,149,0.21679999,773431,1024391.2,1515178,2069809.8,553565,757159.9,62666.016,9544.469,15885.21
2851,150,0.2174,958218,2430753,2055902,4194304,607596,1697760.3,61698.26,22444.447,9621.523
2903,151,0.2209,1129020,2054815.5,1066427,2653329.5,895976,1926691.4,202678.2,14828.932,16312.994
2905,152,0.221,1162098,1930302.4,1764696,2782506.3,1138930,1958427.1,307980.53,23192.662,11975.932
2909,153,0.22129999,846972,1136064.4,2038633,2734289.5,694206,924326.25,21604.5,24428.766,9927.042
2919,154,0.22199999,681217,941747.2,1803008,2569361.3,481295,774785,33835.945,9793.754,16469.418
2958,155,0.22479999,731059,1008913.75,1629880,2193938,681094,1022054.94,36851.92,8582.097,7875.5806
2971,156,0.22569999,860457,2354336.8,1977819,4194304,939362,3071623.5,78417.4,24005.35,10035.053
2982,157,0.2269,644000,823683.9,1535721,1948974.5,360865,465966.8,22457.943,6640.0376,11638.492
2997,158,0.22839999,836928,1534604,1637507,3191333,499264,1198237,38841.848,15817.623,7677.5366
3041,159,0.23189999,631620,817506.94,1188449,1560854.3,684800,899245.9,55798.293,8383.55,8907.06
3043,160,0.2321,1124132,1525174.9,2049772,3005858.5,726562,1068534.1,52819.293,22897.861,11447.597
3045,161,0.2322,969131,1315523.4,1602940,2225732,783389,1114841.6,18688.457,13044.986,9345.392
3054,162,0.2331,591544,823003.25,1630558,2121425.8,443136,649145.94,63456.207,8529.371,19920.957
3064,163,0.23369999,1017228,2214675.5,1958446,4194304,621771,1641304.4,69362.06,20295.453,11661.925
3117,164,0.2385,722808,978646.1,2048111,2783071,594385,826884.06,37518.582,10102.453,9026.798
3186,165,0.24399999,743550,913725.4,1353646,1821005.1,829618,1034980.25,56952.406,8703.111,8794.343
3190,166,0.24419999,712365,1670042.4,1289448,3401782.5,499137,1301910.9,83536.61,17919.643,10291.556
3225,167,0.2463,861946,1329242.8,1521284,2062601.4,1088138,1772597.1,104288.89,10480.035,20997.113
3240,168,0.2474,837265,1185974.4,1804557,2515504.8,562935,877711.6,35451.145,9721.891,25989.363
3252,169,0.24839999,603054,808471.44,1262194,1561372.4,648828,876593.3,41033.35,6290.776,9198.909
3267,170,0.2505,788441,1071857.4,1173395,1757924.6,499754,717101.44,56610.68,12105.328,9995.43
3273,171,0.25079998,957790,2334554.3,1936365,4194304,857864,1795945.1,93307.36,25319.475,18351.39
3342,172,0.2564,1304648,1706873.6,1754944,2467054.3,748963,1046364.06,42224.645,13518.203,20324.93
3366,173,0.2584,730448,922499,1383852,1891158.3,982883,1241355.9,24814.918,9169.982,20339.357
3369,174,0.2586,677607,990951.3,1301432,1837607.6,678459,988409.44,45626.984,9240.412,6292.934
3387,175,0.25959998,642416,1626573.3,1588343,3478777.8,479446,1150052.5,58386.934,27902.014,7566.1006
3401,176,0.2606,776879,1221717.4,938019,1234399.9,732632,1307496.8,61018.766,8736.357,12114.335
3433,177,0.26299998,660917,1429201.3,1866110,4116813.3,318012,786104.3,24309.154,19200.232,14435.212
3445,178,0.2641,811681,1080554.6,2090373,2900162,587210,839814.75,126560.41,8876.309,13417.448
3462,179,0.26549998,667269,892582.7,1711224,2227944.5,542418,778819.5,17354.23,8042.928,15777.872
3487,180,0.2676,954108,4194304,2245660,4194304,812279,3478270.8,261584.78,44281.81,14039.773
3514,181,0.269,654783,902080.6,1560258,2083392,388867,573192.56,49810.117,10048.276,10008.628
3577,182,0.27359998,782249,1099440.5,1086964,1494258,390633,576708.9,142471.55,8228.674,11137.997
3607,183,0.2757,329814,416919.44,1249642,1494854.3,359673,435682.1,13104.073,3273.6135,4355.409
3615,184,0.2768,936158,1253053.5,1618578,2235550.8,763726,1076226.3,22086.973,10049.1875,9090.313
3636,185,0.2784,658596,859737.9,1394479,1768715.3,507217,731986.44,26265.65,6830.2964,7006.4004
3646,186,0.2791,1202590,2434742.5,1720277,4194304,695895,1680277.5,45237.492,23276.541,12003.016
3650,187,0.2795,969858,2290033.3,1706009,4194304,693641,1907514.6,94869.79,23683.563,10426.8
3652,188,0.2796,820112,1100489.8,1195133,1606883.1,983999,1467288.4,54611.816,6012.157,7773.3745
3655,189,0.27969998,771308,1104857.6,1627536,2213570.3,561149,857853,38965.3,8914.427,10761.035
3669,190,0.2809,1345267,2116283,1861690,2484722,1119203,1787552.1,33271.49,15355.705,27644.475
3679,191,0.2814,554297,761230.06,1153968,1424231.8,591204,867650.3,22842.252,5387.584,6392.022
3697,192,0.2827,1180523,1757447.5,1152289,1712476,1031094,1718314.4,108972.016,6828.44,14052.843
3706,193,0.2836,695088,1070015,1265213,1813240.9,832458,1420962.3,26510.916,11969.707,7505.432
3709,194,0.2839,913721,1287113.9,1076853,1486886.9,510930,775937.56,16514.217,10540.377,14673.291
3724,195,0.2853,647287,830244.3,1570310,2050536.1,575556,775412,40235.844,7691.036,6336.0464
3741,196,0.2871,346710,450070.63,918995,1095753.8,440822,584793.7,22728.037,2655.5132,11564.471
3756,197,0.288,777346,1098685,1643533,2158147.8,404363,634309.1,28441.502,9406.006,15000.37
3764,198,0.2889,556385,723125.75,1337362,1657892.3,502962,621942.3,23730.514,4460.8813,7042.9146
3773,199,0.2897,1141801,1422107,1416050,1945958.9,774838,1012470.1,70716.375,15284.229,40770.973
3791,200,0.29119998,792765,1208286.3,1490998,2064723.3,442731,742521.8,29027.059,13891.256,13364.046
3809,201,0.2922,1042376,1609752.4,2119903,3420708.8,773249,1260207.9,183640.89,24200.146,25208.545
3841,202,0.295,1150099,1734143.3,1728686,2474850.3,760062,1279918.5,37624.344,14769.711,27673.633
3844,203,0.2952,1027908,2351588.8,1947519,4194304,532030,1464523.5,38042.414,22800.467,10673.104
3866,204,0.29749998,672557,910142.44,1362979,1791581.6,589739,854728.1,29365.023,8532.057,6542.8306
3871,205,0.2978,983324,1904241.5,1268163,3079867.3,620340,1553382,83967.91,10472.119,14544.166
3919,206,0.30159998,843801,1165049.4,1402683,1979968.5,501521,741442.25,82873.414,9147.6455,16378.946
3961,207,0.3042,750759,1038763.94,1929309,2533529.5,573658,829143.3,64981.145,8846.154,7318.0225
3970,208,0.30519998,618407,762592.6,1343518,1683146,488972,645645.44,10356.502,4817.366,21799.75
3975,209,0.30539998,1123486,2642468.3,1965266,4194304,781692,2203709.3,43229.5,20814.12,12792.002
3990,210,0.3065,1009808,1431883.9,1173003,1754964.4,1192282,1815836,36374.203,13704.553,10098.361
3992,211,0.3066,659452,865012.94,1433650,1897122.3,640442,890789.4,73884.414,4754.0205,10245.832
3994,212,0.3067,1125712,1584532.1,2049461,3117155.8,672242,1012822.75,139803.64,93462.13,13659.07
4007,213,0.3076,637089,1560650.8,1500221,3547111.5,677325,1388340.6,51382.914,14281.572,6360.4663
4017,214,0.30859998,686962,1221064.6,1025031,2412319,404511,996892.7,109136.51,9070.708,7590.6807
4042,215,0.3105,867557,1170109.1,1665260,2205962,920165,1373237.9,20188.328,21966.365,8745.127
