Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
6,1,0.00029999999,778035,1159676.9,1581904,2224804,625723,1032060.6,44308.855,3044.0308,17743.99
29,2,0.0018999999,864271,1337717.6,1394867,2140416.5,1172212,1904926.1,33968.668,4656.702,25840.617
30,3,0.0019999999,1045115,1568595.6,1484099,2195838.8,704189,1060494.5,96739.695,3858.5796,10113.845
32,4,0.0021,856183,1314475.9,1404731,2059566.8,912293,1520742.3,50866.742,3540.0786,16465.479
34,5,0.0021,570903,920792.6,1375104,2171966.8,370976,658515,32558.387,2530.4746,6002.0894
38,6,0.0026999998,826800,1450519.4,1344479,2099959,819734,1417809.3,60567.617,5906.51,11941.43
58,7,0.0042999997,608150,1577617,1603481,4147786.3,526282,1440609.6,53343.418,6372.4927,19379.82
65,8,0.0045,1011382,1347107.4,1596194,2099562,851408,1225315.3,55536.297,1994.8458,10945.94
66,9,0.0045,1112835,4194304,1880269,4194304,912431,3735845,124803.016,14091.385,10827.895
70,10,0.0047,742258,1098058.3,1792356,2503602.3,448635,674350.9,16935.938,3693.2476,12963.74
73,11,0.0049,593754,848853.75,1039387,1381947.6,342836,481796.47,21041.406,2787.8013,5858.6963
75,12,0.005,986701,1502241.8,2155522,3116727,631161,1023934.4,58385.03,5952.415,9069.317
119,13,0.0075999997,875177,2269217.8,1353825,3918797.3,724230,1931273,111305.53,8552.777,9015.226
135,14,0.0089,667498,1752196.9,1972414,4194304,665575,1362024.5,46145.465,5267.771,9097.785
160,15,0.0105,836504,1206374.4,1786219,2519809.5,447418,669503.25,78268.06,5432.907,14145.929
180,16,0.012,753212,1019853.6,1598348,1974762.9,663025,916359.9,28156.182,2352.207,8570.169
214,17,0.0143,1005732,1315140.8,1221118,1799571,663161,865307.94,63740.98,2735.7776,11383.093
238,18,0.015999999,736377,1013826.2,1655009,2192245,560842,860190.4,82298.16,1624.8163,18826.365
240,19,0.0162,496030,653782.4,1282114,1540952.1,306027,408484.84,30657.762,1354.4595,7171.135
261,20,0.0177,897276,1270226.3,1759287,2336373.5,922333,1238554.3,70693.72,2312.6018,9885.48
294,21,0.0197,1066990,1616454.9,1609753,2433003.5,702238,1142461,33915.25,6889.5093,9971.688
301,22,0.02,689823,1023362.06,1749335,2378729.8,760065,1122298.5,46603.18,2462.6748,8154.253
307,23,0.0202,939389,2003231.8,1551090,3529518.8,511627,1124976.8,51761.523,7303.169,14956.9375
308,24,0.020299999,1156237,1849822.8,2152441,3248303.8,912622,1515979.1,33038.016,3841.3652,11211.406
311,25,0.020399999,939175,1463093.4,1653530,2266013.3,695787,1209723.3,19729.174,3771.852,18744.934
312,26,0.020399999,1059459,2511914.5,1416047,3500131.3,1095761,2277360.5,31997.357,7784.035,17459.977
325,27,0.021399999,1109757,1468374.6,1161161,1711533.8,749779,1033352.5,14544.36,7426.7866,35488.266
364,28,0.0244,704946,976771.44,1607868,2186426.5,633571,934128,36123.13,2623.6165,8917.947
380,29,0.0253,761817,1180229.9,881787,1442999.9,429580,719122.75,33207.523,4777.214,14703.746
390,30,0.025899999,734786,1030859.25,1400219,2034494.6,383439,574233.06,30220.309,2867.4304,10715.446
392,31,0.026099999,670477,892531.44,1513920,2147171.8,519319,725023.6,84266.06,2215.774,9634.632
397,32,0.0266,690168,995815.4,1840482,2383410,647293,930547.6,16867.795,3172.015,7643.5654
409,33,0.0273,813833,3039753.5,1854670,4194304,958785,3049126.8,140751.78,12245.576,12051.012
414,34,0.0278,706167,989830.06,2024627,2716651.8,567150,857597.3,34228.535,4086.2983,12737.249
425,35,0.028199999,741251,1679478.6,1802317,3921833.8,630931,1513668.6,59437.813,6204.953,8476.296
432,36,0.0289,593099,789174.06,1456136,1878969.9,336144,461969.84,39778.656,2541.1702,20669.39
436,37,0.029299999,855125,1166775.5,1110068,1668437.6,580194,863827.9,38670.023,2385.0012,8679.554
442,38,0.0296,694801,909941.1,1143661,1619688,470331,638556.4,16499.008,3690.605,6937.112
446,39,0.0299,768720,1735707.9,1264582,3009956.8,573250,1284163.5,45254.02,4859.022,7044.671
458,40,0.0311,992895,1353717.6,1916403,2905563.3,521597,788245.56,86752.664,4562.9644,10945.517
464,41,0.0316,1163058,1733343.1,1125303,1637325.9,1143076,1806841.8,46014.574,3329.7056,15804.349
466,42,0.031799998,854883,1189773.6,1275959,1728584.6,722728,953483.4,35650.54,1991.1592,27367.316
473,43,0.0321,616400,1145540,1241783,3084165.3,659493,1130188.3,29257.79,3971.3672,9295.819
478,44,0.0324,999472,2342886.3,1837596,4194304,682732,2206978.8,98126.23,7478.7754,30187.998
482,45,0.0327,829251,1165527,1968985,2941957.8,743921,1084539.5,33006.234,4108.75,9540.308
487,46,0.0328,876546,1969138.8,1507487,3687310,876177,2060565.5,183754.16,5007.094,31989.992
