Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
1,1,0,680994,931892.5,1238839,1720191.3,642339,894621.4,13798.601,2717.9768,15903.532
2,2,0.0002,507762,702862.7,1141741,1415307.3,537023,746677.3,90534.23,563.6123,99368.625
5,3,0.00049999997,752498,962207.9,1591045,2120001.5,528314,704249.7,29813.717,3951.7217,24899.746
6,4,0.00049999997,904561,1377185.8,1525697,2123334.5,598311,924703.3,131736.34,1104.2269,67639.836
12,5,0.0008,605194,949048.9,1460737,2074340,551451,900645,89820.164,2160.2856,32510.947
16,6,0.0011999999,828250,1207894.9,1776153,2449937.5,874042,1331520.3,40952.9,5358.827,77365.52
21,7,0.0016999999,1105905,1443600.9,1470979,2623405.8,1042652,1398432.9,35517.348,5294.191,21153.492
23,8,0.0021,745996,988420.5,1012268,1451585.9,444335,628269.6,36189.73,6640.799,9349.823
26,9,0.0023999999,929421,1372944.8,943223,1416382.5,911835,1475639.1,89330.66,4207.63,14249.194
30,10,0.0026,615379,805279.56,759880,1023358.5,679690,910051,11698.249,2457.1772,34634.785
31,11,0.0026999998,966275,1386144.3,1687120,2322744.3,609474,944617.94,20874.885,3482.8345,109527.43
33,12,0.0029,403025,535125.7,1254271,1630465.4,522338,697315.56,14497.368,1766.908,61650.832
35,13,0.0030999999,777488,1051795.8,1157890,1608900.4,442259,636709.6,31374.313,2622.1018,14137.005
38,14,0.0033,707794,1079997,1350653,1923912,690677,1139841.1,27239.766,3335.5571,19781.002
40,15,0.0036,754986,999820.4,1831803,2418193.3,734704,920709.4,41120.926,3284.3613,22745.969
44,16,0.0039999997,975261,1431161.9,1576973,2184112,735228,1085450.3,45532.445,14397.361,16210.468
55,17,0.0053,1097587,2555992.3,2088775,4194304,998116,2710404.5,77168.05,12334.912,53294.727
58,18,0.0056,669794,897672.3,1380978,1969363.1,384217,557670.6,32248.135,2426.5686,26216.24
59,19,0.0056999996,781284,1113472,1257630,1695764.5,456921,683187.5,30119.99,3158.8398,83668.516
62,20,0.0058,1260555,2615434.8,1293441,3511327,1038191,2334464.3,118058.016,9862.235,41318.42
64,21,0.006,950948,1398755,1571737,2284732,565592,916251.06,26565.861,4000.732,9388.61
69,22,0.0061999997,860272,1121873.5,976960,1210817.3,536769,671479,33655.926,1548.391,29929.826
70,23,0.0061999997,1026344,1442829.6,1589798,2246179,792712,1203773.8,37118.836,5002.295,28014.66
79,24,0.0069,1089808,1630709.1,1678773,2365162.3,647576,1069329.3,55996.004,6643.076,37595.652
81,25,0.0069999998,877480,2005024.9,1571222,3863431.8,618495,1617205.4,42884.938,7987.8477,36246.375
82,26,0.0071,513281,669584.94,1153161,1500143.9,485541,589141.94,22496.246,1078.9413,8491.151
87,27,0.007999999,778137,1049179.5,968770,1294307.4,395007,583922.1,30339.41,3044.1406,20921.896
107,28,0.009,834827,3004989.3,1752988,4194304,831336,2927151.5,72479.84,13450.49,22921.984
110,29,0.0092,623823,829652,1382013,1961557.5,489307,711835.2,10770.608,3500.2021,13255.383
112,30,0.0094,742891,1093905.3,1479229,2170380.8,432282,706252.75,37328.75,7072.619,35248.8
117,31,0.0099,624198,869484.1,1183322,1578149.5,354019,533606.44,19582.186,4215.66,23730.16
120,32,0.0101,1068984,1716463.1,1982032,2894425.3,614215,1119964.3,54315.754,5089.268,16003.451
132,33,0.011299999,995347,1453356.3,1962544,2992510.5,793594,1280839.8,69638.9,4955.872,16654.527
133,34,0.011399999,931644,1293604,1593866,2142623,672730,911833.8,51540.5,5895.9375,10005.957
134,35,0.0115,854510,1095890,1464842,1990682.8,541402,728968.8,22805.916,5141.8384,44215.035
135,36,0.0115,771612,1024145.1,1411248,1925363.3,676995,899698.9,45982.44,2813.7195,32531.96
139,37,0.0116,748005,994131.5,1102817,1482337.3,969785,1229537.8,28167.033,2250.1584,15354.04
142,38,0.011899999,1133446,1435611.8,1148800,1662800.5,1270390,1689690.4,60366.21,1517.6357,77893.86
144,39,0.012,1120597,1542042.1,2024168,3195348,880380,1319193.4,25440.078,8656.605,28111.469
146,40,0.0121,1269383,3237116.5,1960269,4194304,1084238,2700093,183700.47,11898.992,48023.55
157,41,0.012999999,1090475,3494325.5,1825624,4194304,731860,2508407.5,104579.39,16210.166,12235.217
161,42,0.013499999,1238860,1721434.4,1997755,3099001.8,1017286,1533390.9,86441.234,5584.5986,12484.038
163,43,0.0137,963346,1342310.9,1843361,2485310.8,901463,1293128.4,28077.482,13414.883,9408.616
164,44,0.0137,596358,763857.9,1334971,1820033.1,354443,462056.84,27999.654,2319.5928,13149.547
167,45,0.0139,558015,1403808,1719242,3809204.5,514487,1320147.5,50201.96,6608.9585,157728.61
168,46,0.0139999995,804533,1103741.4,1878212,2625097.3,597273,828310.25,20173.957,4174.875,26551.482
169,47,0.0142,493046,686136.1,1433046,1911747.5,478029,675831.6,49288.96,304.8506,17977.865
171,48,0.0144,1068705,1368867.4,1428691,1995706.5,813665,1099805.5,22445.932,3480.5408,28186.168
178,49,0.014699999,881878,1350273,1621674,2428312.3,654421,1124448.1,86103.94,3831.337,15467.439
180,50,0.014699999,797080,1198909.1,1491152,2263194.8,629565,1016792.7,15477.819,3851.3674,43720.566
182,51,0.0149,716739,940903.6,1484621,2167537.5,667838,898538,28988.217,2075.0151,44125.42
184,52,0.0150999995,531885,683691.6,1522533,2046526.9,459041,610508.44,25381.768,1556.8914,12735.447
185,53,0.015199999,700387,1055464.5,1726979,2351947.8,526890,829642.75,24292.82,2994.9287,8289.884
186,54,0.015299999,1321957,3041963,1462370,3991305,969290,1993429.4,71202.21,19067.07,13878.634
188,55,0.0155,995185,1952814.5,1205703,3196594.3,982651,1745448.3,51779.754,4956.376,108568.67
192,56,0.0158,596254,879391,1074524,1541800.5,664751,1018950.56,38582.152,2608.7065,14189.934
198,57,0.0162,475826,621325.2,1252499,1671001.6,256933,357444.56,59976.523,964.75757,7742.5044
205,58,0.0168,1221234,3260317.3,1273639,2891304.8,1062421,2581552.8,82867.91,14277.215,36879.46
207,59,0.0169,1155266,1772362,1735805,2771018.5,891174,1448701.1,150718.55,5440.671,19414.475
208,60,0.0169,604019,905230.8,1313477,1790864.4,635631,959711.8,15801.491,3348.0151,11918.987
216,61,0.0173,465778,609318.4,1010195,1233912.3,279798,364141.94,22429.826,2011.5874,9133.226
219,62,0.0175,966880,1496361.1,958823,1508213,1281913,1874011.4,191013.02,1017.5823,28258.148
220,63,0.0177,808277,1049032,1187892,1586044.9,480975,660329.2,85226.74,2138.0962,27100.01
222,64,0.0178,1248623,3308261.5,1902653,4194304,939635,2591849,81757.2,10068.451,38832.03
223,65,0.0178,675826,974921.25,951243,1316284.1,593974,939440.7,19910.578,2230.229,18747.623
224,66,0.0179,1096865,1704375.5,1094717,1853326.9,669662,1151994,43767.52,7144.7803,20230.17
228,67,0.018099999,960495,1270437.1,1939238,2840755.8,769767,1130808.3,16302.806,15185.555,20162.66
234,68,0.018299999,1256486,2176640.5,1430371,3467607.5,879360,1550515.4,97230.77,5879.4688,52757.484
243,69,0.019,736912,1461124.1,1420643,3137269.8,720497,1333079.5,36787.23,6986.8354,7688.2007
246,70,0.019199999,956825,1209110.9,1455280,1930007,635446,846027.44,22022.875,2483.0017,47930.367
248,71,0.019299999,1116932,3404523.5,1535052,4194304,961927,2886356.3,137667.8,13622.666,16477.662
251,72,0.019399999,818731,1127982.1,1876067,2671097.5,611779,883124.94,32638.5,5207.4297,13590.045
252,73,0.0195,672925,861869.2,1614074,2172125.3,623911,787600.25,23500.17,2266.8467,8666.58
255,74,0.0197,686382,1027911.9,1428856,1971113.3,872172,1350719.8,33105.44,2599.3574,23054.418
256,75,0.0198,754822,1122597.6,1458043,2104047.5,669367,1086961.6,41315.92,5150.128,7446.721
257,76,0.0199,931769,1264181.5,1555873,2136837.3,759873,1075338.6,37918.813,3947.7192,12949.189
261,77,0.0201,1250390,2934941.8,2090083,4194304,927158,2259632.5,48831.445,11908.838,59421.883
264,78,0.020399999,366664,470704.28,1048718,1311374.9,455269,566443.94,33038.17,1973.7931,19524.313
265,79,0.020399999,1192931,1586767.9,1743540,2574921.8,854120,1145448,51649.074,5510.37,58605.605
273,80,0.0211,572772,768984.06,1164630,1530201.5,306289,431393.25,13073.448,2165.5195,30661.078
276,81,0.0212,1199962,1678069.8,1671244,2422573,826116,1278217.3,39818.38,4609.6045,26032.639
279,82,0.021399999,912952,1310570.4,2163285,3098130,613648,923982.9,36357.91,4092.4114,16015.398
281,83,0.021599999,756319,1225327.5,1114027,1621331.9,807342,1442084.4,35925.766,4057.7302,11930.831
285,84,0.0218,1027568,1553107.8,1928130,2796822.3,775838,1117870.3,30360.234,5393.717,11757.751
289,85,0.0223,508251,956342.9,1341586,2919406.5,574207,1173047.8,80118.21,4532.26,45736.227
290,86,0.0223,860879,1177261.1,1252828,1726228.9,759201,1080091,16520.797,2344.418,28656.47
291,87,0.0224,1122217,1621024.9,1620449,2383293.5,762864,1126834.5,52888.605,7036.43,61317.992
293,88,0.022499999,555378,765506.4,924792,1350369.6,303044,418714.22,18624.105,2428.614,21242.568
295,89,0.022599999,717001,951586.8,1490123,1994050.9,756158,1086185.8,49197.21,3528.8306,11985.14
296,90,0.022699999,977479,1378043.6,1416070,2003958.6,501628,750548.9,30436.324,5092.635,9034.298
299,91,0.023,974130,1422979,2126510,2761657.3,783216,1156025.4,34973.348,3842.498,25533.648
300,92,0.0231,981241,2434334.3,1589778,3362443.3,839502,2167918.5,89871.71,9216.477,52960.402
301,93,0.0231,582602,838067.4,1661703,2447546,694608,1012429.94,10711.818,5091.1675,14962.156
302,94,0.0232,535180,766122.44,1476165,2015804.8,599092,935793.1,15468.646,2581.7842,57027.965
306,95,0.0235,842247,1120875.3,1071562,1507122,517143,751272.7,30021.246,2983.9019,20287.129
311,96,0.023899999,1084025,2217863.3,1506272,3855835.3,875281,1834320,57026.086,9560.626,39704.76
318,97,0.0245,585750,895196.6,1177678,1724237.4,728689,1187163.3,69904.836,1405.7625,12043.054
319,98,0.0245,669399,894585.06,1317602,1684972.6,350936,476037.22,45336.55,1587.833,29127.1
320,99,0.024699999,971952,1317971.1,1466632,2362222.3,725194,1067701.4,21703.252,9061.665,8870.211
326,100,0.0251,1062514,1447240.3,1269961,2043377.9,820335,1232383.1,23967.668,4836.203,37931.066
328,101,0.0252,659106,953946.75,1203789,1661808.8,723528,1099005.6,45503.473,2866.5264,21168.152
341,102,0.025999999,978803,1383525.4,1019906,1363946.8,537739,786221.1,26343.092,6701.704,10031.651
343,103,0.026099999,734263,935136.3,1603413,2070408.9,524948,743462.8,16765.143,2313.9634,13056.183
346,104,0.0262,1073428,1437501,1856871,2402459.8,854936,1188018.3,71472.875,2583.8386,23596.674
349,105,0.0264,459185,573813.8,963988,1300017.4,571087,740433.56,15210.157,2755.0913,8039.782
355,106,0.026999999,441847,584988.9,1164034,1559566.6,246777,357651.28,48183.55,728.0829,11812.989
358,107,0.027099999,827602,1174505.4,1376979,1996084.3,819842,1235210.8,46485.023,6921.6035,20392.29
359,108,0.0274,929414,1295857.3,2013044,2656713.5,794684,1137570.6,69551.76,3672.8513,9773.449
362,109,0.0276,827363,1580510.5,1406322,3687547.8,1213510,2149897.3,43078.41,7080.0513,9051.815
367,110,0.0279,1070086,2820405.8,1798262,4194304,838030,2262661,53414.89,10952.014,33172.785
368,111,0.027999999,1084279,1585700.4,1248761,1787524.6,1025615,1604702.9,44094.977,4458.8486,85927.96
372,112,0.0287,651695,826740.25,1200545,1508542.6,628214,795216.9,36576.21,266.8689,40489.816
374,113,0.0289,889331,1333572.5,925323,1373105.9,1009775,1569826.5,34756.73,9128.523,55373.953
375,114,0.0289,869899,1202042.1,964629,1311533.9,483389,714102.8,72543.195,3186.5603,10855.387
376,115,0.0289,506919,637624.94,1164822,1484606.3,311903,403382.1,12046.175,577.53503,5607.438
378,116,0.029,986683,1403216.8,2072772,2772458.5,753600,1100686.1,68018.766,5208.2217,14780.086
381,117,0.029199999,880421,1797363.6,1776960,4070659.3,677888,1460055,85592.4,5405.781,57382.535
383,118,0.029399998,691198,1483979.6,1725131,3734876.8,583561,1483185.8,101703.55,6863.1714,23889.664
396,119,0.030499998,1180072,2730324.8,1566264,4194304,1051391,2583620,196039.13,6082.7285,50664.59
411,120,0.0317,827384,1111780.8,946503,1284012.5,528496,748924.2,17749.947,3655.3901,155468.16
418,121,0.032199997,779166,1089365.8,1063911,1501811.1,391942,633123.8,30321.533,2340.0515,8669.752
422,122,0.0323,1137784,2962887.5,2117473,4194304,1346520,3327885.5,113465.945,14660.041,67329.09
424,123,0.0324,780984,988739.06,1360270,1808612.1,485367,636201,33874.973,2077.695,7981.3413
430,124,0.032899998,858169,1128360.6,1453278,2064878.9,449531,637440.94,97917.63,2925.617,31812.49
433,125,0.033299997,1163293,1562203,1587245,2300012.5,786672,1165343.5,24679.822,3994.28,27190.373
434,126,0.0334,1096697,1556399.4,1823087,2628935,1164212,1747163,63806.58,3637.005,68452.93
438,127,0.0338,513711,661760.2,958064,1222457.1,617582,847847.8,18152.25,1980.1813,16118.673
