Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
9,1,0.00059999997,907949,2233586.5,1527921,3455795,749488,1818862.1,8521.636,73963.086,2522.4663
13,2,0.0008,586260,763256.5,1009298,1430121.3,696981,969446.1,1992.931,56576.285,963.0831
15,3,0.0009999999,1235811,2793316.5,1558580,4194304,1063721,2437486.8,8039.49,50239.496,2210.1985
17,4,0.0011,1008253,1316779.9,1363294,1842777.3,858187,1062227.5,2645.973,63707.7,846.34973
18,5,0.0011999999,1197704,1551015.9,1978919,2679539.3,1091981,1491909,3748.9656,188605.89,2672.4883
20,6,0.0011999999,640851,834623.94,1164833,1549480.6,543164,791331.56,752.5022,205960.63,-32.547882
22,7,0.0013,711004,834226.4,1029336,1453094.6,676618,827147.9,1539.2227,159346.14,454.9992
24,8,0.0014,1264705,2910183.5,1719367,4194304,1107219,2701904.5,7460.6504,470526.5,11329.714
25,9,0.0015,1221755,4037165.5,1412396,4194304,1272102,4194304,41141.316,112994.336,13291.764
26,10,0.0015,793110,2052295.4,1139045,3140188.8,791097,1788370.8,5769.331,259071.64,1684.3065
27,11,0.0015,1053463,1478136.1,1202445,1778328.9,767709,1158943.4,3542.0781,279496.66,4454.9243
28,12,0.0016,1375469,2161217.3,1534262,2557835.8,945675,1718299.6,5091.4497,574073.94,19101.621
30,13,0.0018,695229,844067.5,1177590,1594623,569383,718928.06,3434.725,113303.93,16244.856
37,14,0.0023999999,676764,936654.1,964417,1400716.4,835557,1201127.8,1235.0157,233655.88,3216.8706
42,15,0.0028,648616,851695.56,1230227,1600318.4,447471,597272.56,1742.8876,213782.72,1007.60583
43,16,0.0029,949785,1349972.1,1332541,1909097.1,493902,777267.25,2389.539,181280.86,839.10425
45,17,0.003,646176,852268.56,1116439,1505004.4,379707,556252.9,-22.839844,227469.13,536.58264
46,18,0.0030999999,793382,985493.2,1035118,1368960.3,904561,1185156.8,622.49524,195697.94,4102.8066
52,19,0.0037999998,1270075,1650058.1,1346395,1857602.5,1015846,1408166.3,3564.2075,51159.934,797.26184
63,20,0.0047999998,491786,628213.9,1507747,1959402.5,436521,562042.94,1179.5583,84937.625,502.05893
67,21,0.0049,756364,994819.6,1268576,1681512.4,478981,655912.75,1297.4302,392612.7,5928.9443
72,22,0.0052,792462,962067.44,1019417,1378551.6,830180,1046491.94,3101.9155,122968.26,1249.969
75,23,0.0055,1182014,1864176.1,1580725,2368382.5,745395,1315507.9,3465.3882,303999.53,12199.127
79,24,0.0058,954670,1286000.5,1377156,1872573.3,567427,830554.75,2557.2036,103840.48,833.541
80,25,0.0058999998,1061267,2044262.5,1252114,3170233,785570,1763805.4,6236.672,288161.72,15234.851
82,26,0.006,1231339,1736958.6,1287936,1879735.3,1258306,1823719.4,3548.4524,258783.48,7263.1685
86,27,0.0061999997,757088,1899392.3,1204829,2993598.3,629242,1933857.8,10444.848,396511.03,2386.4302
88,28,0.0064,605957,1578614.8,1154068,2861108,652506,1858315.6,5676.3496,74675.67,1306.1478
90,29,0.0064999997,1094094,1492587.3,1498468,2179048.8,736799,1072713.1,3125.6074,44682.73,916.9832
93,30,0.0067999996,818453,2112708.8,1237061,3042952.5,796712,1899712.4,6369.1743,185758.23,5518.127
109,31,0.0077,1127970,1493646,1007588,1469354.3,855077,1222766.8,3835.1274,232873.06,5005.5483
112,32,0.0079,730624,972351.7,1411476,1915295.9,463156,678387.5,1390.2719,212158.06,1156.8468
116,33,0.0082,874582,1247243.1,1591309,2196896.8,938927,1369031.3,3128.0195,345198.8,2705.7554
123,34,0.0087,871601,1220066.8,1206379,1830357,603702,902800.56,2827.966,344355.9,766.38196
129,35,0.0094,606443,811497.8,1246798,1717758.3,511665,745502.94,1429.4551,202530.39,443.6028
133,36,0.009699999,843187,1152147.6,1152385,1619792.1,973709,1405033.8,4248.999,104689.34,920.16785
137,37,0.0101,582539,734023.3,1339481,1823225.4,417524,582847.8,467.7942,280094.3,243.69696
140,38,0.0103,492217,596835.4,808207,1107866.4,530318,689015.7,1381.6787,155401.83,2087.5488
142,39,0.0106,1002248,1493174.9,1575535,2367537.8,754431,1241370.4,1976.7357,325060.78,618.1868
143,40,0.0109,500809,624017.8,1007399,1345063.3,290969,372728.1,1396.918,81850.2,520.42725
144,41,0.011,692434,1676781.6,822790,2066178,749569,1988353.1,6578.9697,60620.137,1807.7523
148,42,0.0112,775319,1782833.6,1680808,3454966.8,549783,1389653.4,5015.758,276045.63,1293.2731
158,43,0.0127,662109,1469148.6,1373300,3554416.8,530116,1416083.3,6279.666,100573.34,3710.6824
165,44,0.0132,647138,908736.2,1216684,1547602.3,717238,1046128.5,3134.383,136546.98,423.67673
166,45,0.0132,539207,707289.56,1351416,1703981,479511,630174.4,1234.1622,67766.04,104.74512
167,46,0.0133,883158,1394703.6,896711,1431634.3,902128,1577808.9,4832.5195,168543.5,739.6791
168,47,0.013599999,837201,2042085.3,1587931,4194304,667193,1604399.1,8113.712,509338.6,2427.7986
169,48,0.0138,720835,2561923,1213119,4167883,725566,2610037.5,12159.885,51606.996,12755.657
170,49,0.0139,950004,1236759.8,752980,1057535.8,771945,989531.3,9634.726,162421.98,3530.9424
172,50,0.0139999995,1095113,1695683,1410232,2198496,942412,1642065,2700.8643,138474.64,8876.775
173,51,0.0139999995,1406717,2136602,1678895,2686238.8,997483,1698119.5,6088.659,127830.44,1391.8256
175,52,0.014099999,846972,1212316.9,1504435,2282628.5,674939,922816.56,4281.3696,64168.52,1779.7882
176,53,0.0142,454052,574800.6,1219068,1577441.6,255764,341312.8,203.06958,125523.375,301.69714
179,54,0.0145,738260,1030435.56,1318245,1781644.1,410694,626467.9,1825.1904,62759.465,3359.736
181,55,0.014599999,526307,633465.2,1241420,1509540.1,524839,617526.6,438.97205,138018.8,211.65341
182,56,0.014699999,440713,568419.8,1136578,1462283.1,330334,423413.4,347.06628,305761.56,431.55402
