Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
47,1,11.787399,684336,947743.56,838672,1148799.8,676391,1070280.4,2903.4258,68763.766,13730.368
66,2,11.7884,452544,590088.1,1086381,1399166,507340,683185.3,1204.328,112802.61,15042.566
130,3,11.792399,1089390,1764867.3,1294081,2110542.5,1207597,2171500.8,5910.457,158478.38,17364.057
133,4,11.7925,844220,2465131.8,1083125,3098227.8,791170,2368144,12425.939,798251.94,14067.704
153,5,11.793799,608325,795372,1092742,1502872.3,683981,927694.7,2433.7422,171632.3,8304.57
161,6,11.7943,443617,527445.06,1082090,1328173.5,478414,593467.25,311.58716,175794.39,13452.402
200,7,11.7967,1001817,1979197.9,1648499,3669063.3,531716,1483766.5,4396.4707,563722.5,64304.953
217,8,11.797299,711024,958032.3,1457015,1919764.4,685764,1021603.56,2295.8604,95309.58,11651.323
222,9,11.7978,833031,1227286.9,1007130,1512494.3,638467,1125232.6,4116.992,536576.06,14170.923
251,10,11.7998,981908,1248615.6,1611879,2351380.8,761871,1134466.4,351.7329,508136.3,15056.57
297,11,11.802199,454230,592487.7,1071296,1371189.5,524124,677218.56,4144.253,199841.48,8423.267
308,12,11.8028,754274,979513.06,1113813,1426761.5,743447,990817.8,1163.6387,251501.08,17330.465
357,13,11.805699,682167,1534360.1,1460620,3549797,583277,1414824.4,5252.1924,206243.53,27296.23
369,14,11.806399,555217,666872.9,715899,963932,555573,727546.9,576.8345,62067.03,11090.544
376,15,11.807,387118,474276.7,1120541,1376948.3,390156,499557.6,1013.85144,93565.68,16178.165
502,16,11.814199,340456,438825.78,1343215,1627195.8,348517,453346.7,126.25464,237390.44,13295.248
509,17,11.8146,715279,1582855.8,1627917,3748845,672772,1657386.5,3049.806,404781.97,23298.518
524,18,11.8153,780433,1054174.9,780141,1079692.3,535627,786253.56,2029.4426,158495.53,17875.264
579,19,11.818399,857654,2736097.8,1322377,4194304,790282,3028696,15332.778,512011.13,19334.043
619,20,11.8209,952039,1085240.3,1165352,1673197.1,804066,1020600.25,1320.6716,175124.55,12095.237
643,21,11.822499,664060,886046.4,1098201,1473013.3,629726,918545.5,2884.7578,174221.81,10440.277
655,22,11.8231,934743,1332128.9,963088,1420333.4,917191,1529360.6,3128.3752,147333.72,30852.6
689,23,11.8252,709828,1751740.3,1582271,4093918,709636,1732266,5287.129,256177.06,9615.877
712,24,11.826699,1033721,1350588.1,1071016,1422914.1,646699,898457.94,2257.9617,321017.3,20394.094
721,25,11.8273,1167872,1506242.4,1671979,2266557.5,796459,1100144.8,1927.2456,304946.56,19931.68
800,26,11.830899,779919,2590539.3,1650463,4194304,789674,2442974.5,10504.09,154869.17,23383.33
804,27,11.8310995,498466,573121.3,1069569,1364019.6,286975,355551.97,-221.53564,224594.55,9549.365
805,28,11.8310995,835542,1860097.9,1288786,3219293.3,812990,1763631.4,2740.6973,562442.06,10341.795
808,29,11.8314,503359,619570.1,929738,1196464.9,532272,697901.56,555.20276,87111.734,9611.486
813,30,11.831699,1400078,2500439.8,1656647,4025359.3,966279,2100522.5,7253.6484,158745.45,23346.709
817,31,11.8319,1051658,3713833.5,1382567,4194304,1026002,3774852.3,11011.906,462899.56,14571.137
889,32,11.8352995,721996,900029.44,1197650,1620100.8,624230,891151,1020.3806,276939.6,8339.617
956,33,11.8392,681964,859734.2,987473,1322096.9,466671,608900.75,368.7163,232140.7,9613.774
967,34,11.8399,577567,769569.25,1520248,2004857.6,592974,862457.94,732.01013,195118.53,14016.194
1057,35,11.8455,647571,748218.7,1254469,1585967.8,554799,685380.44,-107.388916,135975.56,11081.595
1081,36,11.8468,964444,1497557.6,1192633,1826698.8,949057,1677151.1,4738.1143,243879.56,12071.553
1119,37,11.8484,604902,815172.56,952005,1305486.5,670622,1003347,843.3545,48280.63,7391.712
1129,38,11.8489,633017,823528,970306,1250303.6,597255,851632.06,308.7307,368359.3,11382.544
1168,39,11.8509,904042,2632580.5,1598401,3966574.5,938421,2846141.5,10656.246,565272.6,16874.996
1267,40,11.856999,1004636,2230680.3,1014513,2705404.3,1040198,2255847,7669.1387,387433.6,69540.086
1294,41,11.858,661184,822946.6,997096,1377451.9,682360,932302.2,1307.0546,167287.13,9894.067
1367,42,11.8623,653272,834639.7,928476,1299312.4,640994,919609.56,519.5383,234562.08,7813.999
1373,43,11.8626995,442673,539925.44,735020,1021783.2,455480,633705.44,-353.4226,235923.03,13001.102
1388,44,11.8633995,693929,845192.9,1149669,1546271.6,517748,699865,317.96326,221995.89,9021.62
1401,45,11.864699,1141834,3375411,1583980,4194304,721837,2737824.3,11380.703,512774.16,21055.25
1457,46,11.8671,805592,1115730.1,946582,1292051.4,844071,1303248.9,1346.5525,308682.44,11781.482
1520,47,11.8708,650405,2722958.5,1086571,4194304,629270,2850542,11346.064,287901.44,22839.244
1561,48,11.873199,1164363,1642205.1,1096904,1712594.6,1154355,1780234.6,3381.5815,570159,21291.246
1572,49,11.874,713864,1048004.4,1133696,1651174.9,770807,1241638.3,2112.0073,340550.63,8429.044
1575,50,11.8744,863267,1134982,986894,1362402.9,807179,1173011.4,2610.743,61009.918,19640.95
1640,51,11.8782,1258255,2055855.5,1861927,2915975.5,1170998,2175130.3,5497.508,431869.13,18890.82
1693,52,11.881,1330319,2056153.6,1671848,2712404.8,1440875,2412521,6372.52,332121.94,23295.64
1731,53,11.8832,519906,687969.75,460440,730850.9,523033,806062,541.8159,204897.39,13675.138
1771,54,11.885699,665682,834422.9,1029594,1347902.3,659854,866611.1,1557.1958,281617,12929.802
1801,55,11.8875,1198466,1802349.3,1579793,3020172.8,727508,1328857.4,3840.8503,275196.56,21543.229
1843,56,11.8903,275809,324345.03,1161929,1423781.9,216040,259678.38,-447.4231,90358.45,9768.599
1894,57,11.8931,614191,756325.4,1092033,1410391.1,356660,463984.22,5107.9453,280423.34,8456.422
1913,58,11.8946,605627,747046.06,1131639,1429177.1,433134,543905.2,327.03064,302137.44,6880.527
1917,59,11.8947,965948,2361176,1541150,3437969.3,698127,2160276,9655.427,505041.66,15300.031
1983,60,11.8983,743112,1668728.9,1145559,2818657.8,786122,1919632.8,4006.797,235694.63,9509.441
2013,61,11.8996,1161692,1522519.5,1436090,1908880.5,948531,1262019.9,1834.9788,367680.06,22098.55
2024,62,11.9001,769100,1846295.6,1375706,3676962.3,659402,1660730.5,7559.992,681181,12447.813
2062,63,0.0004,565193,712453.75,741995,973633.75,396073,511787.38,740.7766,124165.875,8568.01
2103,64,0.0023,1115527,1554028,1563401,2591981.5,885042,1450909.5,4367.327,124683.695,15268.567
2187,65,0.0075,463373,593505.7,915671,1200390.8,440016,608452.8,134.93579,42561.86,10413.257
2223,66,0.01,624529,1556273.5,981228,2318794.5,578419,1505501.3,2455.1675,628940,12555.931
2254,67,0.0111,758992,1042578.06,1431295,1956218.4,874041,1266703,1652.353,282666,9523.13
2273,68,0.0121,625705,825465.94,1459708,1888542.4,674232,902159.6,521.0215,136376.14,9283.389
2280,69,0.012499999,566597,1368541.5,1362855,3306175.3,376163,1030899.06,3750.6548,184046.55,15230.819
2293,70,0.0134,633826,901971.75,834482,1263314.6,686883,1072639.9,1950.7573,199765.47,10079.786
2336,71,0.015899999,1020551,2108077.3,1058845,2440908,1277789,2670111,10125.705,68750.195,12809.126
2356,72,0.0173,714720,1452822.4,1262240,3117933.5,546028,1413536.3,5336.4653,205851.31,9044.814
2426,73,0.0211,919075,2421643.3,1104316,3318440,1003517,2742084,8801.053,139945.1,18710.9
2435,74,0.021599999,755434,1064119.9,1224630,1696145,786453,1182113.4,1343.1802,164386.23,8592.821
2453,75,0.0221,358161,402145.75,748041,881418.9,380910,450649.88,-240.573,113459.31,7487.5986
2478,76,0.023899999,711619,940648.25,1157500,1643223.1,708787,1076125.8,1432.4913,168677.66,10603.774
2486,77,0.0243,737086,1708573.5,1104909,2606447,799821,2010748.5,3041.0967,710767.3,24551.71
2577,78,0.029099999,1026692,4194304,1649244,4194304,823006,3806570.3,17323.758,235599.8,12948.2705
2674,79,0.0346,748024,963290.56,1131293,1631258.1,661288,981338.9,1206.7334,294391.7,8830.5625
2691,80,0.035499997,388907,450759.75,1400011,1703938.3,361242,418820.94,456.39734,54337.6,7609.897
2739,81,0.0383,920817,1379876.4,1068019,1579202.4,866327,1452796.3,2847.731,105435.59,25633.365
2803,82,0.0422,538723,646355.44,736383,968381.75,272531,362990.47,1372.3191,145078.84,6375.5176
2813,83,0.042799998,338889,388762.56,907946,1125547.8,345955,427586.78,-62.841064,95921.484,7869.5635
2828,84,0.043899998,777687,1896244,1291053,3224879.8,799545,2209560.5,6173.4316,482105.5,10420.755
2849,85,0.0453,872427,2068426.1,1464690,3226018.5,848636,1988167.5,4960.4136,324721.94,14220.29
2891,86,0.047799997,499674,714057.3,1305482,1756319.1,538264,806238.6,965.5674,75834.266,11023.049
2987,87,0.0537,862988,1835057.6,1601802,4015455,697322,1714636,7350.6914,156667.28,13348.911
3034,88,0.0568,692061,903180.3,1060018,1464067.5,762032,1055065.1,1649.1505,273036.5,18123.373
3077,89,0.059499998,972291,1367782,1101352,1607687.8,625475,1001224.25,1612.8906,253921.63,16316.49
3104,90,0.061499998,579582,1138339.4,1313960,2070867.9,615341,1251933.9,1892.03,406463.78,10535.582
3120,91,0.0626,1030770,1434929.6,1868863,2755299.3,793761,1200370.8,10597.305,524258.6,16359.723
3201,92,0.0667,593009,841948.6,1319902,1942110.9,598171,936396.75,1718.7446,275077.13,12949.778
3229,93,0.0682,995341,1195160.5,1346696,1866706.8,689878,870049.2,1866.2888,209948.8,13117.873
3247,94,0.0694,605591,829576.3,1187567,1636380.6,576927,837304.6,1887.7644,115627.77,68821.52
3261,95,0.0704,1045348,2124617.8,1401543,3826336,1067628,2201882,7712.6494,246258.39,19386.582
3283,96,0.071499996,834352,1096507.1,1274207,1752490.8,754835,1051400.3,2547.791,162596.78,10134.886
3303,97,0.072799996,626113,871744.75,738762,1033345.25,707882,1079329.6,1872.3406,143385.4,7122.8296
3367,98,0.0762,815604,1247715.1,889818,1322464.4,937181,1514043.5,4437.9795,48427.184,9320.197
3372,99,0.0764,944268,1266104.6,1176283,1660072,937240,1339654.9,3169.423,166975.86,14926.922
3394,100,0.0779,680048,1469797,890890,1907457.1,775321,1688042,8737.099,192369.56,8729.899
3415,101,0.078999996,684624,955232.75,1078044,1520139.3,680698,1047118.8,2393.441,94761.07,13727.009
3455,102,0.081199996,456655,1117986.4,952061,2498601.8,544890,1312676.6,4656.588,146688.23,9694.773
3460,103,0.0815,1156476,3320643.3,1634628,4194304,834697,3205136,10224.162,168205.8,16578.4
3485,104,0.083,816622,1040981.5,1137203,1492589,560409,750785.94,310.5525,301404.47,11841.77
3543,105,0.0857,763436,1361462.4,689423,1444482.3,785113,1508298.9,4752.2256,189353.45,14059.315
3561,106,0.086799994,573421,760623.8,1190761,1495564.9,402417,571982.5,-526.6172,355375.72,6990.6245
3610,107,0.0897,672015,871013.75,1150686,1394864.1,762292,975373.6,321.22766,289604.94,11788.385
3698,108,0.094399996,900731,1130995.4,620449,864619.56,608207,823249.6,1457.3896,164700.88,26043.463
3701,109,0.0946,1033637,1190261.4,1109273,1376572.8,1156903,1344460.1,13975.784,128538.84,14335.306
3708,110,0.0949,591855,753369.1,1208564,1580006.3,327672,435982.8,127.411865,125564.086,7255.363
3733,111,0.0964,731019,1011111.8,1733478,2409398.5,591966,871669.44,3411.8442,70402.836,37260.117
3742,112,0.096999995,564361,642951.1,1194667,1499534.9,437280,546311.6,-425.42725,99882.02,9736.869
3759,113,0.0982,861192,1190096.4,1778667,2325933,898803,1314164.3,1599.0795,313408.16,15239.983
3770,114,0.0989,263963,325366.63,677789,867457.56,276642,368072.63,172.00171,130797.125,8373.064
3799,115,0.100499995,1008548,1459731.5,1386581,2028275.9,970513,1562931.3,4993.912,292817.6,49026.605
3814,116,0.1013,610724,794853.94,1169169,1503409,641620,863211.56,2126.4841,197470.48,7887.09
3842,117,0.103199996,787049,970636.56,957527,1308398.5,733685,976539.7,2111.7422,49296.785,9416.424
3873,118,0.1047,574553,767087.75,870957,1222902.6,649386,927918.94,1652.9865,42345.824,9136.938
3925,119,0.107499994,739311,1040540,1656703,2273909.8,575775,857304.44,2662.5657,140329.31,8955.742
3931,120,0.1078,1035083,1504079.1,1311878,1936444.3,1199972,1814145.4,3631.5059,94193.83,14381.128
3963,121,0.1096,330602,454970.66,858292,1108584.5,415866,580128.25,910.54724,158297,18225.773
3984,122,0.110599995,728816,972927.9,818589,1246836,716326,1039407.2,1592.7,141830.56,13602.934
3990,123,0.110999994,935962,1208172,1056132,1534671.1,643722,932449.8,1070.9893,498282.4,17441.412
4017,124,0.1126,707502,929049.25,1009158,1457051.5,659319,953308.94,2946.103,215730.69,9098.269
4060,125,0.1147,579207,755639.5,1194590,1542096.9,610317,850437.7,1336.6252,106534.734,19388.58
4192,126,0.121999994,777501,3155818.8,1498416,4194304,922008,3195348.3,12916.793,154359.16,27727.635
4206,127,0.1226,428921,520271.94,1276048,1572478.3,406171,479357.44,529.469,79977.57,12157.984
4254,128,0.1252,362151,452798.25,738113,902573.75,416374,539026.4,160.59668,114343.72,9854.489
4362,129,0.1312,567335,737742.7,1078443,1324534.3,322783,458720.88,-1028.4653,168258.64,7977.8467
4383,130,0.132,544369,700527.6,850625,1183559.3,615867,831077.94,765.9968,157064.89,13230.466
4388,131,0.13229999,615025,774714.7,1296401,1648000.6,535970,681366.2,1416.2548,247145.67,22317.346
4391,132,0.1325,672263,968089.4,1870923,2520381.8,665801,1007778.5,3275.2666,306450.88,34240.35
4463,133,0.1365,602653,744962.7,1151309,1453074,652697,839503.75,1068.1815,228997.19,10987.968
4508,134,0.13849999,607774,758870.1,1071594,1376144.3,625443,765719.7,583.005,89696.93,11243.397
4510,135,0.13849999,560111,742189.06,1092243,1514337.9,615957,860030.5,1246.8632,104328.13,7198.118
4581,136,0.14299999,828661,1161352.9,1238610,1702277.8,554306,880544.94,2348.9153,259090.89,9601.874
4595,137,0.14379999,978155,2452499.3,1359281,3714260.3,870852,2326630.3,9266.162,673728.25,15160.648
4781,138,0.155,1034880,1469340.4,1312333,1922187.4,545518,865924.5,11343.436,45506.848,14275.157
4813,139,0.1567,622326,834994.94,1321265,1868583.5,623295,897793.8,1615.2705,283339.66,9693.709
4823,140,0.1572,630217,1279010.5,804083,2056055,806505,1536609.3,4756.8643,91434.13,14746.303
4856,141,0.1591,762495,1038884.1,1323897,1859357.3,436656,649421.7,871.28796,425284.47,8731.747
4885,142,0.1604,652566,1359625.3,1243896,3022748.3,626500,1450648,3504.0396,205364.39,9029.686
4894,143,0.1609,957293,1336814,1268683,2447681.5,818907,1356750,3785.3452,85758.46,11982.132
4940,144,0.16409999,673141,920661.4,1277251,1703158,612045,834355.94,4404.6553,169414.34,8192.303
4946,145,0.1646,735927,947678.7,1270408,1651927.6,532348,698799.94,4340.5967,343759.7,13732.93
4950,146,0.1646,1104696,1732971.8,1160877,2033999.9,1056024,1877021,5782.2593,292013.94,53266.78
4957,147,0.16499999,1077305,1505305.4,1520531,2236500.5,853195,1330365.1,3485.516,277170.88,26743.14
4987,148,0.16679999,969025,1381139.3,1504286,2204983,717225,1166227.9,2156.282,335175.13,12062.406
5092,149,0.1727,886242,1230420.8,1448032,2036554.6,816606,1180020,3814.133,101495.98,12960.213
5102,150,0.1733,696037,1266170.9,1445913,2880308.5,432594,1055859.5,2061.3125,445552.4,8853.98
5160,151,0.1765,800255,1082046.6,913631,1359349,812185,1179544.5,1112.5527,266010.53,15615.793
5172,152,0.177,819304,1468888.5,1224547,2878559.5,809441,1534501.1,3409.09,238332.9,9773.857
5204,153,0.17899999,1083390,1561392.3,1509471,2398468,706629,1145188.4,3660.7559,53197.863,14502.864
5235,154,0.1809,670728,825553.56,1338511,1841875,460731,650796.7,1574.5537,195504.67,8011.9175
5256,155,0.182,718502,1089516.3,846579,1230045.1,750404,1254653.1,2366.8464,49430.277,8745.032
5338,156,0.1864,790336,1719941.8,1402651,2880432.3,843684,1752916.9,5590.9834,314677.16,11825.308
5350,157,0.18679999,555774,747990.3,1050915,1497472.6,405723,622552.44,1120.8517,132193.38,10804.969
5409,158,0.18969999,511544,639700.6,1168220,1583794.4,511451,694272.7,5180.7217,64220.73,9452.733
5421,159,0.19029999,883010,2771083.5,1811780,4194304,929246,2961412.5,10698.464,434058.38,14073.534
