Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
116,1,0.0082,991410,2363219.5,1171016,4194304,648092,2123701.5,7501.918,811190.6,35734.285
308,2,0.0221,785501,1861693.9,1271960,3194128,721162,1905530.3,5879.0293,477870.88,9772.3955
333,3,0.023599999,866956,1194847.5,1462304,2026487.5,855264,1259413.4,3397.563,44489.293,14898.034
341,4,0.024,1096370,1475790.8,1587424,2620312,589382,881005.75,74121.555,148852.03,16394.66
454,5,0.0316,496066,625269.6,1057604,1375351.4,550842,734920.4,740.8424,241329.69,8148.218
496,6,0.0345,651310,841060.7,1202520,1578762,668923,897016.5,6160.375,348516.47,9775.732
575,7,0.0402,945333,1312262.3,1675388,2419590,802426,1239502.4,9730.993,79165.18,12240.467
640,8,0.0447,354132,430518.1,1310641,1590671.8,310427,368147.06,-358.68457,270059.78,7496.604
1321,9,0.091199994,1162660,1860280.1,1676532,2878058.5,906354,1630521.6,16896.113,111563.516,19615.03
1483,10,0.1016,724926,1566377.5,1152900,2876720.8,784869,1785788.3,6186.484,187847.4,19291.656
1634,11,0.1121,895433,1176211.4,1173724,1598094,700536,937606.5,10614.658,351123.44,13378.728
1878,12,0.1283,899205,1213698.1,1470355,2171371,776971,1210258.5,1178.9138,265643.7,15872.421
1983,13,0.1355,952613,2231053,1353795,3315455.8,895044,2203672.5,4755.704,313906.63,12364.501
2468,14,0.1695,570289,787108.2,1227444,1546919.4,441846,618632.7,1433.0585,305974.22,6983.175
2649,15,0.1823,609122,695198.75,1147095,1575856.1,628442,746822.3,2451.834,303561.72,17271.95
2914,16,0.1996,1028606,1388369.4,839303,1274861.6,851059,1297166.1,29409.25,150749.67,18100.738
3072,17,0.2105,667212,831521.5,882814,1240612,714661,1001381.5,819.9292,280908.28,8957.255
3113,18,0.21319999,270955,305285.4,1242797,1527657.1,238667,272099.06,-9.693115,177719.3,5514.9355
3137,19,0.2146,1375603,3465394.8,1559684,4194304,1270208,3357323.8,60581.523,568164.7,23206.793
3333,20,0.2279,659075,887339.06,678135,940229.2,675256,1014180.06,1034.8949,211911.4,27061.125
3494,21,0.2393,562076,812342.2,980693,1422765.5,574472,925600.8,3634.7588,169329.55,6645.51
3729,22,0.2553,791188,1075730.1,1556589,2051366.6,726305,1045973.2,1705.4055,332829,12073.617
3838,23,0.2636,627070,1229135.6,1456488,3694901.8,589024,1226558.5,3864.7336,76202.734,8197.429
3897,24,0.2671,732849,962316.25,1178469,1761420.5,871414,1264872.4,5092.3584,140860,9210.155
4005,25,0.2746,434061,527208.9,887703,1147552.8,272583,360262.56,1903.0365,281220.6,47804.473
4445,26,0.3049,296361,377548.8,566945,768761.2,372168,488190.94,1573.0698,74515.75,5355.8433
4647,27,0.31689999,623757,811056.3,1002213,1457610.8,425051,619219.7,30403.057,49819.418,16570.145
4694,28,0.3206,443834,538497.7,1167806,1478189.3,375601,469249.25,739.8248,190007.05,11446.295
4741,29,0.32369998,685258,848997.56,965898,1267022.5,415834,591161.06,3887.9736,112214.414,8499.978
5053,30,0.345,908042,1025786.25,1435995,1827747,733281,831204.44,56686.438,133465.83,14938.075
5195,31,0.3547,519101,606457.2,1267485,1603135.8,467598,575117.25,1046.0554,253125.02,7012.2495
5236,32,0.3572,442882,563781.8,846053,1114951.3,436506,640290.2,958.61743,266289.6,9415.178
5263,33,0.3585,960587,1421232.9,1361732,2077192.6,869933,1472363.6,5177.7266,122767.94,16002.791
5894,34,0.3992,276260,337565.34,1216340,1543159.9,295752,351602.25,1132.5608,106623.99,5398.1826
5911,35,0.40019998,209181,265111.34,809431,964552.1,151959,203978.63,1838.8252,146314.67,12764.179
5966,36,0.4041,336288,393978.2,824003,1067845.3,378867,452589.1,1167.4314,199707.13,8063.9272
6282,37,0.4235,854854,1592459.5,1230559,3196658.8,900003,1624851.9,4006.9214,281470.38,10275.877
6332,38,0.42729998,813808,1084387.8,1383933,1877937,647158,932188.25,625.2573,279864.72,19334.596
6431,39,0.43339998,517167,661000.7,1199566,1542784.4,558450,717303.94,1968.9457,275915.13,8443.033
6516,40,0.4394,456848,547613.06,1094490,1428033.1,230637,303064.38,-100.15234,163008.36,20816.773
6606,41,0.44509998,331085,380107.1,565122,719916.8,356064,448636.97,2998.5903,325686.4,10863.114
7081,42,0.4759,671716,881734.3,959096,1275892.8,358919,519606.63,775.411,324141.13,7587.025
7090,43,0.47649997,584525,779596.6,1136773,1571796.4,676505,959015.25,1837.3624,216763.28,17931.842
7122,44,0.4793,1348598,2114444,1675283,2388158.3,1276482,2224766,8976.3,419374.72,25484.713
7353,45,0.4922,554431,667821.5,1312295,1669942.3,431117,522393.4,-780.91895,458988.03,8471.719
7519,46,0.50339997,655817,1120178.8,673839,1012364.3,726857,1340055.1,10417.232,213652.63,23481.502
8144,47,0.5448,914968,1171879.9,1607249,2323615,575483,853333.3,7813.8193,307933.2,13497.025
8198,48,0.5484,569785,702021.2,945120,1274814.5,355686,470630.88,1216.2458,170716.23,6650.191
8243,49,0.55079997,448867,567258.25,1042902,1291914.6,502837,644381.75,-159.83887,139476.06,11701.266
8260,50,0.5524,399138,468455.3,1241129,1530017,362419,446824.94,736.98486,98938.62,7273.1875
8334,51,0.5574,816887,1213698.4,948436,1318353.6,796089,1343748,1235.0627,356088.66,19364.541
8529,52,0.57159996,450202,592437.2,722831,904391.25,378078,524094.22,6815.8486,154550.33,5950.0063
8710,53,0.58199996,771956,1053194.3,699047,968132.2,877739,1229294,4968.283,392537,12588.497
9348,54,0.6238,652134,839823.06,1235852,1731419.9,541883,789692.2,5197.3677,204739.78,8632.982
9582,55,0.63839996,899618,1165950.1,1147410,1569632.1,522461,737802.4,2337.322,140606.64,11032.9375
9584,56,0.6385,986638,1347169.4,1182670,1776141,655766,1012032.94,3681.8945,53325.74,17980.383
9863,57,0.65599996,569953,1409428.9,1175692,3115364,531509,1449082.9,3047.6785,414896.78,9851.106
10254,58,0.6807,868368,1157417,1007032,1448909.6,562244,851305.56,3227.5176,54730.883,12494.512
10267,59,0.6814,531015,643239.1,1214881,1618900.8,508740,675696.9,1783.0061,141048.63,6321.288
10274,60,0.6817,435351,540667.5,760272,976374.7,252759,330322.53,2694.4995,249242.64,17540.89
10858,61,0.7184,563965,782155.2,1062163,1376652.8,545568,806281,1660.77,177921.28,10307.452
11131,62,0.7378,543162,689759.5,879512,1194692.1,619143,829681.7,4258.451,396773.75,8091.1387
