Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
34,1,0.0026,502608,674065.8,675546,882071.3,330441,451178.22,3626.571,111613.88,21660.97
305,2,0.020299999,780242,1108071,1234347,1993612,450337,707086.3,2439.7615,201011.63,24689.254
458,3,0.03,871831,1054470.5,863901,1291057.3,696053,946269.56,21123.96,67134.95,17734.543
650,4,0.0423,377411,443083.25,1170882,1505529.4,219044,272662.78,-487.02344,232923.5,8238.209
655,5,0.0427,739203,896087.4,1342455,1671711.3,757032,909717.6,1520.9927,159879.9,11574.682
917,6,0.0618,767977,1141604.8,586555,956755.9,474193,730285.75,3415.746,45158.152,10900.838
1099,7,0.0739,397106,509738.34,1212461,1516474.6,434541,569868.9,996.8419,227006.94,8903.707
1134,8,0.076299995,632551,1681889.4,1145369,2882400,716790,1791541.6,5369.865,543766.25,13359.712
1182,9,0.0793,1311495,4194304,1333889,4194304,1161376,4194304,137724.36,458948.47,73897.266
1294,10,0.0866,274164,309026.75,990733,1204948.4,298672,353523.97,-316.87744,246672.52,6956.4185
1362,11,0.0915,591322,865470.7,1184577,1577031.6,589400,909258.3,2866.1501,278366.94,8367.65
1403,12,0.094,784527,1975202.3,1236359,3252331.5,590931,1676735,8893.26,135513.63,9136.977
1657,13,0.1127,722262,1653004.8,1120983,3045365.3,685110,1647927.3,4601.846,337621.44,9412.705
1677,14,0.1144,694185,934504.2,1191145,1572498.1,706637,953620.5,1542.9304,200970.17,10820.802
1679,15,0.1144,688146,877963.5,1437357,1897751.6,692859,954821.2,1649.6301,286974.84,11912.875
1766,16,0.1197,1332701,1871502.4,1172780,1960929.9,1286785,2045577.8,7485.6494,447399.44,43453.313
1796,17,0.1215,479110,686719.75,1036770,1434179.6,349443,538943.94,3455.9507,371817.4,6982.8945
1959,18,0.1331,422052,539012.06,954467,1279454.4,440336,617595.5,2426.494,93319.484,9216.679
2098,19,0.1428,871289,1153701.1,1217068,1727144.9,898218,1324906.4,3328.4705,211043.25,14791.446
2312,20,0.15779999,556160,702226.44,1337094,1716826.5,509039,686631.06,1144.0532,146069.92,8567.692
2356,21,0.16059999,856267,1071774.1,982348,1282257.4,491072,639394.06,2018.0475,167770.1,9966.431
