Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
42,1,0.0032,939544,1316754.4,1338038,1799439.4,837181,1258310.9,9123.145,204134.47,35149.957
46,2,0.0037999998,1224176,1493834.6,1328661,1753698.8,1145803,1444487.1,58875.402,108005.33,18083.355
59,3,0.0047,693826,897858.8,1274977,1859234.5,590433,815658,17457.307,344015.25,9573.431
131,4,0.0106999995,620134,1429162.4,843594,2113248.5,753404,1721122.3,13224.342,122052.99,8384.46
251,5,0.021499999,792913,1610333.6,1271863,3177109,743135,1784437.1,14639.73,438475.22,9081.25
291,6,0.0252,984163,1391193.1,1123137,1528346.8,654119,1008807.94,12533.958,403790.03,38447.34
413,7,0.0368,879524,1725984.1,1106744,2826592,809745,1775593.6,16196.489,222708.7,12651.674
452,8,0.039899997,704811,2185959.3,1280832,4194304,736418,2084333.3,21648.625,57296.258,7936.0874
644,9,0.0568,1002918,1338281,1631809,2221853.8,681625,933874.8,9837.077,179447.98,13437.427
692,10,0.0613,865435,2026054.3,1564633,3730152.5,795958,1901371,16801.305,219557.53,10549.917
706,11,0.0626,738139,977428,988455,1380751.1,838759,1103528.8,6472.716,76408.734,8902.319
739,12,0.0654,429941,530492.5,748650,933294.4,538397,690010.44,2930.4482,195473.69,8236.493
801,13,0.0709,653959,819678.94,1186276,1547692.9,595361,766033.9,4142.2744,73952.86,7710.043
821,14,0.0725,901083,1614753.1,690048,1645765,921531,1877007.1,15407.552,165803,10644.306
927,15,0.0809,957205,2229628,1025020,2483009,770170,2089187.8,19755.63,267342.4,11390.122
953,16,0.082899995,1002526,2610314.5,1486665,3539381.8,893688,2121994.8,21942.52,129904.12,30828.842
1006,17,0.0872,942855,2166476,1528855,3419058.5,575328,1563050.9,21679.469,370314.34,19458.63
1049,18,0.0905,761007,918032.3,689268,920103,756561,951253.2,19417.908,195096.22,14958.067
1102,19,0.0951,992370,1359652.4,1556561,2185443.8,933339,1438069.4,14849.238,78425.016,14127.299
1191,20,0.1033,1071589,2489245.3,1316359,3177306.3,795120,1878998.5,21469.672,919114.25,15267.944
1231,21,0.107099995,1068669,3441056.8,1572351,4194304,761945,2914257.5,37881.65,69770.1,17741.293
1431,22,0.12529999,915904,1238180.8,933227,1362855.9,756234,1177673.4,11861.953,50761.715,20859.055
1491,23,0.1308,319056,362373.4,1108198,1393353.5,284423,349004.88,2566.642,131486.23,9738.96
1494,24,0.1309,707309,889478.3,1342628,1685719.3,622215,828316,6400.6875,78749.06,8287.411
1517,25,0.1329,937782,1298502.6,1429409,1858359.9,655464,959545.56,14147.274,107118.695,15156.34
1611,26,0.14209999,484403,654583,1126162,1459416.9,526798,698069.06,5911.5913,249333.5,5744.654
1805,27,0.1585,923494,1179021,726143,1024303.06,1033444,1389766.4,8627.824,62522.934,14842.343
1946,28,0.17119999,749553,968451,1010110,1377666.8,802145,1109505.8,8992.015,175661.11,15775.261
2058,29,0.1794,777366,1011802.8,1449418,1981679.3,515928,728681.56,5829.168,254250.1,9524.947
2386,30,0.2084,673583,867554.75,1035314,1314721.4,680093,938392.3,5054.561,168507.23,9124.465
2430,31,0.21229999,711245,1033830.1,994722,1438657.5,566997,941466.75,11469.999,75267.62,12061.015
2473,32,0.21599999,659586,869614.6,1241128,1840430.8,567080,833363,10351.695,136977.44,9056.551
2511,33,0.2189,337656,422384.78,1239374,1454008,209980,277562.88,3523.5305,123994.195,11455.391
2562,34,0.22399999,591186,789727.06,1490303,1984741.8,605795,831008.56,6018.203,262568.47,30847.98
2567,35,0.22469999,694835,898618,1319735,1681793,725461,990911.7,4842.082,156869,8371.669
2603,36,0.2279,1071947,2124197.5,1367160,3012064.3,745611,1895637.1,21634.63,374141.72,14403.85
2821,37,0.247,743440,982587.5,1245257,1552723.4,524445,701649.6,5465.465,147725.88,10365.37
2871,38,0.2513,792103,1030774.94,1195723,1696921.5,692645,990321.2,7880.541,103861.445,14579.601
2992,39,0.26369998,1136227,1438109.9,1127665,1665152.6,897557,1257892.4,7527.6377,215047.44,14801.551
3009,40,0.2647,581104,722328.9,1091004,1463731.3,539140,728714.75,6161.3633,163726.58,8634.425
3086,41,0.27199998,411858,590740.1,844047,1315759.3,432409,672457.94,4582.9614,64649.32,17231.174
3480,42,0.3062,642110,1513718.9,1091102,2287967,639183,1646910,15666.298,464930.97,12516.63
3593,43,0.31559998,474691,621007.7,719317,909710.8,523404,727159.94,3281.5425,134707.61,10360.914
3883,44,0.33929998,760037,991531.5,1076002,1424357.4,472209,658241.5,7921.8047,74183.445,17060.713
3968,45,0.3466,1003275,3054822.3,1067862,3821102,1154199,3743448,45680.895,310979.1,18663.088
4146,46,0.3628,720456,975734.94,1088214,1410045.6,520901,738999.25,7176.24,326992.38,14290.458
4544,47,0.3974,835432,1727270.5,1017904,2329202,846038,2069961.1,17177.61,47911.934,27809.75
4634,48,0.4041,1008419,2415070.5,1647341,3798052.5,704030,1756618.6,16118.509,798664.1,20982.777
4645,49,0.4051,797507,999521.4,1133391,1478941.1,415980,555894.6,8469.656,96258.85,9635.166
4707,50,0.4102,769636,993976.44,1162208,1733398.8,542549,762919.44,10085.223,228713.73,8700.688
4759,51,0.41439998,1095440,1464403.1,1482707,2061204.5,711679,1048212.06,11896.75,167253.38,15639.247
4792,52,0.4173,798392,1113117.6,1125244,1556683.5,843072,1270834.8,7059.994,291258.6,10422.606
5007,53,0.4335,635558,1590439.9,1055074,2761418.8,654319,1378899,13183.001,345532.4,8803.515
5052,54,0.4367,692414,813106.6,984728,1280573,429986,554968.3,3792.0012,178400.28,9820.167
5053,55,0.4368,969841,1270341.9,1414362,1883906.8,880574,1248944.6,7736.5938,70671.77,14252.665
5067,56,0.43789998,1045180,1381162.8,1621150,2292609.8,662879,1004884.94,10013.676,73453.7,14679.35
5144,57,0.4447,514416,613733.6,1290522,1599825.4,446292,565962.8,3788.7227,573766.3,7920.9834
5155,58,0.4455,741113,985611.9,933075,1280275,703366,1038883.25,7535.165,95607.69,10851.92
5178,59,0.4475,561686,682445.6,1159096,1502939.6,335148,437087.53,7333.046,56722.895,7659.2617
5208,60,0.45,864900,1153433.3,1142127,1635264.8,836056,1191000.3,7052.0273,331943.4,32428.371
5274,61,0.4561,736993,908455.7,1297296,1701043.4,703383,942660.5,5315.2925,323361.03,12421.026
5278,62,0.4563,941427,1169384.4,1307763,1826230.4,538676,733920.3,9906.615,274665.06,17832.727
5343,63,0.46089998,666839,861955.2,1370435,1723279.4,486854,631876.9,9798.611,68775.14,9590.188
5407,64,0.46649998,675106,1110268.6,1043523,1590382.4,606407,1159373.4,18742.377,107234.94,18866.984
5554,65,0.477,1402076,3073761.8,1692627,3932961,1273247,2787181.5,22457.799,735788.06,69632.96
5710,66,0.4901,616514,763039.7,1037705,1326466.4,632078,778053.3,6194.634,116857.82,9252.988
5868,67,0.5036,1072306,1705262.3,862901,1449358.6,712248,1276498.3,25478.838,374368.03,21661.773
6120,68,0.52419996,1365233,1798804.9,1638342,2375362.3,1281321,1819444.4,77475.28,482781.88,21867.766
6225,69,0.5327,968017,2384031.3,1268422,4194304,841788,2606028.5,22071.635,158823.33,17859.406
6851,70,0.58559996,864154,1213401.5,1265823,1683724.3,572520,881302.4,7920.3975,105628.03,15467.082
6917,71,0.5906,693973,850791.4,1044577,1386671.1,592537,796642.56,5985.7354,304601.88,12029.134
7045,72,0.6024,609693,750539.06,1619802,2065602.8,613847,784275.8,5686.8877,134437.97,11768.997
7113,73,0.6073,954158,2519523.5,1398206,3850188.3,1029523,2664899.3,32661.396,211633.3,20145.79
7243,74,0.61899996,467027,570095.44,1498006,1888264.5,481860,616294.6,4518.1143,182646.3,9149.58
7303,75,0.6242,974725,1245064.5,1038065,1380345.3,898075,1158571.4,11846.96,452325.63,11938.8
7334,76,0.6271,914559,3563351.5,1330823,4194304,900696,3552953,29270.836,366591.6,11267.586
7340,77,0.6279,903511,1216566.9,809863,1361303.5,1001921,1495601.5,9681.321,450465.25,10675.582
7373,78,0.6308,410225,486302.38,1268298,1569100.5,272741,345056.66,3298.4648,274730.84,8737.406
7615,79,0.649,976182,1151002.9,717024,904777.56,1159609,1342518.3,78621.805,154735.19,20770.152
7682,80,0.6536,766344,3101540.5,1374904,4194304,843963,2783795.8,35207.723,330312.28,14582.136
7713,81,0.6562,996493,1329737.1,1659057,2235473.3,684987,989283.9,13238.514,347577.3,13737.491
7907,82,0.67179996,760838,944786.56,1044300,1421940.8,471840,642199.6,7586.994,325001.88,9860.713
7958,83,0.67579997,1032624,1589188,1301762,2128318.8,938668,1665177,19590.111,504048.84,12690.17
7974,84,0.6778,1112850,1348646.6,1352191,1881861.9,1019623,1389989.3,7948.174,262295.1,18255.764
8152,85,0.6914,911427,2359111.3,1745627,3818126.5,867975,2629785.3,19136.766,277063.5,13236.909
8304,86,0.7037,501316,545415.25,898471,1085428.6,263276,310107.3,1913.9336,167153.39,9182.69
8351,87,0.70739996,716073,1721407.4,1192077,2654543.3,751765,1993487,16458.66,193124.6,8717.188
8580,88,0.7276,695653,887633.06,1311780,1675007.8,674873,934345.9,5046.1543,120135.055,9737.603
8789,89,0.7442,272221,335836.5,1119976,1363738.8,339926,407443.3,2675.0676,130284.56,6972.7144
8798,90,0.745,853948,983212.75,1089056,1387218.3,873539,1049741,33150.61,113151.445,9915.059
8822,91,0.74729997,762178,1779603,1075487,2403227.5,762917,1610802.9,16439.115,141521.7,10635.574
