Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
6,1,0.0004,971166,1348768,885029,1248769.5,1064464,1586602.3,3318.9758,463973.5,19553.338
16,2,0.0011,1031474,1668728.6,1700825,2455443.8,1144788,1897133.5,4720.882,88143.516,23358.785
20,3,0.0015,1038580,1401806.3,1569356,2320485.3,929399,1375496,3705.5256,107254.35,22598.691
47,4,0.0037999998,633710,1552585.5,1345240,3328347.3,704927,1853880,4066.1382,370022.9,38877.445
69,5,0.0058,663464,821966,888860,1209409.9,359720,484810.03,901.34485,293779.7,7764.1763
134,6,0.0117,953673,1255571.8,1126271,1418307.6,1039787,1386004.6,1223.0992,86719.484,15144.006
138,7,0.012399999,579450,1376631.9,837095,2036217.4,705500,1695335.4,1705.6367,329395.78,16694.643
162,8,0.015,632683,791663.9,847308,1074158.3,678946,886875.75,316.73572,147663.5,17803.924
183,9,0.0169,946208,2486344.5,1358012,3076091,718430,1733564.3,5615.521,353975.47,12500.548
241,10,0.0232,1130638,1633870.1,1359517,2122772.3,927681,1561298.4,4689.9004,48062.89,23493.992
291,11,0.029299999,1054343,2205353.3,1377788,3680850,1118059,2677210,9652.464,682221.2,15158.016
293,12,0.0298,670926,991914.75,1591587,2125768.8,627731,966769.75,2043.642,382899.78,12452.545
323,13,0.0328,1089158,1420888.9,1283695,1848428.8,1177542,1597891.6,5310.168,98683.49,16603.064
379,14,0.0389,660003,876475.1,874491,1158122.8,721953,1058439.5,375.82666,240322.19,12786.495
380,15,0.039,690626,914635.44,1386987,1828870.8,652144,913520.3,1302.7266,176122.08,8649.697
387,16,0.0396,979144,1386871.5,1355450,1911639.9,634739,989241.06,1783.9224,104017.12,17433.846
442,17,0.0468,769464,982205.3,1060302,1398894,745858,1015213.3,1214.6857,81799.67,12626.661
473,18,0.0495,812743,2216557,1477013,3501339.8,816651,1996953,7035.871,248663.63,16788.342
491,19,0.051,864629,1195497.1,1339193,1755635.9,781468,1132009.3,3414.7034,192371.4,36014.316
563,20,0.0607,1008184,1604145.6,991280,1674023.3,1228211,2028731,6192.13,262990.84,171658.45
612,21,0.065299995,992984,1352687.8,1567477,2037151.3,911105,1303696.6,2558.9617,358985.6,12110.281
647,22,0.0686,495812,725229.94,836995,1136948.8,597738,960535.2,1712.0593,287478.2,9610.515
656,23,0.0692,1246912,3073197.8,1475120,3272993.5,1206100,2672373.3,10521.74,424696.34,21378.563
670,24,0.0709,712392,887543.8,1217056,1541731.9,751415,973070.75,840.19226,164846.52,25499.338
753,25,0.0801,708919,835335.44,1429453,1739553.4,706168,839659.75,4951.213,90171.97,7946.721
785,26,0.083,699916,912997.56,609623,824476.3,766402,1084292.3,2056.3904,222571.47,10960.65
872,27,0.092199996,1180348,2492388.5,1104447,2088497.1,1020004,2414506.3,23208.91,65083.645,19897.287
882,28,0.093499996,1124043,1569830.1,1577094,2275819.8,761486,1124953.8,6666.417,291563.5,16340.076
931,29,0.0975,1249889,4194304,1154108,4194304,1327799,4194304,10014.895,633199.9,18259.143
971,30,0.1015,1074593,1436375.5,1439765,1964660.8,763381,1094739,2532.4375,117721.375,87429.5
976,31,0.1021,846020,1237914.1,1447354,1961846.1,957449,1521813.9,3185.8027,184106.2,13473.316
1002,32,0.1042,506443,645314.1,1075844,1458015.5,529229,756964.56,732.4238,86435.22,14533.756
1015,33,0.1055,827764,1006671.75,1374589,1757329.4,643044,804820.4,941.3882,104079.484,12182.383
1017,34,0.1056,701759,1000117.4,976125,1409305.3,706818,1127974.9,4668.9385,179612.56,10271.401
1041,35,0.1083,469217,571904.9,896593,1143556.1,462755,611846.9,260.02576,109728.04,8412.641
1059,36,0.1099,952073,1424753.1,1957936,2552474.3,847998,1300237.6,5358.4497,98649.16,47471.633
1077,37,0.1116,888454,1194852.8,1001530,1429936.9,1013624,1387401.3,3938.1353,226297.72,13265.071
1078,38,0.1116,649135,916377.8,1053157,1414341.4,503087,738183.75,2066.2463,116517.266,7958.8604
1091,39,0.1129,608831,880318.7,696286,1030149.1,698139,1084124.1,483.78784,284588.8,7237.1987
1107,40,0.114599995,735522,949692,1348811,1792695,587502,820198.44,317.34888,237562.6,9812.897
1116,41,0.1157,823112,1120727.6,1360942,1793595.1,845678,1193643.6,1159.0729,306571.38,16865.83
1163,42,0.1201,944552,1773402,1438211,3241533.3,1087138,2203267,4965.2793,603068.6,14772.312
1190,43,0.122499995,711275,880838.56,1429487,1752996.4,799983,990186.9,1248.5448,175207.67,8013.2666
1211,44,0.12459999,929920,1322275,1310596,1813503.1,985502,1382057,2031.0833,50851.734,38242.55
1227,45,0.1258,835669,1139763.4,807486,1173741,1007437,1387970,2284.291,117731.664,12731.197
1256,46,0.1277,382778,541938.6,710505,989157.5,509641,805948.06,579.0399,219186.92,8140.504
1261,47,0.12789999,557959,766023.8,973472,1120637.1,550189,752878.1,1194.6196,168508.4,8121.714
1278,48,0.1287,813737,1870921,1161781,2845012.3,493679,1202531.9,9004.64,59835.203,9743.704
1310,49,0.1302,911092,1290894,1573376,2072897.4,737091,1111761.8,8271.68,601047.4,12920.901
1345,50,0.1325,875982,1796494.1,1312383,3286679.5,641566,1528792,2873.591,450865,14560.15
1429,51,0.14029999,964317,2507029.5,1353612,3391522.8,720499,2155385,10523.248,506311.06,15538.962
1442,52,0.1422,658025,779153.6,1116879,1451461.3,527422,693080.25,924.20105,44066.617,8756.745
1448,53,0.14299999,983830,3056740.5,1413059,4194304,999757,2868840.5,5865.296,659261.44,22781.38
1515,54,0.1506,861864,1137350.9,860957,1300553.8,854460,1248746.6,2217.5557,388187.56,11909.984
1533,55,0.15269999,961833,1259230.9,1282171,1842518.1,816519,1188772.1,875.751,418481.8,13775.014
1593,56,0.159,988438,1381173.6,1091796,1618884.4,1002030,1586677.5,2671.6094,86671.41,12804.81
1599,57,0.16049999,812960,908677.7,1230375,1383664,844530,908082.94,4023.794,58439.438,12686.955
1605,58,0.1612,1204455,1781785.1,1668914,2381838.8,1319701,2037941.9,3867.1377,531749.3,18396.984
1640,59,0.1656,885107,1153583.4,909610,1201794.5,555403,741438.75,1228.0897,189736.19,24868.092
1659,60,0.16759999,805602,1132267.5,1220588,1719309,660567,1018372.44,895.55444,85393.055,19402.895
1666,61,0.16839999,508511,600090.6,794980,968913.25,662210,764046.06,5912.5303,135024.02,18184.615
1746,62,0.17639999,1252842,2884198.5,1563768,4194304,1183158,2482444.8,9904.588,356806.34,26252.785
1764,63,0.1795,795610,1043945.75,1207422,1744952.8,663337,968403.4,3422.2764,74527.484,10869.194
1824,64,0.18769999,912893,1631038.1,1057520,2012028.3,840367,1740183.6,6958.629,152334,24942.77
1837,65,0.18869999,1258286,1654721.1,1276022,1879830.8,1115554,1512886.8,2793.0293,152910.11,36451.6
1852,66,0.191,719427,923162,1002059,1362515.4,803130,1145096,2860.8318,240555.94,16780.434
1861,67,0.1919,967232,1393603.9,1267251,1914286.3,954804,1587307.6,4238.0654,310044.78,14856.032
1881,68,0.1942,706762,1060525.9,1075378,1535906.8,746394,1216926.6,4172.3022,62203.316,11345.263
1935,69,0.19929999,743709,949961.9,1399246,1882879.6,588721,828448.06,2041.2405,378544.56,13978.012
1954,70,0.2016,1092386,1279864.6,870066,1142179.8,947972,1184668.4,1444.5654,323589.7,15924.088
1980,71,0.2052,824955,1107789.3,736425,1208871.5,905764,1242878.8,1468.6465,294067.53,10196.488
2004,72,0.2083,756807,960487.8,1189976,1599190.6,553485,709809.6,1742.9269,155064.86,15515.768
2075,73,0.21679999,837085,1052340.3,1095583,1466877.4,508584,665929.2,720.2799,199795.1,9938.388
2130,74,0.2234,483910,1238954.9,1091940,2940689,554935,1550641.1,4720.552,238590.94,6323.1904
2146,75,0.22559999,796213,1139521,1072593,1374277.5,863622,1250649.8,2739.088,60459.914,9034.651
2148,76,0.22569999,755354,919943.4,803602,1034270.44,755029,985329.4,681.1669,208183.38,19919.639
2230,77,0.2359,697135,821679.7,732286,954454.44,785217,1002142.06,964.4254,144637.69,8694.786
2275,78,0.2417,1206216,2931624.5,1312212,3664949.3,739899,1992847.3,5898.544,433558.5,20564.402
2297,79,0.24479999,600390,1407689.8,1097578,2171326,604125,1497446.6,4090.36,259845.64,9440.666
2301,80,0.24499999,1147567,2810803.5,1422318,3503489,1182263,3009094.8,6513.58,446698.6,15503.75
2373,81,0.2527,739460,951633.8,939986,1235469.1,458247,612915.4,1402.4813,213094.14,11152.515
2375,82,0.2527,548313,634657.06,940008,1165991.5,319083,367478.47,2335.0073,116759.984,9271.652
2387,83,0.2541,868465,1314765.3,1375173,1937543.3,982103,1662209.9,4043.6033,54723.395,13025.089
2397,84,0.2553,1283176,1852941.5,1100480,1711493.4,1387842,2189951,3850.7358,597858.44,18357.666
2413,85,0.2575,871867,2106987,1202886,3148017.8,745773,1829887.4,7397.6563,277734.06,14719.453
2468,86,0.265,1374286,3037661.5,1670379,4119584.3,1535330,3417388.8,9643.79,183637.72,25881.148
2508,87,0.27089998,847479,1114638.1,1194318,1752382,777812,1186117.5,2199.9067,115376.93,14893.755
2529,88,0.2726,1285548,1647556,1129168,1481486.8,983438,1351621.5,1545.4526,183658.77,21825.354
2536,89,0.273,1002992,1413060.1,1625681,2438125.8,665091,1028215.94,7935.6064,105476.08,47160.387
2576,90,0.27719998,951114,1363518.1,885369,1396764.8,1055338,1654073.9,4683.031,148105.77,11702.036
2599,91,0.2802,706552,878791.3,1075166,1354755.6,386024,510728.16,963.79004,161444.2,12388.229
2646,92,0.28599998,494931,653995.94,853513,1061577.6,573650,780820.2,2445.6494,58868.03,31282.45
2658,93,0.287,1340397,3159670.3,1373813,2840123.3,708053,1751401.1,35663.953,313236.7,20746.275
2669,94,0.2888,919715,1891998.8,1294120,2565127,790480,1974214.5,6900.5664,287127.25,12076.808
2689,95,0.29029998,942073,1237105.6,1392213,1852059.4,605349,824083.4,1256.6509,235768.55,15338.135
2702,96,0.2924,909133,1365695.5,1040755,1520000.1,958076,1546798,4042.541,182255.88,12798.776
2848,97,0.3084,573587,679526.06,1236150,1661571.3,454187,590051.9,289.2019,77036.9,6523.9106
2855,98,0.3089,605048,784214.5,900732,1122218.5,612923,853541.25,2781.7778,254713.38,65248.008
2872,99,0.31039998,632232,1592965,1326028,2892600.8,662605,1794357.9,5361.84,75406.555,8658.484
2874,100,0.3107,460818,560077.7,1001863,1269683.3,484819,652076.75,426.09827,43439.227,6239.6436
2878,101,0.3114,1098867,1535992.5,1546288,2181856,976775,1527083.1,9513.702,46503.52,18188.398
2887,102,0.3128,554387,672386.2,807673,1047552.25,589325,774155.9,1174.709,131804.03,10349.187
2898,103,0.3139,835476,1074687.3,1427052,1934792.3,767432,1086571.5,5805.9365,496243.9,13808.104
2910,104,0.3153,740765,929850.75,800084,1054017.1,428896,562756.1,1510.1064,135182.4,35259.902
2960,105,0.3207,682079,867695.6,796530,1093434.1,817211,1109537.9,3120.0432,92936.22,13995.039
3025,106,0.32909998,1313950,1804577.3,1219528,1724725.9,1048345,1628788.6,3248.7476,210129.53,28334.6
3034,107,0.3304,1189916,1618800.3,1003619,1431816.3,1334827,1918265.6,2862.2097,338459.47,19826.063
3076,108,0.3354,678053,1573373.1,1002007,2486745.8,703422,1772257.8,4263.599,441013.72,10659.728
3108,109,0.3383,1035695,1218734.4,1016093,1386153.8,670521,850251.6,5228.262,114314.7,12985.804
3135,110,0.3419,564889,750785.7,1184222,1558377.9,590718,824760.8,2159.5967,288253.13,8022.5864
3161,111,0.3446,416869,917763,896759,2074731.4,477867,1006666.8,2103.0444,233831.19,9012.75
3170,112,0.3459,1238070,1733325.4,1267638,1857273.1,1063307,1638765.3,4168.197,157059.08,29060.322
3183,113,0.34759998,961838,2209901.3,1350442,3260256.8,999458,1912680.9,14295.514,199756.53,19888.832
3202,114,0.3498,1388431,3292991.5,1508136,4017582.3,1339417,3619948.3,8322.8545,755631.7,23548.193
3213,115,0.35079998,510741,622799.4,935177,1180775.9,474007,630796.56,591.97473,97730.96,8088.75
3254,116,0.35619998,526347,652128.25,845055,1135171.1,607797,820335.06,75.54443,201901.69,8199.205
3288,117,0.3603,909439,1258752.1,1558968,2184285,782224,1174346.6,3003.9104,40921.125,15262.811
3292,118,0.3611,695071,890179.7,1223068,1653380.9,552793,789271.9,1539.3052,185908.42,11172.521
