Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
3,1,0.00029999999,640773,921815.7,1395622,1887843,708501,1036111.94,3549.2058,208492.94,9507.613
20,2,0.0018,621536,874290.3,1648133,2239015.8,564257,881682.4,1246.5602,525979.7,8123.8604
75,3,0.0061,380431,454704.13,860223,1077719.9,425791,522315.72,416.68896,78741.11,9123.867
144,4,0.011,851973,1228547.4,1407798,1895373.1,526312,840847.8,2440.17,159676.95,10018.902
159,5,0.0117999995,743609,914813.2,1063827,1495490.6,529316,724050.94,955.0404,174246.3,15919.331
196,6,0.014599999,664038,835487.56,978403,1249909.4,408131,517876.38,-33.8125,206963.11,13640.856
518,7,0.0376,723497,1669076.6,1340234,3301196.5,694890,1509743,4777.2886,110512.586,8140.465
525,8,0.0385,697518,934966.6,1558084,2107561.8,673327,929708.6,2863.6824,97028.23,25333.209
566,9,0.0409,549811,686425.06,993537,1230293.1,313632,421845.6,956.28076,116381.49,11229.17
585,10,0.0427,528556,663260.7,765134,1020165.1,583512,792511.06,1170.2306,173765.33,10869.371
610,11,0.0447,884372,2062695.1,1686792,3322019.8,727813,1818839,11999.501,64278.023,10279.736
622,12,0.0455,872744,2090693.3,1710708,4194304,697015,1821361.4,8947.199,49686.855,15574.809
696,13,0.0506,1067080,1894092.9,1143751,2806360.8,661416,1358935.5,5817.961,109107.02,24106.867
718,14,0.0519,822177,2875547,1261530,4194304,804123,2855950.8,13492.592,232973.66,13649.54
725,15,0.0528,562892,784694.7,894942,1267559.1,636846,932294.5,2180.8513,64893.16,6580.89
736,16,0.053299997,412807,505425.34,1275936,1656256.5,396390,511748.13,1113.7152,187218.45,6137.7847
791,17,0.057699997,573048,742380.44,1336450,1684901.5,573559,748000.2,5770.707,46099.082,8370.377
808,18,0.0587,981745,1421742.3,1240606,1874023.6,1011448,1615812.3,2713.3098,74151.59,16083.82
872,19,0.0625,1289905,1975444,1248701,2083344.9,1075460,1590585.1,4214.1626,297230.38,53346.76
902,20,0.0641,531574,689151.3,1109931,1475674.4,450439,618043.9,1407.2454,321917.34,8204.974
917,21,0.0651,486380,685325.1,999779,1345014.8,555910,804204.25,1432.8271,85814.055,7690.63
971,22,0.0686,886804,1282086.8,1207038,1691714,1011435,1555712.4,3464.9895,294421.56,12459.622
1106,23,0.0773,601797,747104.5,822517,1034047.2,599406,801865.9,2170.695,204131.63,9671.719
1150,24,0.0801,703674,932155.4,840050,1117258.5,392599,543447.06,1573.7146,194510.36,12781.635
1168,25,0.081,515159,655036.6,1031372,1335726,544034,731232.56,1059.3782,169407.48,6874.4985
1184,26,0.081999995,838362,1934456.3,1370922,3475432.5,657148,1866676.3,10272.982,778910.5,12758.656
1188,27,0.0822,355204,443973.2,907569,1152722.4,396310,527844,232.79614,42617.33,8126.656
1192,28,0.082499996,1034586,1570966.5,1637093,2514052.3,797216,1326893.1,3460.3242,348167.34,17489.455
1225,29,0.0859,1015167,1448263.9,1566789,2210421.8,1037637,1610706,3427.2266,231796.52,14445.734
1228,30,0.0859,579927,715657.06,1509003,2016316.9,390116,501249.34,90.2439,181637.28,6782.668
1290,31,0.0903,993425,1464084.6,703814,965481.1,923181,1482126.4,2532.922,311424.25,12178.964
1305,32,0.091199994,740384,1096432.5,697066,1024239.3,689507,1158375.9,2316.6475,271213.06,9465.293
1351,33,0.0949,699795,896737.2,1045023,1375927.4,440756,605638.5,3627.6711,135937.86,12987.834
1360,34,0.0955,716149,1470523.9,1280738,2573723.8,467290,1286513.9,3735.9087,542347.2,12250.321
1362,35,0.095699996,914836,1234175.9,1488660,2030386.3,909377,1222079.5,3234.6226,362335.16,19365.379
1380,36,0.0968,442701,573628.2,1306033,1663051.4,434684,562355.5,-347.042,226194.95,8243.838
1393,37,0.0976,578486,716134.25,1130789,1544947.3,337468,453876.94,925.14795,196981.13,9203.818
1419,38,0.0989,839061,2326985.5,1233269,3408201.5,757496,2479002,9293.139,174493.72,16202.267
1471,39,0.101799995,681986,887008.4,1035826,1457069.5,495732,714499.7,2314.9026,185781.9,11446.004
1536,40,0.1063,1106654,3660434,1473281,4194304,1028552,3541022.8,12925.326,47263.43,29476.33
1543,41,0.1068,1109169,2177505.5,1600298,3268988.3,826150,1999090.8,4647.9355,515136.84,29090.19
1636,42,0.1129,1334863,2576511,1624521,4030696.8,880886,1890557.5,9404.168,245421.1,20592.287
1709,43,0.117,851695,1178595.4,1047413,1392576.6,958872,1396154.4,2725.563,50308.504,11484.096
1733,44,0.1191,530391,1865351.6,1334494,4194304,537924,1928736.9,6190.566,183924.88,15455.901
1734,45,0.1191,513599,690900.3,900571,1211669.4,631719,899707.5,897.4541,523460.8,10897.701
1766,46,0.1215,1019916,1387951.1,1020254,1518210.6,1194033,1688848,2384.5293,265485.88,14100.802
1770,47,0.121999994,438451,531387.4,1339835,1625392.5,430804,524451.94,-70.69043,92329.07,8192.913
1778,48,0.1228,507787,666998.3,763128,1022093.7,356359,493865.88,98.71216,183353.27,20240.598
1795,49,0.123799995,599662,766227.8,1138492,1516967.4,527451,734522.6,557.11084,140014.83,7205.7725
1801,50,0.124199994,905327,1268053.4,1112530,1539128.4,949769,1505300.4,1185.286,327469.22,16167.262
1803,51,0.124199994,633699,809539.06,1285561,1706513.6,603379,813515.2,1746.4244,177557.94,12200.904
1807,52,0.12459999,717845,886535.94,968987,1287028.1,443324,578536.75,-57.733887,204151.95,14221.812
1890,53,0.13059999,608809,896890.3,1124708,1549752.4,631971,1006108.7,2319.175,48250.793,10967.134
1912,54,0.13239999,803612,2048545,1595305,4194304,839434,2013629.6,10236.727,159654.28,9625.816
1967,55,0.1363,948653,2305939.5,1377499,3229519.8,760758,1811527.6,8314.701,204514.55,11810.155
2132,56,0.1471,623805,746446.56,898648,1229697.1,595024,780146.2,1518.1466,140595.2,10289.881
2190,57,0.15089999,793019,2212646.8,1252453,4194304,582026,1755606.4,9745.03,204996.56,9576.259
2210,58,0.1522,553857,757268.75,927908,1265909,611011,901680.3,2392.6096,72398.336,7402.5146
2240,59,0.1542,657181,1431544.8,1118453,2347093.3,582614,1498233.8,4375.088,149103.72,12406.883
2258,60,0.1557,1084053,1326281.5,1238713,1705910.9,868051,1142726.6,2051.2676,151326.92,17420.332
2336,61,0.1608,558487,1285976,969884,2256726.5,605160,1500807.5,5073.208,103082.695,7960.8813
2348,62,0.16139999,463516,590685.7,1231340,1649876.9,369549,530989.7,-431.20166,291787.44,7434.536
2365,63,0.1625,957277,1262908.1,1554454,2233987.8,677388,992696.9,2206.0828,147136.11,11799.647
2632,64,0.17909999,730713,1694365.1,1124259,2339253,660681,1803029.6,5482.8345,337782.94,25504.287
2636,65,0.1795,1381246,4194304,1612438,4194304,1458087,4194304,256642.66,627754.1,126958.92
2805,66,0.191,587923,781722.3,1185403,1516664.8,621506,835348.3,2376.5808,99804.87,7982.1323
2806,67,0.1911,492968,649074.7,929229,1235529.6,562273,824226.2,857.02625,326623,12902.064
2833,68,0.19309999,1229308,4194304,1401657,4194304,789328,2967647.8,12115.479,111692.484,23387.268
2852,69,0.1944,745384,941998.44,1147599,1511461.5,400849,553953.3,1922.549,340196.4,10836.125
2866,70,0.19569999,970682,1935356.5,1594384,3722246.3,581426,1198144.6,2951.6614,962992.44,20690.143
2885,71,0.19669999,655731,843330.3,1222884,1778523.6,657068,947410.44,2176.5112,156091.47,9329.285
2952,72,0.2012,610965,1574104.1,1076343,2739336.8,625191,1574819.8,5548.3286,97528.78,15007.161
2981,73,0.2031,796451,2105800.3,1434271,3589200.5,764698,1789205.8,7560.29,64808.28,10282
3141,74,0.2147,768137,1047643.5,1123045,1479274,692111,1024142.8,1797.96,57212.71,15506.633
3143,75,0.2149,983296,1414398.9,1396963,1933366.4,948548,1413997.4,10328.178,226011.45,16886.7
3151,76,0.2154,576142,788829.25,847170,1132094.5,667296,1019242.25,1109.213,127604.16,17108.627
3170,77,0.2165,1040099,1411178.4,1426644,1959900.3,881993,1276762.1,9631.892,164218.28,14269.104
3226,78,0.2201,1215974,2805243.8,1141812,3490017.5,1435322,3275853.5,9182.402,400241.4,17869.578
3253,79,0.22209999,450573,526199.8,963334,1219198.3,228189,288109.8,644.952,160757.67,7400.9395
3317,80,0.22659999,851334,2449692,1355497,4194304,692975,2379788.8,8943.531,249039.77,13673.991
3350,81,0.2289,772921,1026497.56,730245,1013025.5,953015,1351242.8,81.45337,393397.53,9149.241
