Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
6,1,0.00029999999,1011937,1439154,1328537,1880957.3,560342,849285.7,2605.2668,100033.836,95257.5
8,2,0.0004,1042457,1500100.1,1298937,2048373.6,717073,1137958,4325.3955,251510.98,14467.114
9,3,0.00059999997,683037,964349.2,1158498,1576270,439310,680199.9,2939.6907,227429.2,11263.982
22,4,0.0018,909819,1190901,1157828,1655585.8,734351,1103286.1,2250.4224,244365.03,11811.474
23,5,0.0018999999,289603,368032.44,751539,905809.2,239448,294103.2,1824.7554,127202.875,9115.929
26,6,0.0019999999,931873,1314447.5,1783364,2578548.5,589366,884760.06,2574.6602,338418.13,12904.377
32,7,0.0025,866903,1169951.4,899686,1257179.8,1011638,1343171.6,1486.648,142303.2,43976.902
46,8,0.0037,542270,1387908.9,1287853,2643064.5,561856,1372271.4,10228.0205,160716.98,66372.5
48,9,0.0037,693292,887063.7,1220566,1828090.5,575745,828126.6,3004.2322,42269.473,35932.81
52,10,0.0039,1070761,1694790,812331,1455977.6,1273152,2229495.8,6812.3438,84198.08,18077.184
61,11,0.0042999997,467904,674106.2,642600,809043.06,568177,834261.7,4656.5234,178987.5,18286.225
68,12,0.005,1336624,1776650.5,1277560,2128402.8,1157034,1695850.9,4325.853,282676.8,50203.97
79,13,0.0063,629700,900233,791578,1086852.9,705034,1040180.8,3306.8027,170408.13,123897.6
91,14,0.0072,1209411,2441071,1622423,3923729.5,867156,2101843,10208.217,153486.75,52387.164
93,15,0.0074,631369,798324.1,1194634,1689803.4,554204,766469.2,1379.1184,357084.9,8462.382
106,16,0.0087,1269942,2396933.5,1266484,2881363.5,1024179,2289600,6344.648,126075.97,25512.28
110,17,0.009,994763,1410722.5,1880343,2613632,906806,1412354.8,4320.8857,194071.3,17550.04
118,18,0.0095,667407,860404.44,1000763,1353690.3,413901,562920.7,701.2766,152303.6,8812.399
123,19,0.0098,398662,503728.28,1027362,1303699.9,481492,594258.2,1315.6288,123217.43,11778.463
129,20,0.010199999,556308,705426.5,588162,902417,648710,874917.4,1863.8784,163611.84,9337.516
130,21,0.0105,1193208,1720990.5,1092498,1630126.8,814928,1257001.5,7412.9385,192653.73,54958.383
133,22,0.0106,627601,843200.1,1265150,1808819,491763,710706.4,3082.3647,130461.17,18251.73
138,23,0.0111,833880,1155641.5,1350399,1879963.6,603165,839487.8,4392.698,85155.93,24392.498
153,24,0.0121,714604,1027851.3,1027821,1498983.9,570738,888885.4,2616.8489,123334.31,29588.691
158,25,0.0126,756699,1024916.06,994804,1429612.8,776566,1101437,2806.084,218334.25,9024.876
159,26,0.0128,454872,623427.5,669902,977746.44,513429,781827.6,2181.5986,117764.44,11255.616
163,27,0.012999999,1256628,4194304,1720997,4194304,783536,3734195.3,21794.037,286450.22,41570.164
183,28,0.0145,1343294,2105949.8,1461065,2174852,1071214,1847379.4,7362.3975,217741.28,37829.195
184,29,0.0148,732750,866204.7,1205753,1555174.6,709798,871422.25,1799.3229,65566.76,29354.15
185,30,0.0148,753221,1012652.75,1243024,1713549.4,673456,901916.5,3689.599,92873.08,13676.162
189,31,0.0150999995,985811,1377249.4,1614459,2253094.8,713214,1077413.4,4279.3433,184224.56,27998.346
192,32,0.015199999,622320,834578.6,1337265,1729093.8,675489,949981.3,2387.2346,173861.31,69084.82
193,33,0.015299999,1046006,1566864.8,1202302,1829926.1,1172332,1762789.3,6345.382,63957.934,50623.766
200,34,0.015999999,856906,1141771.8,1261605,1650303.4,658081,941943.06,1094.9706,82119.69,176299.16
203,35,0.0162,858614,1052694.9,1204493,1699754.5,544176,704833.6,1685.5405,163626.48,12279.687
212,36,0.0168,649085,938252.2,1226401,1802578.6,486015,773194.25,3859.7737,177443.97,17751.758
215,37,0.017099999,821524,1197559.5,1141571,1560650,581676,898187.56,4483.217,227843.83,9534.334
216,38,0.017099999,513111,645580.1,1050583,1421657.3,439098,600904.4,1592.1119,104981.05,17056.111
218,39,0.0174,940971,1182470.6,1738305,2496188.3,634619,889216.6,2283.6563,258882.17,17816.65
220,40,0.0176,818769,950121.7,1568259,1999853.9,742630,921461.9,6171.4863,89203.81,24122.459
223,41,0.0179,556590,720039.5,979453,1324017.4,338819,469674.47,1951.3877,51887.39,21848.031
228,42,0.0189,861786,1095352.5,1188573,1604363.5,722822,1014902.6,3957.4023,61914.16,24488.158
230,43,0.0189,710203,1017752.56,1140040,1531005.9,475317,704603.7,5740.7803,152437.39,16288.577
239,44,0.019199999,528774,643073.4,747424,973874.2,323108,407003.47,1253.3728,79894.734,15394.729
241,45,0.019399999,898110,1256473.9,1424958,1991775.6,641041,931361.8,2402.5105,72507.21,12841.613
242,46,0.019399999,668159,1660321.9,1478428,3125334.3,742913,1739171.1,7572.2324,234209.19,12282.349
253,47,0.0202,595675,793455.7,811727,1074862.5,727300,1003298.2,3124.2905,79373.69,17961.043
256,48,0.020499999,914908,1315621.1,1337991,2039971.9,910442,1438628.8,5213.7393,204149.88,20796.492
259,49,0.0208,254088,394740.84,777637,949662.8,265458,424053.9,1568.9285,85591.125,9493.413
263,50,0.0213,804506,1119419.4,1355448,2068291.5,734502,1197304.8,3741.36,60716.84,15594.648
272,51,0.0219,1152202,1518301.1,1164231,1729715.6,951492,1452044,3127.2715,94726.84,16471.15
273,52,0.022,1082924,1460837.5,934979,1447358.8,1211750,1792819.1,3762.872,224272.61,70718.086
282,53,0.022699999,1030677,3357118.8,1305583,4194304,947523,3146500.3,23340.373,199972.39,57215.12
283,54,0.022799999,952874,1325652.3,1481349,2220043.5,557323,856533.9,5338.6943,174269.44,36999.5
284,55,0.022799999,708569,1001625,1185077,1650206.5,816974,1235027.5,1826.1011,340688.8,32780.645
285,56,0.023,846061,1072071.1,955529,1259718.6,835164,1119007.3,6289.898,101240.19,11486.983
300,57,0.0242,1424982,3843093.8,1439899,4194304,1149714,3679513,13197.03,54802.47,66961.13
303,58,0.0243,515944,659874.1,1014648,1316337.1,559996,744936.2,984.6395,136186.27,25269.057
304,59,0.0243,658449,769479.3,719060,1043842.6,640588,784105.06,1868.3134,112359.16,10211.261
305,60,0.0243,1095724,1401670.6,1156880,1742312.5,893337,1270519,3201.4106,143884.45,20512.42
306,61,0.0244,723167,953865.1,1280738,1671273.1,524006,715223.56,1745.0325,202576.45,8101.662
309,62,0.024699999,834758,1155873,1382272,2061481.9,533569,825384.06,2548.6516,178818.42,48443.563
313,63,0.024899999,568996,851295.8,1141218,1565659.9,542368,829138.5,5600.8237,171089.5,26083.158
314,64,0.024899999,933905,1284411.9,755896,1136786.4,933491,1435730,8189.573,199528.52,16498.457
321,65,0.0255,770025,1072477.8,1500626,2128653,804724,1111350.3,2080.4795,286071,15488.992
326,66,0.025999999,856621,2112863,1497063,4194304,677551,1761147.6,8134.835,478030.5,13314.811
331,67,0.0264,1194320,1681457.6,1802635,2690151.3,980117,1537580.3,4495.463,207558.89,18125.541
334,68,0.0266,1054522,2478837.8,1522975,4194304,919341,2329692.5,21604.635,277948.9,66579.55
340,69,0.0268,921142,1192001.8,1296399,1745853.1,930262,1286657.3,2346.4475,256759.67,39484.24
343,70,0.027099999,1291288,1750477.6,1263634,1964704.3,662863,1015089.5,4622.8916,199727.97,41908.344
348,71,0.0278,734838,823073.4,847963,1043332.25,681960,827439.8,1950.5438,69633.875,9710.403
355,72,0.0284,494096,637623.3,912616,1209589,501736,718685.56,2174.1204,132886.56,20816.652
359,73,0.0287,614907,869782.75,1185207,1579032.5,652388,1006476.9,2009.9104,158499.61,51850.637
363,74,0.029099999,396941,487100.22,997050,1269276.1,301919,380722.84,3602.1558,47293.816,23994.13
368,75,0.029299999,596711,992069.7,760291,1032160.7,836037,1379081.6,7556.8154,46485.72,265481.75
373,76,0.0296,739079,919302.9,1330957,1797949.5,423578,572386.25,1582.6099,296740.38,9597.306
378,77,0.0301,1039852,1367277.8,1670081,2268409,680526,960491.94,3091.4724,77739.484,13028.011
