Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
7,1,0.00029999999,320350,392096.16,1035190,1267077.6,196766,235625.77,-490.7495,102171.07,47651.113
86,2,0.0044,1070240,3693385.5,2287356,4194304,1037957,3139654.8,34275.97,71844.42,22146.043
141,3,0.0071,743110,989433.2,1231350,1676099.8,820417,1166962.6,3118.3423,103389.6,43345.55
155,4,0.007999999,962045,2390800,1224345,3235568.5,1001166,2748874.3,17517.45,254816.02,18440.863
184,5,0.0095,747611,1150000.1,1101521,1853840.3,590464,1020702.5,3151.0017,67551.086,21588.074
243,6,0.0121,649691,813126.94,1245324,1622923.6,466461,608667.1,3592.797,362590.84,14947.733
360,7,0.019,670380,1333495.3,1029702,2617833.3,755730,1616287,5858.374,237505.23,20857.258
457,8,0.023899999,1321608,1963186.9,1398668,2315558.3,792496,1270916.6,5980.704,200036.89,97625.16
594,9,0.0317,1338064,4194304,2074247,4194304,937549,3709397.8,29298.389,853983.7,109319.41
689,10,0.036399998,430030,552625.6,1190925,1426441.4,314824,394388.16,-396.76636,198522.52,23832.973
695,11,0.0368,625504,927311.8,1503766,1962347.9,674098,994847.4,1897.8601,277554.13,14298.589
727,12,0.038399998,745641,1907676.5,1162915,2761576,786223,1602250.8,10397.416,180577.66,28231.031
728,13,0.038399998,1003056,2521268.5,1722611,4194304,781683,2309183.5,16347.05,140639.05,17732.033
758,14,0.04,834525,1954573.4,1408962,3280917.5,817107,1724245.8,7899.294,243349.19,31004.354
801,15,0.041899998,1504901,3458524,2085666,4040484.5,964447,2218596.3,21879.541,171958.7,28909.506
895,16,0.046,782412,999116.6,1075648,1378671.5,937445,1181428.4,3294.934,121838.445,13814.46
1007,17,0.0525,1354823,3220072.8,1836963,4194304,1054878,2681638.8,11788.82,379819.1,29628.105
1036,18,0.053799998,1170779,2837862.5,1408098,3971635.3,1196615,2905856.5,12685.634,141621.92,21997
1053,19,0.0548,1287533,2239817,1636338,3916222.3,1134218,1905092.1,5582.24,302482.2,27387.943
1079,20,0.0563,719085,927133.3,1500586,1893213.9,454688,601823.2,2986.2434,123688.016,18929.691
1084,21,0.0567,1070966,3644844,1566341,4194304,976107,2698455.8,15548.611,280200.88,108142.58
1137,22,0.059499998,1041275,1437192.8,926619,1289915,659145,963991.7,5003.0215,104300.32,42354.492
1152,23,0.0603,1246946,3947563.8,2439767,4194304,878243,3142839.5,28758.867,376996.3,27353.375
1209,24,0.0628,823535,1324124.8,1696230,2401103,839634,1427828.1,4679.0386,405966.75,78465.76
1231,25,0.0637,473377,1301525.8,1230359,2977306,525298,1542234.8,5766.118,376093,10106.913
1248,26,0.0645,1212134,1809605.3,2471060,3851666.5,1025709,1617884,4867.1563,439316.03,47696.2
1378,27,0.0709,864481,1122392,1217145,1600045.8,986233,1307523.3,2667.815,118352.01,41507.414
1426,28,0.0735,937755,1348286.5,1451844,2072279.9,553681,859203.6,4552.5107,149995.03,15371.003
1470,29,0.0755,393191,545466.7,948718,1173486.5,510222,699979.2,944.69617,348216.94,8954.326
1472,30,0.0756,1121782,2321074.3,1607315,4096852.3,628881,1444369.3,8932.704,692408.75,20146.152
1501,31,0.076799996,442513,589308.06,1082957,1483962.5,299629,421953.78,344.6095,48343.34,129089.09
1524,32,0.078099996,586280,768516.8,1215078,1491584.9,632895,811832.75,335.81616,256892.69,12238.079
1538,33,0.078899994,762717,1055437.6,947233,1407756,728134,1049188.3,3746.244,190091.11,25456.076
1635,34,0.084,809122,1090800,968664,1386103.8,678149,955959.25,2255.732,282880.25,31438.213
1745,35,0.0896,619338,824152.7,1658262,2270588.5,451150,681997.3,1576.9971,158164.73,13941.669
1846,36,0.0942,529527,674292.44,1101363,1305477,530687,700207.06,728.61084,193166.6,22135.787
1853,37,0.0946,606376,803512.3,1852124,2592470,513207,694533.2,1097.0001,463804.6,13923.431
1867,38,0.0951,1131761,1651686.8,1968287,3070022.5,1260235,1932007.6,3063.58,646172.75,19792.398
1917,39,0.0977,956213,1599842.9,1578314,3297835,990609,1603845.6,13711.722,188252.39,44354.94
1942,40,0.099199995,1260685,4194304,1554007,4194304,1494589,4194304,78146.37,486463.47,23465.168
2000,41,0.1017,981179,1481229.9,1118885,1684023.4,1028449,1664460,3975.5964,154478.81,22571.123
2007,42,0.1019,426535,562042.06,1256953,1648011.9,269792,377279.1,1495.6609,249493.42,9827.196
2015,43,0.102299996,338081,439805.16,1395876,1735893.9,265508,331454.22,471.479,302728.28,24811.123
2123,44,0.1087,518693,770554.9,1035844,1558461.6,639089,992296.2,3124.2961,194443.39,15087.201
2128,45,0.108899996,531386,1213858.6,965489,2396730.3,610207,1611810,3518.764,618615.6,17593.79
2132,46,0.1091,694343,1043323.7,945331,1504498.1,383264,635219.94,5424.8403,331802.47,20608.648
2201,47,0.1125,731793,969339.44,945714,1226202.5,771378,1011696,1126.0792,190288.2,14633.908
2219,48,0.1135,394035,516901.94,1282177,1500248.5,257550,322572.9,649.44385,225872.23,18540.746
2233,49,0.1143,666884,1457936.5,2092196,4182216.5,513458,1111616.5,13003.158,237448.1,18937.395
2247,50,0.1148,870575,2126487.5,1564119,4049290.5,782519,2160967.3,11951.963,415511.88,16885.053
2307,51,0.1179,374579,472452.28,1132533,1349894.4,288219,340245.97,1139.5045,250579.25,40279.707
2322,52,0.118599996,807221,2352324.5,1862547,4194304,691713,1778068,16738.512,456887.8,29073.217
2356,53,0.1205,1282319,4194304,1647702,4194304,940056,3194011,21659.426,284867.06,23217.475
2380,54,0.1215,706215,1822521.1,1639589,3727087.5,781528,1639385.9,13700.845,577654.5,60882.59
2391,55,0.1222,597401,770232.06,696079,942587.94,676278,901335.25,1582.6313,90601.74,12893.919
2420,56,0.1241,920801,1086622.4,796349,1040842,646923,787446,2271.1838,151055.78,17640.945
2449,57,0.1256,784278,1859420.5,1391319,3251989.5,924162,2001325.5,5096.5605,149721.8,33486.465
2464,58,0.12619999,963917,2450496.8,1379343,3905230.5,942465,2274437.3,10074.036,535245.2,21322.467
