Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
70,1,0.0041,363519,534907.4,1094032,1361828.5,191166,297265.22,2667.2249,143812.25,19428.346
125,2,0.0081,259631,318320.88,1242426,1479856.1,248240,286942.03,326.1256,37385.03,9465.548
303,3,0.021,882205,1452325.8,1138361,1692964.8,959807,1754187.4,5563.1924,413796.94,18268.273
432,4,0.029099999,1019110,1569169.5,976681,1692792.3,663362,1167505,4233.288,522798.63,17047.309
475,5,0.031999998,656242,2093749.4,1894774,4194304,746396,2359023,19056.219,103187.53,12458.54
702,6,0.0481,1201619,1900992.3,1636647,2846913.5,1084901,1807117.8,5961.784,86028.38,25710.617
791,7,0.0547,734875,1993927,1287537,2856123.8,822156,1739717.4,6466.755,323801.72,14934.339
913,8,0.0629,699747,971260,1450042,1979007.3,863124,1164444,3339.5732,76923.39,14852.108
1256,9,0.0884,1649276,2848368.3,2081694,3328156.5,1129762,2192201.8,8192.049,615740.56,58245.137
1390,10,0.096999995,649754,906026,1337358,1870718.6,756723,1101095.9,1711.3661,54317.24,13929.2705
1500,11,0.104399994,921507,2685916.3,1656886,4194304,879121,2431803.3,12529.086,229438.48,21370.6
1621,12,0.1112,995212,1520342,1581513,2192309,654759,1044421.7,2794.187,107691.18,48230.793
1783,13,0.1223,839955,1235806.3,1193143,1761985.5,938407,1515538.9,3436.234,156552.58,14008.8955
1844,14,0.1261,581368,895314.25,873879,1281308.3,520674,919866.8,4111.754,219212.53,19779.55
1929,15,0.1312,449989,621397,1610410,1987429,357928,472745.2,1413.8369,114750.625,14047.567
1951,16,0.1327,899171,2519005.5,1865675,4194304,799779,1871324,16537.053,436521.7,47152.41
1959,17,0.13319999,692070,995943.3,1565912,2173198,455100,649110.56,2713.1396,127638.27,17056.373
1984,18,0.13509999,539085,723215.8,1159112,1508859.8,268655,395424.22,3637.4526,199822.56,13179.167
1989,19,0.1354,731305,1069934.8,1377297,2013457.8,492714,816265.9,2947.0479,56632.395,48677.96
2008,20,0.1372,813050,3320965.3,1591997,4194304,701334,2593159.5,12067.861,146534.22,27702.367
2025,21,0.1384,507022,728150.06,1195166,1533510.6,553685,855945.6,1190.271,318778.9,26009.377
2130,22,0.1452,648780,956670,1584752,2122375.5,760240,1111238.6,3133.8525,117136.88,112100.29
2143,23,0.1461,941693,2283552.5,1832262,4194304,1089399,2835285.5,8344.716,284115.63,57822.938
2232,24,0.1516,1148003,1981474.1,945459,1544106,868739,1645386.5,12786.276,457859.44,44464.11
2272,25,0.1548,590253,849150.25,1157297,1592890.1,541625,809773.56,1458.9475,178246.42,13205.992
2322,26,0.1593,540826,744099.75,1193917,1556854.6,506883,745684.4,985.19275,207297.45,12924.179
2382,27,0.1643,509857,720658.3,1170461,1572792.6,326753,459083.34,1411.3678,154044.02,22110.916
2423,28,0.1673,817079,1087027.3,1361871,1813757.6,866393,1205844.8,3178.3271,52020.543,181099.72
2425,29,0.1673,387514,473104.28,1180620,1426931.1,290332,334213.66,154.43823,97163.945,116062.03
2429,30,0.16749999,463414,611736.7,1146967,1383892.9,245747,335540.38,37.107666,151246.08,28995.04
2688,31,0.184,966995,2180206.8,1791568,3686981,840526,2221277.8,18001.145,87064.11,21741.846
2737,32,0.1872,959516,2120169,1369400,3177219.5,503803,1117142.4,6006.51,468843.03,45106.074
2787,33,0.1907,636113,885046.5,1190032,1506577.3,704694,1047384.44,1755.6853,149124.67,13433.259
2887,34,0.1973,376236,498111.2,823236,1055142.8,282472,387028.2,1109.5068,124221.06,84597.23
2946,35,0.2008,1426248,4194304,2035598,4194304,788173,2902841.8,37036.37,246088.89,33007.723
3151,36,0.21509999,682567,909597.75,1575042,2143490,445402,639951.94,1652.8063,122371.71,19124.73
3199,37,0.2188,431604,546543.2,799075,991257.6,559249,700171.7,1581.0825,81466.65,9267.3545
3207,38,0.2193,725387,916797.6,1155062,1526870.9,513650,695528.75,3082.5269,243955.72,24545.889
3271,39,0.2233,1396119,4194304,1982568,4194304,1204517,4194304,26267.178,787133.2,27855.064
3277,40,0.2236,1002745,3034693.8,1685654,4194304,949521,3124498.3,21512.082,83937.125,20062
3280,41,0.22369999,671320,991543.06,1654919,2233852,489816,722463.44,3357.353,160647.63,13167.613
3301,42,0.225,829954,1118098,1098965,1471634.3,458961,654958.44,1417.1074,62691.586,23204.621
3319,43,0.2261,461223,852029.25,588562,1308882.4,383822,854807.6,4769.3594,33306.918,10213.503
3393,44,0.23089999,1183140,1800655.6,1395016,1942440.9,620841,1038317.3,3869.9565,187982.42,21023.13
3418,45,0.23259999,792424,2135782.3,1263730,3412214.8,973696,2700785,11038.337,395241.97,40064.996
3515,46,0.2401,1140252,3287971.3,1893005,4194304,874040,2363740,11162.697,307373.78,55307.492
3694,47,0.2521,973758,1745335.6,1722810,3189548.8,572107,1161487.4,4849.922,142338.52,52850.2
3746,48,0.2559,236530,311400.63,1316725,1514409.1,204944,267657.25,20.901367,114700.125,9529.895
3852,49,0.262,810960,1112959.1,1601648,2169636.8,477543,688907.9,997.0355,274892,28291.969
3862,50,0.2628,1137816,3499669.8,1892166,4194304,789577,2587919.3,36954.44,301596.06,19306.66
4120,51,0.28059998,1070749,2529916.8,2081190,4194304,1091718,2520358.8,12533.475,434669.6,48325.473
4213,52,0.2882,466958,624331.1,1380974,1760053.5,319478,460442.94,1014.5121,96747.42,35781.363
4227,53,0.2891,1094398,1456411.3,1098022,1521839.3,691637,970565.6,2104.6362,195389.78,73691.02
4260,54,0.2911,1046594,2599888.8,1769996,4194304,699370,1778568,9607.593,281295.7,18209.256
4302,55,0.294,778826,1055172.9,1511497,1979116.5,561369,809354.94,1893.5574,307573.16,17376.297
4341,56,0.297,1333998,2225533.5,1452747,2307084.5,1254260,2514050,10716.071,369091.7,41910.05
4356,57,0.2979,486083,616778,1088611,1295389.9,266080,336102.8,604.67017,283368.8,14086.515
4359,58,0.2981,1204985,2079927.4,2428350,3559771.3,1210109,2251136,9574.775,271285.63,45773.203
4473,59,0.30629998,578316,754095.1,1107607,1470303.5,542136,751184.06,653.6958,335041.16,30750.965
4507,60,0.3084,391813,498800,1305029,1601339.6,285565,375979.53,480.31628,97257.07,9708.157
4568,61,0.31219998,779169,1681074.1,1304662,2946650.3,441100,1086345.5,4179.5596,257573.86,106461.66
4591,62,0.3134,1069792,2581117.5,1946386,4177284.8,1131276,3047419,15421.719,120079.73,26226.143
4657,63,0.317,871334,1331244,1601110,2278382.8,497472,846025.5,1851.9663,111491.07,167232.78
4677,64,0.3181,731051,1042403.4,2057178,2709938.8,521798,771689.6,4476.9756,207128.19,19710.28
4688,65,0.3188,1074478,3397827,1995800,4194304,816287,2312954.3,25493.244,181189.64,20690.559
4750,66,0.3227,483977,648617.1,1216078,1595274.8,545079,729088.2,7268.369,102589.516,11932.512
4755,67,0.32299998,636153,812197.5,1116596,1435612.8,697419,948793.3,1160.582,86709.24,11552.374
4756,68,0.32299998,1091364,1449182.3,931410,1259727.4,643109,883818.2,3449.5237,149454.2,33574.19
4773,69,0.3241,1223766,4194304,1791118,4194304,1484688,4194304,40164.434,429256.44,29646.8
5133,70,0.348,254302,327048,879059,1107220.1,211034,292240.25,3342.5112,185005.5,47691.125
5235,71,0.35439998,787842,1038050.25,1040453,1460897.6,435366,617814.6,3725.016,90456.695,14776.161
5251,72,0.3554,874422,1252144.1,1439741,2008408.8,569391,914892.6,3469.8882,84551.92,17138.941
5253,73,0.35549998,697710,988241,1622294,2165665.5,659185,927392.44,2067.113,119757.33,88220.69
5265,74,0.3565,1355362,2966794,1778099,4194304,1026168,2222786.8,8062.753,109083.16,23584.582
5305,75,0.3599,781735,1083874,1264303,1593002.8,599554,887322.9,2113.182,233283.08,111635.6
5387,76,0.36499998,376281,472910.66,1130032,1343966.4,279816,327725.72,-134.27832,158328.4,77928.016
5475,77,0.3705,1442546,1980262.6,2376800,3419338.5,1329326,1799891.1,16621.678,166488.63,28710.143
5581,78,0.3778,825922,1293111.9,1064185,1610951.8,617712,1074369.4,4174.0156,256573.28,37886.23
5635,79,0.38099998,407677,515476.1,1107602,1352329.6,271843,356415.97,-838.5198,47196.23,45336.547
