Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
316,1,0.017199999,754746,1108252.8,1452435,2019666.9,688322,1041791.1,2059.6218,193352.64,15708.833
1617,2,0.0927,903478,2323089,1946150,4194304,867075,1824500.9,14783.856,689009.2,36294.023
1908,3,0.11009999,501032,689382.25,976638,1214505.5,632060,853059.94,2323.7673,136923.83,9986.51
2060,4,0.118,906177,1367158.4,1522288,2114266,989922,1544980.9,9141.587,168268.81,16108.178
2456,5,0.14,384074,457098.44,1052134,1219671.8,378057,447083,1358.7919,110957.08,22653.643
2987,6,0.1689,984274,1447636.5,1484047,2392640,845953,1315053.9,5591.383,64187.1,21415.996
3291,7,0.1864,1222815,4194304,2017571,4194304,1212355,4194304,36904.96,623272.1,24482.813
3789,8,0.21509999,1228198,4194304,1453527,4194304,1149700,4194304,36723.73,127144.24,21762.06
4029,9,0.2287,509605,690320.94,851305,1135610.3,509501,718279.6,3494.4812,222639.47,10251.717
4326,10,0.2464,768903,1407280.6,1990166,4127573.3,509595,1007796.8,15632.872,251591.89,17601.314
5707,11,0.32729998,707558,941448.9,1024293,1452571.8,520689,699744.7,6402.214,145882.16,19086.543
7304,12,0.41489998,541736,727393.94,1282291,1595096.1,420051,563132.9,2613.165,258275.06,25378.629
7333,13,0.4165,842828,1146289.8,2282855,3205849.5,646558,928587.2,6186.034,165431.73,19294.11
7396,14,0.42029998,775488,2063438.3,1499164,3531728.8,696798,1584233.5,6729.754,194701.45,17463.307
8301,15,0.4719,491234,779440.3,635973,972322.75,420785,711857.2,72542.98,86537.88,11137.056
8807,16,0.4991,808446,1069052.8,1327016,1825363.8,688058,934242.9,865.9844,92424.32,15808.416
8997,17,0.51089996,387363,499289.47,799515,1050137.3,276039,366804.5,5934.11,55070.133,18263.555
9136,18,0.5197,335659,420396.66,779774,969039.6,348099,446721.56,3076.6433,214206.61,86225.08
9579,19,0.5453,1236167,3097851.8,1277069,3566022,1215588,3563530.8,53445.55,86810.3,45558.184
9843,20,0.5591,1048578,1400945.4,1614484,2319561,889702,1305838.1,6305.2314,405313.28,27533.992
10193,21,0.57879996,671552,938951.6,1068752,1424173.8,743520,1052425.4,2236.6746,398552.75,24173.238
10675,22,0.6055,1311221,4194304,2379354,4194304,889068,4194304,81080.305,198047.17,24469.184
10863,23,0.6163,334014,366339.2,1120714,1328740.1,320288,354547.3,7821.291,121572.54,8530.205
11397,24,0.64739996,1645486,4194304,2147626,4194304,1819900,4194304,65777.26,320509.78,40580.242
11876,25,0.67359996,761703,1065986.9,1396850,1901891.8,779945,1186033.9,7891.1396,122099.19,13898.862
12561,26,0.7102,584972,893545.8,1173115,1730559.1,393108,677877.94,8386.105,179216.67,23379.186
12612,27,0.71279997,980872,3337229.8,1561932,4194304,1155912,4009557.5,14225.654,583802.9,54182.902
13703,28,0.7736,415024,515658.94,1007058,1277069.8,239372,316451.28,6033.083,36000.1,9306.918
14095,29,0.7949,562295,1175470.5,1235044,2964396.8,387034,746720.4,4838.262,237694.86,12118.572
14632,30,0.8246,758714,983868.9,734296,1117421.6,431206,609000.25,10648.725,166109.27,18563.049
14736,31,0.8303,1363916,3222960.5,1715075,4194304,972164,2615581,9853.164,886784.44,24862.75
15961,32,0.9005,1265497,2666966,1296923,3125299,800250,1974987.1,28335.664,345762.63,30491.79
16062,33,0.90599996,902058,1285823.9,1565402,2054581.6,757077,1091792.6,4207.7417,81032.42,20627.572
16259,34,0.91609997,1520280,1709612.4,1378210,1739315.6,1290733,1513579.4,89733.57,119845.1,31013.945
16286,35,0.9176,669113,907216.75,1552919,1969174.8,490271,664209.75,4785.8213,42331.69,14801.41
16660,36,0.93869996,533413,660358.4,1286201,1624039.6,486783,616016.06,1560.2554,231723.73,27491.574
17546,37,0.9881,908726,1693208,1215909,2559813.3,759828,1589119.1,21384.96,193303.66,34045.754
18564,38,1.0458,580489,766644.94,1192401,1536738.8,428700,622165.3,3344.5544,65305.934,11432.4375
18609,39,1.0479,1064409,1444503,1602929,2233771.8,602039,876573.06,1813.9163,475610,22307.848
19287,40,1.0849,1220264,3649264.8,2221455,4194304,790041,2740124,29638.123,599944.56,28784.996
19327,41,1.0873,1538014,2090074.5,1874156,2513039.5,1125166,1643348.9,5362.5225,864203.25,41807.63
20136,42,1.1316999,793402,1121379.1,1313400,1815194.3,551978,884964.9,8409.742,284345.34,13747.9375
20155,43,1.1327,677849,981708.06,1012751,1337534,315295,499862,2276.2124,221525.73,13925.898
20641,44,1.1590999,812247,1142750.5,1541070,2045537.9,511091,770464.4,3454.698,264339.75,18446.148
21474,45,1.2050999,623885,748034,959146,1128771.8,582934,672477.56,25382.146,58504.527,18713.67
22153,46,1.2439,773527,1275720.1,1494163,2831972.8,668448,1129727.6,3767.0093,299497.63,14353.021
23124,47,1.2962999,768959,1935201.8,1829482,4058532.3,618138,1690631.4,22401.963,509232.34,46496.305
23296,48,1.3054999,1474340,2341039.3,1969080,3376512,697661,1212184,11725.04,282438.2,97513.734
23737,49,1.3284,927607,1529699.3,1394051,2102750.5,1012927,1789133.6,12935.77,218022.66,17633.293
24226,50,1.3558999,560246,722092.25,1089172,1386482.1,346284,434257.16,451.1803,280735.97,12114.13
24284,51,1.3594999,774163,1233451.1,826143,1127313.9,706462,1214270,3909.3271,291598.28,19024.496
24742,52,1.3859999,638634,943907.5,1376134,1783924.8,446439,709616.9,1775.8257,398044.22,21702.895
25420,53,1.4225,726367,1785689.8,1712900,3735719,919650,1809487.9,16162.997,269899.03,15650.016
26389,54,1.4769,1187268,3493372.5,2327657,4194304,787911,2845633.8,35895.87,85896.16,22035.941
26690,55,1.4932,500239,1370580,1274588,3095665,415804,1182707.1,12143.54,348030.13,18597.363
26709,56,1.4945999,457124,616188.25,916222,1203952.5,358158,498265.38,5008.286,240475.88,12659.948
26729,57,1.4955,1060715,2150151.5,1139819,2663531,1121461,2381384.3,10727.702,111260.34,54395.797
29550,58,1.6499,484391,635944.94,1177563,1502392.4,256505,337685.2,741.92505,91392.6,12412.974
29847,59,1.6656,1244116,4194304,2453049,4194304,1052106,4194304,53758.32,168640.34,22275.166
30412,60,1.6981,663743,928438.44,1755118,2268147.5,485447,703023.2,2602.9897,268273.84,45588.984
32584,61,1.8174,837990,1139672.1,1168575,1562605.8,480465,718097.06,3381.71,337303.28,16590.443
34381,62,1.9193,872158,2189946.3,1401050,3269646.8,452937,1228953,17476.81,286793.4,16201.799
34544,63,1.9288,1074372,3924224.8,2020712,4194304,846584,3408506.3,26322.967,187050.39,24266.246
34833,64,1.9461,796188,1145563.5,1649960,2376112.5,461946,752155.06,4908.622,215024.42,18217.809
35313,65,1.9725,906667,1127504.6,993981,1335249,709647,891158.7,3255.057,115369.08,139072.22
35381,66,1.9761,874029,2233266.5,2113599,4194304,645545,1407740,14396.227,379786.8,15065.652
35538,67,1.9841,1223576,2443459.8,1586993,3935446,917812,2358764,13874.836,403089.4,22301.277
36122,68,2.0175,1070316,3452810.5,1329754,4194304,882171,2496815.5,12344.236,732125.8,23224.428
36245,69,2.0259,1016793,1539637.4,1117781,1838973.9,1136636,1914094.3,2959.4695,667338.4,21230.459
36817,70,2.0553,859445,1225394,1078716,1500118.5,800619,1152325.8,6004.9995,367142.06,21216.436
37197,71,2.0753,939668,2077233.6,2131305,4194304,886295,2094182.1,15154.311,239627.19,17525.783
37309,72,2.0821,1161987,4194304,1991645,4194304,1286269,4194304,70773.37,280410.63,26336.547
39153,73,2.1864998,332972,420314.56,1216342,1441645.8,199850,238753.53,1321.5857,52365.402,17032.568
39154,74,2.1866999,495040,1010798.94,918515,1411350.3,296095,717066.75,10041.292,474829.28,15091.93
39334,75,2.1959,573461,756289.2,1269107,1673610.4,428193,614391.7,3031.9363,100134.32,11030.963
39475,76,2.2036998,1168029,1761844.8,1534154,2422969.5,808184,1182405.6,7437.551,98771.734,19784.371
41832,77,2.337,268120,310065.88,934319,1079578.1,328439,374885,1069.7682,56514.816,12112.518
42890,78,2.3973,472956,982031.9,1099746,2428032.8,550248,1057532.6,2792.2598,200898.28,12022.602
43049,79,2.405,521191,652327.4,760309,923985.9,518212,653029.9,1936.7827,163984.81,11219.797
43285,80,2.4185998,517686,639266.75,659463,841588.25,447143,585697.94,2495.3762,281245.22,27919.88
43528,81,2.4327,415786,562345.06,794562,1088205.1,297546,451975.9,8319.316,115829.02,29337.775
43585,82,2.4356,851051,1132384.1,1367606,1827750.8,604569,809829.56,8574.685,397706.3,16350.413
43625,83,2.4384,362819,440443.34,1171552,1337023.6,426048,509267.9,655.3441,32470.04,11246.0205
43639,84,2.4391,406317,566874,908641,1085010.5,312211,415758.28,2597.3318,308541.94,16878.963
43794,85,2.4476,1492830,4194304,1429161,4194304,1227829,4194304,41433.316,488959.16,34010.254
44437,86,2.4831998,447673,651619.5,1251468,1659564.5,497140,763671.56,1347.4028,344402.34,10726.684
44537,87,2.4888,1187208,2770196.3,1650835,3380251,1528452,2958902.3,41088.375,136325.7,19955.297
44544,88,2.4891999,1060068,2791540,1697554,3673043.3,908718,2171630.8,10925.11,384862.47,32863.938
44929,89,2.5112998,594353,777645.9,624774,880738.9,431899,559918.44,1851.4438,65203.836,11961.961
45356,90,2.5347,334541,396417.25,1284658,1495176.8,217081,248589.19,-321.74414,179914.69,12450.011
45388,91,2.5365,1249406,2016675.6,1476906,2750478.8,915580,1633101.4,12542.914,170269.77,29989.031
45460,92,2.5409,419897,524014.2,970734,1291960.1,330988,445650.25,2694.5342,232156.27,16120.827
45561,93,2.5469,821474,1117106.4,1390378,1869225.6,643402,858662.8,2912.052,288440.78,16443.707
45857,94,2.5649,850569,1138988.3,1114752,1483990.1,546200,741588.5,2102.5444,346683.1,19997.922
46190,95,2.5828,1308358,1765592.4,1213642,1717655.9,732865,1073568.5,2864.6143,468022.13,47277.94
46240,96,2.5858998,598236,861870.1,1046088,1423538.3,687701,1061610.1,930.3915,95056.875,407076.06
47029,97,2.6316,699221,955466,1350253,1702596,741164,1040056.2,7370.0986,106892.62,15104.044
47573,98,2.6618,586753,787597.4,1248454,1554235.6,431790,607440.25,1168.6254,151810.75,10932.847
48023,99,2.6873,670171,850365.94,1066361,1361611.3,751310,971981.94,10480.481,169876.73,19210.03
48115,100,2.6915,635023,805944.9,1188690,1524603.6,476240,655076,1427.9792,275478.3,13735.592
50530,101,2.8251,1504788,3066731.5,1445876,3010334.8,1680843,2978743,124752.77,403087.06,29009.438
50642,102,2.8314998,563219,682945.25,1745825,2325848.3,501747,637991.2,2268.4905,427332.34,11134.152
50894,103,2.8458,572921,744181.4,1152019,1454334,303591,409266.94,173.84741,231902.75,37976.297
50933,104,2.8478,566481,726703.9,1018251,1275786.6,703170,901730.44,1591.1199,130121.625,11516.694
50952,105,2.8488,529578,684299.5,1250899,1501732.4,561554,733554.56,2221.749,68063.13,20171.154
51748,106,2.8934999,948664,2137556,1522622,3519379.5,705226,1578783.1,18429.941,562532.3,16065.756
51972,107,2.9055998,459405,664308.44,1225721,1483528.6,500035,751624.3,1309.2263,138901.22,12828.26
52085,108,2.912,545172,766524.94,1223558,1597116.4,604399,895354.44,1545.7815,242965.66,11630.323
52379,109,2.9275,1322865,2898495.3,1773163,3564409.3,1259581,3596415.8,12573.571,403504.1,23890.453
52748,110,2.9489,1004724,1411258.3,940608,1274735.9,827805,1086166.1,10625.481,355073.03,16387.104
53716,111,3.0012,905054,1208381.8,1537642,2118072.5,557971,842146.06,2497.5947,310117.97,18105.371
53849,112,3.0081,450054,583746.7,827396,1095440.3,527046,713667.06,1382.4409,196988.22,16083.684
