Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
1137,1,0.1039,880416,1242625.1,1303961,1800867.6,670337,1019546.56,7752.5244,121619.66,41009.88
1863,2,0.1704,422243,516616.34,1039998,1348815.8,380634,503382.03,81.15283,273312.88,10475.786
1988,3,0.18169999,666988,1431938.8,1213847,2606247.5,634078,1287857.6,6637.908,249003.69,13169.155
2539,4,0.23079999,495243,660978.44,1026560,1256397.5,271603,372335.63,951.48193,161295.56,14336.172
3921,5,0.3532,813129,1057881.3,964753,1357406.5,494902,679489.1,3100.9639,287964.25,14072.309
4081,6,0.3667,1278220,3952626.8,2208641,4194304,1409535,4009846.8,30656.934,264983.2,22311.994
4408,7,0.39499998,888208,1191383.9,1935351,2616421.5,697902,946593.3,2705.7576,80007.24,19137.395
4752,8,0.4258,892592,1291477.1,1464601,2165348,772416,1214652.4,6301.0957,554747.6,14660.641
4902,9,0.43949997,835055,1135615.1,1037567,1354356.8,694209,1016608.56,9463.484,230377.78,27428.197
5165,10,0.46019998,747450,990392.8,1924303,2449217.3,551571,764237.94,2481.6243,114928.12,13028.297
5498,11,0.4881,389152,598616.56,656687,897245.06,201357,361039.88,6249.998,42698.695,22692.445
5633,12,0.4998,456178,573444.56,1186069,1600278.5,334680,462519.94,2901.4292,187879.98,11529.925
6076,13,0.53639996,866740,1180626,932221,1370331.8,946874,1365841.8,9910.749,402794.34,37236.023
6553,14,0.5779,660416,882064.9,964450,1201200.6,929719,1253529,9019.099,123182.875,31718.838
6865,15,0.60429996,460894,650998.7,578745,834386.4,260643,412419.28,7970.166,237060.95,50033.03
8043,16,0.7048,475483,630496.1,1168813,1457934.1,443130,554008.4,2679.271,205900.06,10643.756
8183,17,0.717,1318842,3835483,1493392,4177823,1274831,3521127.3,21518.64,410708.06,65741.81
8788,18,0.7671,505455,717771.1,960584,1333509.1,420222,646735.4,4041.9714,328289.9,22098.791
9024,19,0.7866,1040423,2007747.8,1595734,2679332.3,1132163,2321791.8,53198.563,80654.59,28381.625
9083,20,0.7928,717084,999770,1365085,1803298,742984,1072620.9,9560.232,115746.12,16696.729
9543,21,0.8305,474429,574606.1,1614719,1996825.1,439080,529746,2256.8523,131007.14,12786.579
9849,22,0.8567,707629,971861.4,771231,1027235.44,712167,1074403.1,4465.627,91005.41,18501.244
9887,23,0.8595,1135512,2912581.3,1741821,4194304,1169320,2983050.3,34186.46,632822.75,29271.42
9914,24,0.8617,1254430,2159188.8,1351075,2229340.3,1024741,2010536.9,8224.724,198694.53,62048.043
10139,25,0.8818,262075,355333.13,873325,1013371.4,135158,185050.78,3520.4873,30023.283,25129.438
10527,26,0.9141,386092,488794.13,1169861,1422927.1,242171,292424.72,422.812,239704.89,11250.163
10546,27,0.9155,871131,1718756.4,1246236,2806007.5,515437,1291362.1,8410.238,270366.72,16922.994
11441,28,0.9928,1298419,2661232.3,1620181,3163200.8,1101308,2851965,12669.873,371414.06,29001.475
11687,29,1.0145999,1273261,3078363,1669094,4194304,786985,2304380.5,14423.082,140993.3,22313.059
12236,30,1.0631,612411,824709.7,971544,1210320.1,328329,453512.78,2722.8962,101402.23,11455.082
12796,31,1.1132,767101,1186721.4,1461407,1990301.5,816234,1302414.3,9837.761,240485.1,16531.354
13311,32,1.1582999,723607,1042562.6,1321744,2328339.5,533766,856679.1,9858.308,335458.34,26525.188
13341,33,1.1606,1153384,2557123,1796058,4194304,1045616,2599000,20137.664,192396.45,20028.049
13453,34,1.169,1493411,4194304,1861691,4194304,1557069,4194304,131842.64,154365.55,28937.727
13718,35,1.1929,903447,2283247,1868512,4194304,1038084,2409710.3,11954.012,369608.94,370024.13
14333,36,1.247,1224729,2098762,1250766,2277318,1010979,1973055.9,26622.172,163335.1,21277.322
15612,37,1.3528999,480674,605750.75,971637,1216537.8,414865,517616.5,3088.436,130424.43,40949.332
16168,38,1.3977,524219,689344.5,1031872,1263946,555385,767230.9,2511.31,332269.66,10192.089
16687,39,1.4413999,979625,1240277.1,1478130,1989842.8,965205,1246896.6,19333.795,296935.03,16465.115
16862,40,1.4561,1344963,1949174.1,1274900,1931165.6,877398,1349578.9,10812.049,230205.25,60088.63
17164,41,1.4801999,497039,615283.6,820665,1004329.3,544820,676954.2,2361.4924,101581.53,11875.801
17677,42,1.5212,341777,413926.1,1263538,1482387.4,399202,489214.56,663.75977,34243.168,16860.684
