Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
24,1,0.0018999999,350994,437543.56,1312244,1605287.6,210810,269291.5,-313.73047,331380.16,10864.725
33,2,0.0026999998,664762,1855265.6,1748931,3915541,675369,1936706,8654.884,42611.953,18275.324
136,3,0.010799999,740712,1043337.75,1381485,1891468.1,700985,988250.9,2891.133,61517.75,15734.68
264,4,0.0218,913238,2365622.3,1810451,4194304,687700,1832715.6,9163.122,657165.1,15526.085
455,5,0.0385,802425,1214413.3,1482524,2150068,553146,938664.2,5217.9375,207408.6,52974.418
473,6,0.0398,1132644,1646220.5,1214915,1856094.3,825492,1162728.1,5314.002,221567.97,19130.563
558,7,0.047,805142,1206936.5,1736670,2330287.5,649879,1034704.56,3823.8125,160218.05,17409.305
1217,8,0.104899995,1153659,1798246.8,1152660,1764226,1010488,1706923.4,6376.884,125892.87,29331.238
1332,9,0.1144,601297,817585.06,930876,1197682.5,770360,1034256.94,2513.754,178759.64,35538.645
1338,10,0.1152,1044110,1498506.5,871140,1330083.1,536830,853486.4,3881.6963,94229.99,27805.49
1525,11,0.1325,1237878,2522074.8,2104949,4194304,961255,2049796.1,6147.6807,1125720.5,27679.063
2365,12,0.20189999,1092186,1510416.4,894884,1389482.1,606784,874957.06,4147.042,296932.6,19425.143
2372,13,0.2025,1027104,3517062,1687935,4194304,1113622,3321880.8,12362.918,148967.89,33004.844
2522,14,0.21689999,682844,989635.2,1148223,1475103,806805,1231695.3,3726.1206,409391.06,13772.352
2552,15,0.22039999,753460,1014730.1,1427070,1939759.1,442889,657471.6,3600.68,95912.44,23736.463
2798,16,0.2402,817484,1089781.1,1006770,1303851,478485,648842.75,2956.5261,143178.28,28269.016
2832,17,0.2428,716110,1071218.8,853057,1218085.8,869841,1313031.1,4317.4043,205703.34,20305.23
3227,18,0.2759,740879,1874519.6,1117874,2752294,861311,1823297.6,8158.6445,306839.3,15482.981
3240,19,0.2774,542657,1307030.8,1228749,3032825.3,407346,1033374.94,8156.7813,86215.9,20408.936
3621,20,0.308,1452484,4194304,2251238,4194304,1494286,4194304,86986.555,191239.03,35152.34
3648,21,0.3102,514814,682823.7,1005806,1279861.8,552460,783433.94,1941.2417,210890.81,29330.018
3969,22,0.3376,759314,2291820,1549744,4194304,803931,2105506,9060.929,308879.28,17435.77
4132,23,0.35279998,663389,917936.44,1733941,2167304.8,515669,706334.4,2500.8557,246047.22,19897.54
4181,24,0.3565,582845,832730.2,1012348,1522433.1,431349,665898.9,3176.645,187841.7,18762.969
4229,25,0.3602,484414,697210.94,841864,1084478.1,405254,623660.06,956.2352,119869.73,47482.508
4677,26,0.3964,1007034,1351415.9,1259519,1733619.6,857194,1217250,2775.4946,112552.46,26082.98
5151,27,0.4353,964033,2173950.5,1475638,3450543.8,1062533,2436866,8214.174,314760.63,21658.758
5322,28,0.4499,696022,933054.1,1491721,1957555.3,708966,974904.4,2970.0142,199199,55541.055
5450,29,0.4613,1614388,3980562.8,2522220,4194304,1091165,3068993.5,31076.414,222387.52,30783.443
5546,30,0.46829998,632022,803393.5,1121279,1556245.5,563342,751073.5,1953.3529,165725.94,15796.77
5569,31,0.47,994815,1381030.6,1577803,2223986.5,1048484,1432001.5,10281.037,79146.414,16555.951
5833,32,0.49089998,716322,1040865.1,1242821,1757579.4,867079,1346961.1,9155.182,385022.88,14647.618
6067,33,0.5103,1139339,3020744.5,2483293,4194304,863767,2453036.5,23468.098,149119.47,35737.965
6098,34,0.5129,929655,1725380,1174679,2554667.8,896613,1876715,5843.7847,91679.93,22930.89
6205,35,0.5215,752303,926384.44,1210467,1454423.5,794378,1009302.7,218.67358,276267.8,22452.96
6237,36,0.5243,1177472,1641708.5,1471121,2173420.8,737445,1117978.4,12623.63,174416.27,19543.262
6389,37,0.5367,575325,741244.06,1117300,1495792.6,634773,809398.2,1207.1985,417301.56,25123.898
6921,38,0.5789,1617109,2566888.5,1870768,2885122.8,1095556,1848970.4,8876.855,424630.97,93758.21
7069,39,0.58889997,993195,1414018.3,1128970,1555092.8,515747,793631.7,2312.2068,486600.4,17038.328
7140,40,0.59459996,714189,944583.1,1272207,1623371.5,596853,781374,1416.5271,400701.78,15968.797
7273,41,0.60469997,1253136,1859219.6,1932176,2789010.3,971437,1597978.8,4111.88,531724.75,30720.771
7378,42,0.6125,571910,811541.2,958931,1197686.1,377821,545989.56,1241.2911,160630.02,13529.589
7619,43,0.6292,873974,1294872.3,957511,1411498.1,957169,1548154.8,6134.6436,243032.73,16878.248
7652,44,0.6319,1113669,2341432.3,1994781,4194304,919973,2390392.8,7294.538,762290.25,57984.477
8036,45,0.66069996,663976,1324930.1,1222755,2898639.5,693508,1250301.3,4963.955,550173.3,12152.979
8131,46,0.66899997,1286120,1719034.3,1849715,2549721.3,927495,1334608,4246.091,184859.92,52050.02
8308,47,0.6847,658464,780860.3,1282192,1524687.3,731629,816236.5,1087.2389,162446.03,18619.352
8348,48,0.6872,1143386,1693550.5,1522606,2242724,998782,1547287.1,2921.6233,251692.73,53854.45
8518,49,0.701,653679,855229.94,1193034,1619677.6,568453,831399.2,2515.339,189732.7,12521.483
8698,50,0.7136,560025,785942.3,977791,1302144.9,739541,1080939.9,2087.7556,501939.4,13856.495
8919,51,0.7302,659882,933656.3,1307674,1803166.8,867088,1292683.9,3552.5664,405256.9,15915.265
9125,52,0.7453,1025772,2470299,1737749,4194304,843223,2228968.3,8409.461,369397.2,92722.06
9166,53,0.74829996,470634,625157.4,1535056,1872149.1,377064,491323.78,1053.3169,151754.25,22762.8
9322,54,0.76019996,1077621,1529365.4,1402685,2070919.6,659126,991913.3,3324.8552,762016.56,68240.63
9889,55,0.80649996,617493,853837.8,1080757,1366855.9,348686,518268.34,1479.1174,68198.44,32540.77
9912,56,0.80829996,580520,772717.6,1435321,1914836.3,456064,605016.3,7274.3467,147200.78,13055.308
9948,57,0.81049997,699230,1384020.8,1712980,3684610.8,709264,1190327,6233.0396,199497.83,28932.273
10032,58,0.8161,956891,1586359,1533845,2543360.5,1047254,1900875,7065.4473,120110.32,20903.836
10052,59,0.8175,682846,924814.7,1272428,1651481.4,552094,731439.75,2599.1514,167040.97,20915.484
10425,60,0.8462,1120946,2986717.8,1815066,4194304,1307080,3323984,22872.215,220759.86,18929.508
10616,61,0.8628,519219,654023.44,1334512,1645796.6,471100,630684.44,896.8805,225856.81,39845.12
10704,62,0.8696,1233008,1802215.6,2379015,3565678.8,1026986,1630660.4,5701.802,1002306.5,44210.766
10848,63,0.88089997,769919,1093607,1646362,2178158.3,713447,1020184.75,8743.3545,573123.8,14265.43
10987,64,0.8937,672109,845924.7,1278947,1697213.4,474473,612896.75,1248.9531,273143.66,26726.537
11019,65,0.89629996,1036451,1515020.8,1639729,2470945.8,737794,1137710.1,6167.618,691051.56,23985.576
11082,66,0.9016,1316309,2784595.8,1844318,4194304,1108166,2411106.8,8989.331,128035.5,41058.594
11581,67,0.93969995,411789,576668.06,1448841,1820160.3,391238,536214.4,1283.4946,335719.94,11730.135
11889,68,0.9623,563215,725139,1355903,1676692,518092,706218.5,208.45166,331729.06,15488.583
