Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
50,1,0.0046,1258516,4194304,2210974,4194304,921031,3645847.8,77934.81,103925.31,24343.465
185,2,0.0212,903289,1251548.8,1040823,1403905.8,522052,717589.8,7110.6553,282988.75,19295.527
382,3,0.038799997,1412718,4194304,1458785,4194304,1382459,4194304,114820.46,144151.39,37512.15
973,4,0.102299996,1120285,3011580.3,2135022,4194304,834865,2326233.8,58513.78,73102.86,18779.58
1020,5,0.10789999,1328146,3738690.8,1860929,4194304,1196076,4194304,82586.38,94241.79,27651.31
1085,6,0.115499996,412628,496257.66,1378436,1740111.3,303669,379411.4,3622.6602,199016.33,22914.871
1289,7,0.1358,1078883,3835319.5,2248276,4194304,1073646,4022747.3,84518.55,101262.1,28114.7
1558,8,0.16149999,1122156,2961303,1756650,4194304,1297350,2698874.5,58280.797,72213.67,20750.914
1670,9,0.17279999,918845,2397355,1942904,4194304,765678,1899462.8,51841.38,61866.6,17003.488
1704,10,0.1762,567730,763477.75,1153134,1466881.8,582113,809106.9,7492.498,157436.6,12765.67
2137,11,0.2206,899996,1425132.8,1209580,1617354.6,1036786,1917491.6,10605.468,178519.36,16721.172
2279,12,0.2348,1218596,3216136.5,1687737,4194304,1331681,3881435,71887.47,84225.26,24357.916
2671,13,0.2724,1082070,3130777.3,1511928,4194304,1050353,3727619.8,60578.715,86696.33,20437.283
3009,14,0.30879998,842014,1916495.1,2275783,4194304,605650,1551156.9,44064.17,55663.996,15639.739
3413,15,0.3497,969743,1437328.1,1623018,2354016.3,723319,1164422.3,10380.667,132984.95,18990.668
3531,16,0.3631,1174494,2068013.4,2482506,4194304,935050,2047099.3,38454.035,159824.88,39414.395
3552,17,0.36479998,868893,1205961.8,1538554,1995690.5,757762,1086853.4,7881.7764,170771.16,16827.697
3622,18,0.3714,1201401,4194304,2125306,4194304,1380424,4194304,122160.68,170032.36,50845.758
