Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
90,1,0.0058,558184,831832.1,979472,1262202.6,651782,970623.75,1156.8369,147430.55,10519.727
140,2,0.01,610711,881037.5,951726,1223757.6,700885,1020696.5,1619.0131,121234.195,19694.52
145,3,0.0105,541031,734975.25,1229263,1635434.3,498078,724380.75,1078.5525,45267.293,12640.871
166,4,0.0117,320706,485650.7,787092,1043498.94,383737,606833.3,1084.5605,141082.55,16494.89
185,5,0.0133,1151127,1832503.9,1807937,2813962.8,769921,1347486.6,4928.657,76845.99,22963.408
294,6,0.0213,495615,657465.6,1193690,1525535,362166,493346.7,1097.5481,56762.336,10468.042
296,7,0.0213,894109,1319701.5,1370714,1825914.3,917178,1335311.6,2027.8162,205380.97,15829.711
341,8,0.0255,1241857,3089396.3,1971692,4194304,865498,2126731.5,22781.13,505956.44,26930.396
360,9,0.027199998,467376,630432,1007029,1347667.1,297381,421150.44,35.458984,449927.66,31616.863
467,10,0.0365,401514,533371.2,1208178,1498319.3,404152,521603.4,-743.12915,175277.94,71756.28
536,11,0.042,426246,560612.4,949198,1146992.5,491732,624293.56,1217.1306,138445.36,34989.195
543,12,0.0424,845471,1323328.9,1261237,2302776.8,863665,1385135.1,4848.924,295974.78,31977.809
570,13,0.044099998,1307730,3586538.3,1745199,4194304,1048903,2960861.5,8455.1045,616521.06,24794.875
618,14,0.047399998,905532,1270113.1,1713984,2361634.3,768157,1186180.3,2949.6519,203314.45,18451.654
671,15,0.0519,692279,978500.6,1373992,1814414.6,371286,559594.56,1609.4329,215168.23,16253.544
686,16,0.053099997,724290,957720.1,1463259,1903254.4,468284,642775.9,980.1902,170425.78,14343.132
755,17,0.058599997,995850,2934947.5,1789392,4194304,927208,2216659.8,28600.906,354601.97,16675.473
788,18,0.060999997,435738,545651.56,1168968,1374043.9,242294,301182.78,1444.4426,229779.28,24006.51
823,19,0.063599996,425712,554752.8,903849,1176933.4,471071,635907.7,725.02673,167621.78,26550.6
863,20,0.067099996,552351,734235.2,1308251,1610247.1,529376,713830.2,1917.325,61462.016,13472.57
1016,21,0.0791,871837,2763176.5,1184759,2769219.8,831029,2699668.3,49169.18,150259.42,16087.343
1193,22,0.093899995,529612,721360.56,961320,1175746.5,628118,835193.7,625.36633,487408.3,11875.621
1210,23,0.0953,1008417,2219089.5,1308706,2749932,499312,1220050,6251.6563,134367.66,16550.086
1215,24,0.0955,923759,1379186.3,1051473,1506507.3,494746,841370.5,2511.908,243292.3,17290.44
1237,25,0.0973,1371096,3561934.8,1651534,4194304,890946,2382309,85444.73,152014.5,27247.725
1320,26,0.104899995,1200402,1802924.3,1228592,1940266.6,678938,1095815.3,4314.0903,370274.56,20512.873
1375,27,0.109,411669,517122.75,985407,1214453.4,442539,584991.3,-257.2339,358788.72,18042.518
1401,28,0.110599995,479432,586494.8,922939,1106444.6,289678,357997.22,-234.09766,97587.94,16234.8545
1430,29,0.112799995,1045574,1475638.1,1498645,2014860.4,1018510,1552107.6,4554.8994,133100.13,19658.174
1554,30,0.122099996,830774,1124340.3,1727077,2273349.8,843441,1110691.6,2504.3862,304655.6,17881.033
1574,31,0.124,1437269,2200076.3,2024997,2936109.3,914958,1531514.8,5582.309,169868.53,193870.2
1609,32,0.127,930012,1357945.1,1226714,1738149,550357,879886.44,2417.6816,119875.09,18120.963
1619,33,0.1278,697442,968419.1,1583186,2227949.3,463023,714807.4,1068.6737,347298.63,19799.875
1629,34,0.1285,700775,945314.8,1158755,1567672.8,461765,660680.1,959.1206,261877.72,15924.876
1644,35,0.1301,636430,831130.1,1422296,1951323.9,867885,1075480.5,1726.2932,186811.84,11958.582
1775,36,0.14119999,559959,668064.25,1350455,1698192,462380,550717.4,-1278.0354,517842.22,22243.16
1810,37,0.1437,609948,778013.75,1197703,1661459.9,403776,539252.44,498.85864,187209.28,15378.979
1822,38,0.1451,654421,944971.8,1159507,1525166.4,697607,990665.56,4439.211,79011.03,11997.083
1853,39,0.1477,523912,674672.2,1295876,1573727.3,490826,606428.25,836.22217,79953.516,33621.406
1867,40,0.1486,859683,1169757.1,949182,1259404.8,901514,1363821.8,4009.2354,272827.4,346190.75
1883,41,0.14919999,973448,1372347.4,1809175,2472929.8,771317,1109286.3,1877.3387,726736.56,16563.963
1890,42,0.14999999,845412,1874892.6,1476284,3483748,826116,1572293,3955.626,425170.3,22996.654
1912,43,0.15179999,549515,780471.1,986376,1310879.5,665968,961651.2,1376.0691,36542.29,17678.809
1926,44,0.1528,934523,1413485.3,1464577,2018437.4,896090,1486977.1,2824.066,318195.2,48361.805
1934,45,0.1533,916517,1541777.1,1918780,2994016,991862,1902025.8,3405.0293,458955.75,78478.92
1984,46,0.1572,665287,930516.25,1338872,1765283.1,410470,595890.9,1615.8264,85904.22,11900.085
2143,47,0.1709,317429,395930.25,1263723,1504311.1,324999,387452.78,755.4883,152039.58,67319.375
2166,48,0.17279999,933800,1388896.6,1037359,1541662.4,1081730,1676851.6,2914.4763,278294.63,29812.95
2171,49,0.1732,1362656,1878285.6,1552878,2174901,1655037,2278727.5,2344.8232,608714.44,34583.586
2202,50,0.17549999,1003583,2069557.6,1374177,3243733,696645,1497976.6,5099.4385,169538.44,65341.9
2239,51,0.1784,752973,975329.9,1019332,1296316.5,451713,622379.1,1846.2568,84112.57,15379.803
2245,52,0.17899999,929702,1897666.4,1636880,3592094,713135,1720025.6,4121.424,365461.2,16809.488
2251,53,0.1795,793123,1032503.44,1142590,1629811.3,428295,590408.56,979.3943,129167.805,14148.018
2283,54,0.1813,603584,872943.9,1302840,1583924.4,572062,862876.25,651.7429,638081.25,13855.597
2301,55,0.18249999,1311756,1748107.4,1677081,2403010,1018493,1445010.6,2362.3232,414435.3,25539.33
2321,56,0.18439999,620877,755882.3,1436894,1890144.5,543295,694344.2,966.52686,68836.12,13708.584
2326,57,0.1849,796235,1902126.8,1392348,3285769.3,938353,2007812.5,5186.3037,305576.22,49083.668
2362,58,0.188,694527,975123.4,1181211,1511662,471112,675345.25,1906.0703,80491.78,22648.47
2375,59,0.18879999,412668,509204.22,1156789,1440116.1,510074,612562.75,862.71436,239647.6,21940.02
2419,60,0.1919,1216430,1954909.3,2082654,3170962,1084784,1934895.8,6601.833,200723.2,26525.52
2433,61,0.1927,882674,1084582.5,711115,977956.9,815140,1090609.3,2156.9988,154817.97,21155.76
2486,62,0.197,720463,961428.56,1322083,1729856.4,565331,772643.5,1168.0509,256978.67,13625.046
2502,63,0.1982,733895,992193.6,1263819,1745626.9,514841,744271.75,1753.2823,59192.6,13270.448
2509,64,0.1989,886141,1297717.4,1350408,1796175.6,758831,1214726,2025.3762,259027.92,14698.289
2581,65,0.2043,778714,1070674,1391855,1806661,650266,895155.44,894.30066,325416.75,21540.967
2686,66,0.21249999,666665,923276.44,1155730,1510686.1,597857,902252.94,1187.3658,243752.98,26574.469
2785,67,0.2201,1206271,2095240.4,1092885,1972916.8,1261045,2368321.8,7044.711,748817.44,92608.86
2927,68,0.23009999,1234673,1878601.8,1905270,2724673.5,1207690,1911540.3,5235.116,162586.1,20947.393
2949,69,0.2315,1412508,4121804.3,2295866,4194304,1136192,3274999.5,32299.287,420289.78,43533.188
