Absolute Event,Relative Event,Time,SSC-H,SSC-A,FSC-H,FSC-A,SSC-B-H,SSC-B-A,GFP-A,PE-A,APC-A
8,1,0.00049999997,676475,876602.5,1378889,1836876.9,582787,813823,1247.2378,231865.56,13019.644
31,2,0.0026,681203,939255.9,1786028,2342599.3,630488,887048.8,1275.9438,462353.78,24455.127
75,3,0.0069,941132,4137263.8,1320550,4194304,1161535,4104266.8,18955.625,862130.6,133031.47
301,4,0.0287,917643,2044860.8,1284122,3028991,934611,1862798.5,7352.0938,308698.78,15233.18
349,5,0.0328,992457,1470897.9,1415936,2081364.3,704595,1096296.9,6470.218,84596.414,18478.158
370,6,0.034199998,891316,3229462,1778003,4194304,856437,3151560,19383.852,754109.5,24897.889
379,7,0.0356,392559,540542.56,1134314,1426660.6,294544,390121,3011.313,58557.074,18690.674
385,8,0.0363,1052524,2065056.8,1138069,1882387.9,992796,2241398.3,13750.985,297802.8,26219.146
416,9,0.0389,704650,1027252.7,1389908,2458085.5,480737,799778.56,3149.255,172648.19,18003.94
551,10,0.051799998,749401,1113105.9,1103773,1655921.5,785765,1183936.3,3297.693,206625.66,13240.847
569,11,0.053,1015991,1518689,1544503,2184663,1159343,1741952.5,5619.145,428700.75,21944.549
579,12,0.053799998,1236945,1682632.9,1509154,2058562.5,864025,1148065.3,4025.2695,346537.4,26562.787
596,13,0.055299997,813251,1250162.5,1562792,2149618.5,855903,1346876.1,3256.0972,198011.98,17208.557
666,14,0.061499998,537895,751027.75,1024503,1345647.8,618959,901428.6,6613.7275,381203.7,75711.79
735,15,0.0681,365717,445625.7,1325841,1568480.6,422498,516150.72,1445.2502,232651.67,22458.156
745,16,0.0689,627527,1581151.9,1273875,3168676.8,523903,1389725.3,3923.94,376935.3,13923.959
966,17,0.0874,519094,747641.25,992947,1431194.4,585032,912433.8,4241.192,49333.152,11990.912
994,18,0.0903,634966,974776.44,1148157,1584651,808287,1262063,4246.0356,268938.13,12246.309
