id	fdr.pvalue.5m_vs_0m	fdr.pvalue.15m_vs_0m	5m_vs_0m	15m_vs_0m
PERT-PSP_VIRUS_INFECTION	0.123930173811409	0.00443239145015018	2.4567	2.7412
PERT-PSP_VANADATE	0.0347081489938633	0.217490290612026	2.9336	2.0823
PERT-PSP_UV	0.705724445486288	0.27643701048719	0.8929	1.9209
PERT-PSP_U0126	0.00217142857142857	0.00217142857142857	-3.1181	-2.8655
PERT-PSP_TNF	0.81328882642896	0.284589235458976	0.6408	1.8571
PERT-PSP_THROMBIN	0.0170048525360444	0.279783259199353	3.3046	1.9301
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.00558648951614385	0.0229872787118584	2.875	2.6825
PERT-PSP_SORBITOL	0.00925888324873096	0.673416890153796	-3.3001	-0.9366
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.482250749623025	0.0353413654618474	1.3997	2.6531
PERT-PSP_PHORBOL_ESTER	0.273635307781649	0.294054767040849	1.995	1.8194
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.136503446262994	0.00270737224587215	2.4331	2.7344
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.00217142857142857	0.284589235458976	3.4401	1.8292
PERT-PSP_OKADAIC_ACID	0.299303273012491	0.148712142431642	1.827	2.2094
PERT-PSP_LPS	0.120237310481213	0.136584270023508	2.4835	2.2681
PERT-PSP_LPA	0.120237310481213	0.00270737224587215	2.4348	2.7592
PERT-PSP_INSULIN	0.318079061526242	0.00795386756810499	1.7416	3.1635
PERT-PSP_IL_2	0.162186679753433	0.00217142857142857	2.3216	3.289
PERT-PSP_IL_1B	0.482894784075816	0.0309523130745014	1.3944	2.6703
PERT-PSP_IL_1A	0.482250749623025	0.0324347393128957	1.3881	2.6531
PERT-PSP_HGF	0.135714285714286	0.0694628510844431	2.375	2.5034
PERT-PSP_HEREGULIN	0.00558648951614385	0.136584270023508	2.9327	2.2624
PERT-PSP_H2O2	0.655246873665111	0.240917730111322	-1.0122	-1.912
PERT-PSP_FIBRONECTIN	0.00270737224587215	0.131095497950486	2.9199	2.309
PERT-PSP_FGF2	0.899430633943908	0.405951219512195	-0.405	1.5277
PERT-PSP_FGF1	0.00443239145015018	0.00270737224587215	3.2912	3.134
PERT-PSP_ETOPOSIDE	0.152164502164502	0.965208351896403	-2.3439	0.247
PERT-PSP_ERLOTINIB	0.00217142857142857	0.00270737224587215	-3.4026	-3.2051
PERT-PSP_EGF	0.898528625798413	0.928133246615383	-0.4012	-0.2966
PERT-PSP_DASATINIB	0.00443239145015018	0.136584270023508	-2.9823	-2.2332
PERT-PSP_CYCLIC_STRETCH	0.00270737224587215	0.136584270023508	2.8674	2.2668
PERT-PSP_CXCL12	0.00558648951614385	0.136584270023508	2.9416	2.2718
PERT-PSP_CISPLATIN	0.073385430701518	0.00270737224587215	2.6544	2.7912
PERT-PSP_BACTERIAL_INFECTION	0.123930173811409	0.00270737224587215	2.4222	2.7732
PERT-PSP_ARSENITE	0.0324347393128957	0.136584270023508	-3.1138	-1.9441
PERT-PSP_ANTI_IGM	0.00217142857142857	0.0572553043636387	3.3807	2.5445
PERT-PSP_ANTI_CD3	0.00217142857142857	0.00217142857142857	5.4986	5.1498
PERT-PSP_ANISOMYCIN	0.403372598254619	0.280931141931936	1.5794	1.9012
PERT-P100-DIA2_SOTRASTAURIN	0.574508702497071	0.720201357960497	-1.1902	-0.8591
PERT-P100-DIA2_RGFP966	0.0347081489938633	0.599152270049425	-2.5762	-1.1166
PERT-P100-DIA2_RESVERATROL	0.928133246615383	0.898528625798413	-0.3169	-0.3984
PERT-P100-DIA2_PAZOPANIB	0.271865675912075	1	-1.9358	-6e-04
PERT-P100-DIA2_LOSMAPIMOD	0.0291333333333333	0.120237310481213	2.3437	1.9944
PERT-P100-DIA2_LENALIDOMIDE	0.284589235458976	0.109191480191085	1.7761	1.9987
PERT-P100-DIA2_IPI145	0.928133246615383	0.153496446631391	0.339	1.8863
PERT-P100-DIA2_GELDANAMYCIN	0.928133246615383	0.898528625798413	-0.3138	-0.3946
PERT-P100-DIA2_CI-994	0.928133246615383	0.898528625798413	-0.3129	-0.3921
PATH-NP_TWEAK_PATHWAY	0.81328882642896	0.287241114949065	0.6328	1.8269
PATH-NP_TSLP_PATHWAY	0.282961559815801	0.280931141931936	1.9411	1.9305
PATH-NP_TIE2_PATHWAY	0.0068709881565862	0.851721654462722	-3.477	-0.5357
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.0665913873000006	0.144725873424123	2.7908	2.2533
PATH-NP_PROLACTIN_PATHWAY	0.0415218161892156	0.15153661390651	-2.7227	-2.2138
PATH-NP_OXYTOCIN_PATHWAY	0.469035167313452	0.0283744511147409	1.4155	2.6877
PATH-NP_NOTCH_PATHWAY	0.803096459822867	0.472592209879732	0.696	1.4041
PATH-NP_LEPTIN_PATHWAY	0.625124415562631	0.316426799007444	1.0683	1.7241
PATH-NP_KIT_RECEPTOR_PATHWAY	0.288155622966494	0.143155307066378	1.8801	2.2042
PATH-NP_IL33_PATHWAY	0.853706078606488	0.0347081489938633	0.5113	2.6519
PATH-NP_GLP1_PATHWAY	0.0977172607128554	0.468393319306608	-2.6419	-1.4275
PATH-NP_FGF1_PATHWAY	0.0601741884402217	0.300460092018404	2.7247	-1.737
PATH-NP_EGFR1_PATHWAY	0.31148026983029	0.599152270049425	1.7629	1.1262
PATH-NP_CRH_PATHWAY	0.81328882642896	0.282100945653412	0.6301	1.8675
PATH-NP_CCR7_PATHWAY	0.972287075691955	0.584645591989004	-0.2116	1.1963
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.0347081489938633	1	2.8809	0.1032
PATH-NP_AGE_RAGE_PATHWAY	0.509342067152374	0.805033498439222	1.295	0.6843
PATH-BI_ISCHEMIA	0.0638359633140846	0.00270737224587215	2.7621	3.217
KINASE-PSP_ZAP70	0.00443239145015018	0.00217142857142857	3.844	4.6065
KINASE-PSP_Syk/SYK	0.0068709881565862	0.0334395387649825	2.95	2.9505
KINASE-PSP_Src/SRC	0.273635307781649	0.460825780463243	1.9899	1.4404
KINASE-PSP_Ret/RET	0.893550108062852	0.247354741963358	0.4837	1.8065
KINASE-PSP_MKK7/MAP2K7	0.00443239145015018	0.251341827053402	-3.3057	-1.9049
