id	fdr.pvalue.5m_vs_0m	fdr.pvalue.15m_vs_0m	5m_vs_0m	15m_vs_0m
PERT-PSP_VIRUS_INFECTION	0.000545833333333333	0.725111774375295	3.3706	-0.807
PERT-PSP_VANADATE	0.000545833333333333	0.824273571161553	4.5095	-0.4802
PERT-PSP_UV	0.000545833333333333	0.46996753471789	5.0373	-1.4116
PERT-PSP_U0126	0.000545833333333333	0.725111774375295	-3.3977	0.8108
PERT-PSP_TNF	0.000545833333333333	0.63365328267075	5.1297	-1.0431
PERT-PSP_THROMBIN	0.000545833333333333	0.827267338678564	4.3679	-0.4709
PERT-PSP_SORBITOL	0.8782986961729	0.722461921748485	0.3464	-0.9061
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.000545833333333333	0.824273571161553	4.4878	-0.4855
PERT-PSP_PHORBOL_ESTER	0.000545833333333333	0.824273571161553	4.6384	-0.4853
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.000545833333333333	0.725111774375295	3.4179	-0.8195
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.00190717447006755	0.0027098028670128	2.8848	-2.7273
PERT-PSP_OKADAIC_ACID	0.000545833333333333	0.824273571161553	4.5476	-0.4857
PERT-PSP_LPS	0.000545833333333333	0.807014843568163	3.936	0.5894
PERT-PSP_LPA	0.00101590551303228	0.725111774375295	3.3926	-0.8176
PERT-PSP_INSULIN	0.000545833333333333	0.664537983250248	5.0135	-0.9938
PERT-PSP_IL_2	0.000545833333333333	0.824273571161553	4.4169	-0.478
PERT-PSP_IL_1B	0.000545833333333333	0.824273571161553	4.4362	-0.4813
PERT-PSP_IL_1A	0.000545833333333333	0.824273571161553	4.482	-0.4855
PERT-PSP_HGF	0.000545833333333333	0.725111774375295	3.3738	-0.7964
PERT-PSP_HEREGULIN	0.000545833333333333	0.725111774375295	3.4041	-0.8117
PERT-PSP_H2O2	0.870373188531111	0.765070336702047	-0.3961	-0.7057
PERT-PSP_FIBRONECTIN	0.000545833333333333	0.725111774375295	3.4364	-0.8181
PERT-PSP_FGF2	0.27814848090234	0.0722083088684649	1.8647	-2.5935
PERT-PSP_FGF1	0.000545833333333333	0.725111774375295	3.4371	-0.7936
PERT-PSP_ETOPOSIDE	0.938827144202353	0.201074049927855	-0.2147	-1.9611
PERT-PSP_ERLOTINIB	0.000545833333333333	0.804323301220184	-4.0284	-0.6013
PERT-PSP_EGF	0.0595334275903858	0.057948613864993	2.8678	-2.6397
PERT-PSP_DASATINIB	0.000545833333333333	0.725111774375295	-3.3669	0.8234
PERT-PSP_CYCLIC_STRETCH	0.000545833333333333	0.725111774375295	3.3999	-0.8016
PERT-PSP_CISPLATIN	0.000545833333333333	0.807014843568163	4.019	0.6051
PERT-PSP_BACTERIAL_INFECTION	0.00101590551303228	0.725111774375295	3.3333	-0.8105
PERT-PSP_ARSENITE	0.902652817957896	0.454994366197183	-0.3019	-1.4816
PERT-PSP_ANTI_IGM	0.00101590551303228	0.725111774375295	3.3535	-0.799
PERT-PSP_ANTI_CD3	0.000545833333333333	0.127024580281714	7.919	-2.4305
PERT-PSP_ANISOMYCIN	0.000545833333333333	0.824273571161553	4.5045	-0.4871
PERT-P100-DIA2_SOTRASTAURIN	0.12481645598533	0.245184806217922	-2.403	1.9971
PERT-P100-DIA2_RGFP966	0.00512641571579047	0.619193170332054	-3.1579	1.1189
PERT-P100-DIA2_RESVERATROL	0.902652817957896	0.164570196625116	0.3079	-1.9559
PERT-P100-DIA2_PAZOPANIB	0.807014843568163	0.286627445795875	-0.5805	-1.7435
PERT-P100-DIA2_LOSMAPIMOD	0.902652817957896	0.161377225018509	0.3062	-2.0131
PERT-P100-DIA2_LENALIDOMIDE	0.807014843568163	0.286627445795875	-0.5772	-1.7675
PERT-P100-DIA2_IPI145	0.454994366197183	0.000545833333333333	1.477	3.0072
PERT-P100-DIA2_GELDANAMYCIN	0.902652817957896	0.175934886117654	0.3056	-1.9848
PERT-P100-DIA2_CI-994	0.902652817957896	0.18054570802629	0.3038	-1.999
PATH-WP_Non-small_cell_lung_cancer	0.0027098028670128	0.519315342844755	3.3497	1.2907
PATH-NP_TWEAK_PATHWAY	0.000545833333333333	0.639257213374861	5.1698	-1.04
PATH-NP_TSLP_PATHWAY	0.000545833333333333	0.464050581104062	5.8609	-1.4339
PATH-NP_TIE2_PATHWAY	0.730010451181925	0.303027341204681	-0.7874	-1.7732
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.000545833333333333	0.000545833333333333	3.7447	-3.6988
PATH-NP_PROLACTIN_PATHWAY	0.725111774375295	0.730795306178696	-0.9132	-0.7741
PATH-NP_OXYTOCIN_PATHWAY	0.000545833333333333	0.824273571161553	4.4881	-0.4807
PATH-NP_NOTCH_PATHWAY	0.000545833333333333	0.621678176361712	4.558	-1.0809
PATH-NP_LEPTIN_PATHWAY	0.000545833333333333	0.466819309920713	5.4173	-1.4356
PATH-NP_KIT_RECEPTOR_PATHWAY	0.000545833333333333	0.725111774375295	3.5081	-0.8872
PATH-NP_IL33_PATHWAY	0.000545833333333333	0.38751417812259	5.3081	-1.62
PATH-NP_GLP1_PATHWAY	1	0.120290147973709	-8e-04	-2.219
PATH-NP_FGF1_PATHWAY	0.276279276279276	0.0161005361724355	1.9279	-2.8447
PATH-NP_EGFR1_PATHWAY	0.00101590551303228	0.00739388922335942	4.1757	-3.74
PATH-NP_CRH_PATHWAY	0.000545833333333333	0.63365328267075	5.1155	-1.0685
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.00101590551303228	0.00437804959561527	3.6668	-2.9031
PATH-NP_AGE_RAGE_PATHWAY	0.000545833333333333	0.627040577219738	5.2342	-1.0963
