id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,7,16,785.0280365282401,2.6571966002210865,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,DMSO 0m,DMSO 5m,3,3,-5.5349980745707645,-36.83159976139213,0.0,2,16,0.05
,,DMSO 0m,PP1 0m,3,3,1.5770339804301907,10.494074902062964,1.3984426727731147e-08,,,
,,DMSO 0m,Soq 0m,3,3,1.295549896854507,8.62099220794372,2.0749318663249028e-07,,,
,,DMSO 0m,U0126 0m,3,3,2.2275827980258613,14.82302919475055,9.12800945940262e-11,,,
,,DMSO 5m,PP1 5m,3,3,2.0198274801464544,13.440560653055798,3.91601417959464e-10,,,
,,DMSO 5m,Soq 5m,3,3,1.0634581425276668,7.076581444269075,2.6204809930874262e-06,,,
,,DMSO 5m,U0126 5m,3,3,4.053962866771912,26.976330568654827,9.103828801926284e-15,,,
,,PP1 0m,PP1 5m,3,3,-5.092204574854501,-33.88511401039929,2.220446049250313e-16,,,
,,PP1 0m,Soq 0m,3,3,-0.2814840835756838,-1.8730826941192442,0.07944430524741519,,,
,,PP1 0m,U0126 0m,3,3,0.6505488175956704,4.328954292687585,0.000518431991138657,,,
,,PP1 5m,Soq 5m,3,3,-0.9563693376187876,-6.363979208786723,9.393894812470549e-06,,,
,,PP1 5m,U0126 5m,3,3,2.034135386625458,13.535769915599028,3.5281044752366597e-10,,,
,,Soq 0m,Soq 5m,3,3,-5.767089828897604,-38.376010525066775,0.0,,,
,,Soq 0m,U0126 0m,3,3,0.9320329011713542,6.202036986806829,1.2678261734677676e-05,,,
,,Soq 5m,U0126 5m,3,3,2.9905047242442455,19.89974912438575,1.0340617251358708e-12,,,
,,U0126 0m,U0126 5m,3,3,-3.7086180058247136,-24.678298387487853,3.6637359812630166e-14,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,DMSO 0m,DMSO 5m,3,3,-5.5349980745707645,-36.83159976139213,0.0,2,16,0.05,True
,,DMSO 0m,PP1 0m,3,3,1.5770339804301907,10.494074902062964,9.789098298629284e-08,,,,True
,,DMSO 0m,Soq 0m,3,3,1.295549896854507,8.62099220794372,1.2449584739782082e-06,,,,True
,,DMSO 0m,U0126 0m,3,3,2.2275827980258613,14.82302919475055,9.12800945940262e-10,,,,True
,,DMSO 5m,PP1 5m,3,3,2.0198274801464544,13.440560653055798,3.1752940277129937e-09,,,,True
,,DMSO 5m,Soq 5m,3,3,1.0634581425276668,7.076581444269075,1.3102336296366701e-05,,,,True
,,DMSO 5m,U0126 5m,3,3,4.053962866771912,26.976330568654827,1.1834977442504169e-13,,,,True
,,PP1 0m,PP1 5m,3,3,-5.092204574854501,-33.88511401039929,3.1086244689504383e-15,,,,True
,,PP1 0m,Soq 0m,3,3,-0.2814840835756838,-1.8730826941192442,0.07944430524741519,,,,False
,,PP1 0m,U0126 0m,3,3,0.6505488175956704,4.328954292687585,0.001036595210547886,,,,True
,,PP1 5m,Soq 5m,3,3,-0.9563693376187876,-6.363979208786723,3.757504978163517e-05,,,,True
,,PP1 5m,U0126 5m,3,3,2.034135386625458,13.535769915599028,3.1752940277129937e-09,,,,True
,,Soq 0m,Soq 5m,3,3,-5.767089828897604,-38.376010525066775,0.0,,,,True
,,Soq 0m,U0126 0m,3,3,0.9320329011713542,6.202036986806829,3.803430299109678e-05,,,,True
,,Soq 5m,U0126 5m,3,3,2.9905047242442455,19.89974912438575,1.1374678976494579e-11,,,,True
,,U0126 0m,U0126 5m,3,3,-3.7086180058247136,-24.678298387487853,4.39648317751562e-13,,,,True


