id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,7,16,494.6779385064955,2.6571966002210865,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,DMSO 0m,DMSO 5m,3,3,-2.438411364246556,-26.010292978882443,1.5987211554602254e-14,2,16,0.05
,,DMSO 0m,PP1 0m,3,3,1.2405422850962764,13.232741924173483,4.928104591073179e-10,,,
,,DMSO 0m,Soq 0m,3,3,0.226762754731235,2.4188558886085882,0.027853034550951117,,,
,,DMSO 0m,U0126 0m,3,3,0.33165085048720344,3.5376868375665347,0.002736780305645281,,,
,,DMSO 5m,PP1 5m,3,3,0.43716820500575726,4.663230027541055,0.00025971388988987876,,,
,,DMSO 5m,Soq 5m,3,3,-0.030521638329402467,-0.3255712989135227,0.7489676461973291,,,
,,DMSO 5m,U0126 5m,3,3,0.5376651431186275,5.735220931997841,3.069519266629683e-05,,,
,,PP1 0m,PP1 5m,3,3,-3.241785444337075,-34.57980487551487,2.220446049250313e-16,,,
,,PP1 0m,Soq 0m,3,3,-1.0137795303650414,-10.813886035564895,9.149731639013226e-09,,,
,,PP1 0m,U0126 0m,3,3,-0.9088914346090728,-9.695055086606947,4.219036853214675e-08,,,
,,PP1 5m,Soq 5m,3,3,-0.4676898433351597,-4.988801326454578,0.00013385813263244728,,,
,,PP1 5m,U0126 5m,3,3,0.1004969381128702,1.071990904456786,0.29962791989578563,,,
,,Soq 0m,Soq 5m,3,3,-2.695695757307193,-28.75472016640455,3.3306690738754696e-15,,,
,,Soq 0m,U0126 0m,3,3,0.10488809575596844,1.1188309489579464,0.27972884875656323,,,
,,Soq 5m,U0126 5m,3,3,0.5681867814480299,6.060792230911363,1.651584104345183e-05,,,
,,U0126 0m,U0126 5m,3,3,-2.232397071615132,-23.812758884451135,6.394884621840902e-14,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,DMSO 0m,DMSO 5m,3,3,-2.438411364246556,-26.010292978882443,2.2382096176443156e-13,2,16,0.05,True
,,DMSO 0m,PP1 0m,3,3,1.2405422850962764,13.232741924173483,5.913725509287815e-09,,,,True
,,DMSO 0m,Soq 0m,3,3,0.226762754731235,2.4188558886085882,0.1068432197426914,,,,False
,,DMSO 0m,U0126 0m,3,3,0.33165085048720344,3.5376868375665347,0.013609206567394727,,,,True
,,DMSO 5m,PP1 5m,3,3,0.43716820500575726,4.663230027541055,0.0015572719200628304,,,,True
,,DMSO 5m,Soq 5m,3,3,-0.030521638329402467,-0.3255712989135227,0.7489676461973291,,,,False
,,DMSO 5m,U0126 5m,3,3,0.5376651431186275,5.735220931997841,0.0002455351614939483,,,,True
,,PP1 0m,PP1 5m,3,3,-3.241785444337075,-34.57980487551487,3.552713678800501e-15,,,,True
,,PP1 0m,Soq 0m,3,3,-1.0137795303650414,-10.813886035564895,1.0064704347723108e-07,,,,True
,,PP1 0m,U0126 0m,3,3,-0.9088914346090728,-9.695055086606947,4.219036052743874e-07,,,,True
,,PP1 5m,Soq 5m,3,3,-0.4676898433351597,-4.988801326454578,0.000936630734369226,,,,True
,,PP1 5m,U0126 5m,3,3,0.1004969381128702,1.071990904456786,0.6263301467565981,,,,False
,,Soq 0m,Soq 5m,3,3,-2.695695757307193,-28.75472016640455,4.9960036108132044e-14,,,,True
,,Soq 0m,U0126 0m,3,3,0.10488809575596844,1.1188309489579464,0.6263301467565981,,,,False
,,Soq 5m,U0126 5m,3,3,0.5681867814480299,6.060792230911363,0.00014863274994125764,,,,True
,,U0126 0m,U0126 5m,3,3,-2.232397071615132,-23.812758884451135,8.313350008393172e-13,,,,True


