id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,7,16,198.83431366454374,2.6571966002210865,2.4091839634365897e-14,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,DMSO 0m,DMSO 5m,3,3,-3.3923335885842265,-20.771838574724438,5.333511410299252e-13,2,16,0.05
,,DMSO 0m,PP1 0m,3,3,0.6483200536981784,3.9697745367652777,0.0010997575432543094,,,
,,DMSO 0m,Soq 0m,3,3,0.23299941014340117,1.4266952259033636,0.17289037504966043,,,
,,DMSO 0m,U0126 0m,3,3,0.35638257780354676,2.182191457199507,0.04434997354766623,,,
,,DMSO 5m,PP1 5m,3,3,1.6085936088342254,9.849693699782305,3.38977721447975e-08,,,
,,DMSO 5m,Soq 5m,3,3,1.1387473041580538,6.972744443227222,3.1426999342887285e-06,,,
,,DMSO 5m,U0126 5m,3,3,0.4601932851069197,2.8178421672859426,0.012377060243164761,,,
,,PP1 0m,PP1 5m,3,3,-2.4320600334481792,-14.89191941170741,8.515588234558891e-11,,,
,,PP1 0m,Soq 0m,3,3,-0.41532064355477716,-2.543079310861914,0.021704740116670562,,,
,,PP1 0m,U0126 0m,3,3,-0.2919374758946316,-1.7875830795657708,0.09279788565106606,,,
,,PP1 5m,Soq 5m,3,3,-0.4698463046761716,-2.8769492565550845,0.010952306109987875,,,
,,PP1 5m,U0126 5m,3,3,-1.1484003237273057,-7.031851532496363,2.8333516293166383e-06,,,
,,Soq 0m,Soq 5m,3,3,-2.4865856945695737,-15.22578935740058,6.105804750689003e-11,,,
,,Soq 0m,U0126 0m,3,3,0.12338316766014557,0.7554962312961433,0.46092940277757055,,,
,,Soq 5m,U0126 5m,3,3,-0.6785540190511341,-4.154902275941279,0.0007456397187075581,,,
,,U0126 0m,U0126 5m,3,3,-3.288522881280853,-20.136187864638,8.617551117140465e-13,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,DMSO 0m,DMSO 5m,3,3,-3.3923335885842265,-20.771838574724438,8.533618256478803e-12,2,16,0.05,True
,,DMSO 0m,PP1 0m,3,3,0.6483200536981784,3.9697745367652777,0.008764269664141677,,,,True
,,DMSO 0m,Soq 0m,3,3,0.23299941014340117,1.4266952259033636,0.3158896683145086,,,,False
,,DMSO 0m,U0126 0m,3,3,0.35638257780354676,2.182191457199507,0.16594343592084593,,,,False
,,DMSO 5m,PP1 5m,3,3,1.6085936088342254,9.849693699782305,4.067731899093374e-07,,,,True
,,DMSO 5m,Soq 5m,3,3,1.1387473041580538,6.972744443227222,3.142655490129265e-05,,,,True
,,DMSO 5m,U0126 5m,3,3,0.4601932851069197,2.8178421672859426,0.0741926109428348,,,,False
,,PP1 0m,PP1 5m,3,3,-2.4320600334481792,-14.89191941170741,1.1070264704926558e-09,,,,True
,,PP1 0m,Soq 0m,3,3,-0.41532064355477716,-2.543079310861914,0.10391388841582627,,,,False
,,PP1 0m,U0126 0m,3,3,-0.2919374758946316,-1.7875830795657708,0.2533584383372136,,,,False
,,PP1 5m,Soq 5m,3,3,-0.4698463046761716,-2.8769492565550845,0.0741926109428348,,,,False
,,PP1 5m,U0126 5m,3,3,-1.1484003237273057,-7.031851532496363,3.116642639278133e-05,,,,True
,,Soq 0m,Soq 5m,3,3,-2.4865856945695737,-15.22578935740058,8.548126650964605e-10,,,,True
,,Soq 0m,U0126 0m,3,3,0.12338316766014557,0.7554962312961433,0.46092940277757055,,,,False
,,Soq 5m,U0126 5m,3,3,-0.6785540190511341,-4.154902275941279,0.006690777023221295,,,,True
,,U0126 0m,U0126 5m,3,3,-3.288522881280853,-20.136187864638,1.2926326675710698e-11,,,,True


