id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,7,16,791.6400765711693,2.6571966002210865,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,DMSO 0m,DMSO 5m,3,3,-5.262949160932436,-33.83672365992784,2.220446049250313e-16,2,16,0.05
,,DMSO 0m,PV 0m,3,3,-3.709353340341217,-23.848294957103295,6.23945339839338e-14,,,
,,DMSO 0m,TPI-1 0m,3,3,1.0801320780117603,6.944420233280825,3.30324758990308e-06,,,
,,DMSO 0m,N22-IN-1 0m,3,3,-0.5042514948274417,-3.2419500861298016,0.005106779987305687,,,
,,DMSO 5m,PV 5m,3,3,-1.4456605688556543,-9.294487877165118,7.526782708211499e-08,,,
,,DMSO 5m,TPI-1 5m,3,3,0.17842990756782307,1.147167356252637,0.26817784391763255,,,
,,DMSO 5m,N22-IN-1 5m,3,3,-1.2506372852704821,-8.040637848951265,5.192309899815228e-07,,,
,,PV 0m,PV 5m,3,3,-2.9992563894468733,-19.282916579989664,1.6788792578381617e-12,,,
,,PV 0m,TPI-1 0m,3,3,4.789485418352977,30.79271519038412,1.1102230246251565e-15,,,
,,PV 0m,N22-IN-1 0m,3,3,3.2051018455137754,20.60634487097349,6.035172361862351e-13,,,
,,PV 5m,TPI-1 5m,3,3,1.6240904764234774,10.441655233417755,1.5005519715671767e-08,,,
,,PV 5m,N22-IN-1 5m,3,3,0.19502328358517218,1.2538500282138536,0.22790770945242667,,,
,,TPI-1 0m,TPI-1 5m,3,3,-6.1646513313763736,-39.63397653695603,0.0,,,
,,TPI-1 0m,N22-IN-1 0m,3,3,-1.584383572839202,-10.186370319410626,2.1231947089361825e-08,,,
,,TPI-1 5m,N22-IN-1 5m,3,3,-1.4290671928383052,-9.187805205203901,8.807672324806504e-08,,,
,,N22-IN-1 0m,N22-IN-1 5m,3,3,-6.009334951375477,-38.63541142274931,0.0,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,DMSO 0m,DMSO 5m,3,3,-5.262949160932436,-33.83672365992784,3.1086244689504383e-15,2,16,0.05,True
,,DMSO 0m,PV 0m,3,3,-3.709353340341217,-23.848294957103295,7.487344078072056e-13,,,,True
,,DMSO 0m,TPI-1 0m,3,3,1.0801320780117603,6.944420233280825,1.3212924891092825e-05,,,,True
,,DMSO 0m,N22-IN-1 0m,3,3,-0.5042514948274417,-3.2419500861298016,0.015242235537146875,,,,True
,,DMSO 5m,PV 5m,3,3,-1.4456605688556543,-9.294487877165118,5.268746705588967e-07,,,,True
,,DMSO 5m,TPI-1 5m,3,3,0.17842990756782307,1.147167356252637,0.40387349487700164,,,,False
,,DMSO 5m,N22-IN-1 5m,3,3,-1.2506372852704821,-8.040637848951265,2.5961522539530435e-06,,,,True
,,PV 0m,PV 5m,3,3,-2.9992563894468733,-19.282916579989664,1.6788792578381617e-11,,,,True
,,PV 0m,TPI-1 0m,3,3,4.789485418352977,30.79271519038412,1.4432899320127035e-14,,,,True
,,PV 0m,N22-IN-1 0m,3,3,3.2051018455137754,20.60634487097349,6.638689598048586e-12,,,,True
,,PV 5m,TPI-1 5m,3,3,1.6240904764234774,10.441655233417755,1.3504966933641782e-07,,,,True
,,PV 5m,N22-IN-1 5m,3,3,0.19502328358517218,1.2538500282138536,0.40387349487700164,,,,False
,,TPI-1 0m,TPI-1 5m,3,3,-6.1646513313763736,-39.63397653695603,0.0,,,,True
,,TPI-1 0m,N22-IN-1 0m,3,3,-1.584383572839202,-10.186370319410626,1.6985556405835212e-07,,,,True
,,TPI-1 5m,N22-IN-1 5m,3,3,-1.4290671928383052,-9.187805205203901,5.284602231370172e-07,,,,True
,,N22-IN-1 0m,N22-IN-1 5m,3,3,-6.009334951375477,-38.63541142274931,0.0,,,,True


