id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,7,16,869.4032320259719,2.6571966002210865,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,DMSO 0m,DMSO 5m,3,3,-2.724551809583084,-25.960882303156914,1.6653345369377348e-14,2,16,0.05
,,DMSO 0m,PV 0m,3,3,-0.949943119286471,-9.05152965994196,1.0785943604929571e-07,,,
,,DMSO 0m,TPI-1 0m,3,3,-0.2943090652705726,-2.804322889866656,0.012727347821523294,,,
,,DMSO 0m,N22-IN-1 0m,3,3,0.3563573893502211,3.395550126902161,0.0036946951288632235,,,
,,DMSO 5m,PV 5m,3,3,-2.9335353294857294,-27.952181035083846,5.329070518200751e-15,,,
,,DMSO 5m,TPI-1 5m,3,3,-1.2783836812075067,-12.181074395198612,1.6556387372190784e-09,,,
,,DMSO 5m,N22-IN-1 5m,3,3,-0.7237109821518177,-6.89587753958712,3.5986145836552907e-06,,,
,,PV 0m,PV 5m,3,3,-4.708144019782342,-44.8615336782988,0.0,,,
,,PV 0m,TPI-1 0m,3,3,0.6556340540158985,6.247206770075304,1.1656900472223342e-05,,,
,,PV 0m,N22-IN-1 0m,3,3,1.3063005086366921,12.447079786844121,1.2089178547114443e-09,,,
,,PV 5m,TPI-1 5m,3,3,1.6551516482782227,15.771106639885236,3.594680109131332e-11,,,
,,PV 5m,N22-IN-1 5m,3,3,2.2098243473339116,21.056303495496728,4.3209880118411093e-13,,,
,,TPI-1 0m,TPI-1 5m,3,3,-3.708626425520018,-35.337633808488874,0.0,,,
,,TPI-1 0m,N22-IN-1 0m,3,3,0.6506664546207936,6.199873016768817,1.2729467997019128e-05,,,
,,TPI-1 5m,N22-IN-1 5m,3,3,0.554672699055689,5.285196855611492,7.397521262264561e-05,,,
,,N22-IN-1 0m,N22-IN-1 5m,3,3,-3.804620181085123,-36.2523099696462,2.220446049250313e-16,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,DMSO 0m,DMSO 5m,3,3,-2.724551809583084,-25.960882303156914,1.9984014443252818e-13,2,16,0.05,True
,,DMSO 0m,PV 0m,3,3,-0.949943119286471,-9.05152965994196,7.550158079849822e-07,,,,True
,,DMSO 0m,TPI-1 0m,3,3,-0.2943090652705726,-2.804322889866656,0.012727347821523294,,,,True
,,DMSO 0m,N22-IN-1 0m,3,3,0.3563573893502211,3.395550126902161,0.007375739485631194,,,,True
,,DMSO 5m,PV 5m,3,3,-2.9335353294857294,-27.952181035083846,6.927791673660977e-14,,,,True
,,DMSO 5m,TPI-1 5m,3,3,-1.2783836812075067,-12.181074395198612,1.3245109786730325e-08,,,,True
,,DMSO 5m,N22-IN-1 5m,3,3,-0.7237109821518177,-6.89587753958712,2.1591493252426375e-05,,,,True
,,PV 0m,PV 5m,3,3,-4.708144019782342,-44.8615336782988,0.0,,,,True
,,PV 0m,TPI-1 0m,3,3,0.6556340540158985,6.247206770075304,5.828314354372477e-05,,,,True
,,PV 0m,N22-IN-1 0m,3,3,1.3063005086366921,12.447079786844121,1.0880260692402999e-08,,,,True
,,PV 5m,TPI-1 5m,3,3,1.6551516482782227,15.771106639885236,3.594680109131332e-10,,,,True
,,PV 5m,N22-IN-1 5m,3,3,2.2098243473339116,21.056303495496728,4.75308681302522e-12,,,,True
,,TPI-1 0m,TPI-1 5m,3,3,-3.708626425520018,-35.337633808488874,0.0,,,,True
,,TPI-1 0m,N22-IN-1 0m,3,3,0.6506664546207936,6.199873016768817,5.828314354372477e-05,,,,True
,,TPI-1 5m,N22-IN-1 5m,3,3,0.554672699055689,5.285196855611492,0.00022190922127651724,,,,True
,,N22-IN-1 0m,N22-IN-1 5m,3,3,-3.804620181085123,-36.2523099696462,3.1086244689504383e-15,,,,True


